AAPL,Apple Inc,20140520,CORRECTED-UPDATE 3-Microsoft's new Surface tablet takes aim at Apple's MacBook ,(Corrects 5th paragraph; starting price of MacBook Air is $899  not $629),topStory
TRQ,Turquoise Hill Resources Ltd,20140520,Ivanhoe Mines to raise C$150 mln in equity offering ,May 20 Ivanhoe Mines Ltd said on Tuesday it has entered into agreements to raise C$150 million ($137.65 million) in a share and warrants offering. The funds would be used to develop its mining projects in the Democratic Republic of Congo.,normal
UMC,United Microelectronics Corporation,20140520,BRIEF-UMC orders machinery equipment worth T$2.5 billion ,* Says orders machinery equipment worth T$2.5 billion ($82.94 million) from ASML Hong Kong Ltd.c/o ASML Netherlands B.V.,topStory
UTX,United Technologies Corporation,20140520,Pratt & Whitney secures more than 5 500 orders for new engine ,EAST HARTFORD  Connecticut Pratt & Whitney  a unit of United Technologies Corp   has secured more than 5 500 orders for its closely watched geared turbofan engine for commercial jets  its top executive said on Tuesday.,topStory
UTX,United Technologies Corporation,20140520,UPDATE 1-Pratt & Whitney secures more than 5 500 orders for new engine ,EAST HARTFORD  Conn.  May 20 Pratt & Whitney  a unit of United Technologies Corp  has secured more than 5 500 orders for its closely watched geared turbofan engine for commercial jets  its top executive said on Tuesday.,normal
VRX,Valeant Pharmaceuticals International Inc,20140520,CANADA STOCKS-TSX steady as miners  Valeant climb; financials slip ,* TSX rises 10.45 points  or 0.07 percent  to 14 525.19     * Six of the 10 main index sectors advance     * Valeant higher after commenting on Allergan bid plans      By John Tilak     TORONTO  May 20 Canada's main stock index was little changed on Tuesday as an advance in the materials sector and gains in Valeant Pharmaceuticals International Inc  helped offset weakness in some financial shares.     Valeant shares jumped 3.7 percent after the drugmaker said that when it announces a,topStory
VRX,Valeant Pharmaceuticals International Inc,20140520,UPDATE 3-Valeant says improved bid for Allergan won't be all-cash ,LAVAL  QUEBEC  May 20 Canada's Valeant Pharmaceuticals International said on Tuesday it will not make an all-cash bid for drugmaker Allergan Inc as many had expected last week when the company said it would improve its cash and stock offer for the Botox maker.,normal
VRX,Valeant Pharmaceuticals International Inc,20140520,CANADA STOCKS-Resource shares  Valeant nudge TSX higher ,* TSX rises 25.67 points  or 0.18 percent  to 14 540.41     * Seven of the 10 main index sectors advance     * Valeant higher after commenting on Allergan bid plans      By John Tilak     TORONTO  May 20 Canada's main stock index climbed slightly on Tuesday as gains in materials and energy shares helped offset weakness in the financial sector.     Providing further support was a rise in shares of Valeant Pharmaceuticals International Inc after the drugmaker said its sweetened takeove,normal
VRX,Valeant Pharmaceuticals International Inc,20140520,Valeant says sweetened bid for Allergan will not be all-cash ,May 20 Canada's Valeant Pharmaceuticals International Inc said its sweetened offer for drugmaker Allergan Inc would not be an all-cash bid as was expected.,normal
VZ,Verizon Communications Inc,20140520,Verizon CEO says not interested in Dish  focus on online streaming ,NEW YORK  May 20 Verizon's CEO Lowell McAdam shot down rumors that the company was in potential merger talks with satellite operator Dish Network on Tuesday  days after rival AT&T announced plans to buy no 1. U.S. satellite operator DirecTV.,topStory
VZA,Verizon Communications Inc,20140520,Verizon CEO says not interested in Dish  focus on online streaming ,NEW YORK  May 20 Verizon's CEO Lowell McAdam shot down rumors that the company was in potential merger talks with satellite operator Dish Network on Tuesday  days after rival AT&T announced plans to buy no 1. U.S. satellite operator DirecTV.,topStory
WMT,Wal-Mart Stores Inc,20140520,Wal-Mart China to upgrade stores for $93 mln  open 30 more in 2014 ,HONG KONG  May 20 The China operating arm of U.S. retailer Wal-Mart Stores Inc said on Tuesday it planned to invest 580 million yuan ($92.99 million) to remodel 55 existing stores in China this year to enhance store operations and optimize customer experience.,topStory
WFC,Wells Fargo & Company,20140520,BRIEF-Wells Fargo lowers loan loss expectations ,May 20 Wells Fargo & Co chief risk officer Mike Loughlin said on Tuesday at the bank's investor day:  * Expects rate of credit improvement to slow in coming quarters  * Expects normalized loan loss rates to be 75 to 80 basis points  down from 100,topStory
WFC,Wells Fargo & Company,20140520,UPDATE 1-Wells Fargo hopes to double payout to investors -CFO ,May 20 Wells Fargo & Co plans to return as much as 75 percent of its profit to shareholders  up from 34 percent in 2013  a top executive said on Tuesday.,normal
WFC,Wells Fargo & Company,20140520,BRIEF-Wells Fargo sets higher margin target for wealth unit ,May 20 Wells Fargo & Co 's Wealth  Brokerage and Retirement executive David Carroll said on Tuesday at the bank's investor day:  * The unit is increasing its target for pretax margin to 25% from 22% previously,normal
WFC,Wells Fargo & Company,20140520,BRIEF-Wells Fargo mortgage unit to be profitable in '14 ,May 20 Wells Fargo & Co Home Loan president Mike Heid said on Tuesday at the bank's investor day:  * Expects mortgage production business to be profitable in 2014  but lower than,normal
WFC,Wells Fargo & Company,20140520,ON THE MOVE-Disgruntled Wells Fargo team jumps to Raymond James ,NEW YORK  May 20 Robert J. Wood  a financial adviser with Wells Fargo Advisors  said on Tuesday he jumped with two other brokers to Raymond James Financial in Richmond  Va.  last Friday because of frustration over pressure to sell Wells Fargo & Co bank products.,normal
WFC,Wells Fargo & Company,20140520,Wells Fargo is looking to pay out more to investors - CFO ,May 20 Wells Fargo & Co plans to return as much as 75 percent of its profits to shareholders  up from 34 percent in 2013  a top executive said on Tuesday.,normal
WFC,Wells Fargo & Company,20140520,BRIEF-Wells Fargo updates payout targets ,May 20 Wells Fargo & Co chief financial officer John Shrewsberry said on Tuesday at the bank's investor day:  * Wells Fargo will target a net payout ratio of between 55 and 75 percent  * The bank's net payout ratio in 2013 was 34 percent  * Net payout ratio includes common stock dividends and share repurchases minus,normal
PLG,Platinum Group Metals Ltd,20140520,PRECIOUS-Platinum extends gains on South African strikes; gold firm ,SINGAPORE  May 20 Platinum extended gains to a second session on Tuesday as labour strikes at top producer South Africa continued into a 17th week  disrupting supply of about 40 percent of global output.     Gold held below $1 300 an ounce as a lack of major economic data and significant developments in geopolitical tensions in Ukraine kept investor interest muted.          FUNDAMENTALS     * Spot gold was steady at $1 293.04 an ounce by 0024 GMT. Platinum rose 0.3 percent to $1 468.,topStory
SGA,Saga Communications Inc,20140520,Books covered for Saga's 550 mln stg primary offering - sources ,UK holiday-to-insurance firm Saga has covered the books for the 550 million pounds ($926.67 million) of new shares it is issuing in its London initial public offering  two sources familiar with the matter said on Tuesday.,topStory
