ADXS,Advaxis Inc,20140722,AstraZeneca widens cancer immunotherapy net with Advaxis trial ,LONDON  July 22 AstraZeneca is casting its net wider in the hot cancer immunotherapy field through a clinical trial collaboration with U.S. biotech firm Advaxis  that will test drugs from both companies in combination.,topStory
TRV,The Travelers Companies Inc,20140722,UPDATE 2-Travelers' profit drop reflects slowdown in rate increase ,* Shares fall as much as 5 pct   (Adds CEO quote  analysts' comments  conference call details  court ruling),normal
TRV,The Travelers Companies Inc,20140722,Travelers ordered to pay over $500 mln in asbestos case ,NEW YORK  July 22 A federal appeals court on Tuesday said Travelers Cos should pay more than $500 million to satisfy asbestos-related claims stemming from its coverage of policyholder Johns-Manville Corp  reversing a lower court ruling.,normal
TRV,The Travelers Companies Inc,20140722,BRIEF-U.S. appeals court rules against Travelers in $500 mln asbestos case ,July 22   * U.S. appeals court reinstates order directing Travelers cos  to pay,normal
TRV,The Travelers Companies Inc,20140722,Travelers' profit drops as catastrophe losses rise ,July 22 Property and casualty insurer Travelers Cos Inc reported a 26 percent drop in quarterly net profit as catastrophe losses rose.,normal
UTX,United Technologies Corporation,20140722,United Tech elevator  jet-engine orders slow  shares drop ,United Technologies Corp posted tepid quarterly orders for its Otis elevators and Pratt & Whitney jet engines businesses  and shares of the diversified U.S. manufacturer fell nearly 2 percent on Tuesday.,topStory
UTX,United Technologies Corporation,20140722,UPDATE 3-United Tech elevator  jet-engine orders slow  shares drop ,(Rewrites to account for share price drop  adds further comment),normal
UTX,United Technologies Corporation,20140722,BRIEF-United Technologies says Q2 China orders at otis elevators division were flat ,July 22 United Technologies Corp comments on Q2 conference call:  * Says Q2 China orders at otis elevators division were flat  * Says increase in 2014 sales forecast due primarily to Canadian helicopter,normal
UTX,United Technologies Corporation,20140722,BRIEF-United Technologies sees 2014 sales of about $65 billion -- slides ,July 22 United Technologies Corp :  * Sees 2014 sales of about $65 billion -- slides,normal
UTX,United Technologies Corporation,20140722,United Tech profit rises 8 pct  gives more bullish outlook ,July 22 United Technologies Corp posted an 8 percent increase in quarterly net profit  helped by sales of its elevators and aircraft parts  and the diversified U.S. manufacturer gave a more bullish profit outlook for 2014.,normal
VZ,Verizon Communications Inc,20140722,Verizon revenues top estimates on wireless surge ,Verizon Communications Inc  the largest U.S. wireless telecommunications company  on Tuesday reported better-than-expected quarterly revenue on a jump in wireless customers and a surge in tablet sales.,topStory
VZ,Verizon Communications Inc,20140722,UPDATE 3-Verizon revenues top estimates on wireless surge ,(Adds analyst comment  churn context  updates stock price),normal
VZ,Verizon Communications Inc,20140722,Verizon revenue rises on strong wireless subscriber additions ,July 22 Verizon Communications Inc  the largest U.S. wireless telecoms company  reported a 6 percent rise in quarterly revenue as its postpaid wireless subscriber additions rose 53 percent.,normal
VZA,Verizon Communications Inc,20140722,Verizon revenues top estimates on wireless surge ,Verizon Communications Inc  the largest U.S. wireless telecommunications company  on Tuesday reported better-than-expected quarterly revenue on a jump in wireless customers and a surge in tablet sales.,topStory
VZA,Verizon Communications Inc,20140722,UPDATE 3-Verizon revenues top estimates on wireless surge ,(Adds analyst comment  churn context  updates stock price),normal
VZA,Verizon Communications Inc,20140722,Verizon revenue rises on strong wireless subscriber additions ,July 22 Verizon Communications Inc  the largest U.S. wireless telecoms company  reported a 6 percent rise in quarterly revenue as its postpaid wireless subscriber additions rose 53 percent.,normal
VMW,Vmware Inc,20140722,VMware revenue rises as software demand grows ,VMware Inc posted a better-than-expected 17 percent rise in quarterly revenue as more customers signed up for its virtualization software  which helps cut the cost of moving data to the cloud.,topStory
VMW,Vmware Inc,20140722,UPDATE 1-VMware revenue rises as software demand grows ,July 22 VMware Inc posted a better-than-expected 17 percent rise in quarterly revenue as more customers signed up for its virtualization software  which helps cut the cost of moving data to the cloud.,normal
VMW,Vmware Inc,20140722,UPDATE 1-Market Chatter-Corporate finance press digest ,(Adds items on Catalunya Banc  BC Partners  Alitalia  EMC Corp and Glenfidditch),normal
WMT,Wal-Mart Stores Inc,20140722,PetSmart hires bank to study buyback  deal options: sources ,NEW YORK PetSmart Inc has hired investment bank JPMorgan Chase & Co to evaluate a range of alternatives  including a leveraged share buyback and a potential deal with private equity  according to people familiar with the matter.,topStory
YGE,Yingli Green Energy Holding Company Limited,20140722,BUZZ-U.S. Stocks on the Move-Chipotle  Herbalife  Yingli Green Energy ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
YUM,Yum! Brands Inc,20140722,China food scandal spreads  drags in Starbucks  Burger King and McNuggets in Japan ,SHANGHAI The latest food scandal in China is spreading fast  dragging in U.S. coffee chain Starbucks  Burger King Worldwide Inc and others  as well as McDonald's products as far away as Japan. | Video ,topStory
