VNET,21Vianet Group Inc,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  21Vianet  Crocs ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
RBS,Royal Bank Scotland plc (The),20140911,RBS says it will move to London if Scots vote for independence ,LONDON  Sept 11 Royal Bank of Scotland  said it would relocate to London from Edinburgh if Scots vote for independence from the rest of the United Kingdom next week.,normal
SNY,Sanofi,20140911,Sanofi aims to grow Genzyme unit with new drugs and acquisitions ,PARIS Sanofi rare disease unit Genzyme hopes to become a leader in the multiple sclerosis (MS) field with the help of new products developed in-house but also through acquisitions  senior Genzyme executives told Reuters.,topStory
SNY,Sanofi,20140911,Sanofi says MS drug Lemtrada shows sustained effect on disease ,PARIS Sanofi rare disease unit Genzyme said its Lemtrada multiple sclerosis (MS) drug showed continued efficacy for four years in more than two thirds of patients and that no new safety risks had been identified in its latest studies.,normal
SNY,Sanofi,20140911,Sanofi says MS drug Lemtrada shows sustained effect on disease ,PARIS  Sept 11 Sanofi rare disease unit Genzyme said its Lemtrada multiple sclerosis (MS) drug showed continued efficacy for four years in more than two thirds of patients and that no new safety risks had been identified in its latest studies.,normal
SCCO,Southern Copper Corporation,20140911,Southern Copper says still eyeing Anglo American project in Peru ,LIMA  Sept 10 Southern Copper Corp said on Wednesday that it still hopes to buy a share in Anglo American's $3.3 billion Quellaveco project in Peru  and that talks must now take place at the highest level.,topStory
GCI,TEGNA Inc,20140911,Icahn wins three board seats at Hertz  shares jump ,BOSTON  Sept 11 Billionaire investor Carl Icahn  who has built his reputation on rebuilding companies  won three board seats at Hertz Global Holdings on Thursday  sending the car rental company's stock price higher in after-hours trading.,normal
TI,Telecom Italia SPA,20140911,Brazil's Oi confirms BTG exploring partners for TIM bid ,SAO PAULO  Sept 10 Brazilian telecom Grupo Oi SA  reiterated on Wednesday it had commissioned investment bank BTG Pactual to seek possible partners in a joint bid for rival wireless carrier TIM Participações SA.,topStory
TEF,Telefonica SA,20140911,Spain's Telefonica fixes convertible bond coupon at 4.9 pct ,MADRID  Sept 11 Spain's Telefonica has set the coupon for a 1.5-billion euro ($1.94 billion) convertible bond  to be used partly to fund the acquisition of Germany's E-Plus  at 4.9 percent  the company said on Thursday.,topStory
TEF,Telefonica SA,20140911,Brazil's Oi confirms BTG exploring partners for TIM bid ,SAO PAULO  Sept 10 Brazilian telecom Grupo Oi SA  reiterated on Wednesday it had commissioned investment bank BTG Pactual to seek possible partners in a joint bid for rival wireless carrier TIM Participações SA.,normal
TEVA,Teva Pharmaceutical Industries Limited,20140911,CORRECTED-BRIEF-Teva Pharmaceutical present new data on MS drug Copaxone ,(Corrects company name in headline to Teva Pharmaceutical from Teva Pharmaceuticals. Also  removes incorrect reference to Copaxone as an experimental MS drug),topStory
BX,The Blackstone Group LP,20140911,Blackstone to sell Burger King locations to franchisee -Bloomberg ,Sept 11 Blackstone Group LP plans to sell about 260 Burger King Worldwide Inc locations owned by a unit in the U.S. Midwest to Texas-based fast-food franchisee Houston Foods Inc  Bloomberg reported.,topStory
BX,The Blackstone Group LP,20140911,UPDATE 1-Travelport's IPO values Blackstone-backed firm at $1.9 bln ,Sept 11 Airline ticketing company Travelport Worldwide Ltd's initial public offering is expected to be priced at $14-$16 per share  valuing the Blackstone Group LP  -backed company at $1.9 billion at the top end of the range.,normal
BX,The Blackstone Group LP,20140911,Blackstone-backed Travelport's IPO expected to raise $480 mln ,Sept 11 Airline ticketing company Travelport Worldwide Ltd's initial public offering is expected to raise up to $480 million  the Blackstone Group LP -backed company said in a regulatory filing.,normal
TSU,TIM Participacoes SA,20140911,Brazil's Oi confirms BTG exploring partners for TIM bid ,SAO PAULO  Sept 10 Brazilian telecom Grupo Oi SA  reiterated on Wednesday it had commissioned investment bank BTG Pactual to seek possible partners in a joint bid for rival wireless carrier TIM Participações SA.,topStory
TM,Toyota Motor Corp Ltd Ord,20140911,Two years after protests  'China risk' still haunts Japan firms ,DANYANG China Amid a revival in sales of Japanese goods in China and talk of renewed investment from some big firms such as Toyota  a dusty industrial park near Nanjing offers a cold reality check on the health of ties between Asia's two biggest economies.,topStory
TM,Toyota Motor Corp Ltd Ord,20140911,Two years after protests  "China risk" still haunts Japan firms ,DANYANG  China  Sept 12 Amid a revival in sales of Japanese goods in China and talk of renewed investment from some big firms such as Toyota  a dusty industrial park near Nanjing offers a cold reality check on the health of ties between Asia's two biggest economies.,normal
TM,Toyota Motor Corp Ltd Ord,20140911,Toyota recalling 130 000 Tundras for air-bag issue ,DETROIT Toyota Motor Corp  is recalling 130 000 2014 Tundra pickup trucks to correct a problem with side air bags  the automaker's U.S. sales arm said Thursday.,normal
TM,Toyota Motor Corp Ltd Ord,20140911,Toyota recalling 130 000 Tundras for air-bag issue ,DETROIT  Sept 11 Toyota Motor Corp is recalling 130 000 2014 Tundra pickup trucks to correct a problem with side air bags  the automaker's U.S. sales arm said Thursday.,normal
VRX,Valeant Pharmaceuticals International Inc,20140911,Allergan investors owning 35 percent to demand special meeting: sources ,NEW YORK Billionaire William Ackman has signed up Allergan  investors who combined own at least 35 percent of the company to call a special shareholder meeting  according to people familiar with the matter  giving the hedge fund manager a victory in his fight to acquire the Botox maker.,topStory
VAR,Varian Medical Systems Inc,20140911,Philips  IBA strike partnership deal for cancer centres ,BRUSSELS  Sept 11 Philips and Belgium's Ion Beam Applications announced a partnership on Thursday designed to combine IBA's cancer-therapy technology with Philips' medical imaging systems.,normal
VZ,Verizon Communications Inc,20140911,Deals of the day- Mergers and acquisitions ,(Updates EMC; Adds Akorn  Comcast  Grupos Salinas  Lucchini  Dentsu Aegis  Slovenske Elektrarne  Enel  BauMax  Verizon  Wind  BSkyB  Allergan  Hapag-Lloyd  Douglas  Eastman Chemical and Vodafone),topStory
VZ,Verizon Communications Inc,20140911,Verizon CEO says to launch Web TV product in 2015 ,NEW YORK Verizon Communications Inc  plans to launch an Internet-based television service in the first half of next year  its chief executive said on Thursday  in a move intended to shake up traditional cable and satellite TV services.,normal
VZ,Verizon Communications Inc,20140911,Sprint seeks wireless partnerships to expand scale -CEO ,NEW YORK  Sept 11 Sprint Corp is seeking partners to expand its scale in the wireless market after the collapse of its long sought-after takeover of T-Mobile US Inc   Chief Executive Officer Marcelo Claure said on Thursday.,normal
VZ,Verizon Communications Inc,20140911,UPDATE 2-Verizon CEO says to launch Web TV product in 2015 ,NEW YORK  Sept 11 Verizon Communications Inc  plans to launch an Internet-based television service in the first half of next year  its chief executive said on Thursday  in a move intended to shake up traditional cable and satellite TV services.,normal
VZ,Verizon Communications Inc,20140911,Verizon CEO says would be open to potential deals to sell towers ,NEW YORK  Sept 11 Verizon Communications Inc  Chief Executive Lowell McAdam said on Thursday that the telecoms company would open to selling some of its towers if the price was right.,normal
VZA,Verizon Communications Inc,20140911,Deals of the day- Mergers and acquisitions ,(Updates EMC; Adds Akorn  Comcast  Grupos Salinas  Lucchini  Dentsu Aegis  Slovenske Elektrarne  Enel  BauMax  Verizon  Wind  BSkyB  Allergan  Hapag-Lloyd  Douglas  Eastman Chemical and Vodafone),topStory
VZA,Verizon Communications Inc,20140911,Verizon CEO says to launch Web TV product in 2015 ,NEW YORK Verizon Communications Inc  plans to launch an Internet-based television service in the first half of next year  its chief executive said on Thursday  in a move intended to shake up traditional cable and satellite TV services.,normal
VZA,Verizon Communications Inc,20140911,Sprint seeks wireless partnerships to expand scale -CEO ,NEW YORK  Sept 11 Sprint Corp is seeking partners to expand its scale in the wireless market after the collapse of its long sought-after takeover of T-Mobile US Inc   Chief Executive Officer Marcelo Claure said on Thursday.,normal
VZA,Verizon Communications Inc,20140911,UPDATE 2-Verizon CEO says to launch Web TV product in 2015 ,NEW YORK  Sept 11 Verizon Communications Inc  plans to launch an Internet-based television service in the first half of next year  its chief executive said on Thursday  in a move intended to shake up traditional cable and satellite TV services.,normal
VZA,Verizon Communications Inc,20140911,Verizon CEO says would be open to potential deals to sell towers ,NEW YORK  Sept 11 Verizon Communications Inc  Chief Executive Lowell McAdam said on Thursday that the telecoms company would open to selling some of its towers if the price was right.,normal
V,Visa Inc,20140911,UPDATE 1-Indian card payment network RuPay sees boost from government banking scheme ,MUMBAI  Sept 11 A government drive to expand banking services in India is giving a boost to home-grown card payment network RuPay  which expects to quadruple the number of users by March and make debit cards more acceptable in a nation where cash is still king.,topStory
V,Visa Inc,20140911,Indian card payment network RuPay sees boost from govt banking scheme ,MUMBAI  Sept 11 A government drive to expand banking services in India is giving a boost to home-grown card payment network RuPay  which expects to quadruple the number of users by March and make debit cards more acceptable in a nation where cash is still king.,normal
VMW,Vmware Inc,20140911,EMC plans to keep stake in VMware  despite investor pressure: source ,Boston EMC Corp plans to keep its majority stake in software maker VMware Inc despite pressure from activist hedge fund Elliott Management  a person familiar with EMC's thinking told Reuters on Thursday.,topStory
VMW,Vmware Inc,20140911,UPDATE 3-EMC plans to keep stake in VMware  despite investor pressure-source ,(Recasts story to indicate that EMC plans to keep stake in VMware),normal
VMW,Vmware Inc,20140911,EMC not considering sale of VMware stake: source ,BOSTON EMC Corp is not considering selling its stake in VMware Inc  a source familiar with EMC's thinking told Reuters on Thursday.,normal
VMW,Vmware Inc,20140911,EMC not considering sale of VMware stake -source ,BOSTON  Sept 11 EMC Corp is not considering selling its stake in VMware Inc  a source familiar with EMC's thinking told Reuters on Thursday.,normal
