AKAM,Akamai Technologies Inc,20111004,Level 3 says to cut hundreds of jobs in U.S. ,NEW YORK Level 3 Communications Inc  expects to lay off hundreds of employees  mostly in the United States  as part of its effort to integrate its $1.9 billion Global Crossing purchase  a top executive said.,topStory
ENB,Enbridge Inc,20111004,CANADA STOCKS-TSX cuts losses after plunge to 23-month low , * Hits November 2009 low  falls 24 pct since 2011 highs  (Updates to close),normal
ENB,Enbridge Inc,20111004,US Cash Products-Chicago products boosted by pipe closure , * Gulf gasoline rises on pipe scheduling  refinery problem,normal
ENB,Enbridge Inc,20111004,Enbridge says restarted Ozark pipeline , HOUSTON  Oct 4 Enbridge Inc  has restarted the Ozark pipeline from Cushing  Oklahoma  to Woodville  Illinois  and expects it to be at full capacity by late Tuesday  a spokesman said Tuesday.  (Reporting by Bruce Nichols; Editing by Alden Bentley),normal
ENB,Enbridge Inc,20111004,UPDATE 3-Enbridge eyes Canada LNG exports , * Shares rise 0.7 percent  (Adds detail on potential Colombian pipeline  updates shares),normal
ENB,Enbridge Inc,20111004,UPDATE 1-Enbridge says Line 6B to restart Tuesday afternoon , CALGARY  Alberta  Oct 4 Enbridge Inc  said it expects to restart its 283 000 barrel per day Line 6B oil pipeline late on Tuesday afternoon  less than a day after a power outage at a pumping station forced the line to close.,normal
ENB,Enbridge Inc,20111004,US Cash Products-Chicago products boosted by pipe closure , * Gulf gasoline rises on pipe scheduling  refinery problem,normal
ENB,Enbridge Inc,20111004,Enbridge eyes potential for LNG exports , Oct 4 Enbridge Inc  said on Tuesday that it is putting proposals together to "add value" to proposed Canadian liquefied natural gas (LNG) export plans.,normal
ENB,Enbridge Inc,20111004,CANADA STOCKS-TSX set to open lower on Greek default worries , Oct 4 Toronto's resource heavy main stock index looked set to open lower on Tuesday after increased risk aversion on Greek debt default worries battered global equities and commodities.,normal
E,ENI SpA,20111004,Eni sees Libya Bouri field restart end-Oct  early-Nov , MILAN  Oct 4 Italian oil and gas group Eni  sees production at the offshore Bouri field in Libya restarting late October or early November  a spokesman said on Tuesday.,topStory
E,ENI SpA,20111004,UPDATE 3-Kazakhs won't drop tax claim for Karachaganak stake , * BG says expects final agreement with Kazakhstan by year-end,normal
E,ENI SpA,20111004,UPDATE 3-Kazakhstan sees 50 pct oil export growth by 2020 , ASTANA  Oct 4 Kazakhstan  Central Asia's largest oil producer  plans to raise annual crude exports to 110 million tonnes by 2020 from the 72 million tonnes forecast for this year  the country's oil and gas minister said on Tuesday.,normal
E,ENI SpA,20111004,UPDATE 1-India ONGC aims for 15 pct jump in oil output in 3 yrs , * ONGC expects 560 000 bpd oil output by March 2014 vs 488 400 bpd in FY11,normal
E,ENI SpA,20111004,Eni says awarded block North Ganal in Indonesia , MILAN  Oct 4 Italian oil and gas company Eni  was awarded an offshore oil and gas block in North Ganal  Indonesia  in a consortium with France's GDF Suez    Norway's Statoil and Niko Resources   the company said on Tuesday.,normal
E,ENI SpA,20111004,Kazakhs won't drop tax claims for Karachaganak stake , ASTANA  Oct 4 Kazakhstan will not drop its tax claims to the Karachaganak group in return for a stake in the promising gas field  Kazakh Oil and Gas Minister Sauat Mynbayev said on Tuesday.,normal
E,ENI SpA,20111004,Italian stocks - Factors to watch on Oct 4 , MILAN  Oct 4 The following factors could affect Italian markets on Tuesday.,normal
E,ENI SpA,20111004,Karachaganak group may reach stake deal by yr-end -BG , ASTANA  Oct 4 The consortium developing the Karachaganak project expects to reach agreement on ceding a stake to the government of Kazakhstan by the end of this year  a senior BG official said on Tuesday.,normal
E,ENI SpA,20111004,Interior affirms disputed Alaska Chukchi lease sale , ANCHORAGE  Alaska  Oct 3 Interior Secretary Ken Salazar on Monday formally approved a disputed Bush-era oil lease sale in the Chukchi Sea off northwestern Alaska  a remote site where Royal Dutch Shell  seeks to drill exploration wells next year.,normal
XOM,Exxon Mobil Corporation,20111004,Baytown refinery wraps work on flexicoker-Exxon , Oct 4 Exxon Mobil Corp  has finished a turnaround on a flexicoker unit at its 560 640 barrels-per-day (bpd) refinery in Baytown  Texas  the nation's largest  a spokeswoman said on Tuesday.,topStory
XOM,Exxon Mobil Corporation,20111004,UPDATE 3-Kazakhstan sees 50 pct oil export growth by 2020 , ASTANA  Oct 4 Kazakhstan  Central Asia's largest oil producer  plans to raise annual crude exports to 110 million tonnes by 2020 from the 72 million tonnes forecast for this year  the country's oil and gas minister said on Tuesday.,normal
FLS,Flowserve Corporation,20111004,UPDATE 2-Flowserve to buy privately held Lawrence Pumps , * Shares down 4 pct at 2-year low   (Adds details  share movement),topStory
F,Ford Motor Company,20111004,GM uses bungee jumps  sky dives to push Sonic car , * Chevy spent $1.14 bln on US advertising last year-Kantar,topStory
F,Ford Motor Company,20111004,Twin rebukes jolt U.S. business tax holiday campaign ,WASHINGTON A lobbying push in the Congress to give major corporations a tax break on their overseas profits suffered a setback on Tuesday when influential left- and right-wing think tanks both issued reports rejecting it.,normal
F,Ford Motor Company,20111004,Ford  UAW agree on contract with bonuses ,DETROIT Ford Motor Co agreed to invest more than $6 billion in U.S. plants  add another 5 750 jobs and pay bigger bonuses than General Motors Co in a new contract with the United Auto Workers union on Tuesday.,normal
F,Ford Motor Company,20111004,UPDATE 9-Ford  UAW agree on contract with bonuses , * Bonuses  buyout offers for Ford workers better than GM's  (Recasts first paragraph  adds analyst comment  adds remarks by UAW dissident  adds closing share price),normal
F,Ford Motor Company,20111004,UPDATE 1-Twin rebukes jolt US business tax holiday campaign , * Reports question jobs impact of foreign profit tax break  (Adds Heritage Foundation study  Thornell comment),normal
F,Ford Motor Company,20111004,Factbox: Highlights of tentative UAW-Ford labor deal ,A tentative deal between Ford Motor Co and the United Auto Workers union offers a richer payout for Ford's 41 000 workers than the newly ratified contract at General Motors Co.,normal
F,Ford Motor Company,20111004,FACTBOX-Highlights of tentative UAW-Ford labor deal , Oct 4 A tentative deal between Ford Motor Co  and the United Auto Workers union offers a richer payout for Ford's 41 000 workers than the newly ratified contract at General Motors Co . [ID:nS1E78J18W],normal
F,Ford Motor Company,20111004,REFILE-US STOCKS-S&P enters bear mkt  Greece fears sink Wall St , * S&P 500 in bear market  down 20 pct from 2011 high,normal
F,Ford Motor Company,20111004,US STOCKS-Wall St set to open in bear market on Greece fears , * Futures off: Dow 93 pts; S&P 6.3 pts; Nasdaq 12.25 pts   (Updates prices),normal
F,Ford Motor Company,20111004,US STOCKS-Futures off on Greece fears  Goldman cuts GDP view , * Futures off: Dow 116 pts; S&P 11.9 pts; Nasdaq 19.75 pts   (Adds analyst comment  Goldman forecast  updates prices),normal
GPS,Gap Inc (The),20111004,PREVIEW-UPDATE 1-September likely solid for U.S. chains , * Same-store sales rise of 4.6 pct seen - Thomson Reuters,topStory
GPS,Gap Inc (The),20111004,September likely solid  not stellar  for U.S. chains ,CHICAGO Shoppers hunting for back-to-school deals gave a nice boost to U.S. discount chains in September  though the rocky stock market and economic malaise may have curbed some people's desire to spend more.,normal
GPS,Gap Inc (The),20111004,PREVIEW-September likely solid  not stellar  for US chains , * Same-store sales rise of 4.7 pct seen - Thomson Reuters,normal
GD,General Dynamics Corporation,20111004,Analysis: Latest 401(k) lawsuit highlights ongoing fee concerns ,NEW YORK While workers can't do much when a stock market sell-off hits their 401(k) balances  they can speak up about poor investment choices and unreasonable plan fees. Now  more are taking those complaints to the courts as they bring lawsuits against employers they believe have allowed poorly-performing and overly-expensive funds into their retirement plans.,topStory
GEK,General Electric Capital Corporation,20111004,US lawmaker: China cyber espionage 'intolerable' ,WASHINGTON The chairman of the House of Representatives intelligence committee on Tuesday accused China of widespread cyber economic espionage and said many U.S. firms were afraid to come forward for fear their computers would be the targets of even more attacks.,topStory
GEK,General Electric Capital Corporation,20111004,HOW TO PLAY IT: Airline stocks on runway after AMR slide , THE ISSUE: With air traffic falling globally in recent months  all it took was whispers of a possible AMR bankruptcy filing to put the sector into a tailspin. What routes can you take with turbulence again hitting airlines?,normal
GEK,General Electric Capital Corporation,20111004,Top U.S. Mexican dining chain files for bankruptcy ,The leading Mexican restaurant operator in the United States filed for bankruptcy on Tuesday and put its El Torito  Chevys Fresh Mex and Acapulco Mexican Restaurant chains up for sale.,normal
GEK,General Electric Capital Corporation,20111004,UPDATE 1-US lawmaker: China cyber espionage 'intolerable' , * Companies reluctant to point finger at China  (Adds comment from Ruppersberger  witnesses  background),normal
GEK,General Electric Capital Corporation,20111004,Corporate America seeks cover in arms of small business ,BOSTON Facing talk of "class warfare" in Washington and protest marches on Wall Street  some of the biggest players in corporate America are linking arms with small business in what observers see as moves to bolster their images at a time of rising public anger.,normal
GEK,General Electric Capital Corporation,20111004,Starbucks profit-sharing to boost U.S. non-profits ,Starbucks Corp will share profits from two of its U.S. coffee shops with non-profit groups in New York City and Los Angeles to help offset expected government funding cuts to programs for children and education.,normal
GEK,General Electric Capital Corporation,20111004,Starbucks profit-sharing to boost U.S. non-profits , * Each non-profit will get least $100 000 in first year,normal
GE,General Electric Company,20111004,US lawmaker: China cyber espionage 'intolerable' ,WASHINGTON The chairman of the House of Representatives intelligence committee on Tuesday accused China of widespread cyber economic espionage and said many U.S. firms were afraid to come forward for fear their computers would be the targets of even more attacks.,topStory
GE,General Electric Company,20111004,HOW TO PLAY IT: Airline stocks on runway after AMR slide , THE ISSUE: With air traffic falling globally in recent months  all it took was whispers of a possible AMR bankruptcy filing to put the sector into a tailspin. What routes can you take with turbulence again hitting airlines?,normal
GE,General Electric Company,20111004,Top U.S. Mexican dining chain files for bankruptcy ,The leading Mexican restaurant operator in the United States filed for bankruptcy on Tuesday and put its El Torito  Chevys Fresh Mex and Acapulco Mexican Restaurant chains up for sale.,normal
GE,General Electric Company,20111004,UPDATE 1-US lawmaker: China cyber espionage 'intolerable' , * Companies reluctant to point finger at China  (Adds comment from Ruppersberger  witnesses  background),normal
GE,General Electric Company,20111004,Corporate America seeks cover in arms of small business ,BOSTON Facing talk of "class warfare" in Washington and protest marches on Wall Street  some of the biggest players in corporate America are linking arms with small business in what observers see as moves to bolster their images at a time of rising public anger.,normal
GE,General Electric Company,20111004,Starbucks profit-sharing to boost U.S. non-profits ,Starbucks Corp will share profits from two of its U.S. coffee shops with non-profit groups in New York City and Los Angeles to help offset expected government funding cuts to programs for children and education.,normal
GE,General Electric Company,20111004,Starbucks profit-sharing to boost U.S. non-profits , * Each non-profit will get least $100 000 in first year,normal
GIS,General Mills Inc,20111004,Israel's Tnuva bows to pressure to report earnings , JERUSALEM  Oct 4 Israel's largest food maker Tnuva reported financial results for the first time on Tuesday following months of public protests and claims the company was earning large profits through very high prices.,topStory
GM,General Motors Company,20111004,GM uses bungee jumps  sky dives to push Sonic car , * Chevy spent $1.14 bln on US advertising last year-Kantar,topStory
GM,General Motors Company,20111004,Ford  UAW agree on contract with bonuses ,DETROIT Ford Motor Co agreed to invest more than $6 billion in U.S. plants  add another 5 750 jobs and pay bigger bonuses than General Motors Co in a new contract with the United Auto Workers union on Tuesday.,normal
GM,General Motors Company,20111004,UPDATE 9-Ford  UAW agree on contract with bonuses , * Bonuses  buyout offers for Ford workers better than GM's  (Recasts first paragraph  adds analyst comment  adds remarks by UAW dissident  adds closing share price),normal
GM,General Motors Company,20111004,Factbox: Highlights of tentative UAW-Ford labor deal ,A tentative deal between Ford Motor Co and the United Auto Workers union offers a richer payout for Ford's 41 000 workers than the newly ratified contract at General Motors Co.,normal
GM,General Motors Company,20111004,FACTBOX-Highlights of tentative UAW-Ford labor deal , Oct 4 A tentative deal between Ford Motor Co  and the United Auto Workers union offers a richer payout for Ford's 41 000 workers than the newly ratified contract at General Motors Co . [ID:nS1E78J18W],normal
GM,General Motors Company,20111004,Fitch raises GM's IDR to BB; Outlook now positive ,(The following statement was released by the rating agency.) CHICAGO  October 04 (Fitch) Fitch Ratings has upgraded the Issuer Default Ratings (IDRs) of General Motors Company (GM)  General Motors Holdings LLC (GM Holdings) and General Motors Financial Company  Inc. (GMF) to 'BB' from 'BB-'. The Rating Outlook for GM  GM Holdings and GMF is being revised to Positive from Stable. A complete list of ratings actions can be found at the end of this release. The upgrade of GM's ratings reflects the s,normal
GM,General Motors Company,20111004,TABLE-GM Korea Sept sales up 10.2 pct y/y , SEOUL  Oct 4 GM Korea Co' s vehicle sales during September (in units):,normal
GM,General Motors Company,20111004,UAW says contract talks with Ford going "smoothly" ,DETROIT Contract negotiations between Ford Motor Co and the United Auto Workers union are "progressing smoothly" and a breakdown in talks is "highly unlikely " the union said in a memo on Monday.,normal
GM,General Motors Company,20111004,UAW says contract talks with Ford going "smoothly" , DETROIT  Oct 3 Contract negotiations between Ford Motor Co  and the United Auto Workers union are "progressing smoothly" and a breakdown in talks is "highly unlikely " the union said in a memo on Monday.,normal
GSK,GlaxoSmithKline PLC,20111004,Europe's brain disorder bill hits 800 billion euros ,LONDON The annual cost of brain disorders in Europe has soared to 798 billion euros ($1 trillion) and the region is facing a political  social and financial "ticking bomb" as more people fall prey to mental illnesses  researchers said on Tuesday.,topStory
GSK,GlaxoSmithKline PLC,20111004,Europe's brain disorder bill hits 800 bln euros , * Europe faces "ticking bomb" in mental health  study warns,normal
GPN,Global Payments Inc,20111004,Global Payments Q1 profit tops estimates ,Credit card processor Global Payments Inc  reported a better-than-expected quarterly profit  helped by a strong performance at its North America merchant services segment  and raised its earnings forecast for the full year.,topStory
GPN,Global Payments Inc,20111004,UPDATE 1-Global Payments Q1 profit tops estimates , Oct 4 Credit card processor Global Payments Inc  reported a better-than-expected quarterly profit  helped by a strong performance at its North America merchant services segment  and raised its earnings forecast for the full year.,normal
GS,Goldman Sachs Group Inc (The),20111004,Top Republican: bill on China yuan "dangerous" ,WASHINGTON A U.S. bill to pressure China into letting its currency rise in value  which has drawn warnings from Beijing of a possible trade war  ran into opposition from the top Republican in Congress on Tuesday. | Video ,topStory
GS,Goldman Sachs Group Inc (The),20111004,WRAPUP 4-Top Republican: US bill on China yuan 'dangerous' , * House Democrats say support among lawmakers growing  (Adds analyst comment  industry group),normal
GS,Goldman Sachs Group Inc (The),20111004,Yahoo readies books for potential buyers -sources ,Yahoo Inc's long-time advisers Goldman Sachs Group Inc and Allen & Co are preparing to give potential buyers financial information  in a sign the troubled Internet giant is ready to put itself on the block  sources close to the situation said.,normal
GS,Goldman Sachs Group Inc (The),20111004,UPDATE 1-Yahoo readies books for potential buyers -sources , * Review process expected to take months  not days  (Adds Alibaba CEO comments  byline),normal
GS,Goldman Sachs Group Inc (The),20111004,Yahoo readies books for potential buyers -sources , Oct 4 Yahoo Inc's  long-time advisers Goldman Sachs Group Inc  and Allen & Co are preparing to give potential buyers financial information  in a sign the troubled Internet giant is ready to put itself on the block  sources close to the situation said.,normal
GS,Goldman Sachs Group Inc (The),20111004,Fund tycoon Rajaratnam fights for less prison time ,NEW YORK Convicted hedge fund tycoon Raj Rajaratnam is fighting to the last minute to convince the judge who will decide his fate next week to imprison him for far less than the 19-1/2 to 24-1/2 years demanded by prosecutors.,normal
GS,Goldman Sachs Group Inc (The),20111004,UPDATE 1-Fund tycoon Rajaratnam fights for less prison time , * Rajaratnam disputes government's number on illicit gains,normal
GS,Goldman Sachs Group Inc (The),20111004,Insight: Chase's card chief rebuilds business part by part ,NEW YORK Gordon Smith  credit card chief of JPMorgan Chase  often spends his weekends at his northern New Jersey home  rebuilding the engines of vintage cars.,normal
GS,Goldman Sachs Group Inc (The),20111004,Morgan Stanley  Goldman CDS costs highest since 2008 , NEW YORK  Oct 4 The cost to insure U.S. bank debt jumped on Tuesday with credit default swaps on Morgan Stanley and Goldman Sachs trading at their highest levels since October 2008 as fears about contagion from the euro zone debt crisis intensified.,normal
GS,Goldman Sachs Group Inc (The),20111004,Deutsche Bank scraps 2011 profit target ,FRANKFURT Deutsche Bank  said its full-year target of 10 billion euros ($13.3 billion) profit before tax is no longer within reach as the European debt crisis takes its toll on global markets.,normal
TV,Grupo Televisa SA,20111004,DIARY - Mexico and Central America - to Oct 14 , This diary is updated daily. All dates and times are provisional. The inclusion of diary items does not necessarily   mean that Reuters will file a story based on the event. __________________________________________________________________ DATE  LOCAL/GMT  MEXICO INDICATOR         PERIOD  F/CAST      PREV ----------------------------------------------------------------SEOCT04 0800/1300  consumer confidence s/a   Sep            92.5 OCT04 0800/1300  consumer confidence       Sep            93.4,topStory
HAL,Halliburton Company,20111004,U.S. to regulate contractors of offshore oil firms , * Says can keep current pace of issues of deepwater permits,topStory
HBI,Hanesbrands Inc,20111004,UPDATE 1-Hanesbrands names new CFO , * Names Gerald Evans  Williams Nicktakis co-chief operating officers,topStory
HDB,HDFC Bank Limited,20111004,BRIEF-Moody's cuts stand-alone rtg of State Bank of India , * Moody's downgrades stand-alone rating of State Bank of India to D+ from C-.,topStory
HTZ,Hertz Global Holdings Inc,20111004,Insight: Hometown weary but defiant as Kodak's problems worsen ,ROCHESTER  NY With investors placing bets on whether Eastman Kodak  will file for bankruptcy  there is not so much a sense of crisis as a feeling of resignation and fatigue among the residents in its hometown.,topStory
HES,Hess Corporation,20111004,UPDATE 1-Hovensa plans Q4 work at St.Croix refinery , Oct 4 Hovensa LLC on Tuesday said it will conduct maintenance at its 350 000 barrel per day refinery in St. Croix  U.S. Virgin Islands in the fourth quarter.,topStory
HD,Home Depot Inc (The),20111004,Christie money backers may go to Romney ,WASHINGTON At least one well-heeled backer of New Jersey Governor Chris Christie shifted support to former Massachusetts governor Mitt Romney on Tuesday after Christie declined to join the Republican presidential race  and others are expected to follow.,topStory
HD,Home Depot Inc (The),20111004,Christie money backers may go to Romney in US race , WASHINGTON  Oct 4 At least one well-heeled backer of New Jersey Governor Chris Christie shifted support to former Massachusetts governor Mitt Romney on Tuesday after Christie declined to join the Republican U.S. presidential race  and others are expected to follow.,normal
HMC,Honda Motor Company Ltd,20111004,GM uses bungee jumps  sky dives to push Sonic car , * Chevy spent $1.14 bln on US advertising last year-Kantar,topStory
HON,Honeywell International Inc,20111004,Echelon eyes smart grid growth away from home ,AMSTERDAM Smart grid infrastructure firm Echelon Corporation's chief executive said he saw more opportunities in Europe and the rest of the world than at home  where there is little appetite to upgrade power networks.,topStory
HPQ,HP Inc,20111004,Whitman aims for October decision on HP's PC unit ,LAGUNA NIGUEL  California Hewlett-Packard Co's new chief executive  Meg Whitman  is aiming to make a decision on the future of the company's PC business by the end of this month.,topStory
HPQ,HP Inc,20111004,UPDATE 1-Whitman aims for Oct decision on HP's PC unit , LAGUNA NIGUEL  Calif.  Oct 4 Hewlett-Packard Co's  new chief executive  Meg Whitman  is aiming to make a decision on the future of the company's PC business by the end of this month.,normal
HPQ,HP Inc,20111004,Twin rebukes jolt U.S. business tax holiday campaign ,WASHINGTON A lobbying push in the Congress to give major corporations a tax break on their overseas profits suffered a setback on Tuesday when influential left- and right-wing think tanks both issued reports rejecting it.,normal
HPQ,HP Inc,20111004,UPDATE 1-Twin rebukes jolt US business tax holiday campaign , * Reports question jobs impact of foreign profit tax break  (Adds Heritage Foundation study  Thornell comment),normal
HPQ,HP Inc,20111004,U.S. buyers shun "conflict minerals" in Congo's east ,GOMA  Democratic Republic of Congo A battered pickup truck pulling up to Huaying Trading's back street office in Goma is about all that remains of Congo's once-bustling resources business as an impending U.S. crackdown on so-called "conflict minerals" scares most buyers away.,normal
HPQ,HP Inc,20111004,FEATURE-U.S. buyers shun "conflict minerals" in Congo's east , * Enforcement of due diligence key to kickstarting sector,normal
HPQ,HP Inc,20111004,Citi  BofA cut workers after US tax holiday-report , WASHINGTON  Oct 4 Ten major U.S. corporations  including big banks Citigroup Inc  and Bank of America Corp   laid off workers after enjoying a tax holiday in 2004-2005 that had been billed as a form of economic stimulus  said a report released on Tuesday.,normal
HPQ,HP Inc,20111004,PRESS DIGEST - Financial Times - Oct 4 , Fears that the holding company for American Airlines  the fourth-biggest U.S. carrier by passenger miles  would file for bankruptcy sent shares in AMR Corporation tumbling by a third on Monday. http://www.ft.com/cms/s/0/0ce9b2c6-ede3-11e0-a491-00144feab49a.html#axzz1ZfAR7S9q,normal
HSBC,HSBC Holdings plc,20111004,MOVES-HSBC  OMAM UK  Coutts & Co , Oct 4 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
HSBC,HSBC Holdings plc,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,normal
HSBC,HSBC Holdings plc,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
HSBC,HSBC Holdings plc,20111004,UPDATE 1-Egypt's OCI secures $1.9 bln in credit facilities , CAIRO  Oct 4 Egypt's Orascom Construction Industries (OCI)   the country's biggest listed company  said on Tuesday its fertiliser subsidiaries had signed credit facilities worth $1.9 billion with international and local banks.,normal
HSBC,HSBC Holdings plc,20111004,CORRECTED-HSBC awards pay rises in Jordan following strike , (Corrects headline and paragraphs 1-3 to show job cuts are not reversed),normal
HSBC,HSBC Holdings plc,20111004,HSBC says hires ex-Citi banker Kennedy for Asia Pacific , HONG KONG  Oct 4 HSBC has hired former Citigroup executive Glenn Kennedy as head of sales for the alternatives sector in Asia Pacific  it said in a statement on Tuesday.,normal
HSBC,HSBC Holdings plc,20111004,PRESS DIGEST - Hong Kong - Oct 4 , HONG KONG  Oct 4 These are some of the leading stories in Hong Kong newspapers on Tuesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
HSEA,HSBC Holdings plc,20111004,MOVES-HSBC  OMAM UK  Coutts & Co , Oct 4 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
HSEA,HSBC Holdings plc,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,normal
HSEA,HSBC Holdings plc,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
HSEA,HSBC Holdings plc,20111004,UPDATE 1-Egypt's OCI secures $1.9 bln in credit facilities , CAIRO  Oct 4 Egypt's Orascom Construction Industries (OCI)   the country's biggest listed company  said on Tuesday its fertiliser subsidiaries had signed credit facilities worth $1.9 billion with international and local banks.,normal
HSEA,HSBC Holdings plc,20111004,CORRECTED-HSBC awards pay rises in Jordan following strike , (Corrects headline and paragraphs 1-3 to show job cuts are not reversed),normal
HSEA,HSBC Holdings plc,20111004,HSBC says hires ex-Citi banker Kennedy for Asia Pacific , HONG KONG  Oct 4 HSBC has hired former Citigroup executive Glenn Kennedy as head of sales for the alternatives sector in Asia Pacific  it said in a statement on Tuesday.,normal
HSEA,HSBC Holdings plc,20111004,PRESS DIGEST - Hong Kong - Oct 4 , HONG KONG  Oct 4 These are some of the leading stories in Hong Kong newspapers on Tuesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
HSEB,HSBC Holdings plc,20111004,MOVES-HSBC  OMAM UK  Coutts & Co , Oct 4 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
HSEB,HSBC Holdings plc,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,normal
HSEB,HSBC Holdings plc,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
HSEB,HSBC Holdings plc,20111004,UPDATE 1-Egypt's OCI secures $1.9 bln in credit facilities , CAIRO  Oct 4 Egypt's Orascom Construction Industries (OCI)   the country's biggest listed company  said on Tuesday its fertiliser subsidiaries had signed credit facilities worth $1.9 billion with international and local banks.,normal
HSEB,HSBC Holdings plc,20111004,CORRECTED-HSBC awards pay rises in Jordan following strike , (Corrects headline and paragraphs 1-3 to show job cuts are not reversed),normal
HSEB,HSBC Holdings plc,20111004,HSBC says hires ex-Citi banker Kennedy for Asia Pacific , HONG KONG  Oct 4 HSBC has hired former Citigroup executive Glenn Kennedy as head of sales for the alternatives sector in Asia Pacific  it said in a statement on Tuesday.,normal
HSEB,HSBC Holdings plc,20111004,PRESS DIGEST - Hong Kong - Oct 4 , HONG KONG  Oct 4 These are some of the leading stories in Hong Kong newspapers on Tuesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
IBN,ICICI Bank Limited,20111004,BRIEF-Moody's cuts stand-alone rtg of State Bank of India , * Moody's downgrades stand-alone rating of State Bank of India to D+ from C-.,topStory
IBM,International Business Machines Corporation,20111004,IBM buys Q1 Labs to expand in security software ,IBM Corp  will buy security software provider Q1 Labs as it looks to expand in a market which has seen recent high-profile cyber attacks on victims from Sony Corp  to the British police.,topStory
IBM,International Business Machines Corporation,20111004,UPDATE 3-IBM buys Q1 Labs to expand in security software , * Security software & services is a $94 bln market opportunity - IBM,normal
IBM,International Business Machines Corporation,20111004,IBM expands in security software with Q1 Labs buy ,International Business Machines Corp (IBM) said it is to buy Q1 Labs  a privately-held security intelligence software provider  as it looks to tap into a growing market for security software.,normal
ICL,Israel Chemicals Shs,20111004,Deals of the day -- mergers and acquisitions , Oct 4 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 0930 GMT on Tuesday:,topStory
ICL,Israel Chemicals Shs,20111004,Israel Chemicals buys phosphate products firm Halox , TEL AVIV  Oct 4 Fertiliser and specialty chemicals maker Israel Chemicals  said its specialty phosphates division ICL Performance Products had acquired Indiana-based Halox  a division of Hammond Group Inc.,normal
JPM,J P Morgan Chase & Co,20111004,Top Republican: bill on China yuan "dangerous" ,WASHINGTON A U.S. bill to pressure China into letting its currency rise in value  which has drawn warnings from Beijing of a possible trade war  ran into opposition from the top Republican in Congress on Tuesday. | Video ,topStory
JPM,J P Morgan Chase & Co,20111004,WRAPUP 4-Top Republican: US bill on China yuan 'dangerous' , * House Democrats say support among lawmakers growing  (Adds analyst comment  industry group),normal
JPM,J P Morgan Chase & Co,20111004,Republican drops opposition to US banking nominee , WASHINGTON  Oct 4 A key U.S. senator said on Tuesday that he no longer has concerns about President Barack Obama's nominee to lead the agency overseeing national banks  and that he would not block a vote on the nomination.,normal
JPM,J P Morgan Chase & Co,20111004,Bankers strike dour note on U.S. bank M&A ,NEW YORK Investment bankers  traditionally an optimistic lot  struck a dour note on bank deals in the near future  describing their outlook with words rarely heard spoken publicly in these circles -- "bleak " "skeptical " "really quiet.",normal
JPM,J P Morgan Chase & Co,20111004,Bankers strike dour note on U.S. bank M&A , NEW YORK  Oct 4 Investment bankers  traditionally an optimistic lot  struck a dour note on bank deals in the near future  describing their outlook with words rarely heard spoken publicly in these circles -- "bleak " "skeptical " "really quiet.",normal
JPM,J P Morgan Chase & Co,20111004,Insight: Chase's card chief rebuilds business part by part ,NEW YORK Gordon Smith  credit card chief of JPMorgan Chase  often spends his weekends at his northern New Jersey home  rebuilding the engines of vintage cars.,normal
JPM,J P Morgan Chase & Co,20111004,Rich run for cover as turmoil hits wealth ,GENEVA The world's wealthiest families have embarked on damage limitation rather than seeking to boost their fortunes as financial turmoil erodes their riches  with some so worried they are putting their money in 'catastrophe' portfolios.,normal
