AMCX,AMC Networks Inc,20150805,DIARY-NON S&P WEEK AHEAD ,Thomson Reuters Diary of Non S&P 500 Corporate earnings for U.S. companies     from August 5  2015.        S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                        ** This Diary does not provide the EPS estimate figures. EPS figures can retrived from Eikon.          Steps in Eikon to retrive the EPS:-           Eikon Indicator-> Home-&g,topStory
RDC,Rowan Companies plc,20150805,Driller Rowan's quarterly profit more than doubles ,Aug 5 Rowan Cos Plc's  quarterly profit more than doubled as the driller cut costs and ensured continued demand by deploying ultra-deepwater rigs and lowering prices.,normal
RBS,Royal Bank Scotland plc (The),20150805,UPDATE 1-RBS nears end of road for AT1 debut ,LONDON  Aug 5 (IFR) - Royal Bank of Scotland is close to issuing a debut Additional Tier 1 capital  one of the bank capital market's longest-awaited capital raisings  after it began actively marketing to investors on Wednesday morning.,topStory
RBS,Royal Bank Scotland plc (The),20150805,RBS starts marketing debut AT1 bond - lead ,LONDON  Aug 5 (IFR) - Royal Bank of Scotland has begun marketing a debut Additional Tier 1 bond  according to a lead banker on the trade.,normal
SLB,Schlumberger NV,20150805,Russian energy fund names new boss of Mexico  South America business ,LONDON  Aug 5 Oil and gas investment fund L1 Energy said on Wednesday it had appointed a former executive from oilfield services firm Schlumberger as president of its Mexican and South America business.,topStory
SLF,Sun Life Financial Inc,20150805,UPDATE 1-Canadian insurer Sun Life's profit beats estimates ,Aug 5 Canadian insurer Sun Life Financial Inc  reported a quarterly profit that breezed past analysts estimates  driven by growth in all its businesses and a weaker Canadian dollar.,topStory
SLF,Sun Life Financial Inc,20150805,Canadian insurer Sun Life's profit rises ,Aug 5 Canadian insurer Sun Life Financial Inc  reported a higher quarterly profit  driven by growth in all of its businesses.,normal
TNK,Teekay Tankers Ltd,20150805,Teekay to buy 12 tankers from Apollo-backed Principal Maritime ,Shipping company Teekay Tankers Ltd  said it would buy a fleet of 12 Suezmax tankers for $662 million from Principal Maritime Tankers  backed by Apollo Global Management LLC .,topStory
TNK,Teekay Tankers Ltd,20150805,Deals of the day- Mergers and acquisitions ,Aug 5 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Wednesday:,normal
TNK,Teekay Tankers Ltd,20150805,Teekay to buy 12 tankers from Apollo-backed Principal Maritime ,Aug 5 Shipping company Teekay Tankers Ltd  said it would buy a fleet of 12 Suezmax tankers for $662 million from Principal Maritime Tankers  backed by Apollo Global Management LLC.,normal
TGNA,TEGNA Inc,20150805,Taboola signs three-year strategic partnership with Gannett ,JERUSALEM U.S.-Israeli firm Taboola  whose technology directs users to related content on the Internet  said on Wednesday it signed a three-year exclusive strategic partnership with USA Today publisher Gannett .,topStory
TGNA,TEGNA Inc,20150805,Taboola signs 3-year strategic partnership with Gannett ,JERUSALEM  Aug 5 U.S.-Israeli firm Taboola  whose technology directs users to related content on the Internet  said on Wednesday it signed a three-year exclusive strategic partnership with USA Today publisher Gannett.,normal
TI,Telecom Italia SPA,20150805,UPDATE 1-Telecom Italia eyes settlement to stop 4 bln euro antitrust claims -sources ,* Telecom seen setting aside money to cover antitrust risks   (Adds source  details),topStory
TI,Telecom Italia SPA,20150805,BRIEF-Telecom Italia confirms content deal with Mediaset ,Aug 5 Telecom Italia and Mediaset say in a joint statement:,normal
TI,Telecom Italia SPA,20150805,Telecom Italia eyes settlement to stop 4 bln euro antitrust claims - sources ,MILAN  Aug 5 Telecom Italia is considering the possibility of settling separate antitrust disputes with rivals to stop damage claims for around 4 billion euros ($4.6 billion)  two sources close to the matter told Reuters on Wednesday.,normal
TI,Telecom Italia SPA,20150805,Telecom Italia to make provisions over antitrust lawsuits - source ,MILAN  Aug 5 Telecom Italia will set aside money in results this week to cover risks connected to antitrust lawsuits from rivals seeking about 4 billion euros ($4.4 billion) in damages  a source close to the matter said on Wednesday.,normal
TI,Telecom Italia SPA,20150805,Telecom Italia agrees pay-TV content deal with Mediaset: sources ,MILAN Italian phone group Telecom Italia has reached an agreement with Mediaset  to sell the broadcaster's pay-TV content to its own clients  two sources with knowledge of the matter told Reuters.,normal
TI,Telecom Italia SPA,20150805,Telecom Italia agrees pay-TV content deal with Mediaset - sources ,MILAN  Aug 5 Italian phone group Telecom Italia has reached an agreement with Mediaset to sell the broadcaster's pay-TV content to its own clients  two sources with knowledge of the matter told Reuters.,normal
TEVA,Teva Pharmaceutical Industries Limited,20150805,Perrigo CEO says no easy path for Mylan to acquire company ,Aug 5 Perrigo Co Plc on Wednesday made a fresh case for rejecting a $34 billion offer from generic drugmaker Mylan NV and said Mylan's recent share price plunge reinforces Perrigo's intention to remain independent.,normal
TRV,The Travelers Companies Inc,20150805,UPDATE 2-Travelers' CEO Fishman to step down  says may have ALS ,Aug 4 Property and casualty insurer Travelers Cos Inc said on Tuesday that Chief Executive Officer Jay Fishman  who last year disclosed he had a neuromuscular condition  will step down  as Fishman said he may be battling ALS.,topStory
TSU,TIM Participacoes SA,20150805,Brazil telecom TIM announces three-year cost cutting plan ,SAO PAULO  Aug 5 TIM Participações SA   Brazil's second-biggest wireless carrier  aims to reduce operating expenses by at least 1 billion reais ($290 million) over the next three years  Chief Financial Officer Guglielmo Noya said on a Wednesday earnings call.,topStory
TSU,TIM Participacoes SA,20150805,Brazil's TIM posts 20 percent drop in adjusted quarterly profit ,SAO PAULO  Aug 4 TIM Participaçoes SA   Brazil's second-largest wireless phone company  reported on Tuesday a 20 percent drop in adjusted quarterly profit due to weak sales.,normal
TWX,Time Warner Inc,20150805,Time Warner falls as Disney's cable warning spooks sector ,Time Warner Inc's shares fell as much as 9 percent after Walt Disney Co alarmed investors with a dour outlook for its cable business  suggesting that more people were switching to video-streaming from paid TV than previously expected. | Video ,topStory
TWX,Time Warner Inc,20150805,UPDATE 4-Time Warner falls as Disney's cable warning spooks sector ,* Time Warner shares fall as much as 9 pct   (Updates shares),normal
TWX,Time Warner Inc,20150805,Time Warner posts 14 pct rise in quarterly profit ,Aug 5 Time Warner Inc reported a 14 percent rise in quarterly profit  helped by higher revenue at its Turner network and Warner Bros. studio.,normal
TM,Toyota Motor Corp Ltd Ord,20150805,Lexus plans a second 'flagship' model  hints at large SUV ,TRAVERSE CITY  Mich. Toyota Motor Corp's  Lexus brand is planning to launch a second top-of-the-line "flagship" model to accompany a new generation of its LS sedan  the head of the brand's U.S. operations told Reuters on Wednesday.,topStory
TM,Toyota Motor Corp Ltd Ord,20150805,UPDATE 1-Lexus plans a second 'flagship' model  hints at large SUV ,TRAVERSE CITY  Mich.  Aug 5 Toyota Motor Corp's  Lexus brand is planning to launch a second top-of-the-line "flagship" model to accompany a new generation of its LS sedan  the head of the brand's U.S. operations told Reuters on Wednesday.,normal
TM,Toyota Motor Corp Ltd Ord,20150805,Lexus plans a second 'flagship' model  hints at large SUV ,TRAVERSE CITY  Mich.  Aug 5 Toyota Motor Corp's  Lexus brand is planning to launch a second top-of-the-line "flagship" model to accompany a new generation of its LS sedan  the head of the brand's U.S. operations told Reuters on Wednesday.,normal
TM,Toyota Motor Corp Ltd Ord,20150805,Nikkei rebounds on some positive earnings but Fast Retailing sinks ,TOKYO  Aug 5 Japan's Nikkei share average posted modest gains on Wednesday as stronger earnings buoyed construction firms and real estate developers  but Toyota Motor and other cyclical shares buckled under concerns about slower global growth.,normal
TM,Toyota Motor Corp Ltd Ord,20150805,Nikkei edges up on some positive earnings  Toyota falls ,TOKYO  Aug 5 Japan's Nikkei share average edged up on Wednesday as construction firms and real estate developers gained on earnings but Toyota Motor and other cyclical shares buckled under concerns about slower global growth.,normal
TM,Toyota Motor Corp Ltd Ord,20150805,Australia new vehicle sales boast record July-VFACTS ,SYDNEY  Aug 5 Sales of new vehicles in Australia rose 2.7 percent in July compared to the same month a year ago  reaching their highest on record for that month as consumers' continued their love affair with sports utilities.,normal
VALE,VALE SA,20150805,UPDATE 1-Brazil's Vale plans debt sale to expand Carajas railway ,SAO PAULO  Aug 5 The board of Vale SA   the world's largest iron ore producer  on Wednesday approved plans to raise 1 billion reais ($287 million) from the sale of debt notes to expand the railway system at its Carajas ore mine.,topStory
VALE,VALE SA,20150805,Brazil's Vale plans debt sale to expand Carajas railway ,SAO PAULO  Aug 5 The board of Vale SA   the world's largest iron ore producer  on Wednesday approved plans to raise 1 billion reais ($287 million) from the sale of debt notes to expand the railway system at the Carajas ore mine.,normal
VALE,VALE SA,20150805,EMERGING MARKETS-Latam currencies sink on strong U.S. service sector data ,SAO PAULO  Aug 5 Latin American currencies dropped on Wednesday on expectations for a September increase in U.S. interest rates after strong service sector data offset weaker jobs numbers in the world's largest economy.     Equities were mostly higher as mining company Vale SA  helped the Bovespa stock index nearly erase losses from the previous two sessions.     U.S. private job growth slowed sharply in July  according to the ADP National Employment Report released early on Wednesda,normal
VALE,VALE SA,20150805,Brazil's Vale estimates 2015 investment of $8-8.5 bln ,SAO PAULO  Aug 5 Brazilian miner Vale  expects to invest $4 billion in the second half of 2015 and sees total investments of between $8 billion and $8.5 billion in the full year  according to a presentation on Wednesday.,normal
VEDL,Vedanta  Limited,20150805,Aviva Investors opposes Vedanta Ltd takeover bid for Cairn India ,LONDON  Aug 5 Fund firm Aviva Investors said on Wednesday it opposed a $2.3 billion plan by Vedanta Ltd  to buy out minority shareholders in Cairn India  as the deal failed to deliver sufficient value.,topStory
VMW,Vmware Inc,20150805,EMC considering to be bought by unit VMware - Re/code ,Data storage company EMC Corp  is contemplating a deal under which it would be acquired by its unit VMware Inc   Re/code reported  citing sources briefed on the discussions.,topStory
VMW,Vmware Inc,20150805,UPDATE 1-EMC considering to be bought by unit VMware - Re/code ,Aug 5 Data storage company EMC Corp is contemplating a deal under which it would be acquired by its unit VMware Inc  Re/code reported  citing sources briefed on the discussions.,normal
VMW,Vmware Inc,20150805,EMC considering to bought by unit VMware - Re/code ,Aug 5 Data storage company EMC Corp is contemplating a deal under which it would be acquired by its unit VMware Inc  Re/code reported  citing sources briefed on the discussions.,normal
DIS,Walt Disney Company (The),20150805,WRAPUP 2-U.S. cable TV companies' shares crushed after Disney disappoints , ,topStory
DIS,Walt Disney Company (The),20150805,ESPN customer losses show even sports vulnerable as TV shifts ,LOS ANGELES  Aug 5 Walt Disney Co has acknowledged that even powerhouse network ESPN and its live sports programming are not insulated from the massive changes shaking up the television landscape  confirming warnings from skeptics.,normal
DIS,Walt Disney Company (The),20150805,ESPN customer losses show even sports vulnerable as TV shifts ,LOS ANGELES Walt Disney Co has acknowledged that even powerhouse network ESPN and its live sports programming are not insulated from the massive changes shaking up the television landscape  confirming warnings from skeptics.,normal
DIS,Walt Disney Company (The),20150805,RPT-WRAPUP 2-U.S. cable TV companies' shares crushed after Disney disappoints ,Aug 5 Nagging investor concerns over viewers cutting the cord on cable television and moving online turned into a rout in the sector's shares on Wednesday after Walt Disney Co reported a dip in subscribers for its cornerstone sports channel ESPN and rivals produced a mixed batch of earnings.,normal
DIS,Walt Disney Company (The),20150805,U.S. cable TV companies' shares crushed after Disney disappoints ,Nagging investor concerns over viewers cutting the cord on cable television and moving online turned into a rout in the sector's shares on Wednesday after Walt Disney Co  reported a dip in subscribers for its cornerstone sports channel ESPN and rivals produced a mixed batch of earnings.,normal
DIS,Walt Disney Company (The),20150805,US STOCKS-Tech leads Nasdaq  S&P 500; Disney sparks media selloff ,* First Solar rallies after earnings  guidance; Chesapeake tumbles,normal
DIS,Walt Disney Company (The),20150805,US STOCKS SNAPSHOT-Nasdaq  S&P 500 up on tech; Disney leads media selloff ,NEW YORK  Aug 5 The S&P 500 and Nasdaq Composite rose on Wednesday following three days of losses as tech shares advanced  while the blue-chip Dow index ended flat  weighed by Disney's largest daily drop in almost seven years.,normal
DIS,Walt Disney Company (The),20150805,US STOCKS-Tech leads Nasdaq  S&P 500; Disney sparks media selloff ,* Dow flat  S&P up 0.4 percent  Nasdaq up 0.8 percent   (Updates to early afternoon),normal
DIS,Walt Disney Company (The),20150805,UPDATE 4-Time Warner falls as Disney's cable warning spooks sector ,* Time Warner shares fall as much as 9 pct   (Updates shares),normal
DIS,Walt Disney Company (The),20150805,CORRECTED-UPDATE 3-Disney shares drop after company lowers cable outlook , ,normal
WCG,WellCare Health Plans Inc,20150805,Health insurer WellCare raises forecast  looks to buy assets ,WellCare Health Plans Inc  raised its full-year adjusted profit forecast and said it was interested in buying healthcare insurance plans that might be put on the block as the industry consolidates.,topStory
WCG,WellCare Health Plans Inc,20150805,UPDATE 2-Health insurer WellCare raises forecast  looks to buy assets ,* Shares rise as much as 9.6 pct   (Adds details from conference call; updates shares),normal
WCG,WellCare Health Plans Inc,20150805,Medicaid plans boost WellCare's revenue ,Aug 5 WellCare Health Plans Inc's  quarterly revenue rose 10.5 percent as the health insurer added more members under its Medicaid plans for low-income families.,normal
WFC,Wells Fargo & Company,20150805,Ex-Wells Fargo compliance officer spared penalty in U.S. SEC case ,NEW YORK A former Wells Fargo & Co compliance officer accused of altering a document sought by U.S. securities regulators for an insider trading investigation won the dismissal of her case Wednesday after a judge ruled against sanctioning her.,topStory
WFC,Wells Fargo & Company,20150805,Ex-Wells Fargo compliance officer spared penalty in U.S. SEC case ,NEW YORK A former Wells Fargo & Co  compliance officer accused of altering a document sought by U.S. securities regulators for an insider trading investigation won the dismissal of her case Wednesday after a judge ruled against sanctioning her.,normal
WFC,Wells Fargo & Company,20150805,Ex-Wells Fargo compliance officer spared penalty in U.S. SEC case ,NEW YORK  Aug 5 A former Wells Fargo & Co  compliance officer accused of altering a document sought by U.S. securities regulators for an insider trading investigation won the dismissal of her case Wednesday after a judge ruled against sanctioning her.,normal
WBK,Westpac Banking Corporation,20150805,Australia's Westpac to raise A$1.25 bln hybrid to expand capital buffer ,SYDNEY  Aug 5 Westpac Banking Corp  Australia's No 2 lender by market value  said on Wednesday it had increased the size of its perpetual hybrid offering to A$1.25 billion ($918 million) from its initial aim of A$750 million.,topStory
WMB,Williams Companies Inc (The),20150805,Exclusive: Energy Transfer advances in auction for Williams - sources ,Energy Transfer Equity LP  has progressed to the second round of bidding for Williams Companies   according to people familiar with the matter  a key milestone in the pipeline company's efforts to clinch a friendly deal with its peer.,topStory
XPO,XPO Logistics Inc,20150805,XPO Logistics revenue doubles after Norbert Dentressangle buy ,XPO Logistics Inc's  quarterly revenue doubled  boosted by its purchase of France-based Norbert Dentressangle SA and an increase in trucking capacity in the United States.,topStory
XPO,XPO Logistics Inc,20150805,XPO Logistics revenue doubles after Norbert Dentressangle buy ,Aug 5 XPO Logistics Inc's quarterly revenue doubled  boosted by its purchase of France-based Norbert Dentressangle SA and an increase in trucking capacity in the United States.,normal
YUM,Yum! Brands Inc,20150805,Food scares strip McDonald's  KFC of treat status in China ,SHANGHAI On birthdays and for special treats  Lu Yuanli would take her son to their local KFC for his favorite meal  fried chicken wings  but the Chinese mother hasn't been back since a safety scare battered KFC-parent Yum Brands Inc  and rival McDonald's Corp  last year.,topStory
YUM,Yum! Brands Inc,20150805,Food scares strip McDonald's  KFC of treat status in China ,SHANGHAI  Aug 6 On birthdays and for special treats  Lu Yuanli would take her son to their local KFC for his favourite meal  fried chicken wings  but the Chinese mother hasn't been back since a safety scare battered KFC-parent Yum Brands Inc and rival McDonald's Corp last year.,normal
