ALGT,Allegiant Travel Company,20150223,BRIEF-Philippines' Cebu Pacific to sell 6 Airbus A319 to budget carrier Allegiant Travel ,* Says to sell 6 Airbus A319 aircraft to budget airline operator Allegiant Travel Co   Source text for Eikon: (http://bit.ly/1weAaf3) Further company coverage:    (Reporting by Neil Jerome Morales),topStory
OCN,Ocwen Financial Corporation,20150223,Ocwen to sell $9.8 bln in mortgage service rights to Nationstar ,Feb 23 Mortgage servicer Ocwen Financial Corp  said it would sell a portfolio of residential mortgage servicing rights worth $9.8 billion to Nationstar Mortgage Holdings Inc.,normal
ORAN,Orange,20150223,BRIEF-Hi Media to acquire Orange's digital advertising networks in Spain  U.S.  and Mexico ,* Signs an agreement with Orange to acquire Orange's digital advertising networks in Spain  in the United States and in Mexico,topStory
ORAN,Orange,20150223,MIDEAST STOCKS-Gulf markets consolidate as oil dips; telco deal boosts Egypt ,* Major Saudi mobile operators tumble as regulator caps charges,normal
ORAN,Orange,20150223,UPDATE 2-MIDEAST STOCKS-Telecoms boost Egypt  drag down Saudi Arabia ,DUBAI  Feb 23 Telecommunications stocks boosted Egypt's equity market on Monday after French operator Orange said it would increase its stake in local firm Mobinil  while two major phone operators in Saudi Arabia fell as the regulator cut the fees they can charge.,normal
ORAN,Orange,20150223,BRIEF-Orange buys out OTMT's participation and rights in ECMS for EUR 209.6 mln ,* Buys out Orascom Telecom Media and Technology (OTMT) participation and rights in the Egyptian Company for Mobile Services Mobinil (ECMS),normal
IX,Orix Corp Ads,20150223,UPDATE 2-Japan's ANA says considering investment in bankrupt Skymark Airlines ,* Monday's deadline for airlines to submit Skymark reform interest   (Adds report of AirAsia applying to be Skymark sponsor),normal
IX,Orix Corp Ads,20150223,ANA confirms offer to help Skymark rehabilitation ,TOKYO  Feb 23 Japan's biggest airline  ANA Holdings Inc  confirmed on Monday that it offered to help bail out bankrupt airline Skymark Airlines Inc.,normal
RIO,Rio Tinto Plc,20150223,Iron ore can't go back to the future to annual pricing: Russell ,LAUNCESTON  Australia  Iron ore should go back to the future and reinstate annual contract pricing  according a former executive of top miner Rio Tinto. He's wrong.,topStory
RBS,Royal Bank Scotland plc (The),20150223,RBS set to appoint ex-regulator Howard Davies chairman -FT ,LONDON  Feb 23 Royal Bank of Scotland is set to appoint Howard Davies as its next chairman  replacing Philip Hampton  the Financial Times reported on Monday  citing three people familiar with the bank's plans.,topStory
RBS,Royal Bank Scotland plc (The),20150223,UPDATE 2-UK raises $769 million through sale of Lloyds shares ,* Sale a step towards full return to private ownership   (Adds details on method of sale  future sale prospects),normal
SNY,Sanofi,20150223,Sanofi under fire in France over new CEO's pay package ,PARIS French pharmaceuticals group Sanofi  came under fire from French government ministers on Monday over a welcome bonus planned for its new CEO.,topStory
SNY,Sanofi,20150223,Sanofi under fire in France over new CEO's pay package ,PARIS  Feb 23 French pharmaceuticals group Sanofi came under fire from French government ministers on Monday over a welcome bonus planned for its new CEO.,normal
SF,Stifel Financial Corporation,20150223,Stifel to buy Sterne Agee for $150 million ,Investment bank Stifel Financial Corp  said it will buy privately held Sterne Agee Group Inc for $150 million to expand its wealth management and fixed-income business.,topStory
SF,Stifel Financial Corporation,20150223,UPDATE 1-Stifel to buy Sterne Agee for $150 mln ,Feb 23 Investment bank Stifel Financial Corp  said it will buy privately held Sterne Agee Group Inc for $150 million to expand its wealth management and fixed-income business.,normal
SF,Stifel Financial Corporation,20150223,Stifel to buy Sterne Agee for $150 mln ,Feb 23 Investment bank Stifel Financial Corp  said it will buy privately held Sterne Agee Group Inc for $150 million to expand its wealth management and fixed-income business.,normal
TGT,Target Corporation,20150223,Target halves order size for free shipping to $25 ,Target Corp halved the size of online orders eligible for free shipping to $25  undercutting Amazon.com Inc and traditional rival Wal-Mart Stores Inc as it focuses on its online business.,topStory
TGT,Target Corporation,20150223,UPDATE 1-Target halves order size for free shipping to $25 ,Feb 23 Target Corp halved the size of online orders eligible for free shipping to $25  undercutting Amazon.com Inc and traditional rival Wal-Mart Stores Inc as it focuses on its online business.,normal
TGT,Target Corporation,20150223,Target cuts free-shipping eligibility to $25 for online orders ,Feb 23 Target Corp cut its eligibility for free-shipping of online orders by half to $25 as the company focuses more on its online division to better compete against Amazon.com Inc and traditional rival Wal-Mart Stores Inc.,normal
THC,Tenet Healthcare Corporation,20150223,Tenet posts fourth-quarter profit versus year-ago loss ,Tenet Healthcare Corp  on Monday posted a fourth-quarter net profit compared with a year-ago loss as more patients visited its hospitals due to an improving economy and the expansion of health coverage to more Americans.,topStory
THC,Tenet Healthcare Corporation,20150223,Tenet profit up as hospital visits rise ,Feb 23 Tenet Healthcare Corp said its fourth-quarter profit rose from a year ago as the number of patients visiting its hospitals increased.,normal
TDG,Transdigm Group Incorporated,20150223,AAR to sell cargo handling business to TransDigm for $725 million ,AAR Corp  said it would sell its cargo handling business  Telair Cargo Group  to TransDigm Group Inc  for $725 million in cash to focus on its aviation services business.,topStory
TDG,Transdigm Group Incorporated,20150223,UPDATE 1-AAR to sell cargo handling business to TransDigm for $725 mln ,Feb 23 AAR Corp said it would sell its cargo handling business  Telair Cargo Group  to TransDigm Group Inc for $725 million in cash to focus on its aviation services business.,normal
TDG,Transdigm Group Incorporated,20150223,AAR to sell cargo handling business to TransDigm for $725 mln ,Feb 23 Aviation services provider AAR Corp  said it would sell its cargo handling business  Telair Cargo Group  to TransDigm Group Inc for $725 million in cash.,normal
UTX,United Technologies Corporation,20150223,Below the radar  growth in Europe starts swelling company profits ,LONDON/PARIS  Feb 23 Signs of a long-awaited recovery in Europe are starting to show through in the profits of leading global companies  even if their bosses are still giving most of the credit to strong demand in Asia or the United States.,topStory
VRX,Valeant Pharmaceuticals International Inc,20150223,CANADA STOCKS-TSX gains on Valeant news; financial stocks weigh ,TORONTO  Feb 23 Canada's main stock index edged higher on Monday as weakness in shares of banks and insurers was offset by a surge in Valeant Pharmaceuticals after the drugmaker announced a major acquisition.,topStory
VRX,Valeant Pharmaceuticals International Inc,20150223,US STOCKS-Nasdaq ends up 9th session; S&P 500  Dow dip with energy ,* Dow down 0.1 pct  S&P down 0.03 pct  Nasdaq up 0.1 pct   (Updates to close),normal
VRX,Valeant Pharmaceuticals International Inc,20150223,CANADA STOCKS-TSX edges higher on Valeant surge; financials weigh ,TORONTO  Feb 23 Canada's main stock index ended slightly higher on Monday  as broad weakness in financial and some energy stocks was offset by a surge in shares of Valeant Pharmaceuticals after the drugmaker announced a major acquisition.,normal
VRX,Valeant Pharmaceuticals International Inc,20150223,Canada's Valeant to buy Salix in $10.1 billion deal ,NEW YORK Canada's Valeant Pharmaceuticals International Inc agreed to acquire gastrointestinal drugmaker Salix Pharmaceuticals Ltd in an all-cash deal valued at about $10.1 billion  the two companies said on Sunday. | Video ,normal
VRX,Valeant Pharmaceuticals International Inc,20150223,Valeant eyes smaller deals to build on Salix  Dendreon purchases ,Valeant Pharmaceuticals International Inc plans to strike smaller deals to build on its acquisitions of Salix Pharmaceuticals Ltd and assets of Dendreon Corp  its chief executive said on Monday.,normal
VRX,Valeant Pharmaceuticals International Inc,20150223,UPDATE 3-Valeant eyes smaller deals to build on Salix  Dendreon purchases ,Feb 23 Valeant Pharmaceuticals International Inc   plans to strike smaller deals to build on its acquisitions of Salix Pharmaceuticals Ltd and assets of Dendreon Corp  its chief executive said on Monday.,normal
VRX,Valeant Pharmaceuticals International Inc,20150223,US STOCKS-Wall St eases after Dow  S&P records as energy declines ,* Indexes off: Dow 0.27 pct  S&P 0.22 pct  Nasdaq 0.06 pct   (Updates to midday),normal
VRX,Valeant Pharmaceuticals International Inc,20150223,US STOCKS-Wall Street slips off Dow  S&P records as oil price drops ,* Indexes off: Dow 0.24 pct  S&P 0.16 pct  Nasdaq 0.16 pct   (Adds data  updates prices),normal
VRX,Valeant Pharmaceuticals International Inc,20150223,CANADA STOCKS-TSX edges lower as energy  bank shares drag ,TORONTO  Feb 23 Canada's main stock index slipped on Monday as shares of energy companies were pulled lower by weakness in oil prices  offsetting a surge in Valeant Pharmaceuticals International Inc after the drugmaker announced a major acquisition.,normal
VRX,Valeant Pharmaceuticals International Inc,20150223,US STOCKS-Wall St dips after Dow  S&P touch records; energy drags ,* Indexes off: Dow 0.39 pct  S&P 0.25 pct  Nasdaq 0.05 pct   (Updates to market open),normal
WMT,Wal-Mart Stores Inc,20150223,Mexico's Walmex says CFO Matute to step down in June ,MEXICO CITY  Feb 23 Wal-Mart de Mexico   Mexico's biggest retailer  on Monday said its Chief Financial Officer Rafael Matute will step down in June after 17 years with the company.,topStory
WMT,Wal-Mart Stores Inc,20150223,UPDATE 1-Target halves order size for free shipping to $25 ,Feb 23 Target Corp halved the size of online orders eligible for free shipping to $25  undercutting Amazon.com Inc and traditional rival Wal-Mart Stores Inc as it focuses on its online business.,normal
DIS,Walt Disney Company (The),20150223,Disney names Chapek chairman of parks and resorts ,LOS ANGELES Walt Disney Co named consumer products chief Bob Chapek the new chairman of its parks and resorts division  the company said in a statement on Monday.,topStory
DIS,Walt Disney Company (The),20150223,UPDATE 1-Disney names Chapek chairman of parks and resorts ,LOS ANGELES  Feb 23 Walt Disney Co named consumer products chief Bob Chapek the new chairman of its parks and resorts division  the company said in a statement on Monday.,normal
DIS,Walt Disney Company (The),20150223,Disney names Chapek chairman of parks and resorts ,LOS ANGELES  Feb 23 Walt Disney Co named Bob Chapek chairman of its parks and resorts division  the company said in a statement on Monday.,normal
DIS,Walt Disney Company (The),20150223,UPDATE 1-'Big Hero 6' wins best animated feature Oscar ,LOS ANGELES  Feb 22 Disney Animation's "Big Hero 6 " a comic book-inspired tale of a teen science genius who befriends a huggable robot and forms a superhero team  won the Academy Award for best animated feature film on Sunday.,normal
HCN,Welltower Inc,20150223,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters Feb 23  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  now click on Related Co Data  now click on Co Events.                  ,topStory
