ALKS,Alkermes plc,20150224,CORRECTED-BRIEF-Alkermes says will not pursue further development of ALKS 7106 ,(Corrects headline to say company will not pursue further development of its drug. The previous headline incorrectly stated that the drug reached main goal) Feb 24 Alkermes Plc :  * Says topline results from a phase 1 clinical study of alks 7106  * Data from the study showed that alks 7106 did not meet the company's pre-specified criteria for advancing into phase 2 clinical trials  * Says will not pursue further development of alks 7106  * Will continue its efforts in developing comp,topStory
RTN,Raytheon Company,20150224,U.S. firm Raytheon agrees to equip UAE armoured vehicles with rockets ,DUBAI  Feb 23 U.S. weapons maker Raytheon Co  agreed with the United Arab Emirates on Monday to equip the oil-rich Gulf country's armoured vehicles with Talon laser-guided rockets  a company official told Reuters.,topStory
RBS,Royal Bank Scotland plc (The),20150224,UPDATE 2-EXCLUSIVE-RBS restructuring chief to shrink investment bank ,* RBS under pressure to focus on lending in Britain   (Adds analyst quote  further details  background),topStory
SNE,Sony Corp Ord,20150224,Fitch: Sony Commits to Focus on Higher Profitability  at Last ,(The following statement was released by the rating agency) HONG KONG/SYDNEY  February 23 (Fitch) Fitch Ratings says Sony Corporation's  (Sony; BB-/Stable) new mid-term strategy to prioritise significant profitability  improvements is credit positive because low margins are the key reason that the  company is rated significantly lower than during its heyday. However  rating  upgrades will depend on management's ability to successfully execute this  strategy and deliver sustained profitability an,topStory
STO,Statoil ASA,20150224,Norway's Aibel wins $1.05 bln Statoil contract for Sverdrup platform ,OSLO  Feb 24 Norwegian engineering firm Aibel has won a contract worth 8 billion crowns ($1.05 billion) from Statoil to build a drilling platform for the Johan Sverdrup field  one of the biggest deals for the giant North Sea field.,topStory
SYY,Sysco Corporation,20150224,Sysco judge is Obama appointee with slim antitrust experience ,The federal district court judge assigned to hear the U.S. government's antitrust fight with Sysco Corp over its proposed merger with US Foods Inc is new to the bench  but has a long record of handling high-profile litigation.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150224,BRIEF-TSMC orders equipment for T$5.73 bln from Tokyo Electron  ASML  Daifuku ,* Says orders machinery equipment from Tokyo Electron Ltd   ASML Hong Kong Ltd  Daifuku Co Ltd  Taiwan Daifuku Co Ltd for a total of T$5.73 billion ($181.36 million),topStory
TRGP,Targa Resources Inc,20150224,Japan's Astomos Energy to buy U.S. LPG from Targa Resources ,TOKYO  Feb 24 Japan's Astomos Energy Corp said on Tuesday it had signed a three-year contract to buy U.S. shale-derived liquefied petroleum gas (LPG) from Texas-based Targa Resources Corp.,topStory
VIV,Telefonica Brasil SA,20150224,UPDATE 1-Telefonica Brasil eyes cost cutting as earnings stagnate ,SAO PAULO  Feb 24 Telefonica Brasil SA  is focused on controlling costs as revenue stagnates  executives told analysts on Tuesday  after posting better-than-expected profit despite slipping sales.,topStory
VIV,Telefonica Brasil SA,20150224,Telefonica Brasil 4th qtr profit beats estimates ,SAO PAULO  Feb 24 Telefonica Brasil SA  posted a 2 percent rise in fourth-quarter profit from a year earlier  according to a securities filing on Tuesday.,normal
TOL,Toll Brothers Inc,20150224,Pickup in U.S. home investment pushes broader housing rebound ,CHICAGO Results from Home Depot Inc  and Toll Brothers Inc  bode well for a continued recovery in the housing market this year  thanks largely to an improving jobs market and low gasoline prices  industry officials and analysts said.,topStory
TOL,Toll Brothers Inc,20150224,Pickup in U.S. home investment pushes broader housing rebound ,CHICAGO  Feb 24 Results from Home Depot Inc  and Toll Brothers Inc bode well for a continued recovery in the housing market this year  thanks largely to an improving jobs market and low gasoline prices  industry officials and analysts said.,normal
TOL,Toll Brothers Inc,20150224,US STOCKS-Dow  S&P finish at records after Yellen comments ,* Fed to consider hikes on "meeting-by-meeting" basis - Yellen,normal
TOL,Toll Brothers Inc,20150224,US STOCKS-Dow  S&P edge up  hit intraday records after Yellen comments ,* Fed to consider hikes on "meeting-by-meeting" basis - Yellen,normal
TOL,Toll Brothers Inc,20150224,US STOCKS-Dow  S&P edge up to record highs after Yellen comments ,* Fed to consider hikes on "meeting-by-meeting" basis - Yellen,normal
TOL,Toll Brothers Inc,20150224,US STOCKS-Dow  S&P edge up to record highs after Yellen comments ,* Fed to consider hikes on "meeting-by-meeting" basis - Yellen,normal
TOL,Toll Brothers Inc,20150224,US STOCKS-Wall St little changed with Yellen testimony on deck ,* Yellen's two-day testimony before Congress to start at 10 a.m.,normal
TOL,Toll Brothers Inc,20150224,US STOCKS-Wall St to open flat ahead of Yellen testimony ,* Yellen's two-day testimony before Congress to start at 10 a.m.,normal
TOL,Toll Brothers Inc,20150224,Toll Brothers profit beats estimates on higher home sales ,Toll Brothers Inc   the largest U.S. luxury homebuilder  reported a higher-than-expected quarterly profit and raised the low end of its full-year home delivery forecast as housing demand strengthened.,normal
TOL,Toll Brothers Inc,20150224,UPDATE 1-Toll Brothers profit beats estimates on higher home sales ,Feb 24 Toll Brothers Inc  the largest U.S. luxury homebuilder  reported a higher-than-expected quarterly profit and raised the low end of its full-year home delivery forecast as housing demand strengthened.,normal
TM,Toyota Motor Corp Ltd Ord,20150224,Lexus  Mazda get highest marks in Consumer Reports auto brand study ,DETROIT Toyota Motor Corp's  Lexus brand finished on top of the Consumer Reports annual "brand report card" for the third straight year  the influential U.S. magazine said on Tuesday.,topStory
TM,Toyota Motor Corp Ltd Ord,20150224,UPDATE 1-Lexus  Mazda get highest marks in Consumer Reports auto brand study ,DETROIT  Feb 24 Toyota Motor Corp's  Lexus brand finished on top of the Consumer Reports annual "brand report card" for the third straight year  the influential U.S. magazine said on Tuesday.,normal
TM,Toyota Motor Corp Ltd Ord,20150224,Lexus  Mazda get highest marks in Consumer Reports auto brand study ,DETROIT  Feb 24 Toyota Motor Corp's  Lexus brand finished on top of the Consumer Reports annual "brand report card" for the third straight year  the influential U.S. magazine said on Tuesday.,normal
TRP,TransCanada Corporation,20150224,Obama vetoes Keystone XL pipeline  leaving it in limbo ,WASHINGTON President Barack Obama on Tuesday  as promised  swiftly vetoed a Republican bill approving the Keystone XL oil pipeline  leaving the long-debated project in limbo for another indefinite period.,topStory
TKC,Turkcell Iletisim Hizmetleri AS,20150224,CORRECTED-UPDATE 2-Turkcell  VimpelCom  MTS units win 3G mobile licences in Ukraine ,ISTANBUL  Feb 24 Businesses run by Turkish mobile operator Turkcell and Russia's VimpelCom  and MTS have been awarded 3G mobile licences in Ukraine  the companies said on Tuesday.,topStory
TKC,Turkcell Iletisim Hizmetleri AS,20150224,Turkcell unit wins 3G mobile licence in Ukraine ,ISTANBUL  Feb 24 Astelit  a subsidiary of Turkish mobile operator Turkcell  won a tender for a 3G UMTS mobile licence in Ukraine with a 3.35 billion Ukraine hryvnia ($118.4 million) bid  Turkcell said in a statement to the Istanbul stock exchange.,normal
TRQ,Turquoise Hill Resources Ltd,20150224,Turquoise Hill to sell remaining stake in Mongolia's SouthGobi ,TORONTO  Feb 24 Turquoise Hill Resources Ltd  on Tuesday agreed to sell the remainder of its stake in SouthGobi Resources  in an attempt to finally sever ties with the Mongolian coal miner that was once worth over C$3 billion ($2.4 billion).,topStory
UMC,United Microelectronics Corporation,20150224,BRIEF-Taiwan's UMC orders machinery and equipment for T$604.2 mln ,* Says orders machinery and equipment from Tokyo Electron Ltd for T$604.2 million ($19.09 million),topStory
UTX,United Technologies Corporation,20150224,BRIEF-WSE suspends trading of United's shares to March 12 ,* The Warsaw Stock Exchange (WSE) suspends trading of the company's shares to March 12 from Feb. 27 due to the share consolidation process   Source text for Eikon:  Further company coverage:    (Gdynia Newsroom),topStory
VRX,Valeant Pharmaceuticals International Inc,20150224,Valeant's jumbo bond to quench thirst for large liquid issues ,NEW YORK  Feb 24 (IFR) - High-yield investors clamoring for chunky-sized trades with ratings closer to investment grade will get another stab at picking up paper when pharma giant Valeant launches a US$9.6bn bond to finance its acquisition of Salix Pharmaceuticals.,topStory
V,Visa Inc,20150224,Visa Europe plans new security that could pave way for Apple Pay ,FRANKFURT Visa Europe has announced a new  more secure way for consumers to pay retailers via smartphones  a move that could set the stage for Apple's  Apple Pay and rival mobile payment services to be introduced into Europe in the coming months.,topStory
V,Visa Inc,20150224,UPDATE 2-Visa Europe plans new security that could pave way for Apple Pay ,* Plans money transfer among Visa users via social networks   (adds details on social media money transfer service; Apple Pay),normal
