ACTG,Acacia Research Corporation,20150303,Law firm disqualified in fee dispute against Acacia Corp ,A California appeals court has disqualified the law firm of AlvaradoSmith from representing a client in a fee dispute with patent-holding company Acacia Research Corp because the firm had previously acted for another law firm in a similar fee case.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150303,BRIEF-TSMC orders machinery equipment worth T$2.0 billion ,March 3 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TGT,Target Corporation,20150303,UPDATE 2-Target to cut thousands of jobs as seeks to cut costs by $2 bln ,March 3 U.S. retailer Target Corp  which has been battling back after a massive data breach and sluggish performance  on Tuesday said it will eliminate several thousand jobs  mainly from headquarters locations in the United States and India  as it aims to cut $2 billion in costs over two years.,topStory
TGT,Target Corporation,20150303,Target to cut thousands of jobs  eyes $2 billion in cost cuts ,U.S. retailer Target Corp on Tuesday said it planned to cut several thousand jobs  mainly from headquarters locations  as part of a restructuring that will cut $2 billion in costs over two years.,normal
TGT,Target Corporation,20150303,Target says to cut several thousand positions at headquarters ,Target Corp  said it would cut several thousand positions over the next two years  mainly from headquarters locations  as part of a restructuring aimed at cutting $2 billion in costs.,normal
TGT,Target Corporation,20150303,Target says to cut several thousand positions at headquarters ,March 3 Target Corp said it would cut several thousand positions over the next two years  mainly from headquarters locations  as part of a restructuring aimed at cutting $2 billion in costs.   (Reporting by Nathan Layne; Editing by Chris Reese),normal
TGT,Target Corporation,20150303,Target forecasts fiscal-year profit growth  $2 billion for share buybacks ,March 3 U.S. retailer Target Corp on Tuesday forecast a rise in profit and sales this fiscal year and said it would have the capacity to buy back $2 billion worth of its shares this year.,normal
TGT,Target Corporation,20150303,Target to revamp groceries to focus on younger shoppers - WSJ ,March 2 Target Corp has zeroed in on seven grocery categories  including granola  yogurt and craft beer  to attract younger shoppers  urban dwellers  and Hispanics  the Wall Street Journal reported  citing people familiar with the matter.,normal
BX,The Blackstone Group LP,20150303,BRIEF-Blackstone  CVC raise 653 mln stg through Merlin share sale ,* Entities owned by certain funds advised by affiliates of CVC Capital Partners SICAV-FIS S.A and certain funds managed or advised by affiliates of The Blackstone Group L.P. have sold an aggregate of 156 541 347 ordinary shares in the capital of Merlin,topStory
TM,Toyota Motor Corp Ltd Ord,20150303,BRIEF-TOYOTA MOTOR exec says expects us industry annual sales rate in February of about 16.2 million vehicles ,DETROIT  March 3 Toyota Motor Corp :  * Exec says expects U.S. industry annual sales rate in February of about 16.2,topStory
UN,Unilever NV,20150303,UK politician Rifkind to step down from Unilever board ,LONDON  March 3 Malcolm Rifkind  the British politician embroiled in a cash-for-access scandal  will not stand for re-election to the board of Unilever    the company said on Tuesday.,topStory
X,United States Steel Corporation,20150303,UPDATE 1-US firm Esmark offers to take over at Serbia's sole steel mill ,* Says management team may stay 8 months under Serbian ownership   (Adds further details  quotes),topStory
VRX,Valeant Pharmaceuticals International Inc,20150303,CANADA STOCKS-TSX falls as Scotiabank  Valeant lead declines ,TORONTO  March 3 Canada's main stock exchange fell shortly after the open on Tuesday in a broad decline led in part by the Bank of Nova Scotia  which reported a lower-than-expected quarterly profit  and a sell off in Valeant Pharmaceuticals International Inc shares.,topStory
