ACHN,Achillion Pharmaceuticals Inc,20150520,CORRECTED-UPDATE 1-Achillion partners with J&J to develop hep C drugs (May 19) ,May 19 Achillion Pharmaceuticals Inc  said it will collaborate with Johnson & Johnson to develop and market its hepatitis C drugs including an oral regimen that could work on all genotypes and shorten treatment time.,topStory
NVO,Novo Nordisk A/S,20150520,Novo Nordisk  Baxter clash over hemophilia drug patent ,COPENHAGEN Novo Nordisk on Wednesday rejected claims by Baxter International that its drug used substances developed by the U.S. rival  following the launch this week of a U.S. investigation into possible patent infringement.,normal
NVO,Novo Nordisk A/S,20150520,UPDATE 1-Novo Nordisk  Baxter clash over haemophilia drug patent ,COPENHAGEN  May 20 Novo Nordisk on Wednesday rejected claims by Baxter International that its drug used substances developed by the U.S. rival  following the launch this week of a U.S. investigation into possible patent infringement.,normal
NVO,Novo Nordisk A/S,20150520,Novo Nordisk rejects Baxter patent claim over Novoeight ,COPENHAGEN  May 20 Novo Nordisk said on Wednesday it rejected claims by U.S. rival Baxter International that it had infringed patents on drugs to treat the bleeding disorder haemophilia  the Danish company said on Wednesday.,normal
NVO,Novo Nordisk A/S,20150520,BRIEF-Novo Nordisk sells auto-immune licence to J&J unit ,* Says Janssen Biotech Inc will acquire licence to further develop and commercialise a clinical programme focused on therapy within auto-immune diseases,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150520,Petrobras may need to re-publish Q1 results due to accounting issue- regulator ,SAO PAULO  May 20 Brazil's state-run oil company Petroleo Brasileiro SA could be forced to re-publish first-quarter results after it included a contract completed after the reporting period  the president of Brazil's markets regulator said on Wednesday.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150520,China ICBC leasing unit signs $3 bln equipment pact with Petrobras ,BEIJING Industrial and Commercial Bank of China Ltd  the world's biggest bank by assets  said on Wednesday its leasing unit has signed a $3 billion marine equipment agreement with Brazil's Petrobras  according to a statement from the bank.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150520,China ICBC leasing unit signs $3 bln equipment pact with Petrobras ,BEIJING  May 20 Industrial and Commercial Bank of China Ltd   the world's biggest bank by assets  said on Wednesday its leasing unit has signed a $3 billion marine equipment agreement with Brazil's Petrobras  according to a statement from the bank.,normal
RIO,Rio Tinto Plc,20150520,Australia shares hit 3-1/2 months lows as banks  miners slide ,* 94 shares up  90 shares down  17 unchanged   (Adds analysis  quotes  stocks on the move),topStory
RBS,Royal Bank Scotland plc (The),20150520,WRAPUP 7-Global banks admit guilt in forex probe  fined nearly $6 bln ,NEW YORK/LONDON  May 20 Four major banks pleaded guilty on Wednesday to trying to manipulate foreign exchange rates and  with two others  were fined nearly $6 billion in another settlement in a global probe into the $5 trillion-a-day market.,topStory
RBS,Royal Bank Scotland plc (The),20150520,RBS says forex fines to influence future pay decisions ,LONDON Royal Bank of Scotland said it would take into account the $669 million paid in fines to U.S. authorities following misconduct in its foreign exchange business when making future pay decisions for its staff.,normal
RBS,Royal Bank Scotland plc (The),20150520,UPDATE 1-RBS says forex fines to influence future pay decisions ,* Shares up 2 percent   (Adds share comments from CEO  share price),normal
CRM,Salesforcecom Inc,20150520,Salesforce reports first profit in seven quarters  shares jump ,Salesforce.com Inc   the subject of takeover speculation for the past few weeks  raised its revenue forecast for the full year  after the cloud software company reported a profit for the first time in seven quarters. | Video ,topStory
CRM,Salesforcecom Inc,20150520,UPDATE 2-Salesforce reports first profit in seven quarters  shares jump ,* Shares rise 7.3 pct after market   (Adds conference call details  analyst comment; updates shares),normal
CRM,Salesforcecom Inc,20150520,Salesforce revenue jumps 23 pct ,May 20Cloud software company Salesforce.com Inc   the subject of takeover speculation for the past few weeks  reported a 23 percent jump in quarterly revenue  helped by an increase in demand for its web-based sales and marketing software.,normal
CRM,Salesforcecom Inc,20150520,SAP chief sees no takers for software rival Salesforce ,MANNHEIM  Germany German software company SAP's chief executive once again ruled out any move to acquire Salesforce.com  then went further by saying that its richly valued rival is unlikely to be acquired by any other player in the industry.,normal
CRM,Salesforcecom Inc,20150520,UPDATE 1-SAP chief sees no takers for software rival Salesforce ,MANNHEIM  Germany  May 20 German software company SAP's chief executive once again ruled out any move to acquire Salesforce.com  then went further by saying that its richly valued rival is unlikely to be acquired by any other player in the industry.,normal
CRM,Salesforcecom Inc,20150520,SAP CEO says he does not believe Salesforce will be sold ,MANNHEIM  May 20 SAP Chief Executive Bill McDermott once again ruled out that his company has any interest in buying rival Salesforce.com and went further on Wednesday by saying that Salesforce is unlikely to be acquired by any other player in the industry.,normal
SAP,SAP SE,20150520,SAP chief sees no takers for software rival Salesforce ,MANNHEIM  Germany German software company SAP's chief executive once again ruled out any move to acquire Salesforce.com  then went further by saying that its richly valued rival is unlikely to be acquired by any other player in the industry.,topStory
SAP,SAP SE,20150520,UPDATE 1-SAP chief sees no takers for software rival Salesforce ,MANNHEIM  Germany  May 20 German software company SAP's chief executive once again ruled out any move to acquire Salesforce.com  then went further by saying that its richly valued rival is unlikely to be acquired by any other player in the industry.,normal
LUV,Southwest Airlines Company,20150520,US STOCKS-U.S. stocks tread water as Fed minutes loom ,* Indexes down: Dow 0.09 pct  S&P and Nasdaq 0.07 pct   (Updates to early afternoon),topStory
LUV,Southwest Airlines Company,20150520,US STOCKS-Wall St muted before Fed minutes ,* Indexes: Dow up 0.03 pct  S&P down 0.01 pct  Nasdaq down 0.01 pct   (Adds details  changes comment  updates prices),normal
LUV,Southwest Airlines Company,20150520,US STOCKS-Wall St lower at open; Fed minutes awaited ,* Indexes down: Dow up 0.1 pcts  S&P 0.2 pct  Nasdaq 0.3 pct   (Updates to open),normal
TGT,Target Corporation,20150520,Target profit tops estimates on healthy sales growth ,Target Corp  on Wednesday reported a larger-than-expected rise in quarterly profit  citing robust online sales and strong demand for products at the center of its growth plan.,topStory
TGT,Target Corporation,20150520,UPDATE 3-Target profit tops estimates on healthy sales growth ,May 20 Target Corp on Wednesday reported a larger-than-expected rise in quarterly profit  citing robust online sales and strong demand for products at the center of its growth plan.,normal
TGT,Target Corporation,20150520,REUTERS BUSINESS NEWS SCHEDULE AT 1830 GMT/2:30 PM ET ,WASHINGTON - Many officials at the U.S. Federal Reserve's April policy meeting said it would be premature to raise interest rates in June and that a bump in inflation was being offset by a weaker labor market and softer data  according to minutes from the meeting. (USA-FED/MINUTES (UPDATE 1)  moving shortly  490 words),normal
TGT,Target Corporation,20150520,Target CFO: to keep buying back shares  may need to up authorization ,Target Corp  will likely continue to buy back its own shares in the current quarter and beyond  and will review with the board the need to increase its authorization for repurchasing shares  its chief financial officer said.,normal
TGT,Target Corporation,20150520,Target CFO: to keep buying back shares  may need to up authorization ,May 20 Target Corp will likely continue to buy back its own shares in the current quarter and beyond  and will review with the board the need to increase its authorization for repurchasing shares  its chief financial officer said.,normal
TGT,Target Corporation,20150520,US STOCKS-Wall St set to open little changed as investors await Fed minutes ,* Futures: Dow up 8 pts  S&P down 0.25 pts  Nasdaq up 2.75 pts   (Adds details  comment  updates prices),normal
TGT,Target Corporation,20150520,Target Q1 profit beats estimates on healthy sales growth ,May 20 Target Corp on Wednesday reported a larger-than-expected increase in first-quarter profit on healthy revenue growth and raised the low end of its full-year earnings forecast range.,normal
TI,Telecom Italia SPA,20150520,Deals of the day- Mergers and acquisitions ,May 20 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Wednesday:,topStory
TI,Telecom Italia SPA,20150520,UPDATE 2-Telecom Italia welcomes foreign investors as Vivendi entry looms ,* Telecom looks at Sky  Mediaset  Netlix for content   (Adds vote outcome on new board election rules  CEO quote on Vivendi),normal
TI,Telecom Italia SPA,20150520,BRIEF-Telecom Italia shareholders approve new board election rules ,* shareholder meeting approves changes to board election rules with 98.3 percent majority  Source text for Eikon:  Further company coverage:    (Reporting By Milan Newsroom),normal
TI,Telecom Italia SPA,20150520,Telecom Italia remuneration report approved with two-third majority ,ROZZANO  Italy  May 20 Telecom Italia  shareholders approved on Wednesday the group's remuneration report with a majority of 65.9 percent  the notary of the meeting said.,normal
TI,Telecom Italia SPA,20150520,Telecom Italia interested in broadband cooperation with Enel ,ROZZANO  Italy May 20 Phone group Telecom Italia  is very interested in cooperating with Enel  or other smaller Italian utilities in rolling out superfast fiber networks across Italy  CEO Marco Patuano said on Wednesday.,normal
TI,Telecom Italia SPA,20150520,BRIEF-Telecom Italia studying mobile-fixed convergence in Brasil ,May 20 Telecom Italia CEO Marco Patuano says in answer to question on Brazilian telecoms operator Oi :,normal
TI,Telecom Italia SPA,20150520,BRIEF-Telecom Italia to lift investment in fiber  cut real estate costs ,May 20 Telecom Italia CEO Marco Patuano tells a shareholder meeting:,normal
TI,Telecom Italia SPA,20150520,Telecom Italia welcomes foreign investors as Vivendi arrival looms ,ROZZANO  Italy  May 20 Telecom Italia's  chairman said he welcomed foreign investors in the Italian phone group as shareholders met to approve changes to board appointment rules.,normal
TI,Telecom Italia SPA,20150520,BRIEF-French state-owned group CDC holds 0.6 pct of Telecom Italia ,* France's Caisse des Depots et Consignations among Telecom Italia investors at shareholder meeting with 0.6085 percent stake  according to company data    Further company coverage:    (Reporting by Milan newsroom),normal
TI,Telecom Italia SPA,20150520,BRIEF-Telecom Italia will be open platform for Sky  Mediaset  Netflix ,May 20 Telecom Italia CEO Marco Patuano tells shareholder meeting:,normal
BX,The Blackstone Group LP,20150520,Blackstone sells 25 percent of Eircom to Anchorage Capital: source ,Blackstone Group LP has sold a 25 percent stake in Irish telecoms firm Eircom to hedge fund Anchorage Capital Group  a source familiar with the matter said on Wednesday  a day after Eircom rejected a 3.3 billion euro ($3.66 billion) buyout offer.,topStory
BX,The Blackstone Group LP,20150520,UPDATE 3-Blackstone sells 25 pct of Eircom to Anchorage Capital-source ,May 20 Blackstone Group LP has sold a 25 percent stake in Irish telecoms firm Eircom to hedge fund Anchorage Capital Group  a source familiar with the matter said on Wednesday  a day after Eircom rejected a 3.3 billion euro ($3.66 billion) buyout offer.,normal
BX,The Blackstone Group LP,20150520,Blackstone to sell 25 pct in Irish telecoms firm Eircom-source ,May 20 Blackstone Group LP has agreed to sell a 25 percent stake in Irish telecoms firm Eircom to hedge fund Anchorage Capital Group  a source familiar with the matter told Reuters.,normal
BX,The Blackstone Group LP,20150520,BRIEF-Blackstone Group to sell 25 pct stake in Eircom to Anchorage Capital- Source ,* Blackstone Group To Sell 25 Pct Stake In Irish Telecoms Firm Eircom To Hedge Fund Anchorage Capital Group - Source,normal
UTX,United Technologies Corporation,20150520,UTC in talks with potential buyers for its Sikorsky business: sources ,United Technologies Corp  is in talks with potential buyers for its Sikorsky Aircraft business  according to four people familiar with the situation.,topStory
UTX,United Technologies Corporation,20150520,UTC in talks with potential buyers for its Sikorsky business - sources ,May 19 United Technologies Corp is in talks with potential buyers for its Sikorsky Aircraft business  according to four people familiar with the situation.,normal
VRX,Valeant Pharmaceuticals International Inc,20150520,Valeant in talks to buy Egyptian drugmaker Amoun Pharma: Bloomberg ,Valeant Pharmaceuticals International Inc   is in talks to buy Egyptian drugmaker Amoun Pharmaceutical Co to expand its veterinary and human medicines portfolio  Bloomberg reported  citing people familiar with the matter.,topStory
VRX,Valeant Pharmaceuticals International Inc,20150520,Valeant in talks to buy Egyptian drugmaker Amoun Pharma-Bloomberg ,May 20 Valeant Pharmaceuticals International Inc   is in talks to buy Egyptian drugmaker Amoun Pharmaceutical Co to expand its veterinary and human medicines portfolio  Bloomberg reported  citing people familiar with the matter.,normal
V,Visa Inc,20150520,UPDATE 1-Soccer-FIFA sponsors Visa express "grave concern" over Qatar workers ,BERNE  May 20 FIFA sponsors Visa have expressed "grave concern" at the conditions of migrant workers in 2022 World Cup hosts Qatar.,topStory
V,Visa Inc,20150520,RPT-Soccer-FIFA sponsors Visa express "grave concern" over Qatar workers ,BERNE  May 20 FIFA sponsors Visa have expressed "grave concern" at the conditions of migrant workers in 2022 World Cup hosts Qatar.,normal
WMT,Wal-Mart Stores Inc,20150520,RPT-Wal-Mart eyes Amazon in potentially costly e-commerce battle ,May 19 Wal-Mart Stores Inc said that it would take a different approach to online growth than Amazon.com Inc by using its large network of stores as distribution points.,topStory
WMT,Wal-Mart Stores Inc,20150520,Wal-Mart eyes Amazon in potentially costly e-commerce battle ,Wal-Mart Stores Inc said that it would take a different approach to online growth than Amazon.com Inc by using its large network of stores as distribution points.,normal
WHR,Whirlpool Corporation,20150520,Italy calls Whirlpool's redundancy plans 'disgraceful' ,ROME A plan by the world's largest home-appliance maker Whirlpool to cut almost 2 000 jobs in Italy is "disgraceful"  the Italian industry minister said on Wednesday  after the white goods group increased a redundancy target.,topStory
WHR,Whirlpool Corporation,20150520,Italy calls Whirlpool's redundancy plans "disgraceful" ,ROME  May 20 A plan by the world's largest home-appliance maker Whirlpool to cut almost 2 000 jobs in Italy is "disgraceful"  the Italian industry minister said on Wednesday  after the white goods group increased a redundancy target.,normal
