ATVI,Activision Blizzard Inc,20141119,Activision settles investor suit for record $275 mln ,Nov 19 Videogame maker Activision Blizzard reached a record $275 million settlement over a lawsuit by a shareholder who opposed the company's 2013 deal to acquire its stock that was held by Vivendi SA.,topStory
TGT,Target Corporation,20141119,UPDATE 2-Target U.S. sales beat expectations  loss-making Canada unit faces review ,Nov 19 Target Corp on Wednesday reported its first increase in U.S. same-store sales in four quarters and a quarterly profit above expectations  but said it would review the future of its loss-making Canadian business after the holiday season.,normal
TGT,Target Corporation,20141119,US STOCKS-Wall St dips after record with eyes on Fed minutes ,* Oplink jumps  to be bought by Koch Industries' subsidiary,normal
TGT,Target Corporation,20141119,BRIEF-Target says Canadian sales in Q3 softer than expected ,* Says third-quarter Canadian sales were softer than expected going into the quarter  profit was as expected,normal
TI,Telecom Italia SPA,20141119,UPDATE 2-Telecom Italia interested in buying control of Metroweb-sources ,MILAN  Nov 19 Telecom Italia is interested in buying a controlling stake in Italian fibre optic provider Metroweb to expand its investments in faster networks  two sources close to the matter said on Wednesday.,topStory
TI,Telecom Italia SPA,20141119,Telecom Italia has sent expression of interest for Metroweb stake-sources ,MILAN  Nov 19 Telecom Italia has sent an expression of interest for a controlling stake in Italian fibre optic provider Metroweb to infrastructure fund F2i  two sources close to the matter said on Wednesday.,normal
BX,The Blackstone Group LP,20141119,Exclusive: Blackstone chases Buffett with 'core' private equity ,NEW YORK Blackstone Group LP has reached out to its biggest fund investors about investing in a new investment vehicle with a longer investment horizon than the typical 10-year private equity fund  according to people familiar with the matter.,topStory
TRP,TransCanada Corporation,20141119,UPDATE 2-TransCanada sees crude-by-rail investment even if Keystone built ,VANCOUVER  Nov 19 TransCanada Corp is in talks to get into the crude-by-rail business and will probably do so even if its long-delayed Keystone XL pipeline gets its U.S. permits next year  its chief executive said on Wednesday.,topStory
TRP,TransCanada Corporation,20141119,TransCanada plans to double dividend growth rate through 2017 ,Nov 19 TransCanada Corp said on Wednesday that it planned to double its dividend growth rate through 2017 as Canada's second largest pipeline operator brings about C$13 billion ($11.47 billion) worth of small and medium-size projects on line over the next five years.,normal
TRP,TransCanada Corporation,20141119,UPDATE 6-Keystone XL pipeline bill dies in U.S. Senate ,(Adds reaction from Canada  TransCanada  McConnell  Landrieu and Hoeven),normal
RIG,Transocean Ltd,20141119,Parus' Chatin tips long Tesla Motors  short Transocean ,LONDON  Nov 19 Marc Chatin  partner at hedge fund Parus Finance  on Wednesday tipped Tesla Motors as a top buy and oil well drilling firm Transocean as a favoured short.,topStory
USB,US Bancorp,20141119,U.S. Bank must face restitution claims in Peregrine lawsuit: judge ,U.S. Bank  sued by the government last year for allegedly aiding a massive fraud at brokerage Peregrine Financial  must face claims for nearly $36 million in restitution to Peregrine's victims  a federal judge in Iowa ruled.,topStory
USB,US Bancorp,20141119,U.S. Bank must face restitution claims in Peregrine lawsuit -judge ,Nov 19 U.S. Bank  sued by the government last year for allegedly aiding a massive fraud at brokerage Peregrine Financial  must face claims for nearly $36 million in restitution to Peregrine's victims  a federal judge in Iowa ruled.,normal
WMT,Wal-Mart Stores Inc,20141119,Attorney says actor Tracy Morgan struggling after crash: report ,An attorney for comedian Tracy Morgan said on Tuesday he was struggling to return "to the way he was" after suffering a serious brain injury in a New Jersey highway crash  a newspaper reported.,topStory
WFC,Wells Fargo & Company,20141119,MOVES- Nomura  Aon  Wells Fargo  Aviva Investors ,(Adds Lazard Asset Management  Greenhill & Co  Aviva Investors  Evercore Partners Inc  Ernst & Young),topStory
WFC,Wells Fargo & Company,20141119,MOVES-Wells Fargo appoints former Fed board member as director ,Nov 19 Wells Fargo & Co appointed Elizabeth "Betsy" Duke  a former board member of the Federal Reserve  as director  effective Jan. 1.,normal
WFC,Wells Fargo & Company,20141119,Wells Fargo unit to launch Europe infrastructure fund  target $1 billion ,LONDON A unit of Wells Fargo  is launching a European infrastructure debt fund with a target size of 750 million euros ($940 million) as pension funds look to longer term investments  the company said on Wednesday.,normal
WFC,Wells Fargo & Company,20141119,Wells Fargo unit to launch Europe infrastructure fund  target $1 bln ,LONDON  Nov 19 A unit of Wells Fargo is launching a European infrastructure debt fund with a target size of 750 million euros ($940 million) as pension funds look to longer term investments  the company said on Wednesday.,normal
VISI,Volt Information Sciences Inc,20141119,Hedge fund Livermore calls for board change at Volt Information ,Nov 19 Hedge fund Livermore Partners is pushing for change at U.S. staffing services provider Volt Information Sciences Inc   setting the stage for a potential proxy battle if the company does not act on its demands.,topStory
