ALXN,Alexion Pharmaceuticals Inc,20140903,UK watchdog backs Alexion's "very expensive" drug ,LONDON  Sept 4 Britain's healthcare cost watchdog has recommended a drug to treat a rare blood disease from U.S. biotech group Alexion Pharmaceuticals  even though it said the medicine was "very expensive".,topStory
TEVA,Teva Pharmaceutical Industries Limited,20140903,UK court backs Teva rival to AstraZeneca lung drug ,TEL AVIV Teva Pharmaceutical Industries said Britain's High Court had handed down a positive judgment regarding its case against a patent for AstraZeneca's Symbicort lung drug.,topStory
TEVA,Teva Pharmaceutical Industries Limited,20140903,UPDATE 1-UK court backs Teva rival to AstraZeneca lung drug ,TEL AVIV  Sept 3 Teva Pharmaceutical Industries  said Britain's High Court had handed down a positive judgment regarding its case against a patent for AstraZeneca's  Symbicort lung drug.,normal
TEVA,Teva Pharmaceutical Industries Limited,20140903,UK court backs Teva rival to AstraZeneca lung drug ,TEL AVIV  Sept 3 Teva Pharmaceutical Industries  said Britain's High Court had handed down a positive judgment regarding its case against a patent for AstraZeneca's  Symbicort lung drug.,normal
TOL,Toll Brothers Inc,20140903,Toll loses steam as climbing home prices deter rich Americans ,Sept 3 Toll Brothers Inc is finally feeling the pinch as a steep rise in home prices discourages even the most affluent Americans from buying its luxury homes.,topStory
TOL,Toll Brothers Inc,20140903,Toll Brothers profit doubles on higher home prices ,Toll Brothers Inc's quarterly income more than doubled as the largest U.S. luxury homebuilder sold more homes at higher prices. | Video ,normal
TOL,Toll Brothers Inc,20140903,US STOCKS-Wall St to open higher on Ukraine  Russia truce hopes ,* Futures up: Dow 67 pts  S&P 6.5 pts  Nasdaq 12.25 pts   (Updates prices  adds Russian indexes),normal
TOL,Toll Brothers Inc,20140903,US STOCKS-Futures higher on Ukraine  Russia optimism ,NEW YORK  Sept 3 U.S. stock index futures rose on Wednesday  on hopes a resolution would be reached between Ukraine and Russia and ahead of the latest batch of data which could provide insight on the health of the economy.,normal
TOL,Toll Brothers Inc,20140903,UPDATE 1-Toll Brothers profit doubles on higher home prices ,Sept 3 Toll Brothers Inc's quarterly income more than doubled as the largest U.S. luxury homebuilder sold more homes at higher prices.,normal
TOL,Toll Brothers Inc,20140903,Toll Brothers profit doubles on higher selling prices ,Sept 3 Toll Brothers Inc's quarterly income more than doubled as the largest U.S. luxury homebuilder sold more homes at higher prices.,normal
TM,Toyota Motor Corp Ltd Ord,20140903,TABLE- Top-20 selling vehicles in U.S. in August ,Sept 3 The following are the 20 top-selling vehicles in the United States in August as reported by the automakers and ranked by total units.  Top 20 selling vehicles in U.S. in August  RANK  VEHICLE                      AUGUST   LAST YR   PCT CHNG  1     Ford F-Series P/U            68 109    71 115       -4.2  2     Honda Accord                 51 075    38 559      +32.5  3     Chevy Silverado-C/K P/U      49 201    43 603      +12.8  4     Toyota Camry                 44 043    44,topStory
TM,Toyota Motor Corp Ltd Ord,20140903,Toyota U.S. August auto sales up 6.3 percent  beating expectations ,DETROIT Toyota Motor Corp  said on Wednesday its U.S. August auto sales rose 6.3 percent to 246 100 vehicles. This beat analysts' expectations of sales of about 226 000 vehicles.,normal
TM,Toyota Motor Corp Ltd Ord,20140903,Toyota US August auto sales up 6.3 percent  beating expectations ,DETROIT  Sept 3 Toyota Motor Corp   said on Wednesday its U.S. August auto sales rose 6.3 percent to 246 100 vehicles. This beat analysts' expectations of sales of about 226 000 vehicles.,normal
TM,Toyota Motor Corp Ltd Ord,20140903,New Issue- Toyota Motor prices 1.0 bln euro 2021 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 62.9bp,normal
TM,Toyota Motor Corp Ltd Ord,20140903,China launches criminal case against former FAW auto executive ,SHANGHAI  Sept 3 Chinese prosecutors have launched a criminal bribery investigation into a former senior executive at FAW Group Corp  a Chinese partner of Volkswagen AG  and Toyota Motor Corp  China's procurator said on Wednesday.,normal
TM,Toyota Motor Corp Ltd Ord,20140903,Australia new vehicle sales slip in August-VFACTS ,SYDNEY  Sept 3 Sales of new vehicles in Australia fell in August from July but were still on track to top 1.1 million for the year as a whole  industry data showed on Wednesday.     The Australian Federal Chamber of Automotive Industries' VFACTS report showed sales of 88 157 in August  down from 89 867 in July. In seasonally adjusted terms  that equated to a fall of 0.5 percent.     Sales were down 5.5 percent on August last year  though partly due to August this year having one less,normal
VZ,Verizon Communications Inc,20140903,Verizon to pay $7.4 million over failure to notify consumers on privacy rights ,WASHINGTON Verizon Communications Inc will pay $7.4 million to settle a U.S. investigation that found the company failed to notify properly some customers of their privacy rights before using their information for marketing  U.S. regulators said on Wednesday.,topStory
VZ,Verizon Communications Inc,20140903,Verizon to pay $7.4 mln over failure to notify consumers on privacy rights ,WASHINGTON  Sept 3 Verizon Communications Inc will pay $7.4 million to settle a U.S. investigation that found the company failed to notify properly some customers of their privacy rights before using their information for marketing  U.S. regulators said on Wednesday.,normal
VZ,Verizon Communications Inc,20140903,U.S. says Verizon to pay $7.4 mln in consumer privacy probe ,WASHINGTON  Sept 3 Telecommunications company Verizon Communications will pay $7.4 million to settle a consumer privacy investigation  the Federal Communications Commission said on Wednesday.,normal
VZA,Verizon Communications Inc,20140903,Verizon to pay $7.4 million over failure to notify consumers on privacy rights ,WASHINGTON Verizon Communications Inc will pay $7.4 million to settle a U.S. investigation that found the company failed to notify properly some customers of their privacy rights before using their information for marketing  U.S. regulators said on Wednesday.,topStory
VZA,Verizon Communications Inc,20140903,Verizon to pay $7.4 mln over failure to notify consumers on privacy rights ,WASHINGTON  Sept 3 Verizon Communications Inc will pay $7.4 million to settle a U.S. investigation that found the company failed to notify properly some customers of their privacy rights before using their information for marketing  U.S. regulators said on Wednesday.,normal
VZA,Verizon Communications Inc,20140903,U.S. says Verizon to pay $7.4 mln in consumer privacy probe ,WASHINGTON  Sept 3 Telecommunications company Verizon Communications will pay $7.4 million to settle a consumer privacy investigation  the Federal Communications Commission said on Wednesday.,normal
VOYA,Voya Financial Inc,20140903,BRIEF-ING says to sell 30 million shares in Voya Financial ,* Entered into SPA with Voya Financial under which Voya Financial will repurchase $300 million of shares of common stock from ING Group,topStory
DIS,Walt Disney Company (The),20140903,CORRECTED-U.S. fantasy sports startup FanDuel raises $70 million ,(Corrects to say that Shamrock Capital is the investment arm of Roy E. Disney's family),topStory
WFC,Wells Fargo & Company,20140903,ON THE MOVE-Baird hires financial adviser  branch manager from Wells Fargo  RBC ,Sept 3 Baird said it hired a financial adviser and a branch manager from Wells Fargo and RBC Capital Markets  respectively.,topStory
YUM,Yum! Brands Inc,20140903,Yum estimates China same-store sales fell 13 percent due to food safety scare ,Yum Brands Inc estimated same-store sales in China fell about 13 percent in the third quarter and continue to decline  hurt by a food safety scare in late July when a former supplier was said to have used expired meat.,topStory
YUM,Yum! Brands Inc,20140903,UPDATE 1-Yum estimates China same-store sales fell 13 pct due to food safety scare ,Sept 3 Yum Brands Inc estimated same-store sales in China fell about 13 percent in the third quarter and continue to decline  hurt by a food safety scare in late July when a former supplier was said to have used expired meat.,normal
YUM,Yum! Brands Inc,20140903,Yum estimates China same-store sales fell 13 pct after food safety scare ,Sept 3 Yum Brands Inc estimated same-store sales in China fell about 13 percent in the third quarter as a results of a food safety scare in July when a former supplier was said to have improperly handled meat and used expired food.,normal
ZTS,Zoetis Inc,20140903,Zoetis granted conditional license by USDA for PEDv vaccine ,CHICAGO Zoetis Inc has received a conditional license from the U.S. Department of Agriculture for its vaccine against a deadly piglet virus and will begin selling it this month in the United States  the company said on Wednesday.,topStory
ZTS,Zoetis Inc,20140903,UPDATE 1-Zoetis granted conditional license by USDA for PEDv vaccine ,* Stock price hits record high   (Adds USDA comment  stock price),normal
ZTS,Zoetis Inc,20140903,Zoetis granted conditional license by USDA for PEDv vaccine ,CHICAGO  Sept 3Zoetis Inc  the world's largest animal-health company  has received a conditional license from the U.S. Agriculture Department for its vaccine against a deadly piglet virus and will begin selling it this month in the United States  the company said on Wednesday.,normal
PTN,Palatin Technologies Inc,20140903,Hungary's Richter  Palatin Technologies sign drug license deal ,BUDAPEST  Sept 3 Hungary's Richter and Palatin Technologies have signed a license agreement to co-develop and sell a drug called bremelanotide in the EU  other European countries and additional selected countries  the companies said on Wednesday.,topStory
