ACHC,Acadia Healthcare Company Inc,20120904,CORRECTED-Acadia buys residential treatment facility in Illinois for $90 mln ,(Corrects paragraph two to say Timberline had a revenue of about $33 mln  not earnings),topStory
R,Ryder System Inc,20120904,Johnson  Furyk  Snedeker and Stricker in Ryder Cup ,NEW YORK United States captain Davis Love III opted for a blend of experience and form in choosing Dustin Johnson  Jim Furyk  Brandt Snedeker and Steve Stricker as his wildcard picks for this month's Ryder Cup against Europe.,normal
R,Ryder System Inc,20120904,Johnson makes last-ditch push for U.S. Ryder Cup spot ,NORTON  Massachusetts American Dustin Johnson may not have won the Deutsche Bank Championship on Monday but the long bomber put in an 11th hour bid for Ryder Cup selection by tying for fourth place at the TPC Boston.,normal
SNY,Sanofi,20120904,Impax settles lawsuit with Sanofi's Genzyme ,Generic drug company Impax Laboratories Inc said it agreed to settle a lawsuit with French drugmaker Sanofi SA regarding the production and sale of the generic versions of two kidney disease drugs.,topStory
SNY,Sanofi,20120904,Impax settles lawsuit with Sanofi's Genzyme ,Sept 4 Generic drug company Impax Laboratories Inc said it agreed to settle a lawsuit with French drugmaker Sanofi SA regarding the production and sale of the generic versions of two kidney disease drugs.,normal
SNY,Sanofi,20120904,Sanofi signals Lemtrada confidence with CVR buyback ,PARIS Sanofi plans to buy back up to $152 million worth of certificates linked to the success of Genzyme drugs  a move that signals its growing confidence in Lemtrada  a multiple sclerosis that is awaiting approval from regulators.,normal
SNY,Sanofi,20120904,UPDATE 1-Sanofi signals Lemtrada confidence with CVR buyback ,* Will pay between $1.50 and $1.75 per CVR   (Adds details  background),normal
SNY,Sanofi,20120904,Sanofi says to buy CVRs for up to $152 million ,PARIS  Sept 4 French drugmaker Sanofi  plans to offer to buy about 30 percent of its outstanding contingent value rights (CVR)  linked to its purchase of U.S. biotech Genzyme  for between $130 and $152 million  it said on Tuesday.,normal
SFL,Ship Finance International Limited,20120904,TEXT-S&P summary: Ship Finance International Ltd. ,We assess Ship Finance's liquidity as "adequate" under our criteria. We  consider Ship Finance's liquidity profile to be sufficiently supported by the  company's policy of maintaining an ample cash balance  its largely stable  contracted cash flows  its strategy of prefinancing vessels on order  and what  we consider to be proactive treasury management.,topStory
SNE,Sony Corp Ord,20120904,Sony eschews cheap tablets as it pursues Samsung ,TOKYO Sony Corp on Tuesday said it won't be drawn into price competition on tablet PCs amid a plethora of cheap models from other makers as it pursues Android rival Samsung Electronics with a new tablet out this month.,topStory
SNE,Sony Corp Ord,20120904,UPDATE 1-Sony eschews cheap tablets as it pursues Samsung ,TOKYO  Sept 4 Sony Corp on Tuesday said it won't be drawn into price competition on tablet PCs amid a plethora of cheap models from other makers as it pursues Android rival Samsung Electronics with a new tablet out this month.,normal
SNE,Sony Corp Ord,20120904,Sony won't compete on price in tablet market-executive ,TOKYO  Sept 4 Sony Corp won't be drawn into price competition in the tablet PC market amid a plethora of new cheap models from other makers  the executive in charge of the Japanese company's mobile devices division said on Tuesday.,normal
SCCO,Southern Copper Corporation,20120904,Southern Copper pushing ahead with expansion plans ,NEW YORK Southern Copper  is pushing forward with expansion plans in Peru worth more than $1.6 billion despite lower global prices for the red metal that have trimmed revenue so far this year  Chief Executive Oscar Gonzalez said.,topStory
STO,Statoil ASA,20120904,Brazil July oil output slips from yr ago  stable vs June ,* Statoil and Shell No. 2 and No. 3 producers after Petrobras,topStory
STO,Statoil ASA,20120904,Statoil says German carbon policy limits use of gas for power ,MUNICH  Sept 4 German support for renewable energy drives down carbon emissions permit prices and so encourages use of power plants that burn carbon-intensive coal rather than gas  harming prospects for gas exporters to Germany  a Statoil executive said.,normal
SGY,Stone Energy Corporation,20120904,Stone Energy cuts production forecast on Hurricane Isaac ,Sept 4 Stone Energy Corp  which stopped production at its Gulf of Mexico facilities last week due to Hurricane Isaac  lowered its oil and gas production forecast for the third quarter.,topStory
SVU,SuperValu Inc,20120904,UPDATE 3-Supervalu's private brand coffee pods launch this month ,Sept 4 Supervalu Inc plans to launch its own single-serve coffee cups compatible with leading brewing systems  including the Keurig  made by Green Mountain Coffee Roasters Inc  the supermarket operator said on Tuesday.,topStory
SVU,SuperValu Inc,20120904,Supervalu to launch single-serve coffee this month ,Sept 4 Supervalu Inc plans to launch single-serve coffee cups compatible with leading brewing systems  including the Keurig  made by Green Mountain Coffee Roasters Inc  the supermarket operator said on Tuesday.,normal
TEF,Telefonica SA,20120904,Telefonica bets on tech with venture capital ,MADRID  Sept 4 Spanish telecoms firm Telefonica  said it would invest 68 million euros ($86 million) in venture capital funds in a move to grow its digital division and distance itself from the struggling economy of its home country.,topStory
TOL,Toll Brothers Inc,20120904,BRIEF-Moody's rates Toll Brothers' proposed notes Ba1 ,Sept 4 Toll Brothers Inc :  * Moody's assigns a ba1 rating to Toll brothers' proposed note offering,topStory
TOL,Toll Brothers Inc,20120904,TEXT-Fitch rates Toll Brothers proposed notes 'BBB-' ,Sept 4 - Fitch Ratings has assigned a 'BBB-' rating to Toll Brothers  Inc.'s  (NYSE: TOL) proposed offering of $250 million aggregate principal amount of exchangeable senior notes due Dec. 1  2032. The Rating Outlook is Stable.  The notes will be issued by Toll Brothers Finance Corp.  a wholly-owned subsidiary  and will be guaranteed on a senior basis by Toll Brothers  Inc. and certain of its subsidiaries that guarantee its current bank credit facilities. The issue will be ranked on a pari passu,normal
TOL,Toll Brothers Inc,20120904,TEXT-S&P rates Toll Bros. Finance proposed notes 'BB+' ,Sept 4 - Standard & Poor's Ratings Services today assigned its 'BB+' issue rating and '3' recovery rating to Toll Bros. Finance Corp.'s proposed offering of $250 million of exchangeable senior notes due 2032. Our '3' recovery rating indicates our expectation for a meaningful (50%-70%) recovery in the event of a default.   The new notes will rank equally with Toll Bros. Finance Corp.'s other senior  unsecured obligations. The company's indirect parent company  Toll Bros. Inc.   (Toll) and all of ,normal
TM,Toyota Motor Corp Ltd Ord,20120904,UPDATE 5-U.S. auto sales post best August in five years ,DETROIT  Sept 4 Automakers turned in their best August since before the 2007-09 recession  with U.S. monthly auto sales rising 20 percent from a year ago as consumers with aging vehicles showed more confidence in buying big-ticket items on easier credit terms.,topStory
TM,Toyota Motor Corp Ltd Ord,20120904,TABLE-Top-20 selling vehicles in U.S. in August ,Sept 4 The following are the 20 top-selling vehicles in the U.S. in August 2012 as reported by the automakers and ranked by total units.          Top 20 selling vehicles in U.S. in August              RANK  VEHICLE                    AUGUST   LAST YR   % CHNG  1     Ford F-Series P/U          58 201    48 795    +19.3  2     Chevy Silverado-C/K P/U    38 295    36 832     +4.0  3     Toyota Camry               36 720    30 185    +21.6  4     Honda Accord               34 848    18 4,normal
TM,Toyota Motor Corp Ltd Ord,20120904,REFILE-TABLE-August U.S. light vehicle sales by major automakers ,Sept 4 The following are U.S. auto sales results for August reported on Tuesday by top-selling automakers.      U.S. Auto Sales For August 2012      AUTOMAKER            AUGUST     LAST YR   PCT CHNG  1   General Motors      240 520     218 479       10.1  2   Ford Motor          197 249     175 220       12.6  3   Toyota Motor        188 520     129 483       45.6  4   Chrysler            148 472     130 120       14.1  5   Honda Motor Co      131 321      82 321       59.5  6   Nis,normal
TM,Toyota Motor Corp Ltd Ord,20120904,BRIEF-Toyota says its September sales opened strong ,DETROIT  Sept 4 Toyota Motor Corp :  * Says August U.S. auto industry sales will be 1.28 million vehicles  up 19,normal
TM,Toyota Motor Corp Ltd Ord,20120904,BRIEF-Toyota Motor U.S. August auto sales up 46 percent to 188 520 vehicles ,DETROIT  Sept 4 Toyota Motor Corp said:  * U.S. August auto sales up 46 percent to 188 520 vehicles  Details of Toyota's August monthly sales will be released at 1:30 p.m. Eastern Time.,normal
TM,Toyota Motor Corp Ltd Ord,20120904,TABLE-S.Africa new car sales up 9.4 pct y/y in August ,JOHANNESBURG  Sept 4 South Africa's total new vehicle sales increased by 9.4 percent year-on-year to 56 253 units in August  the National Association of Automobile Manufacturers said on Tuesday.        DETAILED SALES DATA              AUG '12   AUG '11   JULY '12   New passenger vehicles           40 345     36 192     37 844    Light commercial vehicles        13 637     12 906     13 802   Medium commercial vehicles          815        729        821   Heavy commercial vehicles    ,normal
TAC,TransAlta Corporation,20120904,Australia's Fortescue Metals sells power station for $300 mln ,MELBOURNE  Sept 5 Fortescue Metals Group  has agreed to sell a power station for $300 million  it said on Wednesday  a day after it put the brakes on tripling its iron ore capacity and slashed jobs to shore up its debt-ladened balance sheet.,topStory
TAC,TransAlta Corporation,20120904,TransAlta to buy 125-MW Australian power station for $318 million ,Canadian power producer TransAlta Corp  said its unit entered into an agreement with Fortescue Metals Group Ltd  to buy a 125 megawatt dual-fuel power station in Western Australia for $318 million.,normal
TAC,TransAlta Corporation,20120904,TransAlta to buy 125-MW Australian power station for $318 mln ,Sept 4 Canadian power producer TransAlta Corp  said its unit entered into an agreement with Fortescue Metals Group Ltd to buy a 125 megawatt dual-fuel power station in Western Australia for $318 million.,normal
UVV,Universal Corporation,20120904,EU to clear Universal's $1.9 billion bid for EMI: sources ,BRUSSELS Universal Music Group will win EU approval for its $1.9 billion purchase of EMI with its offer to sell global rights to some of EMI's most valuable record labels and catalogues  two people familiar with the deal said on Monday.,topStory
VRX,Valeant Pharmaceuticals International Inc,20120904,CANADA STOCKS-Valeant surges  but energy  banks keep TSX down ,* TSX closes down 7.56 points  or 0.06 percent  at 11 941.70     * Banks and oil companies push index lower     * Crude  Europe add to unease     * Valeant surges 15 pct after announcing acquisition      By Alastair Sharp     TORONTO  Sept 4 Canada's main stock index closed slightly lower on Tuesday  weighed down by heavyweight energy and bank stocks that offset surging Valeant Pharmaceuticals International Inc  which said it would buy a rival.     Energy companies were hit especiall,topStory
VRX,Valeant Pharmaceuticals International Inc,20120904,CANADA STOCKS-TSX flat; surging Valeant offsets energy  bank dip ,TORONTO  Sept 4 Canadian stocks closed marginally lower on Tuesday as a sharp rise in Valeant Pharmaceuticals International Inc was offset by broad losses in heavyweight banking and energy stocks.      The Toronto Stock Exchange's S&P/TSX composite index  unofficially closed down 7.56 points  or 0.06 percent  at 11 941.70.,normal
VRX,Valeant Pharmaceuticals International Inc,20120904,Valeant shares shoot higher on Medicis deal ,Valeant Pharmaceuticals International Inc's stock jumped 15 percent on Tuesday on news of a $2.6 billion deal to buy Medicis Pharmaceutical Corp  a move that could give the Canadian drugmaker's skin care business a big boost.,normal
VRX,Valeant Pharmaceuticals International Inc,20120904,BRIEF - Moody's may cut Valeant Pharmaceuticals ratings ,Sept 4 Moody's may cut Valeant Pharmaceuticals ratings,normal
VRX,Valeant Pharmaceuticals International Inc,20120904,CANADA STOCKS-TSX down on energy  banks; Valeant surges ,* TSX down 22.77 points  or 0.18 percent  at 11 927.49     * Banks and oil companies push index lower     * Valeant surges 15 pct after announcing acquisition      By Alastair Sharp     TORONTO  Sept 4 Canada's main stock index edged lower on Tuesday morning  weighed down by heavyweight energy and financial stocks and shrugging off a surging Valeant Pharmaceuticals International Inc which said it would buy a rival.     Shares in Valeant  the largest publicly traded drug maker in Cana,normal
VRX,Valeant Pharmaceuticals International Inc,20120904,CANADA STOCKS-TSX dips into red  recovers as Valeant soars ,TORONTO  Sept 4 Canada's benchmark stock index dipped lower on Tuesday before regaining its footing as surging Valeant Pharmaceuticals International Inc offset falls in heavyweight mining and energy stocks.,normal
VRX,Valeant Pharmaceuticals International Inc,20120904,CANADA STOCKS-TSX opens higher on Valeant buy  energy and banks ,TORONTO  Sept 4 Canada's main stock index opened slightly higher on Tuesday buoyed by strength in energy and financial stocks and as Valeant Pharmaceuticals International Inc jumped 12 percent after saying it would buy a rival.     The Toronto Stock Exchange's S&P/TSX composite index  was up 22.91 points  or 0.19 percent  at 11 972.17 soon after the open.,normal
VRX,Valeant Pharmaceuticals International Inc,20120904,BRIEF-Medicis Pharma jumps in premarket; to be acquired by Valeant Pharma ,NEW YORK  Sept 4 Medicis Pharmaceuticals:  * Medicis Pharma jumps 37.8 percent TO $43.50 in premarket; to be acquired by Valeant Pharma  for $2.6 billion in cash,normal
VLO,Valero Energy Corporation,20120904,UPDATE 2-Valero to convert Aruba refinery to product terminal ,* Facility still on the sales block as a terminal or refinery,topStory
VR,Validus Holdings Ltd,20120904,TEXT-Fitch affirms Validus' ratings after acquisition announcement ,Sept 4 - Fitch Ratings has affirmed the 'A-' Insurer Financial Strength (IFS) rating of Validus Reinsurance  Ltd. (Validus Re)  the principal reinsurance operating subsidiary of Validus Holdings  Ltd. (Validus). Fitch has also affirmed Validus' 'BBB+' Issuer Default Rating (IDR)  'BBB' senior unsecured notes rating  and 'BB+' rated junior subordinated debt instruments (see full rating list below). The Rating Outlook remains Positive.  The rating actions follow Validus' announcement that it will ,topStory
VR,Validus Holdings Ltd,20120904,TEXT-Fitch revises rating watch on Flagstone to evolving ,Sept 4 Fitch Ratings today revised the Rating Watch on Flagstone Reinsurance Holdings  S.A. (NYSE: FSR) and subsidiaries (collectively Flagstone) to Evolving from Negative. A full list of ratings is included at the end of this release.  The Rating Watch revision follows the Aug. 30 2012 joint announcement by Flagstone and Validus Holdings  Ltd. (Validus) that Validus would acquire Flagstone in a transaction valued at $623 million  including $148 million in cash and 0.1935x Validus vo,normal
VZ,Verizon Communications Inc,20120904,JP Morgan raises TiVo to overweight ,Sept 4 JP Morgan Securities raised TiVo Inc  to "overweight " citing strong subscriber growth and expectations of a favorable outcome for its patent dispute with Verizon Communications Inc next month.,topStory
VZA,Verizon Communications Inc,20120904,JP Morgan raises TiVo to overweight ,Sept 4 JP Morgan Securities raised TiVo Inc  to "overweight " citing strong subscriber growth and expectations of a favorable outcome for its patent dispute with Verizon Communications Inc next month.,topStory
WMT,Wal-Mart Stores Inc,20120904,Walmart trims layaway fee to $5 from $15 after shoppers complain ,Wal-Mart Stores Inc  is trimming the fee for this year's U.S. holiday season layaway plan back to $5 after customers complained that the new $15 fee it announced two weeks ago was too high.,topStory
WMT,Wal-Mart Stores Inc,20120904,Walmart trims layaway fee to $5 from $15 after shoppers complain ,* Walmart brought service back in 2011 after a 5-yr hiatus,normal
XRX,Xerox Corporation,20120904,Xerox investigated by Texas on Medicaid work:  WSJ ,Xerox Corp and a wholly owned unit that contracted with the U.S. state of Texas to process dental claim forms are being investigated to see if they helped allow dentists to submit higher-than-required bills under the state's Medicaid system  the Wall Street Journal reported.,topStory
XRX,Xerox Corporation,20120904,UPDATE 1-Xerox investigated by Texas on Medicaid work -WSJ ,Sept 3 Xerox Corp and a wholly owned unit that contracted with the U.S. state of Texas to process dental claim forms are being investigated to see if they helped allow dentists to submit higher-than-required bills under the state's Medicaid system  the Wall Street Journal reported.,normal
XRX,Xerox Corporation,20120904,Xerox investigated by Texas authorities on Medicaid work - WSJ ,Sept 3 Xerox Corp and one of its wholly owned subsidiaries that contracted with the U.S. state of Texas to process dental claim forms are being investigated by state authorities to see if they played any role in allowing dentists to submit higher-than-required bills under the state's Medicaid system  the Wall Street Journal reported.,normal
