ACOR,Acorda Therapeutics Inc,20121220,Potentially game changing data awaits Acorda in 2013 ,NEW YORK Acorda Therapeutics Inc Chief Executive Ron Cohen is already looking to spring  when data on a new use for its lone product could spur renewed investor interest and provide funding to enable his company to develop even more therapies.,topStory
MSI,Motorola Solutions Inc,20121220,TEXT - Fitch affirms Motorola Solutions ,Dec 20 - Fitch Ratings has affirmed Motorola Solutions  Inc.'s      (Motorola Solutions; NYSE: MSI) 'BBB' long-term Issuer Default Rating (IDR) and 'F2' short-term IDR. Fitch's actions affect $3.4 billion of total debt  including the undrawn $1.5 billion revolving credit facility (RCF). The  Rating Outlook is Stable. A full list of ratings for Motorola Solutions is  below.  The ratings and Outlook reflect Fitch's expectations for solid operating  performance overall over the near-term  despite m,topStory
MSI,Motorola Solutions Inc,20121220,UPDATE 2-Google sells Motorola TV set-top business for $2.35 bln ,SAN FRANCISCO  Dec 19 Google Inc agreed to sell set-top TV box maker Motorola Home to Arris Group Inc  for $2.35 billion in cash and stock  the companies said on Wednesday.,normal
NKE,Nike Inc,20121220,Nike buoyed by strong domestic demand; shares jump ,Nike Inc  reported forecast-topping quarterly profit on Thursday on strong North American demand  and its orders volume indicated steady worldwide demand. Its shares were up 6 percent after the bell.,topStory
NKE,Nike Inc,20121220,UPDATE 3-Nike buoyed by strong domestic demand; shares jump ,Dec 20 Nike Inc reported forecast-topping quarterly profit on Thursday on strong North American demand  and its orders volume indicated steady worldwide demand. Its shares were up 6 percent after the bell.,normal
NKE,Nike Inc,20121220,UPDATE 1-Nike shares rise on strong demand ,Dec 20 Nike Inc beat profit estimates for the second quarter on strong demand in its domestic market and appears on track to keep worldwide demand steady  sending shares up 4 percent.,normal
NKE,Nike Inc,20121220,CORRECTED-Nike posts smaller quarterly profit ,(Corrects last year profit number to $469 million  or $1.03 a share  paragraph 3  not $384 million),normal
NKE,Nike Inc,20121220,BRIEF-NIKE shares up 4.6 percent after results ,NEW YORK  Dec 20 Nike Inc :  * Shares extend after-hours gains  up 4.6 percent after results,normal
NKE,Nike Inc,20121220,BRIEF-NIKE shares up following results ,NEW YORK  Dec 20 Nike Inc :  * Shares up 2 percent in extended trade following results,normal
PHI,PLDT Inc,20121220,TEXT-S&P ratings - Philippine Long Distance Telephone Co. ,(The following statement was released by the rating agency),topStory
PGR,Progressive Corporation (The),20121220,UK govt warns Go-Ahead on rail performance ,LONDON The British government gave rail operator Go-Ahead Plc 'a firm yellow-card' over service failures at its London Midland franchise  forcing it to provide a 7 million pounds package of passenger benefits as punishment.,topStory
PLD,Prologis Inc,20121220,Norwegian fund to buy real estate stake from Prologis ,NEW YORK/OSLO Norway's sovereign wealth fund has agreed to buy a 50 percent stake in a portfolio of European warehouses for 1.2 billion euros ($1.6 billion) from U.S.-based Prologis  as it ramps up its still-small property investments.,topStory
PLD,Prologis Inc,20121220,UPDATE 2-Norwegian fund to buy real estate stake from Prologis ,* Deal almost at break-even on Prologis' PEPR purchase cost,normal
RTN,Raytheon Company,20121220,Air Force revamps Raytheon missile contract ,WASHINGTON The Air Force said on Thursday it has restructured a troubled air-to-air missile program run by Raytheon Co  freeing $104 million in immediate funding for the company and putting the program on track to return to its original schedule by mid-2014.,topStory
RTN,Raytheon Company,20121220,UPDATE 1-US Air Force revamps Raytheon missile contract ,* Air Force says on track to be back on schedule by mid-2014,normal
RTN,Raytheon Company,20121220,US Air Force revamps Raytheon missile contract  resumes payments ,WASHINGTON  Dec 20 The U.S. Air Force said on Thursday it has restructured a troubled air-to-air missile program run by Raytheon Co  freeing $104 million in immediate funding for the company and putting the program on track to return to its original schedule by mid-2014.,normal
RHT,Red Hat Inc,20121220,Red Hat revenue beats estimates on subscription gains ,Red Hat Inc  the world's largest distributor of Linux operating software  posted third-quarter revenue above analysts' estimates on strong growth in its subscription business  sending its shares up 6 percent in after-market trading.,topStory
RHT,Red Hat Inc,20121220,Red Hat revenue beats estimates on subscription gains ,Dec 20 Red Hat Inc  the world's largest distributor of Linux operating software  posted third-quarter revenue above analysts' estimates on strong growth in its subscription business  sending its shares up 6 percent in after-market trading.,normal
RHT,Red Hat Inc,20121220,BRIEF-Red Hat shares up 5 percent after the bell ,NEW YORK  Dec 20 Red Hat Inc :  * Shares up 5 percent after the bell following results,normal
RIO,Rio Tinto Plc,20121220,Brazil opens 2 key airports  including Rio  to private investment ,BRASILIA  Dec 20 Brazil plans to open two more major airports to private investment  the government said on Thursday  as the country races to unclog transportation bottlenecks before it hosts the 2014 soccer World Cup.,topStory
RAD,Rite Aid Corporation,20121220,Rite Aid returns to profit  raises forecast ,Rite Aid Corp  reported its first quarterly profit in more than five years on Thursday  helped by growth in the number of prescriptions filled and higher comparable sales of general merchandise at its stores.,topStory
RAD,Rite Aid Corporation,20121220,UPDATE 2-Rite Aid returns to profit  raises forecast ,* Quarterly profit of $0.07 a share; Wall St expected loss,normal
RAD,Rite Aid Corporation,20121220,Rite Aid returns to profit  raises forecast ,Dec 20 Rite Aid Corp reported its first quarterly profit in more than five years on Thursday  helped by growth in the number of prescriptions filled and higher comparable sales of general merchandise at its stores.,normal
RAD,Rite Aid Corporation,20121220,BRIEF-Rite Aid shares up 14 percent in premarket trading ,NEW YORK  Dec 20 Rite Aid Corp :  * Shares up 14 percent in premarket trading,normal
RCL,Royal Caribbean Cruises Ltd,20121220,UPDATE 2-Carnival gives weak forecast  says bookings still lag ,NEW YORK  Dec 20 Carnival Corp & Plc   on Thursday said bookings for 2013 so far were at lower prices and still lagging last year's levels  suggesting the industry was not recovering as quickly as previously believed.,topStory
SNY,Sanofi,20121220,UPDATE 1-Sanofi to expand animal health business in India ,* No financial details given   (Adds details  background  Merial CEO comment),topStory
SNY,Sanofi,20121220,Sanofi to buy animal health unit of India's Dosch Pharmaceuticals ,PARIS  Dec 20 Sanofi's unit Merial said it has signed an agreement to buy the animal health business of India-based drugmaker Dosch Pharmaceuticals to boost its presence in a growing market.,normal
SNY,Sanofi,20121220,Sanofi to pay $109 million to settle U.S. kickback charges ,French drugmaker Sanofi has agreed to pay $109 million to settle charges that it violated the False Claims Act by providing free drugs as a form of kickbacks to physicians  the U.S. Justice Department announced on Wednesday.,normal
ST,Sensata Technologies Holding NV,20121220,TEXT-S&P upgrades Sensata Technologies to 'BB'  outlook stable ,Overview      -- The Netherlands-based manufacturer Sensata Technologies Holding N.V.'s  largest shareholder  Bain Investment Co. S.C.A.  sold shares that reduced its ownership in Sensata to about 45% from about 50%.      -- We believe Bain's continued exit reduces risks related to Sensata  pursuing a more aggressive financial policy.      -- We are raising our ratings on Sensata  including our corporate credit  rating to 'BB' from 'BB-'.      -- The stable outlook reflects our expectation that ,topStory
SNE,Sony Corp Ord,20121220,US senators slam Sony for film suggesting torture helped find bin Laden ,WASHINGTON  Dec 19 Several top U.S. senators chided Sony Pictures on Wednesday  saying new film "Zero Dark Thirty" is "grossly inaccurate and misleading" for suggesting torture helped the United States capture Osama bin Laden.,topStory
STT,State Street Corporation,20121220,TEXT-Fitch to confirm San Jose Financing Authority  Calif. lease rev notes ,Dec 20 - On the effective date of Jan. 14  2013  Fitch Ratings will confirm the short-term 'F1+' rating assigned to the City of San Jose Financing Authority taxable/tax-exempt lease revenue commercial paper notes (the notes).  The confirmation of the rating is in connection with the amendment and restatement of the irrevocable  direct-pay letter of credit (LOC) currently provided severally by State Street Bank and Trust Company (State Street  rated 'A+/F1+'  Outlook Stable) and California State ,topStory
SMFG,Sumitomo Mitsui Financial Group Inc,20121220,BRIEF-HSBC unit to sell stake in Bao Viet Holdings to sumitomo Life Insurance for about $340 mln ,LONDON  Dec 20 HSBC Holdings PLC :  * HSBC to sell shareholding in bao viet holdings  * Unit to sell its entire 18% shareholding in bao viet holdings to sumitomo,topStory
TI,Telecom Italia SPA,20121220,Prosecutors seek trial for Telecom Italia in SIM case -sources ,MILAN  Dec 20 Prosecutors in Milan have asked for Telecom Italia and 89 people to stand trial in connection with a probe into fake SIM cards issued between 2007 and 2009  judicial sources said on Thursday.,topStory
TEF,Telefonica SA,20121220,S&P urges Telefonica to keep cutting debt as affirms rating ,MADRID  Dec 20 Standard and Poor's affirmed Telefonica's credit rating at two notches above junk on the assumption the struggling Spanish telecoms group will make more "aggressive" moves to cut debt.,topStory
TEF,Telefonica SA,20121220,Spain fines Telefonica  Vodafone  Orange over texts ,MADRID Spain's antitrust body said it fined telecoms companies Telefonica  Vodafone and France Telecom's Orange a record 120 million euros ($159 million) for charging too much for text messages.,normal
TEF,Telefonica SA,20121220,UPDATE 1-Spain fines Telefonica  Vodafone  Orange over texts ,MADRID  Dec 20 Spain's antitrust body said it fined telecoms companies Telefonica  Vodafone  and France Telecom's Orange a record 120 million euros ($159 million) for charging too much for text messages.,normal
TEF,Telefonica SA,20121220,TEXT-S&P affirms Telefonica at 'BBB/A-2'; outlook negative ,The rating affirmation reflects our view that Telefonica's recently  accelerated refinancing and asset disposal activity demonstrate the company's  willingness and ability to bolster liquidity and keep leverage in check.,normal
TEF,Telefonica SA,20121220,TEXT-S&P ratings - Telefonica S.A. ,(The following statement was released by the rating agency),normal
TEF,Telefonica SA,20121220,Spain imposes antitrust fine on Telefonica  Vodafone  Orange ,MADRID  Dec 20 Spain's antitrust body on Thursday imposed a 120-million-euro fine on telecommunication companies Telefonica  Vodafone and Orange .,normal
TRI,Thomson Reuters Corp,20121220,UBS taps Barclays banker to head financial M&A in the Americas ,NEW YORK  Dec 20 UBS has tapped a former Barclays Bank Plc investment banker to lead its financial institutions group in the Americas  according to a memo seen by Reuters that was sent to UBS employees Thursday.,topStory
TM,Toyota Motor Corp Ltd Ord,20121220,Insurance group raps Toyota Camry in new crash test ,DETROIT Toyota Motor Corp's  best-selling 2013 Camry received a "poor" crash-test rating on Thursday from an insurance industry group that awarded high marks to Honda Motor Co's  redesigned Accord sedan.,topStory
TM,Toyota Motor Corp Ltd Ord,20121220,Insurance group raps Toyota Camry in new crash test ,DETROIT  Dec 20 Toyota Motor Corp's  best-selling 2013 Camry received a "poor" crash-test rating on Thursday from an insurance industry group that awarded high marks to Honda Motor Co's redesigned Accord sedan.,normal
RIG,Transocean Ltd,20121220,TEXT-S&P rates Shelf Drilling corporate credit 'B' ,Overview      -- On Nov. 30  2012  newly-formed Cayman Island-based oilfield services  company Shelf Drilling Holdings Ltd. (Shelf Drilling) announced that it has  completed the acquisition of 38 rigs from offshore drilling company Transocean  Ltd.       -- We assess Shelf Drilling's business risk profile as "vulnerable " and  its financial profile as "aggressive."      -- We are assigning our 'B' long-term corporate credit rating to Shelf  Drilling.       -- The stable outlook reflects our view,topStory
WMT,Wal-Mart Stores Inc,20121220,Wal-Mart names Karen Roberts new general counsel ,Wal-Mart Stores Inc   which is facing bribery investigations by the U.S. Department of Justice and the Securities and Exchange Commission  named a new general counsel  Karen Roberts  effective February 1  2013.,topStory
WMT,Wal-Mart Stores Inc,20121220,Wal-Mart names Karen Roberts new general counsel ,Dec 20 Wal-Mart Stores Inc  which is facing bribery investigations by the U.S. Department of Justice and the Securities and Exchange Commission  named a new general counsel  Karen Roberts  effective Feb. 1  2013.,normal
WGO,Winnebago Industries Inc,20121220,Winnebago to raise output after strong demand boosts 1st-qtr ,Winnebago Industries Inc   the largest U.S. motor home maker  said it plans to increase its production in the current quarter to meet the high demand that also helped it report stronger-than-expected first-quarter results.,topStory
WGO,Winnebago Industries Inc,20121220,UPDATE 1-Winnebago to raise output after strong demand boosts 1st-qtr ,Dec 20 Winnebago Industries Inc  the largest U.S. motor home maker  said it plans to increase its production in the current quarter to meet the high demand that also helped it report stronger-than-expected first-quarter results.,normal
WGO,Winnebago Industries Inc,20121220,Strong demand boosts Winnebago results  shares jump ,Dec 20 Winnebago Industries Inc  the largest U.S. motor home maker  reported stronger-than-expected earnings and revenue for the first quarter  driving its shares up as much as 15 percent.,normal
YUM,Yum! Brands Inc,20121220,CORRECTED-China closes 2 suppliers for KFC  McDonald's in safety probe - media ,(Corrects spelling of McDonald's in headline and body of story),topStory
