AAPL,Apple Inc,20121203,RPT-COLUMN-Why you need to sidestep Apple stock in tech investing ,CHICAGO  Dec 3 It's easy to believe in technology stocks again.,topStory
JCP,JC Penney Company Inc Holding Company,20121203,More mannequins  less clutter at heart of J.C. Penney plan ,NEW YORK More mannequins are on the floors of J.C. Penney stores. About 40 000 more.,topStory
KMI,Kinder Morgan Inc,20121203,El Paso's $110 mln settlement over Kinder Morgan deal approved ,Dec 3 Pipeline operator El Paso received court approval on Monday for a $110 million class-action settlement with shareholders who alleged the $23 billion sale of the company to Kinder Morgan Inc was riddled with conflicts of interest.,topStory
PHG,Koninklijke Philips NV,20121203,Philips raises Q4 restructuring charge 27 pct ,AMSTERDAM  Dec 3 Philips Electronics  said on Monday it would increase restructuring charges to 380 million euros ($494 million) from an earlier estimated 300 million in the final quarter this year  mainly due to the integration of certain operations. ($1=0.7689 euros)   (Reporting by Gilbert Kreijger; Editing by Greg Mahlich),topStory
MLM,Martin Marietta Materials Inc,20121203,Martin Marietta to explore friendly offer for Vulcan: WSJ ,U.S. gravel maker Martin Marietta Materials Inc  will look to make a friendly offer to buy rival Vulcan Materials Co   rather than attempt another hostile takeover  the Wall Street Journal reported  citing people close to the decision.,topStory
MLM,Martin Marietta Materials Inc,20121203,Martin Marietta to explore friendly offer for Vulcan - WSJ ,Dec 3 U.S. gravel maker Martin Marietta Materials Inc will look to make a friendly offer to buy rival Vulcan Materials Co  rather than attempt another hostile takeover  the Wall Street Journal reported  citing people close to the decision.,normal
MTL,Mechel PAO,20121203,Russia's Mechel seeks loan to refinance debt ,MOSCOW  Dec 3 Debt-laden Russian mining and steel firm Mechel is in talks with banks to refinance part of its multi-billion debt  a company spokesman said on Monday.,topStory
MRK,Merck & Company Inc,20121203,Merck becomes bigger Alzheimer's player  with new trial ,Merck & Co Inc has moved to the forefront of Alzheimer's disease research by starting a mid-stage study of a drug from a new class of oral medicines that aim to shut down production of a protein associated with the memory-robbing disease.,topStory
MRK,Merck & Company Inc,20121203,UPDATE 4-Merck becomes bigger Alzheimer's player  with new trial ,* New drug blocks production of Alzheimer's-related proteins,normal
MRK,Merck & Company Inc,20121203,Merck to start new trial to test Alzheimer's drug ,Dec 3 Merck & Co Inc said on Monday it started a new clinical trial to evaluate the safety and effectiveness of its experimental oral drug MK-8931 in patients with mild-to-moderate Alzheimer's disease.,normal
MET,MetLife Inc,20121203,GE  MetLife and Union Bank to invest $247 million in Kansas wind farm ,General Electric Co  Metlife Inc and Union Bank said they invested $247 million in a 201-megawatt(MW) wind farm in Kansas.,topStory
MET,MetLife Inc,20121203,GE  MetLife and Union Bank to invest $247 mln in Kansas wind farm ,Dec 3 General Electric Co  Metlife Inc  and Union Bank said they invested $247 million in a 201-megawatt(MW) wind farm in Kansas.,normal
MCO,Moody&#39;s Corporation,20121203,EU's Regling: Moody's did not account enough for ESM paid-in capital ,BRUSSELS  Dec 3 Euro zone finance ministers met on Monday to discuss the terms of a Greek debt buy-back and review a Cypriot bailout.,topStory
MCO,Moody&#39;s Corporation,20121203,New Issue- Land NRW adds 50 mln stg to 2016 FRN ,Borrower                German State of North Rhine - Westphalia,normal
MCO,Moody&#39;s Corporation,20121203,New Issue-KBC Bank prices 250 mln euro 2017 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 75.4bp,normal
MCO,Moody&#39;s Corporation,20121203,New Issue-Santander prices 500 mln euro 2014 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 328.4bp,normal
MCO,Moody&#39;s Corporation,20121203,BRIEF-U.S. appeals court upholds dismissal of lawsuit over credit ratings ,Dec 3   * U.S. appeals court upholds dismissal of shareholder lawsuit against Moody's     standard & poor's  Fitch over credit ratings  * 6th U.S. circuit court of appeals rejects Ohio pension funds' claims of,normal
MCO,Moody&#39;s Corporation,20121203,Moody's assigns definitive rating to COSCO Finance (2011) Limited's bonds ,COSCO Finance (2011) Limited     ,normal
MCO,Moody&#39;s Corporation,20121203,Moody's downgrades Rhoen-Klinikum AG to Baa3  outlook negative ,For the full text of this story please click the following link:,normal
MCO,Moody&#39;s Corporation,20121203,Moody's reviews Chorus' Baa2 ratings for possible downgrade ,For the full text of this story please click the following link:,normal
MS,Morgan Stanley,20121203,Morgan Stanley wealth unit aims to close lending gap ,By Lauren Tara LaCapra  Carrick Mollenkamp  Jessica Toonkel,topStory
MS,Morgan Stanley,20121203,Morgan Stanley trader was probed at Goldman: sources ,Morgan Stanley hired former Goldman Sachs trader Edward Glenn Hadden to run its Treasury bond desk last year  even though his former employer had placed the trader on paid leave for about a year following an internal inquiry  said three people familiar with the situation.,normal
MS,Morgan Stanley,20121203,ON THE MOVE-Morgan Stanley hires brokers from Merrill  Barclays ,Dec 3 Morgan Stanley Wealth Management  one of the leading U.S. brokerages  said it has expanded its footprint in Florida  Ohio and New Jersey with hires from Merrill Lynch Wealth Management and Barclays Plc.,normal
MS,Morgan Stanley,20121203,UPDATE 2-Morgan Stanley trader was probed at Goldman-sources ,* Incidents at Goldman made superiors question judgment-sources,normal
MS,Morgan Stanley,20121203,INSIGHT-Morgan Stanley wealth unit aims to close lending gap ,* Unit head Fleming to provide business update on Tuesday,normal
MS,Morgan Stanley,20121203,Morgan Stanley trader did not manipulate market-lawyer ,A lawyer for Morgan Stanley  Managing Director Edward Glenn Hadden said his client  who is being investigated over a trade involving U.S. Treasury futures while working at Goldman Sachs Group Inc   did nothing wrong.,normal
MS,Morgan Stanley,20121203,Ex-Goldman Sachs trader did not manipulate markets - attorney ,Dec 3 A CME Group Inc probe into ex-Goldman Sachs Group Inc bond trader Glenn Hadden pertains to "technical risk management activity" in 2008  a lawyer for Hadden said on Monday.,normal
MS,Morgan Stanley,20121203,New Issue- Unicredit SPA adds 250 mln euros to 2022 bond ,Lead Manager(s)         Credit Agricole CIB  Morgan Stanley & Unicredit,normal
MS,Morgan Stanley,20121203,Morgan Stanley rates trader under investigation ,Morgan Stanley trader Edward Glenn Hadden is under investigation by regulators at CME Group over trades in Treasury futures four years ago while he was employed by Goldman Sachs  according to a regulatory filing.,normal
MS,Morgan Stanley,20121203,M.Stanley trader probed over trades made while at Goldman ,Dec 3 Morgan Stanley trader Edward Glenn Hadden is under   investigation by regulators at CME Group  over trades in Treasury futures four years ago while he was employed by Goldman Sachs  according to a regulatory filing.,normal
SID,National Steel Company,20121203,STXNEWS LATAM-CSN bid for Thyssen's Brazil unit 'negative' for stock-BofA ,Cia Siderúrgica Nacional SA's potential purchase of the Brazilian slab-making unit of ThyssenKrupp AG  would be negative for shares  according to a note by Bank of America Merrill Lynch analysts on Monday. Bloomberg News reported on Friday that CSN  as Cia Siderúrgica is known  could pay $3 billion to buy CSA  as Thyssen's unit is known.,topStory
NEM,Newmont Mining Corporation,20121203,UPDATE 3-Newmont Mining CEO to depart  COO to succeed him ,* Newmont shares fall almost 3 pct  other miners drop too,topStory
NEM,Newmont Mining Corporation,20121203,CORRECTED-UPDATE 2-Newmont CEO to step down  COO to succeed him ,(Corrects headline  bullet point and paragraph 2 to make clear O'Brien is stepping down as CEO and retiring from the board; corrects paragraph 5 to 'falling output' from 'depleting reserves'),normal
NEM,Newmont Mining Corporation,20121203,Newmont Mining says CEO to step down in March ,Dec 3 Newmont Mining Corp  the world's second-largest gold producer  said Richard O'Brien will step down as chief executive on March 1  and Chief Operating Officer Gary Goldberg will take over the reins.,normal
NMR,Nomura Holdings Inc ADR,20121203,Nomura names head of healthcare investment banking in U.S. ,Dec 3 Nomura Holdings Inc said on Monday that Jason Fertig will join the Japanese bank as managing director and head of healthcare investment banking coverage in the Americas.,topStory
NVO,Novo Nordisk A/S,20121203,NORDIC STOCKS - Factors to watch on Dec 3 ,HELSINKI  Dec 3 The following stocks may be affected by newspaper reports and other factors on Monday:,topStory
NVO,Novo Nordisk A/S,20121203,Novo Nordisk insulin Ryzodeg passes Japan review ,COPENHAGEN Denmark's Novo Nordisk  the world's biggest insulin producer  said on Monday its Ryzodeg insulin had passed the first review by an advisory committee to the health ministry in Japan.,normal
NVO,Novo Nordisk A/S,20121203,Novo Nordisk insulin Ryzodeg passes Japan review ,COPENHAGEN  Nov 3 Denmark's Novo Nordisk   the world's biggest insulin producer  said on Monday its Ryzodeg insulin had passed the first review by an advisory committee to the health ministry in Japan.,normal
PH,Parker-Hannifin Corporation,20121203,TEXT - Fitch affirms Parker-Hannifin ratings ,Dec 3 - Fitch Ratings has affirmed Parker-Hannifin Corporation's (NYSE: PH) long-term Issuer Default Rating (IDR) and debt ratings at 'A' and its short-term IDR and commercial paper (CP) ratings at 'F1'. A full rating list is shown below.     The ratings and Stable Rating Outlook incorporate Fitch's expectations for  operating results that will remain solid for the rating  despite a weak  macroeconomic environment. Organic sales should decline in the low-single  digits  with sales from recent ac,topStory
PAA,Plains All American Pipeline LP,20121203,TEXT - S&P rates Plains All American Pipeline ,Dec 3 - Standard & Poor's Ratings Services said today it assigned its 'BBB' rating to Plains All American Pipeline L.P.'s (Plains) issuance of $500 million of senior unsecured notes  which the company is issuing in two tranches. As of Sept. 30  2012  Plains had about $6.6 billion of reported debt. The company will use the proceeds to repay outstanding borrowings under its credit facilities and for general partnership purposes.  Standard & Poor's ratings on Houston-based Plains reflect its "stron,topStory
PKX,POSCO,20121203,POSCO in exclusive talks for ArcelorMittal Canada mine stake -source ,SEOUL  Dec 4 South Korean steelmaker POSCO  has secured exclusive negotiating rights to acquire a stake in a Canadian iron ore mine operator controlled by ArcelorMittal  a source who has knowledge of the matter said on Tuesday.,topStory
RBS,Royal Bank Scotland plc (The),20121203,RBS needs 10 years to return to private sector: Times ,LONDON It will take a decade to fully return Royal Bank of Scotland  to the private sector  the state-owned lender has predicted  according to the UK's Times newspaper on Monday.,topStory
RBS,Royal Bank Scotland plc (The),20121203,RBS needs 10 years to return to private sector: Times ,LONDON  Dec 3 It will take a decade to fully return Royal Bank of Scotland to the private sector  the state-owned lender has predicted  according to the UK's Times newspaper on Monday.,normal
RBS,Royal Bank Scotland plc (The),20121203,PRESS DIGEST - British business - Dec 3 ,Google is facing the prospect of a multimillion-pound tax bill after Revenue & Customs opened a review into the company's tax returns for the last six years.,normal
SSL,Sasol Ltd,20121203,Sasol sees solid year earnings  production ,JOHANNESBURG South African petrochemicals group Sasol  said its expectations for a strong year had been boosted by a good quarterly performance at its synthetic fuels unit.,topStory
SSL,Sasol Ltd,20121203,UPDATE 1-Sasol sees solid year earnings  production ,* Moves U.S. projects ahead  puts Canada GTL on hold   (Adds detail),normal
SCCO,Southern Copper Corporation,20121203,TEXT - Fitch raises Grupo Mexico S.A. de C.V. ,Dec 3 -  Fitch Ratings has upgraded the Foreign Currency and Local Currency Issuer Default Ratings (IDRs) of Grupo Mexico  S.A. de C.V. (Grupo Mexico)  Southern Copper Corporation (SCC) and Americas Mining Corporation (AMC)  as follows:  Grupo Mexico  --Foreign currency long-term IDR to 'BBB+' from 'BBB';  --Local currency long-term IDR to 'BBB+' from 'BBB'.  Americas Mining Corporation (AMC)  --Foreign currency long-term IDR to 'BBB+' from 'BBB'.  Southern Copper Corporation (SCC)  --Foreign cu,topStory
S,Sprint Corporation,20121203,Sprint unlikely to make counter MetroPCS offer: sources ,NEW YORK Sprint Nextel Corp  is unlikely to make a counteroffer for MetroPCS Communications Inc <PCS.N  as it focuses on closing its $20.1 billion deal with Japan's Softbank Corp   three people familiar with the matter said on Monday.,topStory
S,Sprint Corporation,20121203,UPDATE 1-Sprint unlikely to make counter MetroPCS offer-sources ,NEW YORK  Dec 3 Sprint Nextel Corp is unlikely to make a counteroffer for MetroPCS Communications Inc <PCS.N  as it focuses on closing its $20.1 billion deal with Japan's Softbank Corp  three people familiar with the matter said on Monday.,normal
S,Sprint Corporation,20121203,Sprint unlikely to make counter MetroPCS offer-sources ,NEW YORK  Dec 3 Sprint Nextel Corp is unlikely to make a counter offer for MetroPCS Communications Inc   as the third-largest U.S. wireless company focuses on closing its agreed $20.1 billion deal with Japan's Softbank Corp   three people familiar with the matter said on Monday.,normal
STT,State Street Corporation,20121203,UPDATE 1-U.S. top court lets GM workers pursue case against State Street ,WASHINGTON  Dec 3 The U.S. Supreme Court is allowing General Motors Co employees whose pension plans lost money to pursue their case against a State Street Corp  unit over its management of their retirement savings plans before the automaker went bankrupt.,topStory
STT,State Street Corporation,20121203,Supreme Court lets GM workers pursue case against State Street ,WASHINGTON The Supreme Court is allowing General Motors Co  employees whose pension plans lost money to pursue their case against a State Street Corp  unit over its management of their retirement savings plans before the automaker went bankrupt.,normal
STT,State Street Corporation,20121203,U.S. top court lets GM workers pursue case against State Street ,WASHINGTON  Dec 3 The U.S. Supreme Court is allowing General Motors Co employees whose pension plans lost money to pursue their case against a State Street Corp  unit over its management of their retirement savings plans before the automaker went bankrupt.,normal
SU,Suncor Energy  Inc,20121203,UPDATE 1-Suncor to boost spending 9 percent to C$7.3 bln ,CALGARY  Alberta  Dec 3 Suncor Energy Inc   Canada's largest energy company  said on Monday it will spend C$7.3 billion ($7.4 billion) in 2013  up 9 percent from this year's reduced amount  with most of the budget directed at expanding its leading oil sands production.,topStory
SU,Suncor Energy  Inc,20121203,Suncor to boost spending by 9 percent in 2013 ,CALGARY  Alberta  Dec 3 Suncor Energy Inc   Canada's largest energy company  said on Monday it will spend C$7.3 billion ($7.4 billion) in 2013  up 9 percent from this year  with most of the budget directed at oil sands development.,normal
SVU,SuperValu Inc,20121203,BRIEF-SUPERVALU shares up 13.5 percent premarket ,NEW YORK  Dec 3 SUPERVALU Inc :  * Shares up 13.5 percent premarket,topStory
SVU,SuperValu Inc,20121203,UPDATE 1-Market Chatter-Corporate finance press digest ,Dec 3 The following corporate finance-related stories were reported by media:        * Swiss bank UBS AG is close to a settlement with U.S. and British authorities and is expected to pay more than $450 million over claims that some of its employees submitted false Libor rates  the New York Times reported.        * It will take a decade to fully return Royal Bank of Scotland to the private sector  the state-owned lender has predicted  according to the UK's Times newspaper on Monday. T,normal
SVU,SuperValu Inc,20121203,Market Chatter-Corporate finance press digest ,Dec 3 The following corporate finance-related stories were reported by media:           * HSBC is planning to sell four sub-prime loan portfolios worth a total of $2.7 billion in the next year  with hedge funds already expressing an interest  the Telegraph reported. ()          * Google is facing the prospect of a multi million-pound tax bill in the United Kingdom after Revenue & Customs opened a review into the internet company's tax returns for the past six years  the Times reporte,normal
TI,Telecom Italia SPA,20121203,UPDATE 2-Telecom Italia Media attracts offer from Clessidra-sources ,* Tarak Ben Ammar to announce partner for Italy media investments,topStory
TI,Telecom Italia SPA,20121203,Telecom Italia Media shares rise on sale hopes ,MILAN  Dec 3 Shares in Telecom Italia Media  rose more than 3 percent on Monday  on expectations that parent Telecom Italia could be closer to a sale of Italy's third-largest commercial TV broadcaster.,normal
TEF,Telefonica SA,20121203,Telefonica eyes listing of Latin American unit to cut debt ,MADRID Spain's Telefonica  is considering listing up to 15 percent of its Latin American arm that could be used to help cut about 6 billion euros ($7.8 billion)  over 10 percent  of its debt and safeguard its credit rating.,topStory
TEF,Telefonica SA,20121203,UPDATE 3-Telefonica eyes listing of LatAm unit to cut debt ,MADRID  Dec 3 Spain's Telefonica is considering listing up to 15 percent of its Latin American arm that could be used to help cut about 6 billion euros ($7.8 billion)  over 10 percent  of its debt and safeguard its credit rating.,normal
TEF,Telefonica SA,20121203,Telefonica considers listing 10-15 pct of Latam unit ,MADRID  Dec 3 Spain's Telefonica SA is working on plans to list 10-15 per cent of its Latin American unit  its chief executive Cesar Alierta said in an interview with the Financial Times published on Monday.,normal
TEF,Telefonica SA,20121203,PRESS DIGEST - Financial Times - Dec 3 ,London should be deposed as the euro's main financial centre so the euro zone can "control" most financial business in the region  France's central bank governor told the FT.,normal
TRI,Thomson Reuters Corp,20121203,Murdoch keeps News Corp name  Thomson becomes publishing CEO ,Rupert Murdoch tapped Wall Street Journal managing editor Robert Thomson  a close confidant with little experience on the business side of publishing  as Chief Executive of his new publishing company  which will retain the News Corp name.,topStory
TM,Toyota Motor Corp Ltd Ord,20121203,UPDATE 5-US auto sales race to 5-year high for November ,* Strongest annual sales rate for any month since Feb 2008,topStory
TM,Toyota Motor Corp Ltd Ord,20121203,TABLE-Top-20 selling vehicles in U.S. in November ,Dec 3 The following are the 20 top-selling vehicles in the U.S. in November of 2012 as reported by the automakers and ranked by total units.       Top 20 selling vehicles in U.S. in November              RANK  VEHICLE                  NOVEMBER  LAST YR   % CHNG  1     Ford F-Series P/U          56 299   47 740    +17.9  2     Chevy Silverado-C/K P/U    30 674   34 251    -10.4  3     Honda Civic                30 075   17 133    +75.5  4     Toyota Camry               28 765   23 440,normal
TM,Toyota Motor Corp Ltd Ord,20121203,BRIEF-Toyota says US Nov industry auto sales up 14.4 pct ,DETROIT  Dec 3 Toyota Motor Corp :  * Says U.S. November industry auto sales up 14.4 percent from year ago  * Toyota says U.S. November sales 15.4 million vehicles at seasonally adjusted,normal
TM,Toyota Motor Corp Ltd Ord,20121203,Toyota Motor U.S. sales up 17 percent at 161 695 vehicles ,Toyota Motor Corp's  U.S. sales rose 17 percent in November from the previous year  to 161 695 new vehicles  the company said on Monday.,normal
TM,Toyota Motor Corp Ltd Ord,20121203,Toyota Motor U.S. sales up 17 percent at 161 695 vehicles ,Dec 3 Toyota Motor Corp's U.S. sales rose 17 percent in November from the previous year  to 161 695 new vehicles  the company said on Monday.,normal
TM,Toyota Motor Corp Ltd Ord,20121203,Toyota China sales remain sluggish under lingering impact of territorial row ,BEIJING Dec 3 Toyota Motor Corp's sales in China fell 22.1 percent in November  highlighting the lingering impact of a territorial row between the two countries  which triggered a slump in Japanese-brand car sales.,normal
TRP,TransCanada Corporation,20121203,Canadian Solar to borrow $139 mln from Deutsche Bank for Ontario projects ,Dec 3 Canadian Solar Inc  which is focusing on the lucrative power plants business to drive growth  said it will borrow C$139 million ($139 million) from Deutsche Bank to build five utility-scale projects in Ontario  Canada.,topStory
VLO,Valero Energy Corporation,20121203,UPDATE 1-Valero says worker died after chemical exposure ,HOUSTON  Dec 3 One of two workers exposed to a hazardous chemical at Valero Energy Corp's Tennessee refinery early on Monday has died  the company said.,topStory
VLO,Valero Energy Corporation,20121203,Valero says there was no fire or explosion at Memphis refinery ,HOUSTON  Dec 3 Valero Energy Corp said on Monday that the rupture of a small window on a unit at its 180 000 barrel-per-day (bpd) refinery in Memphis  Tennessee  injured two workers  but the incident did not involve an explosion or fire as some local media reports had indicated.,normal
VLO,Valero Energy Corporation,20121203,Chemical explosion injures 4 at Valero's Memphis refinery-report ,Dec 3 A chemical explosion at Valero Energy Corp's Memphis  Tennessee  refinery injured at least four people Monday morning  a local media report with News Channel 3 said.,normal
VMC,Vulcan Materials Company,20121203,Martin Marietta to explore friendly offer for Vulcan: WSJ ,U.S. gravel maker Martin Marietta Materials Inc  will look to make a friendly offer to buy rival Vulcan Materials Co   rather than attempt another hostile takeover  the Wall Street Journal reported  citing people close to the decision.,topStory
VMC,Vulcan Materials Company,20121203,Martin Marietta to explore friendly offer for Vulcan - WSJ ,Dec 3 U.S. gravel maker Martin Marietta Materials Inc will look to make a friendly offer to buy rival Vulcan Materials Co  rather than attempt another hostile takeover  the Wall Street Journal reported  citing people close to the decision.,normal
WR,Westar Energy Inc,20121203,Westar sees Kansas power unit back in 8 weeks after fire ,Dec 3 Kansas power company Westar Energy Inc  estimated it would take about eight weeks to return the 385-megawatt (MW) Unit 2 at the natural gas/oil-fired Gordon Evans power plant in Kansas  after a fire damaged a transformer last week.,topStory
WES,Western Gas Partners LP,20121203,Western Gas Equity  PBF Energy set IPO terms ,Dec 3 Western Gas Equity Partners LP and PBF Energy Inc set price ranges on Monday for their proposed initial public offerings as energy companies look to tap a stabilizing United States IPO market.,topStory
