ACRX,AcelRx Pharmaceuticals Inc,20121115,AcelRx pain treatment as effective as standard care in trial ,AcelRx Pharmaceuticals Inc said its drug-device combination for post-operative pain was at least as effective as the standard of care  suggesting it has the potential to replace the current treatment.,topStory
NKE,Nike Inc,20121115,BRIEF-NIKE shares rise 1 percent after the bell ,NEW YORK  Nov 15 Nike Inc :  * Shares rise 1 percent after the bell,topStory
IX,Orix Corp Ads,20121115,TEXT-S&P corrects removal of 'A-' rating on ORIX Corp joint MTN prg ,(The following statement was released by the rating agency),topStory
PFE,Pfizer Inc,20121115,Seoul shares sink to 3-month-plus low on U.S. fiscal showdown ,SEOUL  Nov 15 Seoul shares slid to their lowest closing level since August 3 on Thursday as Middle East conflict battered investor confidence already hurt by concerns about U.S. budget wrangling.,topStory
PFE,Pfizer Inc,20121115,Seoul shares fall to lowest since Aug 3  foreign selling persists ,SEOUL  Nov 15 Seoul shares skidded to their lowest intraday levels in more than three months on Thursday  as Middle East violence soured sentiment already hurt by concerns about U.S. budget woes.,normal
PSX,Phillips 66,20121115,UPDATE 1-Phillips 66 restarting Wood River refinery units -trade ,NEW YORK  Nov 15 Phillips 66 is bringing back online units at its joint-venture  328 000 barrel-per-day refinery in Wood River  Illinois  after completing repairs  trade sources said on Thursday.,topStory
PSX,Phillips 66,20121115,Phillips 66 restarting units at Wood River refinery -trade ,NEW YORK  Nov 15 Phillips 66 is bringing back online units at its joint-venture  328 000 barrel-per-day refinery in Wood River  Illinois  after completing repairs  trade sources said on Thursday.,normal
PG,Procter & Gamble Company (The),20121115,P&G set to cut more jobs  repurchase additional shares ,CINCINNATI Procter & Gamble plans to trim more non-manufacturing jobs through 2016  on top of cutting 10 percent of that workforce by the end of June  as the world's largest household-products maker tries to reinvigorate what has become a sluggish organization.,topStory
PG,Procter & Gamble Company (The),20121115,UPDATE 3-P&G set to cut more jobs  repurchase additional shares ,* No changes to sales  earnings forecasts for quarter  year,normal
PG,Procter & Gamble Company (The),20121115,CORRECTED-BRIEF-Berkshire Hathaway takes share stake in Deere of 3.98 mln shares ,(Corrects headline and first bullet to say Berkshire Hathaway reported share stake in Deere of 3.98 million shares  not 3 978 767 million shares) Nov 14 Berkshire Hathaway Inc :  * Takes share stake in Deere & Co of 3.98 million shares  * Cuts share stake in Lee Enterprises Inc by 65 percent to 1.13 million shares  * Ups share stake in National Oilwell Varco Inc by 47.4 percent to 4.19 million shares  * Takes share stake in Precision Castparts Corp of 1.25 million shares  * Cuts shar,normal
PG,Procter & Gamble Company (The),20121115,BRIEF-Procter & Gamble CFO sees after-tax profit in top 10 developing markets up 35 percent in FY 2013 ,CINCINNATI  Nov 15 Procter & Gamble Co :  * CFO sees after-tax profit in top 10 developing markets up 35 percent in FY,normal
PG,Procter & Gamble Company (The),20121115,BRIEF-Procter & Gamble CFO says high end of Q2 EPS view $1.07-$1.13 includes gain on planned bleach unit divestiture ,CINCINNATI  Nov 15 Procter & Gamble Co :  * CFO says high end of Q2 EPS view $1.07-$1.13 includes gain on planned bleach,normal
PG,Procter & Gamble Company (The),20121115,P&G plans to cut more jobs  repurchase more shares ,CINCINNATI  Nov 15 Procter & Gamble Co  now plans to cut another 2 percent to 4 percent of its non-manufacturing staff  on top of a continuing 10 percent reduction  and said it may increase stock repurchases to $6 billion from $4 billion.,normal
PJH,Prudential Financial Inc,20121115,New Issue- Prudential Financial sells $1.5 bln in notes ,Nov 15 Prudential Financial Inc on Wednesday sold $1.5 billion junior subordinated notes  said IFR  a Thomson Reuters service.      Barclays Capital  Credit Suisse  Deutsche Bank  J.P. Morgan  Morgan Stanley and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: PRUDENTIAL FINANCIAL  AMT $1.5 BLN    COUPON 5.625 PCT*  MATURITY    06/15/2043   TYPE NTS        ISS PRICE 99.994   FIRST PAY   06/15/2013  MOODY'S Baa3    YIELD 5.625 PCT    SETTLEMENT  11/19/2012    S,topStory
PJH,Prudential Financial Inc,20121115,TEXT-S&P rates Prudential Financial jr. sub. notes 'BBB+' ,Nov 15 - Standard & Poor's Ratings Services said today that it has assigned its 'BBB+' junior subordinated debt rating to Prudential Financial Inc.'s (PRU; A/Stable/A-1) $1.5 billion of fixed-to-floating-rate junior subordinated notes due 2043.,normal
PRH,Prudential Financial Inc,20121115,New Issue- Prudential Financial sells $1.5 bln in notes ,Nov 15 Prudential Financial Inc on Wednesday sold $1.5 billion junior subordinated notes  said IFR  a Thomson Reuters service.      Barclays Capital  Credit Suisse  Deutsche Bank  J.P. Morgan  Morgan Stanley and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: PRUDENTIAL FINANCIAL  AMT $1.5 BLN    COUPON 5.625 PCT*  MATURITY    06/15/2043   TYPE NTS        ISS PRICE 99.994   FIRST PAY   06/15/2013  MOODY'S Baa3    YIELD 5.625 PCT    SETTLEMENT  11/19/2012    S,topStory
PRH,Prudential Financial Inc,20121115,TEXT-S&P rates Prudential Financial jr. sub. notes 'BBB+' ,Nov 15 - Standard & Poor's Ratings Services said today that it has assigned its 'BBB+' junior subordinated debt rating to Prudential Financial Inc.'s (PRU; A/Stable/A-1) $1.5 billion of fixed-to-floating-rate junior subordinated notes due 2043.,normal
PRU,Prudential Financial Inc,20121115,New Issue- Prudential Financial sells $1.5 bln in notes ,Nov 15 Prudential Financial Inc on Wednesday sold $1.5 billion junior subordinated notes  said IFR  a Thomson Reuters service.      Barclays Capital  Credit Suisse  Deutsche Bank  J.P. Morgan  Morgan Stanley and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: PRUDENTIAL FINANCIAL  AMT $1.5 BLN    COUPON 5.625 PCT*  MATURITY    06/15/2043   TYPE NTS        ISS PRICE 99.994   FIRST PAY   06/15/2013  MOODY'S Baa3    YIELD 5.625 PCT    SETTLEMENT  11/19/2012    S,topStory
PRU,Prudential Financial Inc,20121115,TEXT-S&P rates Prudential Financial jr. sub. notes 'BBB+' ,Nov 15 - Standard & Poor's Ratings Services said today that it has assigned its 'BBB+' junior subordinated debt rating to Prudential Financial Inc.'s (PRU; A/Stable/A-1) $1.5 billion of fixed-to-floating-rate junior subordinated notes due 2043.,normal
RL,Ralph Lauren Corporation,20121115,Some hedge fund "Tiger Cubs" slash Ralph Lauren  others add ,NEW YORK A group of hedge funds seeded by veteran investor Julian Robertson cropped their stake in fashion brand Ralph Lauren Corp in the third quarter  even as the retailer attracted some of the biggest names in the $2 trillion hedge fund industry.,topStory
RL,Ralph Lauren Corporation,20121115,Some hedge fund 'Tiger Cubs' slash Ralph Lauren  others add ,NEW YORK  Nov 14 A group of hedge funds seeded by veteran investor Julian Robertson cropped their stake in fashion brand Ralph Lauren Corp in the third quarter  even as the retailer attracted some of the biggest names in the $2 trillion hedge fund industry.,normal
COL,Rockwell Collins Inc,20121115,UPDATE 4-Rockwell says Boeing 737 MAX deal 'very material' ,NEW YORK  Nov 15 Boeing Co said on Thursday it had locked down a basic design for its new 737 MAX jet  choosing suppliers for key components and moving the project a step closer to production in 2015.,topStory
COL,Rockwell Collins Inc,20121115,REFILE-Honeywell  Rockwell Collins expected to win Boeing contract- WSJ ,Nov 15 Honeywell International Inc and Rockwell Collins Inc are expected to win major contracts to supply systems to Boeing Co for its updated 737 Max jetliner  the Wall Street Journal reported  citing two people familiar with the decisions.,normal
COL,Rockwell Collins Inc,20121115,Honeywell  Rockwell Collins expected to win Boeing contract: WSJ ,Honeywell International Inc  and Rockwell Collins Inc  are expected to win major contracts to supply systems to Boeing Co  for its updated 737 Max jetliner  the Wall Street Journal reported  citing two people familiar with the decisions.,normal
ROP,Roper Technologies Inc,20121115,New Issue- Roper Industries sells $900 mln of notes in 2 parts ,Nov 15 Roper Industries Inc on Thursday sold $900 million of senior notes in 2 parts  said IFR  a Thomson Reuters service.      Bank of America Merrill Lynch  J.P. Morgan and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: ROPER INDUSTRIES  TRANCHE 1 AMT $400 MLN    COUPON 1.85 PCT    MATURITY    11/15/2017    TYPE SR NTS     ISS PRICE 99.91    FIRST PAY   05/15/2013  MOODY'S Baa2    YIELD 1.869 PCT    SETTLEMENT  11/21/2012    S&P TRIPLE-B    SPREAD 125 BPS ,topStory
ROP,Roper Technologies Inc,20121115,TEXT-S&P rates Roper Industries notes 'BBB' ,Nov 15 - Standard & Poor's Ratings Services today it assigned its 'BBB' issue-level rating to Roper Industries Inc.'s proposed senior unsecured notes  which the company plans to raise in two tranches due 2017 and 2022  respectively  under a universal shelf filing dated Nov. 15  2012. The rating is the same as the corporate credit rating on Roper. The company expects to use the proceeds to repay outstanding debt under its $1.5 billion unsecured revolving credit facility due 2017  which the compan,normal
RBS,Royal Bank Scotland plc (The),20121115,Forward Calendar - U.S. corporate bond new issues ,Nov 15 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources:   *Denotes 144a private placement debt offering.    HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/12/2012                            COMPANY           AMT       MAT/DEBT  RTGS           MGRS                 PRICED Alpec SA de CV    $650 mln  10-yr     Baa3/BBB-/NA   CITI/GS,topStory
RBS,Royal Bank Scotland plc (The),20121115,RBS launches first Rogers exchange-traded notes in the U.S. ,* Five ETNs in ags  energy  base  precious metals  commods basket     * First Rogers funds in the U.S.  similar products listed in Europe      NEW YORK  Nov 15 Royal Bank of Scotland  said on Thursday it is launching five commodities exchange-traded products to track the Rogers International Commodity Index (RICI) Enhanced Indices  marking their first foray in the United States.     The five exchange-traded notes (ETNs) track commodities in the following sectors: agriculture  energy ,normal
RBS,Royal Bank Scotland plc (The),20121115,Forward Calendar - U.S. corporate bond new issues ,Nov 15 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources:   *Denotes 144a private placement debt offering.    HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/12/2012                            COMPANY           AMT       MAT/DEBT  RTGS           MGRS                 PRICED Alpec SA de CV    $600 mln  10-yr     Baa3/BBB-/NA   CITI/GS,normal
RBS,Royal Bank Scotland plc (The),20121115,CORRECTED-UPDATE 2-Canada Libor investigators escalate dispute with RBS ,* RBS says willing to cooperate via alternative mechanisms,normal
SD,SandRidge Energy Inc,20121115,Second investor calls for SandRidge to replace CEO Ward ,NEW YORK A second large investor has called for SandRidge Energy Inc  to replace Chief Executive Officer Tom Ward and overhaul its board  saying the oil and gas company has suffered from "critical failures of management and board oversight.",topStory
SD,SandRidge Energy Inc,20121115,UPDATE 2-Second investor calls for SandRidge to replace CEO Ward ,NEW YORK  Nov 15 A second large investor has called for SandRidge Energy Inc to replace Chief Executive Officer Tom Ward and overhaul its board  saying the oil and gas company has suffered from "critical failures of management and board oversight.",normal
SD,SandRidge Energy Inc,20121115,Second investor calls for SandRidge to replace CEO Ward ,NEW YORK  Nov 15 Another top SandRidge Energy Inc investor called for the oil and gas company to replace Chief Executive Tom Ward and overhaul its board  saying the company has been hurt by "critical failures of management and board oversight.",normal
SNY,Sanofi,20121115,Analysis: Sanofi lets Genzyme's biotech culture call the shots ,PARIS When Sanofi boss Chris Viehbacher first met staff at Genzyme  the U.S. biotech he had just acquired after a long takeover battle  he told them he did not want "planeloads of people coming from Paris over here to kind of Sanofize Genzyme".,topStory
SLB,Schlumberger NV,20121115,UPDATE 3-Schlumberger  Cameron in subsea JV to tap deepsea boom ,* Combines subsea businesses  pose risk to some rivals     * Schlumberger shares rise 2.2 pct  Cameron up 3.6 pct       Nov 15 Schlumberger Ltd  the world's largest oilfield services company  and oilfield equipment maker Cameron International Corp said they would combine their subsea businesses as they look to tap into rising demand for drilling in deeper waters.     Oil companies  bolstered by high oil prices  have raised exploration spending  venturing into areas like the Arctic or,topStory
SLB,Schlumberger NV,20121115,Schlumberger  Cameron International form subsea JV ,Schlumberger Ltd   the world's largest oilfield services company  and oilfield equipment maker Cameron International Corp  said they would combine their subsea businesses as they look to tap into rising demand for drilling in deeper waters.,normal
SLB,Schlumberger NV,20121115,Schlumberger  Cameron International form subsea joint venture ,Nov 15 Schlumberger Ltd  the world's largest oilfield services company  and oilfield equipment maker Cameron International Corp said they will create a joint venture to make products  systems and services for the subsea oil and gas market.,normal
SEE,Sealed Air Corporation,20121115,TEXT-S&P: Sealed Air Corp. Prop Nts  Term Lns Asgnd Rtgs ,-- Elmwood Park  N.J.-based packaging producer Sealed Air Corp. is refinancing its senior secured term loans and unsecured notes.,topStory
SNE,Sony Corp Ord,20121115,Nikkei posts biggest pct rise in a month buoyed by Abe's comments ,* Exporters and contractors jump as Abe backs sub-zero rates,topStory
SNE,Sony Corp Ord,20121115,Sony tumbles on convertible bonds issue ,TOKYO Shares of Sony Corp  tumbled over 10 percent on Thursday  a day after the consumer electronics maker said it will raise 150 billion yen ($1.9 billion) through a sale of convertible bonds to help finance a series of investments.,normal
SNE,Sony Corp Ord,20121115,UPDATE 2-Sony tumbles on convertible bonds issue ,* If price level holds  close would be lowest since 1980   (Adds comment on convertible bonds),normal
SNE,Sony Corp Ord,20121115,Nikkei climbs to 1-week high as softer yen boosts exporters ,* Nikkei up 1 pct  Topix rises 1.1 pct     * Sony tumbles after saying to issue convertible bonds     * Banks in demand after H1 results      By Dominic Lau     TOKYO  Nov 15 Japan's Nikkei average rose to a one-week high on Thursday  supported by gains for exporters as hopes that a new government could lead to easier monetary policy weakened the yen  but Sony Corp tumbled on a fundraising plan.     By the midday break  the Nikkei advanced 1 percent to 8 748.29 Points  breaking above,normal
SNE,Sony Corp Ord,20121115,Nikkei rises to 1-week high  led by exporters as yen weakens ,* Nikkei up 1 pct  Topix rises 1.1 pct     * Sony tumbles after saying to issue convertible bonds     * Banks in demand after H1 results      By Dominic Lau     TOKYO  Nov 15 Japan's Nikkei rose to a one-week high on Thursday  supported by gains for exporters as hopes that a new government could lead to easier monetary policy weakened the yen  but Sony sank on a fundraising plan.     Sony slumped 10.3 percent after the consumer electronics maker said it will raise $1.9 billion throug,normal
SNE,Sony Corp Ord,20121115,Sony tumbles after saying to issue convertible bonds ,TOKYO Shares of Sony Corp  tumbled 10.5 percent to 778 yen on Thursday after the consumer electronics maker said it will raise $1.9 billion through a sale of convertible bonds  a third of which will be used for investment in Olympus Corp .,normal
SNE,Sony Corp Ord,20121115,Sony says liable to $585 mln reimbursements after debt downgrade ,TOKYO  Nov 15 Sony Corp said a Moody's downgrade of its credit rating last week means that some of its commercial clients would be able to demand up to $585 million in immediate reimbursement on advances paid to Sony.,normal
S,Sprint Corporation,20121115,Sprint files for FCC approval for Softbank deal ,NEW YORK Sprint Nextel  on Thursday asked the Federal Communications Commission for approval of its agreement to sell 70 percent of the company to Japan's Softbank Corp .,topStory
S,Sprint Corporation,20121115,Sprint files for FCC approval for Softbank deal ,NEW YORK  Nov 15 Sprint Nextel on Thursday asked the Federal Communications Commission for approval of its agreement to sell 70 percent of the company to Japan's Softbank Corp.,normal
STO,Statoil ASA,20121115,UPDATE 1-Norway loses 8 pct of oil output after platform halted ,* Shutdown affects oil production of 120 000 barrels per day,topStory
STO,Statoil ASA,20121115,RPT-Norway's Troll C oil and gas platform shut due to corrosion ,OSLO  Nov 15 Norwegian oil and gas firm Statoil  shut its massive Troll C oil and gas platform after discovering corrosion in the auxiliary system for gas treatment  it said on Thursday.,normal
STO,Statoil ASA,20121115,Norway's Troll C oil and gas platform shut due to corrosion ,OSLO  Nov 15 Norwegian oil and gas firm Statoil  shut its massive Troll C oil and gas platform after discovering corrosion in the auxiliary system for gas treatment  it said on Thursday.,normal
SLF,Sun Life Financial Inc,20121115,Exclusive: Guggenheim in lead for $1 billion Sun Life unit ,NEW YORK U.S. institutional asset manager Guggenheim Partners has emerged as the lead bidder for Sun Life Financial Inc's  variable annuity business  in a deal that could fetch more than $1 billion  according to people familiar with the matter.,topStory
TGT,Target Corporation,20121115,Target profit beats expectations as store card draws shoppers ,Target Corp  on Thursday said it expects more shoppers this holiday season to adopt its store credit and debit cards  a key tool that draws customers to the discount chain's stores and helped it report a bigger than expected third-quarter profit.,topStory
TGT,Target Corporation,20121115,UPDATE 3-Target profit beats views as store card draws shoppers ,* Sees holiday-quarter profit of $1.45 to $1.55 per share,normal
TGT,Target Corporation,20121115,BRIEF-Target sees Q4 same-store sales up 2-3 pct ,Nov 15 Target Corp :  * CEO says initial traffic at citytarget stores has been strong  * CEO says feels "very good" about ability to open 1st Canadian stores on time ,normal
TGT,Target Corporation,20121115,Target third-quarter profit rises ,Nov 15 Target Corp posted a higher quarterly profit on Thursday  as the discount chain lured shoppers with a wider variety of food products and 5 percent discounts for its credit cardholders.,normal
TTM,Tata Motors Ltd,20121115,Tata Motors global sales rise 6 pct in Oct  JLR up 7 pct ,MUMBAI  Nov 15 Tata Motors Ltd's  global vehicle sales rose 6 percent in October from a year earlier  the Indian company said  with sales at its key Jaguar Land Rover subsidiary rising 7 percent  after falling in September for the first time in 14 months.,topStory
TI,Telecom Italia SPA,20121115,Telecom Italia board to discuss bid for Brazil's GVT ,* Sawiris offer is one option to help finance GVT bid -COO,topStory
TI,Telecom Italia SPA,20121115,Telecom Italia has choice of break-up or expansion - paper ,MILAN  Nov 15 The board of Telecom Italia  will be faced with the choice of breaking up its businesses or an international relaunch with the backing of Egyptian businessman Naguib Sawiris when it meets on Dec. 6  Il Corriere della Sera reported.,normal
TI,Telecom Italia SPA,20121115,Telefonica plans to keep Telecom Italia stake ,BARCELONA/MADRID Spain's Telefonica  wants to remain a long-term shareholder in Telecom Italia  and ruled out selling its stake to cut debt  its chief financial officer said on Wednesday.,normal
TEF,Telefonica SA,20121115,Telefonica launches Microsoft video platform ,MADRID Telefonica is to create a video platform with Microsoft  as part of the Spanish telecoms group's ongoing push into digital services.,topStory
TEF,Telefonica SA,20121115,Telefonica launches Microsoft video platform ,MADRID  Nov 15 Telefonica is to create a video platform with Microsoft  as part of the Spanish telecoms group's ongoing push into digital services.,normal
TEF,Telefonica SA,20121115,Telefonica takes Latin lessons from Santander ,MADRID  Nov 15 Spanish group Telefonica  is following in the footsteps of compatriot Banco Santander  by looking to squeeze cash out of its Latin American business to help battle a grim recession at home.,normal
TEF,Telefonica SA,20121115,Telefonica plans to keep Telecom Italia stake ,BARCELONA/MADRID Spain's Telefonica  wants to remain a long-term shareholder in Telecom Italia  and ruled out selling its stake to cut debt  its chief financial officer said on Wednesday.,normal
TEVA,Teva Pharmaceutical Industries Limited,20121115,Teva Pharma  AstraZeneca seek to buy Amarin: report ,JERUSALEM Teva Pharmaceutical Industries   the world's largest generics drugmaker  is a leading candidate to buy Irish biopharmaceutical company Amarin   Israel's Calcalist financial daily reported on Thursday.,topStory
TRI,Thomson Reuters Corp,20121115,BTS taps Morgan Stanley  UBS  Phatra for record $1.1 billion Thai IPO: IFR ,HONG KONG Bangkok skytrain operator BTS Group Holdings Pcl  has appointed Morgan Stanley   Phatra Securities and UBS  as joint bookrunners for a planned 33.3 billion baht ($1.08 billion) IPO of an infrastructure fund it is setting up  IFR reported on Thursday  citing sources.,topStory
TRI,Thomson Reuters Corp,20121115,BTS taps M.Stanley  UBS  Phatra for record $1.1 bln Thai IPO-IFR ,HONG KONG  Nov 15 Bangkok skytrain operator BTS Group Holdings Pcl has appointed Morgan Stanley  Phatra Securities and UBS as joint bookrunners for a planned 33.3 billion baht ($1.08 billion) IPO of an infrastructure fund it is setting up  IFR reported on Thursday  citing sources.,normal
TM,Toyota Motor Corp Ltd Ord,20121115,Toyota recalls 11 153 Scion iQs ,Toyota Motor Corp  is recalling 11 153 Scion iQ hatchbacks because the front passenger air bags might not deploy in a crash.,topStory
TM,Toyota Motor Corp Ltd Ord,20121115,Toyota recalls 11 153 Scion iQs ,Nov 15 Toyota Motor Corp  is recalling 11 153 Scion iQ hatchbacks because the front passenger air bags might not deploy in a crash.,normal
RIG,Transocean Ltd,20121115,BRIEF-Transocean wins reversal in patent lawsuit vs Maersk ,Nov 15 Transocean Ltd :  * Wins reversal of decision in favor of maersk drilling USA in patent,topStory
USB,US Bancorp,20121115,CORRECTED-BRIEF-Berkshire Hathaway takes share stake in Deere of 3.98 mln shares ,(Corrects headline and first bullet to say Berkshire Hathaway reported share stake in Deere of 3.98 million shares  not 3 978 767 million shares) Nov 14 Berkshire Hathaway Inc :  * Takes share stake in Deere & Co of 3.98 million shares  * Cuts share stake in Lee Enterprises Inc by 65 percent to 1.13 million shares  * Ups share stake in National Oilwell Varco Inc by 47.4 percent to 4.19 million shares  * Takes share stake in Precision Castparts Corp of 1.25 million shares  * Cuts shar,topStory
UAL,United Continental Holdings Inc,20121115,United says computer issue affecting flights resolved ,Computer problems affecting some United Continental Holdings Inc flights have been resolved  the airline said in a posting to its official Twitter feed on Thursday.,topStory
UAL,United Continental Holdings Inc,20121115,United says computer issue affecting flights resolved ,Computer problems affecting some United Continental Holdings Inc flights have been resolved  the airline said in a posting to its official Twitter feed on Thursday.,normal
UAL,United Continental Holdings Inc,20121115,United says computer issue affecting some flights ,Computer problems are affecting some United Continental Holdings flights  the airline said in a posting to its official Twitter feed on Thursday.,normal
UAL,United Continental Holdings Inc,20121115,United says computer issue affecting some flights ,Nov 15 Computer problems are affecting some United Continental Holdings flights  the airline said in a posting to its official Twitter feed on Thursday.,normal
UTX,United Technologies Corporation,20121115,UPDATE 3-United says system outage affected less than 200 flights ,* Some customers can get refunds   (Recasts with company comment),topStory
V,Visa Inc,20121115,CORRECTED-BRIEF-Berkshire Hathaway takes share stake in Deere of 3.98 mln shares ,(Corrects headline and first bullet to say Berkshire Hathaway reported share stake in Deere of 3.98 million shares  not 3 978 767 million shares) Nov 14 Berkshire Hathaway Inc :  * Takes share stake in Deere & Co of 3.98 million shares  * Cuts share stake in Lee Enterprises Inc by 65 percent to 1.13 million shares  * Ups share stake in National Oilwell Varco Inc by 47.4 percent to 4.19 million shares  * Takes share stake in Precision Castparts Corp of 1.25 million shares  * Cuts shar,topStory
WMT,Wal-Mart Stores Inc,20121115,India to ask Wal-Mart for documents in investment probe -report ,Nov 15 The Indian government will ask Wal-Mart Stores Inc to turn over some documents as part of a probe into whether the U.S. retailer violated foreign ownership rules  the Press Trust of India reported late on Thursday.,topStory
WMT,Wal-Mart Stores Inc,20121115,Wal-Mart sales under global pressure  shares down ,Wal-Mart Stores Inc  posted disappointing quarterly sales on Thursday as shoppers in key markets like the United States battled high gasoline prices and unemployment  while store traffic continued to decline in China.,normal
WMT,Wal-Mart Stores Inc,20121115,UPDATE 4-Wal-Mart sales under global pressure  shares down ,Nov 15 Wal-Mart Stores Inc posted disappointing quarterly sales on Thursday as shoppers in key markets like the United States battled high gasoline prices and unemployment  while store traffic continued to decline in China.,normal
WMT,Wal-Mart Stores Inc,20121115,US STOCKS SNAPSHOT - Wall St opens flat after data  Wal-Mart ,NEW YORK  Nov 15 U.S. stocks were little changed at the open on Thursday as weak results from Wal-Mart and a rise in initial jobless claims gave investors little reason to buy after declines in the prior two sessions.,normal
WMT,Wal-Mart Stores Inc,20121115,BRIEF-Wal Mart Stores-says incurred expenses of about $48 million in Q3 related to fcpa review ,CHICAGO  Nov 15 Wal-Mart Stores Inc :  * Says incurred expenses of about $48 million in Q3 related to fcpa review  * Says inquiries or investigations on allegations of potential fcpa violations,normal
WMT,Wal-Mart Stores Inc,20121115,Wal-Mart posts higher quarterly profit ,Nov 15 Wal-Mart Stores Inc posted a higher quarterly profit on Thursday  helped by strong sales of back-to-school merchandise in the United States.,normal
WU,Western Union Company (The),20121115,TEXT - Fitch cuts Western Union ratings ,Nov 15 - Fitch Ratings has lowered the Issuer Default Rating (IDR) for The Western Union Company (Western Union) and all senior unsecured ratings to 'BBB+' from 'A-'. The Rating Outlook is Negative.   The ratings downgrade reflects the following considerations:  --Western Union provided initial guidance for 2013 that is significantly below  expected 2012 results. Specifically  the company believes revenue may be flat to down modestly but GAAP operating income may be down 10% to 15% as margins  d,topStory
WBK,Westpac Banking Corporation,20121115,Westpac launches wholesale  retail banking ops in India ,Nov 15 Westpac Banking Corp  Australia's third-largest lender by assets  said on Thursday it has opened its first branch in India that will offer wholesale and retail banking services including trade finance  deposits and remittances.,topStory
YELP,Yelp Inc,20121115,TEXT-S&P Assigns Yellowstone Energy L.P. Bonds Prelim 'BBB-' Rtg ,-- Yellowstone Energy L.P. is issuing $123 million senior secured notes supporting its 54-megawatt petroleum-coke-fueled circulating fluidized bed power plant located in Billings  Mont.,topStory
