AMZN,Amazoncom Inc,20121019,Ecuador says companies join novel Amazon protection fund ,* About a dozen firms contributing to rainforest initiative,topStory
PH,Parker-Hannifin Corporation,20121019,WRAPUP 3-Firm dollar  weak Europe crimp U.S. industrials' sales ,* Honeywell  Ingersoll shares gain; others lower   (Adds GE  Honeywell executive comment  updates share prices),topStory
PH,Parker-Hannifin Corporation,20121019,WRAPUP 2-Firm dollar  weak Europe crimp U.S. industrials' sales ,NEW YORK  Oct 19 Four top U.S. manufacturers  including General Electric Co and Honeywell International Corp  reported weaker-than-expected sales on Friday  in a fresh warning to investors that demand around the world remains sluggish.,normal
PH,Parker-Hannifin Corporation,20121019,Parker Hannifin profit  sales miss estimates ,Parker Hannifin Corp   which makes control systems for the manufacturing and transport industries  reported lower quarterly earnings on Friday and cut its fiscal-year forecast by a wide margin  citing an uncertain economic outlook.,normal
PH,Parker-Hannifin Corporation,20121019,UPDATE 1-Parker Hannifin profit  sales miss estimates ,* Third-quarter earnings per share of $1.57 below Wall St view,normal
PH,Parker-Hannifin Corporation,20121019,BRIEF-Parker Hannifin shares fall 8.3 percent in premarket trade ,NEW YORK  Oct 19 Parker Hannifin Corp :  * Shares fall 8.3 percent in premarket trade,normal
PH,Parker-Hannifin Corporation,20121019,Parker Hannifin net profit falls 19 pct ,Oct 19 Parker Hannifin Corp  a maker of control systems for manufacturing and transport  reported lower quarterly earnings on Friday and cut its forecast for the fiscal year that ends in June  citing an uncertain economic outlook.,normal
PKX,POSCO,20121019,POSCO to lift Indonesia investment to $11 billion over next 5 years: Jakarta ,JAKARTA South Korean steelmaker POSCO  will almost double its investment in Indonesia to $11 billion over the next five years  from $6 billion currently  Chief Economics Minister Hatta Rajasa said on Friday.,topStory
PKX,POSCO,20121019,UPDATE 2-POSCO to lift Indonesia investment to $11 bln over next 5 years-Jakarta ,JAKARTA  Oct 19 South Korean steelmaker POSCO  will almost double its investment in Indonesia to $11 billion over the next five years  from $6 billion currently  Chief Economics Minister Hatta Rajasa said on Friday.,normal
PKX,POSCO,20121019,POSCO to lift Indonesia investment to $11 billion over next five years: Jakarta ,JAKARTA South Korean steelmaker POSCO  will almost double its investment in Indonesia to $11 billion over the next five years  from $6 billion currently  Chief Economics Minister Hatta Rajasa said on Friday.,normal
PKX,POSCO,20121019,RPT-UPDATE 1-POSCO to lift Indonesia investment to $11 bln over next 5 years-Jakarta ,JAKARTA  Oct 19 South Korean steelmaker POSCO  will almost double its investment in Indonesia to $11 billion over the next five years  from $6 billion currently  Chief Economics Minister Hatta Rajasa said on Friday.,normal
PJH,Prudential Financial Inc,20121019,US risk panel eyes Prudential as 'systemically important' ,WASHINGTON  Oct 19 The new U.S. risk council has moved closer to deciding whether Prudential Financial is "systemically important " a Prudential spokesman said on Friday  a tag that would translate into greater regulatory scrutiny for the second-largest U.S. life insurer.,topStory
PRH,Prudential Financial Inc,20121019,US risk panel eyes Prudential as 'systemically important' ,WASHINGTON  Oct 19 The new U.S. risk council has moved closer to deciding whether Prudential Financial is "systemically important " a Prudential spokesman said on Friday  a tag that would translate into greater regulatory scrutiny for the second-largest U.S. life insurer.,topStory
PRU,Prudential Financial Inc,20121019,US risk panel eyes Prudential as 'systemically important' ,WASHINGTON  Oct 19 The new U.S. risk council has moved closer to deciding whether Prudential Financial is "systemically important " a Prudential spokesman said on Friday  a tag that would translate into greater regulatory scrutiny for the second-largest U.S. life insurer.,topStory
PSA,Public Storage,20121019,BRIEF - Moody's raises Public Storage senior debt to A2 ,Oct 19 Moody's raises Public Storage senior debt to A2 from A3,topStory
RBS,Royal Bank Scotland plc (The),20121019,Forward Calendar - U.S. corporate bond new issues ,Oct 19 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources:   *Denotes 144a private placement debt offering.  HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 10/15/2012                            COMPANY           AMT       MAT/DEBT  RTGS           MGRS                 PRICED *Abank            $500 mln   5-yr     Baa2/NR/BBB-   BAML/CITI,topStory
RBS,Royal Bank Scotland plc (The),20121019,FSA should have halted RBS's ABN Amro deal: lawmakers ,LONDON Britain's financial regulator should have stopped Royal Bank of Scotland's  takeover of Dutch bank ABN Amro in 2007  British lawmakers said in a report published on Friday.,normal
R,Ryder System Inc,20121019,McIlroy leads Ryder Cup reunion in Hong Kong ,HONG KONG World number one Rory McIlroy is set to defend his Hong Kong Open title next month  organizers said on Friday.,topStory
SLB,Schlumberger NV,20121019,Gas slump hits Baker; Schlumberger flexes global muscle ,Steady growth in drilling activity outside North America gave a big lift to Schlumberger Ltd   the world's largest oil services company  but the U.S. natural gas slump weighed even more than expected on rival Baker Hughes Inc .,topStory
SLB,Schlumberger NV,20121019,WRAPUP 4-Gas slump hits Baker; Schlumberger flexes global muscle ,* Schlumberger quarterly earnings edge past analysts' estimates,normal
SLB,Schlumberger NV,20121019,BRIEF-Schlumberger targets double-digit EPS growth in 2013 ,Oct 19 Schlumberger NV :  * CEO says hydraulic fracturing margins to come down in Q4  and likely again in,normal
SLB,Schlumberger NV,20121019,Schlumberger profit rises on international strength ,Schlumberger Ltd   the world's largest oilfield services company  reported a higher-than-expected quarterly profit on Friday  lifted by its strength outside the volatile North American market and its exposure to the offshore drilling boom.,normal
SLB,Schlumberger NV,20121019,UPDATE 1-Schlumberger profit rises on international strength ,Oct 19 Schlumberger Ltd  the world's largest oilfield services company  reported a higher-than-expected quarterly profit on Friday  lifted by its strength outside the volatile North American market and its exposure to the offshore drilling boom.,normal
SLB,Schlumberger NV,20121019,Schlumberger profit rises on international strength ,Oct 19 Schlumberger Ltd  the world's largest oilfield services company  reported a higher quarterly profit on Friday  lifted by its strength outside the volatile North American market and its exposure to the offshore drilling boom.,normal
SNE,Sony Corp Ord,20121019,Sony to cut HQ staff by a fifth  shutter Japan plant ,TOKYO Sony Corp said it will cut staff in its headquarters by a fifth and shutter a factory making camera lenses and mobile phones in Japan  providing new details of a previously announced plan to trim its global headcount by 10 000 by end-March.,topStory
SNE,Sony Corp Ord,20121019,UPDATE 1-Sony to cut HQ staff by a fifth  shutter Japan plant ,* Says job reduction in Japan of 3 800 people by March end,normal
SNE,Sony Corp Ord,20121019,Japan's Sony to cut 2 000 jobs in restructuring ,TOKYO  Oct 19 Sony Corp said on Friday it would cut 2 000 jobs in the year to March 2013 as part of a restructuring plan aimed at speeding up reforms in its struggling electronics business.,normal
S,Sprint Corporation,20121019,TEXT-Fitch says Sprint's stronger link to Clearwire likely strategic ,Oct 19 - Sprint Nextel's intention to buy Eagle River Holdings LLC's stake in Clearwire Corp. is likely another step in an evolutionary process that could eventually result in the company gaining sole control of the wireless network operator  according to Fitch Ratings. At the very least  Sprint's link to Clearwire would be stronger  and therefore complicate things a bit for those companies considering a move to buyout Clearwire.  Upon completion of the transaction  Sprint would have a 50.4% maj,topStory
S,Sprint Corporation,20121019,Softbank CEO won't rule out bid for MetroPCS: WSJ ,Japan's Softbank Corp   which is set to buy a 70 percent stake in U.S. wireless carrier Sprint Nextel Corp   would not rule out making a competing bid for MetroPCS Communications Inc   the Wall Street Journal reported.,normal
S,Sprint Corporation,20121019,Softbank CEO won't rule out bid for MetroPCS - WSJ ,Oct 18 Japan's Softbank Corp  which is set to buy a 70 percent stake in U.S. wireless carrier Sprint Nextel Corp  would not rule out making a competing bid for MetroPCS Communications Inc  the Wall Street Journal reported.,normal
STT,State Street Corporation,20121019,Boeing worker accuses State Street of overcharging on forex trades ,BOSTON A Boeing Co  worker has filed a lawsuit seeking class-action status against State Street Corp  over currency trades in the airplane maker's $34 billion retirement plan.,topStory
STT,State Street Corporation,20121019,Boeing worker accuses State Street of overcharging on FX trades ,BOSTON A Boeing Co worker has filed a lawsuit seeking class-action status against State Street Corp over currency trades in the airplane maker's $34 billion retirement plan.,normal
STT,State Street Corporation,20121019,Boeing worker accuses State Street of overcharging on FX trades ,BOSTON  Oct 19 A Boeing Co worker has filed a lawsuit seeking class-action status against State Street Corp over currency trades in the airplane maker's $34 billion retirement plan.,normal
SLF,Sun Life Financial Inc,20121019,Canada's Sun Life not selling UK unit ,LONDON  Oct 19 Canadian insurer Sun Life Financial is committed to Britain  it said on Friday after the Financial Times reported it had shelved plans to sell its British division.,topStory
TTM,Tata Motors Ltd,20121019,Indian Hotels shares drop on bid for Orient-Express ,MUMBAI Indian Hotels Co Ltd's  unsolicited and unexpected $1.2 billion bid for luxury hotel group Orient-Express Hotels Ltd   which it has long coveted  sent shares in the company controlled by the Tata conglomerate falling more than 5 percent.,topStory
TI,Telecom Italia SPA,20121019,Regulator clears Telecom Italia fiber access terms ,MILAN  Oct 19 Italy's telecoms and media authority Agcom has cleared terms to access Telecom Italia's  unused optic fiber and infrastructure  the regulator said in a statement on Friday.,topStory
TI,Telecom Italia SPA,20121019,Little Swisscom interest in Telecom Italia network spin-off ,* Would consider renting passive infrastructure if needed,normal
TRI,Thomson Reuters Corp,20121019,Factbox: The 1987 Crash  by the numbers ,It was 25 years ago today that the market experienced its worst day in history  as the Dow Jones Industrial Average  slumped by 508 points  or 22 percent.,topStory
TRP,TransCanada Corporation,20121019,UPDATE 1-Bad weather hampers Keystone work - TransCanada ,CALGARY  Alberta  Oct 19 TransCanada Corp  said on Friday that poor weather was  impeding efforts to inspect a section of its idled Canada-to-United States oil pipeline  but the company stuck to its estimate for a weekend restart for the major export conduit.,topStory
TRP,TransCanada Corporation,20121019,Bad weather hampers Keystone work - TransCanada ,CALGARY  Alberta  Oct 19 TransCanada Corp  said on Friday that bad weather was hampering efforts to move heavy equipment in to inspect a section of its 590 000 barrel a day Keystone pipeline  which moves Canadian oil to the central United States.,normal
TKC,Turkcell Iletisim Hizmetleri AS,20121019,Turkish lira  bonds steady; Turkcell shares rise on Q3 results ,ISTANBUL  Oct 19 Turkey's lira and bonds held steady on Friday  a day after the central bank eased monetary policy with a smaller-than-expected interest rate cut  while Turkcell shares rose after strong third-quarter results.,topStory
TKC,Turkcell Iletisim Hizmetleri AS,20121019,Turkcell Q3 profit up 6.3 percent on higher EBITDA  finance income ,ISTANBUL Turkey's largest mobile phone operator Turkcell's  third-quarter net profit rose 6.3 percent to 570.8 million lira ($317.67 million) due to rising net finance income and earnings before interest  tax  depreciation and amortisation (EBITDA).,normal
TKC,Turkcell Iletisim Hizmetleri AS,20121019,Turkcell Q3 profit up 6.3 pct on higher EBITDA  finance income ,ISTANBUL  Oct 19 Turkey's largest mobile phone operator Turkcell's third-quarter net profit rose 6.3 percent to 570.8 million lira ($317.67 million) due to rising net finance income and earnings before interest  tax  depreciation and amortisation (EBITDA).,normal
UPS,United Parcel Service Inc,20121019,UPS  TNT to reply to EU objections within a couple of weeks ,NEW YORK United Parcel Service  Inc  and its Dutch merger partner TNT Express NV  said on Friday they would take a couple of weeks to reply to European Commission objections to their 5.2 billion euro ($6.8 billion) deal.,topStory
UPS,United Parcel Service Inc,20121019,UPS  TNT to reply to EU objections within a couple of weeks ,NEW YORK  Oct 19 United Parcel Service  Inc  and its Dutch merger partner TNT Express NV  said on Friday they would take a couple of weeks to reply to European Commission objections to their 5.2 billion euro ($6.8 billion) deal.,normal
UNH,UnitedHealth Group Incorporated,20121019,TEXT-S&P corrects Oxford Health Plans ratings ,(The following statement was released by the rating agency)  Rating Action On Oct. 19  2012  Standard & Poor's Ratings Services corrected its financial  strength and issuer credit ratings on Oxford Health Plans (NY) Inc. to 'AA-'  from 'A+' and revised the outlook to stable from positive.  Rationale Oxford Health is a core member of UnitedHealth Group Inc. In accordance with  our criteria  the ratings and outlook on Oxford Health should be equivalent to  the ratings and outlook assigned to Unite,topStory
VZ,Verizon Communications Inc,20121019,TEXT-Fitch says Verizon's pension strategy a long-term positive ,Oct 19 - Fitch Ratings believes Verizon Communications Inc.'s (Verizon) plans to transfer the existing pension obligations of its management retirees to Prudential Insurance Company of America (Prudential; long-term Issuer Default Rating of 'A'  Issuer Financial Strength rating of 'A+'  Stable Outlook) through the purchase of a group annuity contract has an incremental positive impact on the company's credit profile. The transfer is a significant step to reduce future cash contributions to the c,topStory
VZA,Verizon Communications Inc,20121019,TEXT-Fitch says Verizon's pension strategy a long-term positive ,Oct 19 - Fitch Ratings believes Verizon Communications Inc.'s (Verizon) plans to transfer the existing pension obligations of its management retirees to Prudential Insurance Company of America (Prudential; long-term Issuer Default Rating of 'A'  Issuer Financial Strength rating of 'A+'  Stable Outlook) through the purchase of a group annuity contract has an incremental positive impact on the company's credit profile. The transfer is a significant step to reduce future cash contributions to the c,topStory
WMT,Wal-Mart Stores Inc,20121019,PRESS DIGEST - Financial Times - Oct 19 ,Barclays reported a spike in claims of unwanted insurance policies sold  forcing it to set aside a further 700 million pounds ($1.13 billion).,topStory
