FCCY,1st Constitution Bancorp (NJ),20180420,BRIEF-1St Constitution Bancorp Q1 Earnings Per Share $0.34 ,* REPORTS FIRST QUARTER 2018 RESULTS AND DECLARES QUARTERLY DIVIDEND OF $0.06 PER SHARE,topStory
BBY,Best Buy Co Inc,20180420,BRIEF-Best Buy Says Co Entered Into $1.25 Bln 5-Year Senior Unsecured Revolving Credit Facility Agreement ,* BEST BUY CO SAYS ON APRIL 17  CO ENTERED INTO A $1.25 BILLION FIVE-YEAR SENIOR UNSECURED REVOLVING CREDIT FACILITY AGREEMENT - SEC FILING,topStory
BIG,Big Lots Inc,20180420,BRIEF-Big Lots Says David Campisi's FY 2017 Total Compensation Was $8.3 Mln Vs $9.8 Mln In FY 2016 ,* BIG LOTS SAYS DAVID CAMPISI'S FY 2017 TOTAL COMPENSATION WAS $8.3 MILLION VERSUS $9.8 MILLION IN FY 2016 - SEC FILING Source : https://bit.ly/2vuMKMK Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
BLK,BlackRock Inc,20180420,BRIEF-Konecranes says total holding of Blackrock Inc risen above 10 pct ,* RECEIVED NOTIFICATION ACCORDING TO WHICH TOTAL HOLDING OF BLACKROCK  INC. IN CO'S SHARES AND VOTES HAS RISEN ABOVE 10 PERCENT,topStory
BLK,BlackRock Inc,20180420,BlackRock holds 5 percent stake in Poland's Alior Bank ,WARSAW BlackRock Inc   the world's largest asset manager  has a small stake in Poland's Alior Bank  that gives it more than 5 percent of voting rights  the bank disclosed on Friday.,normal
BLK,BlackRock Inc,20180420,BlackRock holds 5 pct stake in Poland's Alior Bank ,WARSAW  April 20 BlackRock Inc  the world's largest asset manager  has a small stake in Poland's Alior Bank that gives it more than 5 percent of voting rights  the bank disclosed on Friday.,normal
BA,Boeing Company (The),20180420,Boeing  Brazil's Embraer close to tie-up: report ,SAO PAULO Talks aimed at a tie-up between planemakers Boeing Co  and Embraer SA  that also involve Brazil's government are at an advanced stage  O Estado de S. Paulo newspaper reported on Friday  citing unnamed sources.,topStory
BA,Boeing Company (The),20180420,Turkish Airlines chooses GE Aviation engines for new planes ,ISTANBUL  April 20 Turkish Airlines said it will buy engines from GE Aviation for up to 30 new Boeing planes it will order  the national flag carrier said on Friday in a filing to the Istanbul stock exchange.,normal
BCC,Boise Cascade LLC,20180420,BRIEF-Boise Cascade Co - Expects To Recognize A Non-Cash Pension Settlement Charge In Q2 Of 2018 ,* BOISE CASCADE CO - EXPECTS TO RECOGNIZE A NON-CASH PENSION SETTLEMENT CHARGE IN Q2 OF 2018 - SEC FILING Source text: (https://bit.ly/2K2AqXB) Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
BP,BP plc,20180420,Oil stocks face crucial earnings test as investors venture back in ,LONDON Formerly skeptical investors are buying back into oil majors in the hope that upcoming results will mark a turning point for energy stocks which have failed to keep pace with a surge in crude prices.,normal
BP,BP plc,20180420,Oil stocks face crucial earnings test as investors venture back in ,* GRAPHIC: European oil stocks EPS rises https://reut.rs/2HaYq8V,normal
BRFS,BRF SA,20180420,Brazil BRF board supports candidate list ,SAO PAULO  April 20 The board of Brazilian food company BRF SA has endorsed a list of 10 candidates ahead of a vote on a new set of directors  the company said on Friday  suggesting top shareholders have reached a consensus on its composition.,topStory
BRFS,BRF SA,20180420,BRF shareholders with 1/3 stake agree on next board of directors ,BRASILIA Shareholders with a combined 32.8 percent stake in Brazilian food processor BRF SA  have agreed to jointly vote for 10 new members of the board of directors  led by Pedro Parente as chairman  BRF said on Thursday in a filing.,normal
BGG,Briggs & Stratton Corporation,20180420,BRIEF-U.S. CPSC Says Briggs & Stratton Recalls Surface Cleaners Due To Injury Hazard ,April 20 U.S. Consumer Product Safety Commission:,topStory
BKE,Buckle Inc (The),20180420,BRIEF-Buckle Inc CEO Dennis Nelson's FY 2017 Total Compensation Was $3 Mln ,* BUCKLE INC PRESIDENT AND CEO DENNIS NELSON'S FY 2017 TOTAL COMPENSATION WAS $3 MILLION VERSUS $3.3 MILLION IN FY 2016 - SEC FILING Source text: (http://bit.ly/2vBHW8i) Further company coverage:,topStory
CE,Celanese Corporation,20180420,BRIEF-Celanese Appoints Benita Casey As Chief Accounting Officer ,* CELANESE APPOINTS BENITA CASEY AS CHIEF ACCOUNTING OFFICER Source text for Eikon: Further company coverage:,topStory
CHL,China Mobile (Hong Kong) Ltd,20180420,China Mobile posts 4.1 percent rise in first-quarter profit ,HONG KONG China Mobile Ltd   the world's largest telecom carrier  on Friday said profit for the first three months of the year rose 4.1 percent  driven by its strong mobile business.,topStory
CHL,China Mobile (Hong Kong) Ltd,20180420,China Mobile posts 4.1 pct rise in Q1 profit ,HONG KONG  April 20 China Mobile Ltd  the world's largest telecom carrier  on Friday said profit for the first three months of the year rose 4.1 percent  driven by its strong mobile business.,normal
CHL,China Mobile (Hong Kong) Ltd,20180420,BRIEF-China Mobile Posts Q1 Profit Attributable Of RMB25.8 Bln ,* AS AT 31 MARCH 2018  TOTAL NUMBER OF MOBILE CUSTOMERS WAS AROUND 899 MILLION,normal
CHU,China Unicom (Hong Kong) Ltd,20180420,BRIEF-China Unicom Hong Kong Says March Aggregate Number Of Mobile Billing Subscribers 293.9 Mln ,* MARCH NET ADDITION OF LOCAL ACCESS SUBSCRIBERS DOWN 0.308 MILLION,topStory
CHU,China Unicom (Hong Kong) Ltd,20180420,BRIEF-China Unicom (Hong Kong) Says Q1 Profit Attributable To Equity Shareholders Of Co RMB 3.01 Bln ,* QTRLY PROFIT ATTRIBUTABLE TO EQUITY SHAREHOLDERS OF COMPANY AMOUNTED TO RMB 3 005 MILLION  UP SIGNIFICANTLY BY 248.7 PERCENT YEAR-ON-YEAR.,normal
CYD,China Yuchai International Limited,20180420,BRIEF-China Yuchai Announces Delivery Of 800 Buses Powered By Gymcl Engines To Saudi Arabia ,* CHINA YUCHAI ANNOUNCES DELIVERY OF 800 BUSES POWERED BY GYMCL ENGINES TO SAUDI ARABIA Source text for Eikon: Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
CMG,Chipotle Mexican Grill Inc,20180420,BRIEF-Chipotle Names Marissa Andrada Chief Human Resources Officer ,* CHIPOTLE NAMES MARISSA ANDRADA CHIEF HUMAN RESOURCES OFFICER,topStory
CMG,Chipotle Mexican Grill Inc,20180420,DIARY-U.S. earnings week ahead ,    April 20 Diary of U.S. (.SPX) corporate earnings for the week ahead.  ** Please Note - All times given are in U.S. EST unless otherwise stated ** U.S. EARNINGS    Start Date   Start    RIC     Company                          Event Name               Time                                                23-Apr-2018  BMO      FE.N    FirstEnergy Corp                 Q1 2018 FirstEnergy Corp Earnings Release  23-Apr-2018  BMO      ALK.N   Alaska Air Group Inc             Q1 2018 Alas,normal
C,Citigroup Inc,20180420,Yorktown selling Egypt oil business Merlon -sources ,LONDON  April 20 Private equity firm Yorktown Partners is selling its Egyptian-focused oil and gas company Merlon International  hoping to raise up to $400 million  two banking sources told Reuters.,normal
CFG,Citizens Financial Group Inc,20180420,BRIEF-Citizens Financial Group Reports First Quarter Net Income Of $388 Million And Diluted EPS Of $0.78 ,* CITIZENS FINANCIAL GROUP  INC. REPORTS FIRST QUARTER NET INCOME OF $388 MILLION AND DILUTED EPS OF $0.78,topStory
CLF,Cleveland-Cliffs Inc,20180420,BRIEF-Cleveland-Cliffs Inc Q1 Revenue $239 Mln Vs $462 Mln ,* FY 2018 U.S. IRON ORE CASH COST OF GOODS SOLD AND OPERATING EXPENSE EXPECTATION WAS MAINTAINED AT $58 - $63 PER LONG TON,topStory
CLX,Clorox Company (The),20180420,UPDATE 1-P&G's vitamin boost could signal more to come ,* Health and wellness seen as attractive to younger consumers,normal
CLX,Clorox Company (The),20180420,P&G's vitamin boost could signal more to come ,LONDON/CHICAGO  April 20 Procter & Gamble's $4.2 billion deal for Merck's vitamin and supplements business is the latest example of a major consumer company stocking up on health-related products.,normal
CEO,CNOOC Limited,20180420,BRIEF-CNOOC Updates On Proposed Notes Issue To Be Guaranteed By Co ,* UNIT PROPOSES TO OFFER NOTES TO PROFESSIONAL INVESTORS IN HONG KONG AND ELSEWHERE OUTSIDE UNITED STATES  AND IN UNITED STATES,topStory
CEO,CNOOC Limited,20180420,CNOOC delivered strongest first-quarter revenue since 2014 on growth in gas sales ,BEIJING First-quarter revenue at CNOOC Ltd   the listed arm of China National Offshore Oil Co  rose 10.8 percent from a year earlier  largely due to a rebound in international oil prices.,normal
CEO,CNOOC Limited,20180420,Indonesia's Pertamina to take over 8 expiring oil blocks -energy ministry ,JAKARTA  April 20 Indonesia's Pertamina has signed agreements to take over the rights to eight expiring oil field blocks previously held by Chevron   CNOOC and Inpex  among others  an energy ministry official said on Friday.,normal
CEO,CNOOC Limited,20180420,BRIEF-Cnooc Ltd Announces Proposed Offering Of Guaranteed Notes ,* CNOOC LTD - IT INTENDED TO OFFER  SUBJECT TO MARKET AND OTHER CONDITIONS  GUARANTEED NOTES - SEC FILING,normal
CEO,CNOOC Limited,20180420,CNOOC delivered strongest Q1 revenue since 2014 on growth in gas sales ,BEIJING  April 20 First-quarter revenue at CNOOC Ltd  the listed arm of China National Offshore Oil Co  rose 10.8 percent from a year earlier  largely due to a rebound in international oil prices.,normal
CEO,CNOOC Limited,20180420,BRIEF-Cnooc Ltd - Files For Potential Debt Shelf Offering Size Not Disclosed - SEC Filing ,* CNOOC LTD - FILES FOR POTENTIAL DEBT SHELF OFFERING; SIZE NOT DISCLOSED - SEC FILING,normal
KO,Coca-Cola Company (The),20180420,BRIEF-Coca-Cola Icecek Collective Bargaining Agreement With Tek-Gida Is Labour Union Is Finalised ,* SAID ON THURSDAY COLLECTIVE BARGAINING AGREEMENT NEGOTIATIONS WITH TEK-GIDA IS LABOUR UNION ARE FINALISED,topStory
CAG,ConAgra Brands Inc,20180420,BRIEF-Conagra Brands Announces Quarterly Dividend Payment ,* CONAGRA BRANDS - BOARD OF DIRECTORS APPROVED A QUARTERLY DIVIDEND PAYMENT OF $0.2125 PER SHARE Source text for Eikon: Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
CAG,ConAgra Brands Inc,20180420,Activist investor Jana takes 9.1 percent stake in Pinnacle Foods ,Activist investor Jana Partners disclosed a 9.1 percent stake in Pinnacle Foods Inc  on Thursday and said it would seek talks with the company on a range of subjects including a possible sale of the packaged foods maker.,normal
CAG,ConAgra Brands Inc,20180420,UPDATE 2-Activist investor Jana takes 9.1 percent stake in Pinnacle Foods ,April 19 Activist investor Jana Partners disclosed a 9.1 percent stake in Pinnacle Foods Inc on Thursday and said it would seek talks with the company on a range of subjects including a possible sale of the packaged foods maker.,normal
VLRS,Controladora Vuela Compania de Aviacion SAB de CV,20180420,Mexico's Volaris shares make hard landing on competition fears ,MEXICO CITY Mexican low-cost airline Volaris  reported first-quarter results far below market expectations on Friday  sending its shares down by almost a fifth  and analysts said the company faces intense price competition and higher fuel costs.,topStory
VLRS,Controladora Vuela Compania de Aviacion SAB de CV,20180420,Mexico's Volaris shares make hard landing on competition fears ,MEXICO CITY  April 20 Mexican low-cost airline Volaris reported first-quarter results far below market expectations on Friday  sending its shares down by almost a fifth  and analysts said the company faces intense price competition and higher fuel costs.,normal
COR,CoreSite Realty Corporation,20180420,BRIEF-Coresite Announces Amended And Expanded Credit Facility Increasing Total Borrowing Capacity To $1.05 Bln ,* CORESITE ANNOUNCES AMENDED AND EXPANDED CREDIT FACILITY INCREASING TOTAL BORROWING CAPACITY TO $1.05 BILLION,topStory
CS,Credit Suisse Group,20180420,Argentina reaches debt repo deal for up to $1 bln with Credit Suisse ,BUENOS AIRES  April 20 Argentina approved the sale and future repurchase of up to 1 billion Swiss francs ($1.03 billion) in bonds with Credit Suisse  the government said on Friday in its official gazette.,topStory
CPG,Crescent Point Energy Corporation,20180420,BRIEF-Crescent Point Recommends Shareholders Vote For Co's Director Nominees ,* SAYS EXPRESS ITS "DISAPPOINTMENT" WITH RECENT REPORT ISSUED BY INSTITUTIONAL SHAREHOLDER SERVICES,topStory
CPG,Crescent Point Energy Corporation,20180420,CANADA STOCKS-TSX futures down ahead of inflation data  dip in oil prices ,April 20 Stock futures pointed to slightly lower opening for Canada's main stock index on Friday as investors awaited inflation data and as criticism of rising prices by U.S. President Donald Trump weighed on oil.,normal
CPG,Crescent Point Energy Corporation,20180420,ISS backs Cation Capital's two nominations to Crescent Point board ,Proxy advisory firm Institutional Shareholder Services on Thursday recommended Crescent Point Energy Corp  shareholders vote for activist investor Cation Capital's two nominations to the oil and gas producer's board.,normal
CPG,Crescent Point Energy Corporation,20180420,CORRECTED-ISS backs Cation Capital's two nominations to Crescent Point board ,April 19 Proxy advisory firm Institutional Shareholder Services on Thursday recommended Crescent Point Energy Corp shareholders vote for activist investor Cation Capital's two nominations to the oil and gas producer's board.,normal
DAL,Delta Air Lines Inc,20180420,BRIEF-Delta Board Of Directors Names Michael Huerta As Newest Member ,* DELTA BOARD OF DIRECTORS NAMES MICHAEL HUERTA AS NEWEST MEMBER,topStory
DB,Deutsche Bank AG,20180420,ECB asks Deutsche Bank to clarify mistaken $34 bln transfer - report ,FRANKFURT  April 20 The European Central Bank has asked for clarification from Deutsche Bank about a 28 billion euro ($34 billion) mistaken transfer that the German lender made in March  a German newspaper reported on Friday.,topStory
DB,Deutsche Bank AG,20180420,Multiple "No" votes at Deutsche Bank's April 8 meet to change CEO - sources ,FRANKFURT  April 20 Multiple supervisory board members cast dissenting votes at a meeting that reshuffled top management at Deutsche Bank earlier this month  according to several people with knowledge of the matter.,normal
DFS,Discover Financial Services,20180420,BRIEF-Discover Financial Services Sets Quarterly Cash Dividend Of $0.35 Per Share ,* SETS QUARTERLY CASH DIVIDEND OF $0.35PER SHARE Source text for Eikon: Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
DFS,Discover Financial Services,20180420,DIARY-U.S. earnings week ahead ,    April 20 Diary of U.S. (.SPX) corporate earnings for the week ahead.  ** Please Note - All times given are in U.S. EST unless otherwise stated ** U.S. EARNINGS    Start Date   Start    RIC     Company                          Event Name               Time                                                23-Apr-2018  BMO      FE.N    FirstEnergy Corp                 Q1 2018 FirstEnergy Corp Earnings Release  23-Apr-2018  BMO      ALK.N   Alaska Air Group Inc             Q1 2018 Alas,normal
D,Dominion Energy Inc,20180420,BRIEF-Dominion Energy Midstream Increases Distribution By 5 Pct ,* DOMINION ENERGY MIDSTREAM DECLARES QUARTERLY CASH DISTRIBUTION; INCREASES DISTRIBUTION BY 5 PERCENT ABOVE FOURTH-QUARTER DISTRIBUTION,topStory
DCUD,Dominion Energy Inc,20180420,BRIEF-Dominion Energy Midstream Increases Distribution By 5 Pct ,* DOMINION ENERGY MIDSTREAM DECLARES QUARTERLY CASH DISTRIBUTION; INCREASES DISTRIBUTION BY 5 PERCENT ABOVE FOURTH-QUARTER DISTRIBUTION,topStory
DRUA,Dominion Energy Inc,20180420,BRIEF-Dominion Energy Midstream Increases Distribution By 5 Pct ,* DOMINION ENERGY MIDSTREAM DECLARES QUARTERLY CASH DISTRIBUTION; INCREASES DISTRIBUTION BY 5 PERCENT ABOVE FOURTH-QUARTER DISTRIBUTION,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20180420,Boeing  Brazil's Embraer close to tie-up: report ,SAO PAULO Talks aimed at a tie-up between planemakers Boeing Co  and Embraer SA  that also involve Brazil's government are at an advanced stage  O Estado de S. Paulo newspaper reported on Friday  citing unnamed sources.,topStory
ES,Eversource Energy,20180420,Connecticut Water rejects $748 million Eversource bid to disrupt deal with SJW ,Connecticut Water Service Inc  said on Thursday it had rejected a $748 million takeover bid by Eversource Energy   New England's largest power utility  aimed at disrupting its merger with SJW Group  agreed in March.,topStory
ES,Eversource Energy,20180420,UPDATE 2-Connecticut Water rejects $748 mln Eversource bid to disrupt deal with SJW ,April 19 Connecticut Water Service Inc said on Thursday it had rejected a $748 million takeover bid by Eversource Energy  New England's largest power utility  aimed at disrupting its merger with SJW Group agreed in March.,normal
FPI,Farmland Partners Inc,20180420,BRIEF-Farmland Partners Files For Mixed Shelf Offering Of Up To $300 Mln ,* FARMLAND PARTNERS INC FILES FOR MIXED SHELF OFFERING OF UP TO $300 MILLION - SEC FILING Source : https://bit.ly/2HFxktY Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
FIS,Fidelity National Information Services Inc,20180420,BRIEF-Fidelity National Information Services Says CEO's Total 2017 Compensation Was $29.1 Mln ,April 20 Fidelity National Information Services Inc:,topStory
GEK,General Electric Capital Corporation,20180420,GE still mulls breakup  confirms distributed power unit for sale ,NEW YORK General Electric Co  said on Friday it was still considering a potential breakup of the 126-year-old industrial conglomerate  but such a move was secondary to running its businesses better.,topStory
GEK,General Electric Capital Corporation,20180420,Southwest giving passengers $5 000 checks on accident flight ,WASHINGTON  April 20 Southwest Airlines Co confirmed Friday it has sent $5 000 checks to passengers aboard a flight that made an emergency landing this week after an engine failed  killing a passenger.,normal
GEK,General Electric Capital Corporation,20180420,UPDATE 2-GE still mulls breakup  confirms distributed power unit for sale ,NEW YORK  April 20 General Electric Co said on Friday it was still considering a potential breakup of the 126-year-old industrial conglomerate  but such a move was secondary to running its businesses better.,normal
GEK,General Electric Capital Corporation,20180420,GE exploring merging transport business with Wabtec: source ,General Electric Co  is exploring merging its transportation business  which manufactures train engines  with Wabtec Corp   a U.S. maker of equipment for the rail industry  a person familiar with the matter said on Friday.,normal
GEK,General Electric Capital Corporation,20180420,GE exploring merging transport business with Wabtec -source ,April 20 General Electric Co is exploring merging its transportation business  which manufactures train engines  with Wabtec Corp  a U.S. maker of equipment for the rail industry  a person familiar with the matter said on Friday.,normal
GEK,General Electric Capital Corporation,20180420,GE profit tops estimates as cost-cutting kicks in ,General Electric Co  posted quarterly results that topped expectations on Friday  as earnings from aviation  healthcare and transportation offset weak power and oil-and-gas profits  sending shares sharply higher.,normal
GEK,General Electric Capital Corporation,20180420,UPDATE 6-GE profit tops estimates as cost-cutting kicks in ,April 20 General Electric Co posted quarterly results that topped expectations on Friday  as earnings from aviation  healthcare and transportation offset weak power and oil-and-gas profits  sending shares sharply higher.,normal
GEK,General Electric Capital Corporation,20180420,GE's Baker Hughes first-quarter profit tops view on oilfield services growth ,General Electric Co's Baker Hughes posted quarterly profit that beat Wall Street estimates on Friday as improving oil prices prompted companies to ramp up oil and gas production.,normal
GEK,General Electric Capital Corporation,20180420,UPDATE 3-GE's Baker Hughes 1st-qtr profit tops view on oilfield services growth ,April 20 General Electric Co's Baker Hughes posted quarterly profit that beat Wall Street estimates on Friday as improving oil prices prompted companies to ramp up oil and gas production.,normal
GE,General Electric Company,20180420,GE still mulls breakup  confirms distributed power unit for sale ,NEW YORK General Electric Co  said on Friday it was still considering a potential breakup of the 126-year-old industrial conglomerate  but such a move was secondary to running its businesses better.,topStory
GE,General Electric Company,20180420,Southwest giving passengers $5 000 checks on accident flight ,WASHINGTON  April 20 Southwest Airlines Co confirmed Friday it has sent $5 000 checks to passengers aboard a flight that made an emergency landing this week after an engine failed  killing a passenger.,normal
GE,General Electric Company,20180420,UPDATE 2-GE still mulls breakup  confirms distributed power unit for sale ,NEW YORK  April 20 General Electric Co said on Friday it was still considering a potential breakup of the 126-year-old industrial conglomerate  but such a move was secondary to running its businesses better.,normal
GE,General Electric Company,20180420,GE exploring merging transport business with Wabtec: source ,General Electric Co  is exploring merging its transportation business  which manufactures train engines  with Wabtec Corp   a U.S. maker of equipment for the rail industry  a person familiar with the matter said on Friday.,normal
GE,General Electric Company,20180420,GE exploring merging transport business with Wabtec -source ,April 20 General Electric Co is exploring merging its transportation business  which manufactures train engines  with Wabtec Corp  a U.S. maker of equipment for the rail industry  a person familiar with the matter said on Friday.,normal
GE,General Electric Company,20180420,GE profit tops estimates as cost-cutting kicks in ,General Electric Co  posted quarterly results that topped expectations on Friday  as earnings from aviation  healthcare and transportation offset weak power and oil-and-gas profits  sending shares sharply higher.,normal
GE,General Electric Company,20180420,UPDATE 6-GE profit tops estimates as cost-cutting kicks in ,April 20 General Electric Co posted quarterly results that topped expectations on Friday  as earnings from aviation  healthcare and transportation offset weak power and oil-and-gas profits  sending shares sharply higher.,normal
GE,General Electric Company,20180420,GE's Baker Hughes first-quarter profit tops view on oilfield services growth ,General Electric Co's Baker Hughes posted quarterly profit that beat Wall Street estimates on Friday as improving oil prices prompted companies to ramp up oil and gas production.,normal
GE,General Electric Company,20180420,UPDATE 3-GE's Baker Hughes 1st-qtr profit tops view on oilfield services growth ,April 20 General Electric Co's Baker Hughes posted quarterly profit that beat Wall Street estimates on Friday as improving oil prices prompted companies to ramp up oil and gas production.,normal
GM,General Motors Company,20180420,GM Korea  union will continue talks until Monday afternoon - union official ,SEOUL  April 20 General Motors' South Korean unit and its labour union plan to continue talks until 5 p.m. Seoul time on Monday  a union official said in a text message  amid the move by the U.S. automaker to seek bankruptcy for the loss-making unit.,topStory
GM,General Motors Company,20180420,GM Korea  union fail to reach wage deal - GM Korea spokesman ,SEOUL  April 20 General Motors' South Korean unit and its labour union failed to reach a wage deal  a spokesman of the unit said on Friday  after talks that sought to stave off a threat of bankruptcy for the loss-making unit.,normal
GWR,Genesee & Wyoming Inc,20180420,BRIEF-Calvert Research & Management Urge Genesee & Wyoming Shareholders To Vote For Greenhouse Gas Emissions Goals ,* CALVERT RESEARCH & MANAGEMENT "URGE" SHAREHOLDERS OF GENESEE & WYOMING TO VOTE FOR THE ESTABLISHMENT OF GREENHOUSE GAS EMISSIONS GOALS - SEC FILING Source text: (http://bit.ly/2HNFFcR) Further company coverage:,topStory
GEL,Genesis Energy LP,20180420,BRIEF-Genesis Energy LP Files For Potential Mixed Shelf Offering ,* GENESIS ENERGY LP FILES FOR POTENTIAL MIXED SHELF OFFERING; SIZE NOT DISCLOSED - SEC FILING Source text (https://bit.ly/2JfrTPQ) Further company coverage:,topStory
GSK,GlaxoSmithKline PLC,20180420,UPDATE 1-P&G's vitamin boost could signal more to come ,* Health and wellness seen as attractive to younger consumers,normal
GS,Goldman Sachs Group Inc (The),20180420,Crypto trading tumbles as investment scramble unwinds ,* Retail interest declining after price drops  regulator warnings,normal
HOG,Harley-Davidson Inc,20180420,REFILE-WIDER IMAGE-Trade tensions with U.S. testing resolve of Chinese consumers ,BEIJING  April 20 Guo Qingshan delights in riding his 400 000 yuan ($63 839) Harley-Davidson motorbike around Beijing's suburbs.,normal
HNI,HNI Corporation,20180420,BRIEF-HNI Reports Q1 GAAP EPS Of $0.06 ,* REPORTS STRONG SALES GROWTH FOR FIRST QUARTER FISCAL YEAR 2018,topStory
HNI,HNI Corporation,20180420,BRIEF-HNI Corp Announces Retirement Of Stan A. Askren And Appointment Of Jeffrey D. Lorenger ,* HNI CORPORATION ANNOUNCES RETIREMENT OF STAN A. ASKREN AND APPOINTMENT OF JEFFREY D. LORENGER,normal
HON,Honeywell International Inc,20180420,BRIEF-Honeywell Says In Q1  Recorded Charges Related To Workforce Reductions Of 1 153 Positions ,* HONEYWELL - IN Q1  RECORDED REPOSITIONING CHARGES OF $86 MILLION INCLUDING $31 MILLION SEVERANCE COSTS RELATED TO WORKFORCE REDUCTIONS OF 1 153 POSITIONS,topStory
HON,Honeywell International Inc,20180420,Honeywell raises full-year forecast as aerospace business soars ,Honeywell International Inc  reported a higher-than-expected quarterly profit on Friday and lifted its full-year earnings forecast for the second time this year  citing higher sales in its aerospace business.,normal
HON,Honeywell International Inc,20180420,UPDATE 3-Honeywell raises full-year forecast as aerospace business soars ,* Shares up 2.6 pct (Adds details from the conference call  updates shares),normal
HON,Honeywell International Inc,20180420,US STOCKS SNAPSHOT-Wall Street opens flat on tech  oil weakness ,April 20 U.S. stock indexes opened flat on Friday  as strong earnings from industrials General Electric and Honeywell were offset by declines in technology stocks and oil price.,normal
HON,Honeywell International Inc,20180420,BRIEF-Honeywell Has Less Than $10 Mln Of Gross Steel And Aluminum Tariff Impact - Conf Call‍​ ,* HONEYWELL SAYS TRACKING WELL WITH THE CASH REPATRIATION PLAN  WHICH CONTEMPLATES MORE THAN $4 BILLION OF CASH BEING REPATRIATED IN 2018 - CONF CALL‍​,normal
HON,Honeywell International Inc,20180420,BRIEF-Honeywell Delivers Q1 Earnings Per Share $1.89 ,* HONEYWELL DELIVERS OUTSTANDING FIRST-QUARTER RESULTS DRIVEN BY STRONG SALES PERFORMANCE; RAISES 2018 GUIDANCE,normal
HON,Honeywell International Inc,20180420,Honeywell profit rises 8.4 percent ,April 20 U.S. industrial conglomerate Honeywell International Inc reported an 8.4 percent rise in first-quarter profit  helped by strength in its aerospace business  while also raising its 2018 earnings forecast.,normal
HHC,Howard Hughes Corporation (The),20180420,Low profile hedge funds post high returns in year after New York Sohn conference ,NEW YORK  April 20 One of the year's most popular events for fund managers  the Sohn Investment Conference  will be held in New York on Monday  but if history is any guide  some of the industry's lower-profile managers will probably provide the most profitable ideas.,normal
HSBC,HSBC Holdings plc,20180420,HSBC bosses grilled on bank's gender pay gap and diversity ,LONDON Staff and investors in HSBC  questioned its new bosses on Friday over how they will improve gender balance and ethnic diversity in senior management at a bank that only weeks ago reported the biggest gender pay gap among big British companies.,topStory
HSBC,HSBC Holdings plc,20180420,HSBC bosses grilled on bank's gender pay gap and diversity ,* HSBC says taking steps to improve gender and ethnic balance,normal
HSBC,HSBC Holdings plc,20180420,BRIEF-HSBC Holdings Reduces Number Of Board Committees From Seven To Five ,* RESPONSIBILITIES OF CONDUCT AND VALUES COMMITTEE AND PHILANTHROPIC AND COMMUNITY INVESTMENT OVERSIGHT COMMITTEE WILL BE REASSIGNED,normal
HSBC,HSBC Holdings plc,20180420,BRIEF-HSBC Says Phillip Ameen Joachim Faber And John Lipsky To Retire ,* PHILLIP AMEEN  JOACHIM FABER AND JOHN LIPSKY WILL RETIRE FROM BOARD OF HSBC AT CONCLUSION OF ANNUAL GENERAL MEETING,normal
HSEA,HSBC Holdings plc,20180420,HSBC bosses grilled on bank's gender pay gap and diversity ,LONDON Staff and investors in HSBC  questioned its new bosses on Friday over how they will improve gender balance and ethnic diversity in senior management at a bank that only weeks ago reported the biggest gender pay gap among big British companies.,topStory
HSEA,HSBC Holdings plc,20180420,HSBC bosses grilled on bank's gender pay gap and diversity ,* HSBC says taking steps to improve gender and ethnic balance,normal
HSEA,HSBC Holdings plc,20180420,BRIEF-HSBC Holdings Reduces Number Of Board Committees From Seven To Five ,* RESPONSIBILITIES OF CONDUCT AND VALUES COMMITTEE AND PHILANTHROPIC AND COMMUNITY INVESTMENT OVERSIGHT COMMITTEE WILL BE REASSIGNED,normal
HSEA,HSBC Holdings plc,20180420,BRIEF-HSBC Says Phillip Ameen Joachim Faber And John Lipsky To Retire ,* PHILLIP AMEEN  JOACHIM FABER AND JOHN LIPSKY WILL RETIRE FROM BOARD OF HSBC AT CONCLUSION OF ANNUAL GENERAL MEETING,normal
HSEB,HSBC Holdings plc,20180420,HSBC bosses grilled on bank's gender pay gap and diversity ,LONDON Staff and investors in HSBC  questioned its new bosses on Friday over how they will improve gender balance and ethnic diversity in senior management at a bank that only weeks ago reported the biggest gender pay gap among big British companies.,topStory
HSEB,HSBC Holdings plc,20180420,HSBC bosses grilled on bank's gender pay gap and diversity ,* HSBC says taking steps to improve gender and ethnic balance,normal
HSEB,HSBC Holdings plc,20180420,BRIEF-HSBC Holdings Reduces Number Of Board Committees From Seven To Five ,* RESPONSIBILITIES OF CONDUCT AND VALUES COMMITTEE AND PHILANTHROPIC AND COMMUNITY INVESTMENT OVERSIGHT COMMITTEE WILL BE REASSIGNED,normal
HSEB,HSBC Holdings plc,20180420,BRIEF-HSBC Says Phillip Ameen Joachim Faber And John Lipsky To Retire ,* PHILLIP AMEEN  JOACHIM FABER AND JOHN LIPSKY WILL RETIRE FROM BOARD OF HSBC AT CONCLUSION OF ANNUAL GENERAL MEETING,normal
