AGIO,Agios Pharmaceuticals Inc,20170428,BRIEF-Agios announces closing of over-allotment option in public offering ,* Agios announces closing of over-allotment option in public offering,topStory
CVX,Chevron Corporation,20170428,WRAPUP 2-Surging Chevron  Exxon profits signal oil industry turnaround ,HOUSTON  April 28 Rising crude prices helped Chevron Corp and Exxon Mobil Corp easily beat analysts' quarterly profit expectations on Friday  setting an upbeat tone as the two companies press ahead with shale oil and liquefied natural gas expansions.,normal
CVX,Chevron Corporation,20170428,WRAPUP 1-Surging Chevron  Exxon profits signal oil industry turnaround ,HOUSTON  April 28 Rising crude prices helped Chevron Corp and Exxon Mobil Corp easily beat Wall Street's profit expectations on Friday  a sign the oil industry has regained its footing after a two-year price spiral.,normal
CVX,Chevron Corporation,20170428,Chevron profit beats expectations on cost cuts  asset sales ,HOUSTON Oil producer Chevron Corp  posted a better-than-expected quarterly profit on Friday due to cost cuts  asset sales and rising crude prices .,normal
CVX,Chevron Corporation,20170428,UPDATE 1-Chevron profit beats expectations on cost cuts  asset sales ,HOUSTON  April 28 Oil producer Chevron Corp posted a better-than-expected quarterly profit on Friday due to cost cuts  asset sales and rising crude prices.,normal
CVX,Chevron Corporation,20170428,BRIEF-Chevron Q1 earnings per share $1.41 ,* Chevron corp - international upstream operations earned $1.4 billion in q1 2017  compared with a loss of $609 million a year earlier.,normal
CVX,Chevron Corporation,20170428,Chevron swings to Q1 profit on cost cuts  rising oil prices ,HOUSTON  April 28 Oil producer Chevron Corp said on Friday it swung to a first-quarter profit due to cost cuts and rising crude prices.,normal
XRF,China Rapid Finance Limited,20170428,BRIEF-China Rapid Finance announces pricing of IPO ,* China Rapid Finance announces pricing of initial public offering,topStory
CI,Cigna Corporation,20170428,U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON A U.S. appeals court on Friday blocked health insurer Anthem Inc's  bid to merge with Cigna   upholding a lower court's decision that the $54 billion deal should not be allowed because it would lead to higher prices for healthcare.,topStory
CI,Cigna Corporation,20170428,UPDATE 3-U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON  April 28 A U.S. appeals court on Friday blocked health insurer Anthem Inc's bid to merge with Cigna  upholding a lower court's decision that the $54 billion deal should not be allowed because it would lead to higher prices for healthcare.,normal
CI,Cigna Corporation,20170428,CORRECTED-UPDATE 2-U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON  April 28 A U.S. appeals court on Friday blocked health insurer Anthem Inc's bid to merge with Cigna  upholding a lower court's decision that the $54 billion deal should not be allowed because it would lead to higher prices for healthcare.,normal
CI,Cigna Corporation,20170428,BRIEF-Anthem responds to U.S. Court of appeals decision on acquisition of Cigna ,* Anthem responds to U.S. Court of appeals decision on acquisition of Cigna,normal
CI,Cigna Corporation,20170428,U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON A U.S. appeals court on Friday blocked health insurer Anthem Inc's bid to merge with Cigna  upholding a lower court's decision that the $54 billion deal should not be allowed because it would lead to higher prices for healthcare.,normal
CI,Cigna Corporation,20170428,BRIEF-Cigna says US Appeals Court upholds permanent injunction against proposed merger between Anthem  Cigna ,* Cigna corp -as previously disclosed  on february 8   u.s. District court for district of columbia enjoined proposed merger between cigna and anthem,normal
CI,Cigna Corporation,20170428,U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON  April 28 A U.S. appeals court dealt health insurer Anthem Inc's bid to merge with rival Cigna a likely death blow on Friday when it upheld a lower court's decision stopping the deal.,normal
CIR,CIRCOR International Inc,20170428,BRIEF-Circor posts Q1 GAAP EPS of $0.29 ,* Qtrly energy orders of $104 million  up 45 pct; 25 pct organically,topStory
C,Citigroup Inc,20170428,BRIEF-Autodesk says co  Citibank  Bank of America entered into amendment to credit agreement ,* Autodesk - on April 26  co  Citibank NA  Bank of America NA  among others entered into letter amendment No. 1 to amended credit agreement dated May 29  2015,topStory
C,Citigroup Inc,20170428,U.S. economy underwhelms as rest of the world takes off: Citi data ,NEW YORK The U.S. economy is plodding at a sub-par pace as the rest of the world appears to be gathering momentum  Citi Research's barometers on surprise economic outcomes around the world showed on Friday.,normal
C,Citigroup Inc,20170428,UPDATE 3-Deutsche Bank names von Moltke as new CFO ,* Present CFO in new role as co-head investment banking (Adds confirmation from Deutsche Bank),normal
CLDR,Cloudera Inc,20170428,Big-data analytics company Cloudera surges in market debut ,Shares of Cloudera Inc  surged as much as 24 percent in their stock market debut on Friday  the latest in a string of technology initial public offerings this year  giving the big-data analytics company a market value of about $2.3 billion.,topStory
CLDR,Cloudera Inc,20170428,Big-data analytics company Cloudera surges in market debut ,April 28 Shares of Cloudera Inc surged as much as 24 percent in their stock market debut on Friday  the latest in a string of technology initial public offerings this year  giving the big-data analytics company a market value of about $2.3 billion.,normal
CLDR,Cloudera Inc,20170428,BRIEF-Cloudera prices IPO of 15 mln shares of common stock at $15/shr ,* Cloudera announces pricing of initial public offering  marking its debut as a public company,normal
CLDR,Cloudera Inc,20170428,U.S. software company Cloudera beats expectations in IPO: source ,U.S. software company Cloudera Inc  raised $225 million in an initial public offering on Thursday  a source familiar with the situation said  giving the company a market valuation of about $1.9 billion  a steep fall from the $4.1 billion it was once valued at in the private market.,normal
CLDR,Cloudera Inc,20170428,UPDATE 1-U.S. software company Cloudera beats expectations in IPO: source ,April 27 U.S. software company Cloudera Inc raised $225 million in an initial public offering on Thursday  a source familiar with the situation said  giving the company a market valuation of about $1.9 billion  a steep fall from the $4.1 billion it was once valued at in the private market.,normal
KO,Coca-Cola Company (The),20170428,Mexican Coke bottler Arca plans 43 pct investment hike in 2017 ,MEXICO CITY  April 27 Mexican Coke bottler Arca Continental plans to ramp up its capital expenditures by 43 percent  to 10 billion pesos ($525.6 million)  this year as it starts a new U.S. venture  the company said Thursday.,topStory
CL,Colgate-Palmolive Company,20170428,BRIEF-Colgate Q1 earnings per share $0.64 ,* Colgate-Palmolive Co - Latin America net sales increased 9.0% in q1 2017,topStory
CBD,Companhia Brasileira de Distribuicao,20170428,UPDATE 1-GPA surges on profit margins  Brazil rebound still to come ,SAO PAULO  April 28 Shares of GPA SA jumped to a 20-month high on Friday after Brazil's biggest retailer reported stronger profit margins at its struggling supermarkets but executives said the fruits of a nascent economic recovery are still to come.,topStory
CBD,Companhia Brasileira de Distribuicao,20170428,Brazil's GPA says retail-to-wholesale conversions beating forecasts ,SAO PAULO  April 28 GPA SA  Brazil's biggest retailer  has seen better-than-expected results from turning its Extra hypermarkets into Assai cash-and-carry stores and is accelerating investments in those conversions  its chief executive said on Friday.,normal
CBD,Companhia Brasileira de Distribuicao,20170428,UPDATE 1-Brazil retailer GPA swings to profit as inflation eases ,SAO PAULO  April 27 GPA SA  Brazil's biggest retailer  on Thursday reported a swing to a profit in the first quarter as easing inflation helped the profitability of food sales and ongoing job cuts kept a lid on costs.,normal
CAG,ConAgra Brands Inc,20170428,BRIEF-Bloomin' Brands to sell and refranchise 45 outback steakhouses in four states ,* Bloomin' Brands Inc - sale and refranchising of 45 outback steakhouses in Arizona  Colorado  Nevada and New Mexico,topStory
CR,Crane Company,20170428,U.S. FTC approves Emerson Electric's acquisition of Pentair with conditions ,WASHINGTON The U.S. Federal Trade Commission gave its blessing to Emerson Electric Co's  acquisition of industrial valve manufacturer Pentair PLC  on condition that it sells Pentair's switchbox business to Crane Co .,topStory
CS,Credit Suisse Group,20170428,UPDATE 1-Credit Suisse bosses grilled over bonuses after 2016 losses ,* CEO's AGM speech dramatically interrupted by Greenpeace (Recasts  adds comments from CEO  chairman and shareholder),topStory
CS,Credit Suisse Group,20170428,Credit Suisse AGM approves executive bonuses despite opposition ,ZURICH  April 28 Credit Suisse shareholders on Friday approved proposed compensation for its top managers and board of directors despite significant opposition to its decision to pay bonuses after a 2.7 billion Swiss franc ($2.7 billion) loss in 2016.,normal
CS,Credit Suisse Group,20170428,Greenpeace gatecrashes Credit Suisse shareholder meeting ,ZURICH Activists from environment group Greenpeace gatecrashed Credit Suisse's annual shareholder meeting on Friday to protest against the Swiss bank's dealings with companies behind the Dakota Access Pipeline (DAPL).,normal
CS,Credit Suisse Group,20170428,Deutsche Bank names von Moltke as new CFO ,FRANKFURT Deutsche Bank  has named James von Moltke as new finance chief to replace Marcus Schenck who is taking on the role of co-head of the investment bank  it said on Friday.,normal
CS,Credit Suisse Group,20170428,UPDATE 3-Deutsche Bank names von Moltke as new CFO ,* Present CFO in new role as co-head investment banking (Adds confirmation from Deutsche Bank),normal
CS,Credit Suisse Group,20170428,Greenpeace gatecrashes Credit Suisse shareholder meeting ,ZURICH  April 28 Activists from environment group Greenpeace gatecrashed Credit Suisse's annual shareholder meeting on Friday to protest against the Swiss bank's dealings with companies behind the Dakota Access Pipeline (DAPL).,normal
DVMT,Dell Technologies Inc,20170428,Microsoft's silver lining: Surface loses  but Windows wins ,April 27 Microsoft Corp's lineup of Surface tablets  laptops and desktop computers has always been a paradox.,normal
DAL,Delta Air Lines Inc,20170428,BRIEF-Delta Air Lines CEO 2016 total compensation was  $12.6 mln ,* CEO Edward Bastian's FY 2016 total compensation was  $12.6 million Source text:(http://bit.ly/2qggo1G) Further company coverage:,topStory
DB,Deutsche Bank AG,20170428,Deutsche Bank investors urged against ratifying actions of bosses ,BERLIN  April 28 Deutsche Bank shareholders should not ratify the actions of its top executives and supervisory board members for last year because of the legal uncertainties surrounding the bank  shareholder advisory firm Glass Lewis said on Friday.,topStory
DB,Deutsche Bank AG,20170428,Deutsche Bank names von Moltke as new CFO ,FRANKFURT Deutsche Bank  has named James von Moltke as new finance chief to replace Marcus Schenck who is taking on the role of co-head of the investment bank  it said on Friday.,normal
DB,Deutsche Bank AG,20170428,UPDATE 3-Deutsche Bank names von Moltke as new CFO ,* Present CFO in new role as co-head investment banking (Adds confirmation from Deutsche Bank),normal
DB,Deutsche Bank AG,20170428,Deutsche Bank to name von Moltke as new CFO - source ,FRANKFURT  April 28 Deutsche Bank is expected to name James von Moltke as new finance chief  replacing Marcus Schenck who is taking on a role as co-head of the investment bank  a source close to the matter said.,normal
DHT,DHT Holdings Inc,20170428,UPDATE 1-Frontline says Marshall Islands court sets date for DHT hearing ,OSLO  April 28 Oil tanker firm Frontline said on Friday the high court in the Marshall Islands has agreed to hear on May 17 its complaint against takeover target DHT Holdings  which is incorporated in the remote Pacific republic  over a rival deal with BW Offshore.,topStory
DLR,Digital Realty Trust Inc,20170428,Shaw Communications explores selling ViaWest-sources ,April 28 Shaw Communications is looking for a buyer for ViaWest  the U.S. data center company it bought three years ago  according to people familiar with the matter  as the Canadian cable company continues to shed assets it considers non-core.,normal
DG,Dollar General Corporation,20170428,FTC allows Sycamore to sell Family Dollar stores to Dollar General ,WASHINGTON The Federal Trade Commission gave a private equity firm  approval on Thursday to sell to Dollar General Corp 323 stores that Sycamore purchased as part of a divestiture package two years ago  the agency said on Thursday.,topStory
DG,Dollar General Corporation,20170428,Deals of the day-Mergers and acquisitions ,April 28 The following bids  mergers  acquisitions and disposals were reported by 1000 GMT on Friday:,normal
EMR,Emerson Electric Company,20170428,BRIEF-Emerson completes Pentair Valves & Controls acquisition ,* Emerson completes Pentair Valves & Controls acquisition Source text for Eikon: Further company coverage:,topStory
EMR,Emerson Electric Company,20170428,U.S. FTC approves Emerson Electric's acquisition of Pentair with conditions ,WASHINGTON The U.S. Federal Trade Commission gave its blessing to Emerson Electric Co's  acquisition of industrial valve manufacturer Pentair PLC  on condition that it sells Pentair's switchbox business to Crane Co .,normal
EMR,Emerson Electric Company,20170428,U.S. FTC approves Emerson Electric's acquisition of Pentair with conditions ,WASHINGTON  April 28 The U.S. Federal Trade Commission gave its blessing to Emerson Electric Co's acquisition of industrial valve manufacturer Pentair PLC on condition that it sells Pentair's switchbox business to Crane Co.,normal
EEP,Enbridge Energy LP,20170428,BRIEF-Enbridge Inc announces conclusion and outcomes of Enbridge Energy Partners L.P. strategic review ,* Enbridge Inc announces conclusion and outcomes of Enbridge Energy Partners L.P. strategic review,topStory
EEP,Enbridge Energy LP,20170428,BRIEF-Enbridge announces conclusion of Enbridge Energy Partners strategic review ,* Enbridge Inc announces conclusion and outcomes of Enbridge Energy Partners L.P strategic review,normal
EEP,Enbridge Energy LP,20170428,BRIEF-Enbridge Energy Partners announces conclusion of strategic review ,* Enbridge Energy Partners  L.P. Announces conclusion of strategic review and declares distribution for first quarter 2017,normal
ENB,Enbridge Inc,20170428,BRIEF-Enbridge Inc announces conclusion and outcomes of Enbridge Energy Partners L.P. strategic review ,* Enbridge Inc announces conclusion and outcomes of Enbridge Energy Partners L.P. strategic review,topStory
ENB,Enbridge Inc,20170428,BRIEF-Enbridge announces conclusion of Enbridge Energy Partners strategic review ,* Enbridge Inc announces conclusion and outcomes of Enbridge Energy Partners L.P strategic review,normal
ETP,Energy Transfer Partners LP,20170428,BRIEF-Sunoco Logistics Partners and Energy Transfer Partners announce completion of merger ,* Sunoco Logistics Partners and Energy Transfer Partners announce successful completion of merger,topStory
XOM,Exxon Mobil Corporation,20170428,WRAPUP 3-Surging Chevron  Exxon profits signal oil industry turnaround ,HOUSTON  April 28 Rising crude prices helped Chevron Corp and Exxon Mobil Corp easily beat analysts' quarterly profit expectations on Friday  setting an upbeat tone as the two companies press ahead with shale oil expansions.,topStory
XOM,Exxon Mobil Corporation,20170428,WRAPUP 2-Surging Chevron  Exxon profits signal oil industry turnaround ,HOUSTON  April 28 Rising crude prices helped Chevron Corp and Exxon Mobil Corp easily beat analysts' quarterly profit expectations on Friday  setting an upbeat tone as the two companies press ahead with shale oil and liquefied natural gas expansions.,normal
XOM,Exxon Mobil Corporation,20170428,BRIEF-Exxon Mobil says underlying oil demand growth has been strong ,* Says expects to spud first well on newly-aquired Permian basin acreage 'shortly',normal
XOM,Exxon Mobil Corporation,20170428,Exxon Mobil profit beats Street as oil prices move higher ,HOUSTON Exxon Mobil Corp   the world's largest publicly traded oil producer  posted a better-than-expected quarterly profit on Friday  helped by rising crude prices  and cost cuts.,normal
XOM,Exxon Mobil Corporation,20170428,CORRECTED-UPDATE 1-Exxon Mobil profit beats Street as oil prices move higher ,HOUSTON  April 28 Exxon Mobil Corp  the world's largest publicly traded oil producer  posted a better-than-expected quarterly profit on Friday  helped by rising crude prices and cost cuts.,normal
XOM,Exxon Mobil Corporation,20170428,WRAPUP 1-Surging Chevron  Exxon profits signal oil industry turnaround ,HOUSTON  April 28 Rising crude prices helped Chevron Corp and Exxon Mobil Corp easily beat Wall Street's profit expectations on Friday  a sign the oil industry has regained its footing after a two-year price spiral.,normal
XOM,Exxon Mobil Corporation,20170428,UPDATE 1-Canada's Imperial Oil posts profit on higher crude prices ,April 28 Imperial Oil Ltd  Canada's No.2 integrated oil company  reported a quarterly profit on Friday  compared with a year-ago loss  helped by higher global crude prices and a C$151 million gain from the sale of a property.,normal
XOM,Exxon Mobil Corporation,20170428,BRIEF-Exxon Mobil reports Q1 earnings per share of $0.95 ,* Q1 earnings per share view $0.85 -- Thomson Reuters I/B/E/S,normal
XOM,Exxon Mobil Corporation,20170428,Exxon Mobil profit more than doubles on cost cuts  oil price rise ,HOUSTON  April 28 Exxon Mobil Corp  the world's largest publicly-traded oil producer  said on Friday its quarterly profit more than doubled due to rising crude prices and cost cuts.,normal
FGP,Ferrellgas Partners LP,20170428,BRIEF-Ferrellgas Partners announces amendment to its revolving credit facility ,* Ferrellgas Partners L.P. announces amendment to its revolving credit facility,topStory
FGL,Fidelity and Guaranty Life,20170428,China Oceanwide seeks more time for U.S. approval of Genworth deal ,April 28 China Oceanwide Holdings Group Co said on Friday it had refiled its application for U.S. approval of its $2.7 billion acquisition of life insurance company Genworth Financial Inc  in a bid to add more time to the regulatory review.,normal
FMX,Fomento Economico Mexicano SAB de CV,20170428,Femsa first-quarter profit rises  but electricity costs took a bite ,MEXICO CITY Mexican bottler and retailer Fomento Economico Mexicano on Friday said its first-quarter net profit rose 9.7 percent year-on-year  below market expectations as a spike in electricity prices ate into a surge in sales.,topStory
FMX,Fomento Economico Mexicano SAB de CV,20170428,UPDATE 2-Femsa 1st-quarter profit rises  but electricity costs took a bite ,MEXICO CITY  April 28 Mexican bottler and retailer Fomento Economico Mexicano on Friday said its first-quarter net profit rose 9.7 percent year-on-year  below market expectations as a spike in electricity prices ate into a surge in sales.,normal
FMX,Fomento Economico Mexicano SAB de CV,20170428,Mexico's Femsa reports 9.7 pct yr/yr rise in net profit in Q1 ,MEXICO CITY  April 28 Mexican bottler and retailer Fomento Economico Mexicano (Femsa) reported a 9.7 percent year-on-year rise in its first-quarter net profit on Friday.,normal
F,Ford Motor Company,20170428,BRIEF-Ford Motor says enters into 13th amendment to credit agreement dated Dec 15  2006 ,* On April 28  company entered into thirteenth amendment to its credit agreement dated as of December 15  2006 - SEC filing,topStory
FIG,Fortress Investment Group LLC,20170428,Fortress explores sale of bond fund manager Logan Circle-sources ,April 28 Fortress Investment Group LLC  the U.S. alternative asset manager to be acquired by Japan's SoftBank Group for $3.3 billion  is exploring divesting bond fund manager Logan Circle Partners  according to people familiar with the matter.,topStory
BEN,Franklin Resources Inc,20170428,BRIEF-Franklin Resources posts Q2 earnings per share $0.74 ,* Q2 earnings per share view $0.67  revenue view $1.57 billion -- Thomson Reuters I/B/E/S,topStory
FRO,Frontline Ltd,20170428,UPDATE 1-Frontline says Marshall Islands court sets date for DHT hearing ,OSLO  April 28 Oil tanker firm Frontline said on Friday the high court in the Marshall Islands has agreed to hear on May 17 its complaint against takeover target DHT Holdings  which is incorporated in the remote Pacific republic  over a rival deal with BW Offshore.,topStory
FRO,Frontline Ltd,20170428,Frontline says Marshall Islands court sets date for case against DHT ,OSLO  April 28 Oil tanker firm Frontline said on Friday the high court in the Marshall Islands has agreed to hear on May 17 its complaint against takeover target DHT  which is incorporated in the remote Pacific republic  over a rival deal with BW Offshore.,normal
GME,Gamestop Corporation,20170428,BRIEF-GameStop CEO J. Paul Raines' total compensation for 2016 was $7.8 mln ,* GameStop Corp - CEO J. Paul Raines' total compensation for 2016 was $7.8 million versus $9.1 million in 2015 Source text: (http://bit.ly/2qobNdf) Further company coverage:,topStory
GEH,General Electric Capital Corporation,20170428,General Electric wins $670 million aircraft engine maintenance contract: Pentagon ,WASHINGTON General Electric Co  has been awarded a $670.7 million logistics contract for repair and support of F/A-18 and EA-18 aircraft engines  the Pentagon said on Friday.,topStory
GEH,General Electric Capital Corporation,20170428,General Electric wins $670 mln aircraft engine maintenance contract- Pentagon ,WASHINGTON  April 28 General Electric Co has been awarded a $670.7 million logistics contract for repair and support of F/A-18 and EA-18 aircraft engines  the Pentagon said on Friday.,normal
GEK,General Electric Capital Corporation,20170428,General Electric wins $670 million aircraft engine maintenance contract: Pentagon ,WASHINGTON General Electric Co  has been awarded a $670.7 million logistics contract for repair and support of F/A-18 and EA-18 aircraft engines  the Pentagon said on Friday.,topStory
GEK,General Electric Capital Corporation,20170428,General Electric wins $670 mln aircraft engine maintenance contract- Pentagon ,WASHINGTON  April 28 General Electric Co has been awarded a $670.7 million logistics contract for repair and support of F/A-18 and EA-18 aircraft engines  the Pentagon said on Friday.,normal
GE,General Electric Company,20170428,General Electric wins $670 million aircraft engine maintenance contract: Pentagon ,WASHINGTON General Electric Co  has been awarded a $670.7 million logistics contract for repair and support of F/A-18 and EA-18 aircraft engines  the Pentagon said on Friday.,topStory
GE,General Electric Company,20170428,General Electric wins $670 mln aircraft engine maintenance contract- Pentagon ,WASHINGTON  April 28 General Electric Co has been awarded a $670.7 million logistics contract for repair and support of F/A-18 and EA-18 aircraft engines  the Pentagon said on Friday.,normal
GEB,General Electric Company,20170428,General Electric wins $670 million aircraft engine maintenance contract: Pentagon ,WASHINGTON General Electric Co  has been awarded a $670.7 million logistics contract for repair and support of F/A-18 and EA-18 aircraft engines  the Pentagon said on Friday.,topStory
GEB,General Electric Company,20170428,General Electric wins $670 mln aircraft engine maintenance contract- Pentagon ,WASHINGTON  April 28 General Electric Co has been awarded a $670.7 million logistics contract for repair and support of F/A-18 and EA-18 aircraft engines  the Pentagon said on Friday.,normal
GM,General Motors Company,20170428,Rising U.S. truck  crossover sales drive GM to record profit ,DETROIT General Motors Co  on Friday reported a record quarterly | Video ,topStory
GM,General Motors Company,20170428,Tesla recruiting engineers in Mexico for California plant ,SAN FRANCISCO  April 28 Tesla Inc is recruiting engineers from Mexico to work on robotics and other automated equipment at its California factory  according to LinkedIn postings viewed by Reuters  part of a hiring push to ready the plant for mass production of the upcoming Model 3.,normal
GM,General Motors Company,20170428,UPDATE 4-Rising U.S. truck  crossover sales drive GM to record profit ,DETROIT  April 28 General Motors Co on Friday reported a record quarterly first-quarter profit on robust sales of its large pickup trucks and crossovers in the United States  as uncertainty surrounds the overall pace of domestic auto sales for the industry.,normal
GM,General Motors Company,20170428,BRIEF-General Motors Co reports Q1 earnings per share $1.70 ,* Q1 earnings per share $1.70; Q1 adjusted earnings per share $1.70; Q1 revenue $41.2 billion  up 10.6 percent,normal
GM,General Motors Company,20170428,GM quarterly profit jumps on strong U.S. truck  crossover sales ,DETROIT  April 28 General Motors Co on Friday reported a jump in quarterly net profit driven by strong sales of full-size trucks and crossovers in the United States and cost cutting.,normal
GM,General Motors Company,20170428,UPDATE 1-China SAIC Motor's profit up 4 pct  sales growth slows on tax rollback ,* SAIC has JVs with VW and GM  also makes its own brands (Adds details of results  context),normal
GNW,Genworth Financial Inc,20170428,China Oceanwide seeks more time for U.S. approval of Genworth deal ,China Oceanwide Holdings Group Co said on Friday it had refiled its application for U.S. approval of its $2.7 billion acquisition of life insurance company Genworth Financial Inc   in a bid to add more time to the regulatory review.,topStory
GNW,Genworth Financial Inc,20170428,China Oceanwide seeks more time for U.S. approval of Genworth deal ,April 28 China Oceanwide Holdings Group Co said on Friday it had refiled its application for U.S. approval of its $2.7 billion acquisition of life insurance company Genworth Financial Inc  in a bid to add more time to the regulatory review.,normal
GNW,Genworth Financial Inc,20170428,BRIEF-Genworth and Oceanwide provide update on CFIUS application ,* Genworth Financial - co  china oceanwide holdings group have withdrawn and re-filed their joint voluntary notice to cfius,normal
GSK,GlaxoSmithKline PLC,20170428,BRIEF-Glaxo Smithkline Consumer Nig reports Q1 group loss before tax of 8.3 mln naira ,* Q1 group loss before tax of 8.3 million naira versus profit of 167.5 million naira year ago,topStory
GS,Goldman Sachs Group Inc (The),20170428,Goldman Sachs shareholders approve executive pay plan ,Goldman Sachs Group Inc's  compensation plan received the approval of 93 percent of shareholders at the bank's annual meeting on Friday after the pay structure for Chief Executive Officer Lloyd Blankfein was simplified.,topStory
GS,Goldman Sachs Group Inc (The),20170428,UPDATE 1-Goldman Sachs shareholders approve executive pay plan ,April 28 Goldman Sachs Group Inc's compensation plan received the approval of 93 percent of shareholders at the bank's annual meeting on Friday after the pay structure for Chief Executive Officer Lloyd Blankfein was simplified.,normal
GS,Goldman Sachs Group Inc (The),20170428,Goldman Sachs shareholders approve executive pay plan ,April 28 Goldman Sachs Group Inc's compensation plan was passed by 93 percent of shareholders at the bank's annual meeting on Friday  after it simplified the pay structure for CEO Lloyd Blankfein.,normal
GPI,Group 1 Automotive Inc,20170428,BRIEF-Group 1 Automotive Q1 earnings per share $1.58 ,* Group 1 Automotive reports first quarter 2017 financial results,topStory
HES,Hess Corporation,20170428,BRIEF-Hess CEO's 2016 total compensation was $11.7 mln vs $12.9 mln in 2015 ,* Chief Executive Officer John Hess' 2016 total compensation was $11.7 million versus $12.9 million in 2015 Source text:(http://bit.ly/2oUiAed) Further company coverage:,topStory
HRC,Hill-Rom Holdings Inc,20170428,BRIEF-Hill-Rom Holdings Q2 earnings per share $0.51 ,* Hill-Rom exceeds guidance with strong fiscal second quarter financial results and raises 2017 full-year outlook,topStory
HD,Home Depot Inc (The),20170428,Tesla says it will stop selling solar door-to-door ,April 28 Tesla Inc on Friday said that its subsidiary SolarCity will curtail door-to-door sales of rooftop solar installations over the next month as Tesla seeks to absorb the company into its high-end brand.,normal
HMC,Honda Motor Company Ltd,20170428,Motor racing: Honda talking to 'various teams' about Formula One engine supply ,SOCHI  Russia McLaren's beleaguered engine partners Honda are talking to several teams about a possible supply for next season  the Japanese manufacturer's Formula One chief Yusuke Hasegawa said on Friday.,topStory
HMC,Honda Motor Company Ltd,20170428,Motor racing-Honda talking to 'various teams' about F1 engine supply ,SOCHI  Russia  April 28 McLaren's beleaguered engine partners Honda are talking to several teams about a possible supply for next season  the Japanese manufacturer's Formula One chief Yusuke Hasegawa said on Friday.,normal
HMC,Honda Motor Company Ltd,20170428,Honda sees auto sales edging up  profit sliding in 2017/18 ,TOKYO Honda Motor Co  forecast a 16 percent fall in operating profit for the current financial year as the Japanese automaker sees higher auto sales being offset by a stronger yen and research and development costs.,normal
HMC,Honda Motor Company Ltd,20170428,UPDATE 2-Honda sees auto sales edging up  profit sliding in 2017/18 ,* Honda sees 705 bln yen operating profit  -16.1 pct from 16/17,normal
HMC,Honda Motor Company Ltd,20170428,Honda forecasts lower operating profit in 2017/18 ,TOKYO  April 28 Honda Motor Co forecast on Friday a 16.1 percent fall in operating profit for the current financial year as the Japanese automaker expects a stronger yen  changes to its pension plan and research and development costs will weigh on earnings even as auto sales rise.,normal
HON,Honeywell International Inc,20170428,BRIEF-Honeywell enters into a $1.5 bln 364-day credit agreement ,* Honeywell - on April 28  2017  co entered into a $1.5 billion 364-day credit agreement,topStory
HON,Honeywell International Inc,20170428,PRESS DIGEST - Wall Street Journal - April 28 ,April 28 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
HSBC,HSBC Holdings plc,20170428,BRIEF-28 pct of HSBC shareholders vote against Irene Lee for board ,* Hsbc shareholders vote to reelect irene lee to board but 28 percent vote against Source text for Eikon: Further company coverage: (Reporting by Lawrence White),topStory
HSBC,HSBC Holdings plc,20170428,BRIEF-HSBC says to maintain current dividend for foreseeable future ,* Our current intention is to sustain annual dividend at current level for foreseeable future -Chairman,normal
HSEA,HSBC Holdings plc,20170428,BRIEF-28 pct of HSBC shareholders vote against Irene Lee for board ,* Hsbc shareholders vote to reelect irene lee to board but 28 percent vote against Source text for Eikon: Further company coverage: (Reporting by Lawrence White),topStory
HSEA,HSBC Holdings plc,20170428,BRIEF-HSBC says to maintain current dividend for foreseeable future ,* Our current intention is to sustain annual dividend at current level for foreseeable future -Chairman,normal
HSEB,HSBC Holdings plc,20170428,BRIEF-28 pct of HSBC shareholders vote against Irene Lee for board ,* Hsbc shareholders vote to reelect irene lee to board but 28 percent vote against Source text for Eikon: Further company coverage: (Reporting by Lawrence White),topStory
HSEB,HSBC Holdings plc,20170428,BRIEF-HSBC says to maintain current dividend for foreseeable future ,* Our current intention is to sustain annual dividend at current level for foreseeable future -Chairman,normal
IBM,International Business Machines Corporation,20170428,BRIEF-IBM shareholders vote on executive compensation with 54.25 pct "for" ,* Shareholders vote on executive compensation with 54.25 percent "for" Source text:(http://bit.ly/2qo7P41) Further company coverage:,topStory
KBR,KBR Inc,20170428,BRIEF-KBR conducting internal investigation; cooperating with DOJ  SEC  and SFO ,* Kbr is conducting its own internal investigation as well as cooperating with DOJ  SEC  and SFO in their investigations Source text for Eikon: Further company coverage:,topStory
KBR,KBR Inc,20170428,BRIEF-Britain's SFO opens investigation into UK units of KBR ,* Britain's serious fraud office says opens investigation into uk subsidiaries of kbr  in relation to ongoing investigation into unaoil Further company coverage:,normal
K,Kellogg Company,20170428,BRIEF-Kellogg declares regular dividend of $0.52 per share  plans to raise dividend to $0.54 per share beginning Q3 2017 ,* Kellogg Company declares regular dividend of $0.52 per share and announces plans for 4% dividend increase,topStory
