ACIW,ACI Worldwide Inc,20110916,UPDATE 1-S1 terminates Fundtech merger agreement , * Fundtech agrees to be bought by PE firm GTCR for $390 mln,topStory
GD,General Dynamics Corporation,20110916,Deals of the day -- mergers and acquisitions , (Adds Kinetic Concepts  TransGlobe Apartment Real Estate  CSN  S1 Corp  99 Cents Only Stores),topStory
GD,General Dynamics Corporation,20110916,BAE  Babcock  General Dynamics eye UK defence assets , LONDON  Sept 16 British defence companies BAE Systems and Babcock International and U.S. arms maker General Dynamics have approached the British government about buying the Defence Support Group (DSG) -- its armed forces equipment management unit.,normal
GEK,General Electric Capital Corporation,20110916,Boeing scrubs planned first delivery of 747-8F ,Boeing Co  said on Friday it would not make the planned first delivery of its 747-8 Freighter to Cargolux  on Monday  citing "unresolved issues" with the airline.,topStory
GEK,General Electric Capital Corporation,20110916,UPDATE 3-Boeing scrubs planned first delivery of 747-8F , * Expert believes dispute hinges on fuel consumption  (Adds background on Dreamliner),normal
GEK,General Electric Capital Corporation,20110916,Exclusive: United Tech seeks $10-20 billion for deal ,United Technologies Corp  is lining up $10 billion to $20 billion in financing for a U.S. acquisition that could shape up as its biggest takeover in a decade  said people with direct knowledge of the matter.,normal
GEK,General Electric Capital Corporation,20110916,UPDATE 6-United Tech seeks $10-20 bln for deal-source , * Lining up financing in double-digit billions of dollars,normal
GEK,General Electric Capital Corporation,20110916,US STOCKS-Europe propels Wall Street higher for week , * Investors reassured major euro zone disruption unlikely,normal
GEK,General Electric Capital Corporation,20110916,Factbox: Facts about United Tech's Louis Chenevert ,United Technologies Corp  named Louis Chenevert chairman on January 1  2010  concluding a four-year transition of power at the diversified U.S. manufacturer from prior boss George David.,normal
GEK,General Electric Capital Corporation,20110916,US STOCKS-Europe propels Wall Street to end week up , * Investors reassured major euro zone disruption unlikely,normal
GEK,General Electric Capital Corporation,20110916,FACTBOX-Facts about United Tech's Louis Chenevert , Sept 16 United Technologies Corp  named Louis Chenevert chairman on Jan. 1  2010  concluding a four-year transition of power at the diversified U.S. manufacturer from prior boss George David.,normal
GEK,General Electric Capital Corporation,20110916,US STOCKS-Market up for 5th day  but Europe issues linger , * Geithner urges unity tackling euro zone's debt crisis,normal
GEK,General Electric Capital Corporation,20110916,UPDATE 3-GE makes Russian push with energy  health ventures , * Part of push to boost GE's presence outside U.S.  (Adds interview with GE executive  details),normal
GE,General Electric Company,20110916,Boeing scrubs planned first delivery of 747-8F ,Boeing Co  said on Friday it would not make the planned first delivery of its 747-8 Freighter to Cargolux  on Monday  citing "unresolved issues" with the airline.,topStory
GE,General Electric Company,20110916,UPDATE 3-Boeing scrubs planned first delivery of 747-8F , * Expert believes dispute hinges on fuel consumption  (Adds background on Dreamliner),normal
GE,General Electric Company,20110916,Exclusive: United Tech seeks $10-20 billion for deal ,United Technologies Corp  is lining up $10 billion to $20 billion in financing for a U.S. acquisition that could shape up as its biggest takeover in a decade  said people with direct knowledge of the matter.,normal
GE,General Electric Company,20110916,UPDATE 6-United Tech seeks $10-20 bln for deal-source , * Lining up financing in double-digit billions of dollars,normal
GE,General Electric Company,20110916,US STOCKS-Europe propels Wall Street higher for week , * Investors reassured major euro zone disruption unlikely,normal
GE,General Electric Company,20110916,Factbox: Facts about United Tech's Louis Chenevert ,United Technologies Corp  named Louis Chenevert chairman on January 1  2010  concluding a four-year transition of power at the diversified U.S. manufacturer from prior boss George David.,normal
GE,General Electric Company,20110916,US STOCKS-Europe propels Wall Street to end week up , * Investors reassured major euro zone disruption unlikely,normal
GE,General Electric Company,20110916,FACTBOX-Facts about United Tech's Louis Chenevert , Sept 16 United Technologies Corp  named Louis Chenevert chairman on Jan. 1  2010  concluding a four-year transition of power at the diversified U.S. manufacturer from prior boss George David.,normal
GE,General Electric Company,20110916,US STOCKS-Market up for 5th day  but Europe issues linger , * Geithner urges unity tackling euro zone's debt crisis,normal
GE,General Electric Company,20110916,UPDATE 3-GE makes Russian push with energy  health ventures , * Part of push to boost GE's presence outside U.S.  (Adds interview with GE executive  details),normal
GIS,General Mills Inc,20110916,Bernanke  Europe hold key to aiding rally ,NEW YORK Wall Street hopes for more Fed action and clear signs European leaders will follow through on their new urgency to tackle the euro zone debt crisis if U.S. stocks are to build on their best week since early July.,topStory
GIS,General Mills Inc,20110916,Wall St Week Ahead: Bernanke  Europe hold key to aiding rally , NEW YORK  Sept 16 Wall Street hopes for more Fed action and clear signs European leaders will follow through on their new urgency to tackle the euro zone debt crisis if U.S. stocks are to build on their best week since early July.,normal
GM,General Motors Company,20110916,GM  UAW close in on labor deal ,DETROIT General Motors Co  and the United Auto Workers union were nearing a new contract for 49 000 production workers in talks in Detroit on Friday  people with direct knowledge of the negotiations said.,topStory
GM,General Motors Company,20110916,UPDATE 4-GM  UAW close in on labor deal , * Tenn. officials met GM in bid to revive Saturn plant  (Adds detail on proposal regarding healthcare costs),normal
GM,General Motors Company,20110916,UAW  automaker talks continue; GM makes progress ,DETROIT General Motors Co and the United Auto Workers union have made "good progress" toward an agreement  a person familiar with the talks said on Friday as negotiations resumed.,normal
GM,General Motors Company,20110916,UAW  automaker talks continue; GM makes progress , DETROIT  Sept 16 General Motors Co  and the United Auto Workers union have made "good progress" toward an agreement  a person familiar with the talks said on Friday as negotiations resumed.,normal
GM,General Motors Company,20110916,UPDATE 2-Volkswagen steps up investment in world no.1 bid , * Capex to total 49.8 bln euros  mainly in automotive ops,normal
GM,General Motors Company,20110916,Supplier seeks Saab bankruptcy - court , STOCKHOLM  Sept 16 A court in southern Sweden said on Friday it had received more applications for struggling carmaker Saab to be declared bankrupt.,normal
GM,General Motors Company,20110916,UPDATE 1-European car sales rose 7.8 pct in August , * VW brand +19.5 pct  Audi +17 pct  BMW +31 pct  Mercedes +17 pct,normal
GM,General Motors Company,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
GM,General Motors Company,20110916,PRESS DIGEST - New York Times business news - Sept 16 , Sept 16 The following were the top stories in The New York Times business pages on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
GM,General Motors Company,20110916,European car market grows 7.8 pct in August -VDA , FRANKFURT  Sept 16 European new car registrations increased 7.8 percent in August to 787 500 vehicles as all major markets found themselves growing at the same time for the first month in over a year  data showed on Friday.,normal
GSK,GlaxoSmithKline PLC,20110916,Analysis: Bachmann may be Romney's top asset in race ,WASHINGTON Presidential candidate Michele Bachmann's scathing attacks on Rick Perry may be hurting the front-runner for the 2012 Republican nomination  and raising questions about her own judgment  but they are also helping another of her rivals -- Mitt Romney.,topStory
GS,Goldman Sachs Group Inc (The),20110916,US bank trading revenues plummet in second quarter ,   * Bank holding company trading revs down 18 pct in Q2 vs Q1,topStory
GS,Goldman Sachs Group Inc (The),20110916,Goldman to close Global Alpha fund after losses ,NEW YORK Goldman Sachs Group Inc is shuttering a well-known hedge fund that relies on computer-driven trading strategies after the portfolio rang up a hefty loss this year.,normal
GS,Goldman Sachs Group Inc (The),20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
HAL,Halliburton Company,20110916,Analysis: BP oil spill report may prompt $30 billion pay-out ,LONDON Findings of the second major investigation by the U.S. government into the 2010 Gulf of Mexico oil spill  may press BP into putting over $30 billion on the table to quickly settle its outstanding legal headaches.,topStory
HOG,Harley-Davidson Inc,20110916,UPDATE 2-Piaggio sees half of sales in Asia in 2014 , * Shares close up 7.5 pct  beat sector   (Adds details on Moto Guzzi relaunch  updates shares),topStory
HMC,Honda Motor Company Ltd,20110916,UPDATE 1-European car sales rose 7.8 pct in August , * VW brand +19.5 pct  Audi +17 pct  BMW +31 pct  Mercedes +17 pct,topStory
HMC,Honda Motor Company Ltd,20110916,REFILE-Indonesia's Aug motorcycle sales fall 7.25 pct y/y , JAKARTA  Sept 16 Indonesia's domestic motorcycle sales  an indicator of consumer demand in Southeast Asia's biggest economy  fell 7.25 percent from a year ago  data from an association showed on Friday.,normal
HMC,Honda Motor Company Ltd,20110916,UPDATE 1-Indonesia-Market Factors to watch - Sept 16 , JAKARTA  Sept 16 Following is a list of events in Indonesia as well as news stories and press reports that may influence financial markets.,normal
HON,Honeywell International Inc,20110916,Exclusive: United Tech seeks $10-20 billion for deal ,United Technologies Corp  is lining up $10 billion to $20 billion in financing for a U.S. acquisition that could shape up as its biggest takeover in a decade  said people with direct knowledge of the matter.,topStory
HON,Honeywell International Inc,20110916,UPDATE 6-United Tech seeks $10-20 bln for deal-source , * Lining up financing in double-digit billions of dollars,normal
HSBC,HSBC Holdings plc,20110916,HSBC bank tellers in U.S. get new trial on bias claim ,Four bank tellers at an HSBC bank branch in Brooklyn  New York will get a new trial on their claim that they were subject to a racially hostile work environment  thanks to a law passed in 2005 that lowered the threshold for establishing workplace hostility.,topStory
HSBC,HSBC Holdings plc,20110916,HSBC bank tellers in U.S. get new trial on bias claim , * Court finds 2005 civil rights law applies retroactively,normal
HSBC,HSBC Holdings plc,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
HSBC,HSBC Holdings plc,20110916,UPDATE 1-China sets national gold standard - Xinhua , * Move expected to accelerate opening up of gold trading   (Adds details  background),normal
HSBC,HSBC Holdings plc,20110916,China's XCMG delays $1.5 bln HK offer roadshow-IFR , HONG KONG  Sept 16 XCMG Construction Machinery Co Ltd has delayed the roadshow for its up to $1.5 billion Hong Kong offering by one week to evaluate market conditions  IFR reported on Friday.,normal
HSEA,HSBC Holdings plc,20110916,HSBC bank tellers in U.S. get new trial on bias claim ,Four bank tellers at an HSBC bank branch in Brooklyn  New York will get a new trial on their claim that they were subject to a racially hostile work environment  thanks to a law passed in 2005 that lowered the threshold for establishing workplace hostility.,topStory
HSEA,HSBC Holdings plc,20110916,HSBC bank tellers in U.S. get new trial on bias claim , * Court finds 2005 civil rights law applies retroactively,normal
HSEA,HSBC Holdings plc,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
HSEA,HSBC Holdings plc,20110916,UPDATE 1-China sets national gold standard - Xinhua , * Move expected to accelerate opening up of gold trading   (Adds details  background),normal
HSEA,HSBC Holdings plc,20110916,China's XCMG delays $1.5 bln HK offer roadshow-IFR , HONG KONG  Sept 16 XCMG Construction Machinery Co Ltd has delayed the roadshow for its up to $1.5 billion Hong Kong offering by one week to evaluate market conditions  IFR reported on Friday.,normal
HSEB,HSBC Holdings plc,20110916,HSBC bank tellers in U.S. get new trial on bias claim ,Four bank tellers at an HSBC bank branch in Brooklyn  New York will get a new trial on their claim that they were subject to a racially hostile work environment  thanks to a law passed in 2005 that lowered the threshold for establishing workplace hostility.,topStory
HSEB,HSBC Holdings plc,20110916,HSBC bank tellers in U.S. get new trial on bias claim , * Court finds 2005 civil rights law applies retroactively,normal
HSEB,HSBC Holdings plc,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
HSEB,HSBC Holdings plc,20110916,UPDATE 1-China sets national gold standard - Xinhua , * Move expected to accelerate opening up of gold trading   (Adds details  background),normal
HSEB,HSBC Holdings plc,20110916,China's XCMG delays $1.5 bln HK offer roadshow-IFR , HONG KONG  Sept 16 XCMG Construction Machinery Co Ltd has delayed the roadshow for its up to $1.5 billion Hong Kong offering by one week to evaluate market conditions  IFR reported on Friday.,normal
ING,ING Group NV,20110916,ADR REPORT-Receding euro zone concern helps ADRs ,   (Updates with closing levels  adds Moody's comments on Italy after U.S. market close),topStory
ING,ING Group NV,20110916,ADR REPORT-Receding euro zone concern helps banks , NEW YORK  Sept 16 U.S.-listed shares of overseas companies were little changed on Friday  with banks mostly higher as investors were increasingly optimistic that leaders are working to contain the euro zone debt crisis.,normal
JPM,J P Morgan Chase & Co,20110916,Alabama county backs deal to settle $3.14 billion debt ,BIRMINGHAM  Alabama Alabama's Jefferson County voted on Friday to accept a provisional deal to settle its $3.14 billion sewer bond debt and avoid what would be the largest municipal bankruptcy in U.S. history.,topStory
JPM,J P Morgan Chase & Co,20110916,Citi introducing fees on low-balance bank accounts ,Citigroup Inc said it will start charging a monthly fee on accounts with low balances  joining a growing list of banks seeking to recoup revenue lost under new regulations.,normal
JPM,J P Morgan Chase & Co,20110916,UPDATE 3-Citi introducing fees on low-balance bank accounts , * Debit card use  online billpay are free  (Adds comment from consumer advocate),normal
JPM,J P Morgan Chase & Co,20110916,US bank trading revenues plummet in second quarter ,   * Bank holding company trading revs down 18 pct in Q2 vs Q1,normal
JPM,J P Morgan Chase & Co,20110916,CORRECTED-COLUMN-UBS scandal could kill its investment bank: Mullin , (Corrects reason for Moody's downgrade of Societe Generale in first paragraph),normal
JPM,J P Morgan Chase & Co,20110916,Manchester United Singapore listing gets SGX OK-source , SINGAPORE  Sept 16 English Premier League football champions Manchester United has received permission from the Singapore Exchange for a planned $1 billion listing  a source briefed on the deal said.,normal
JCP,JC Penney Company Inc Holding Company,20110916,Analysis: Wary retailers play safe with holiday hiring ,NEW YORK People looking for a temporary retail job this holiday season will have better luck at dollar stores and discounters than at department stores and middle market apparel chains  as the anemic U.S. economy keeps other retailers cautious.,topStory
JLL,Jones Lang LaSalle Incorporated,20110916,CORRECTED-Risk-wary UK mall developers prune project plans , * Mall developers pare back project budgets  blueprints,topStory
JLL,Jones Lang LaSalle Incorporated,20110916,Blackstone to sell student homes for $786 million: source ,LONDON Private equity company Blackstone  is in talks with less than five parties for a potential 500 million pounds ($786 million) sale of its Nido student accommodation portfolio  a source familiar with the matter told Reuters.,normal
JLL,Jones Lang LaSalle Incorporated,20110916,Blackstone to sell student homes for $786 mln-source , * Five potential 'mostly non-European' bidders in frame -source,normal
KKR,KKR & Co LP,20110916,Carlyle investors should prepare for rocky ride ,NEW YORK Carlyle is facing a tough market and if recent history is any guide  once it goes public  its shares will be volatile.,topStory
KKR,KKR & Co LP,20110916,IPO VIEW-Carlyle investors should prepare for rocky ride , NEW YORK  Sept 16 Carlyle is facing a tough market and if recent history is any guide  once it goes public  its shares will be volatile.,normal
KSS,Kohl&#39;s Corporation,20110916,Analysis: Wary retailers play safe with holiday hiring ,NEW YORK People looking for a temporary retail job this holiday season will have better luck at dollar stores and discounters than at department stores and middle market apparel chains  as the anemic U.S. economy keeps other retailers cautious.,topStory
KSS,Kohl&#39;s Corporation,20110916,HOW TO PLAY IT-Stocks that inspire consumer confidence , THE ISSUE: The Thomson Reuters/U of Michigan's Consumer Confidence index rose slightly more than expected but remained at nearly the lowest level in years at 57.8. In a healthy economy  it would be over 70 percent.,normal
KR,Kroger Company (The),20110916,SoCal grocers  union down to wire as strike looms ,LOS ANGELES Southern California unions and supermarket operators will negotiate through the weekend in a last-ditch bid to end an escalating Southern California supermarket labor dispute that could usher in the region's first grocery strike since 2003.,topStory
KR,Kroger Company (The),20110916,SoCal grocers  union down to wire as strike looms , * Canceled contract does not automatically spark strike,normal
KR,Kroger Company (The),20110916,Southern California union takes major step toward strike ,LOS ANGELES The union representing many of the 62 000 workers at Ralphs  Vons and Albertsons supermarkets in southern California issued a required 72-hour notice of its plan to cancel its extended contract  a move that could pave the way for a strike.,normal
KR,Kroger Company (The),20110916,UPDATE 2-S. California union takes major step toward strike ,   * Union issues 72-hour notice canceling contract extension,normal
LM,Legg Mason Inc,20110916,Analysis: Gundlach on top even after court setbacks ,Even when the newly anointed "bond king" Jeffrey Gundlach suffers some setbacks in an ugly court spat  he manages to come out a winner.,topStory
LM,Legg Mason Inc,20110916,Analysis: Bond titan Gundlach on top even after court setbacks ,Even when the newly anointed "bond king" Jeffrey Gundlach suffers some setbacks in an ugly court spat  he manages to come out a winner.,normal
LMHA,Legg Mason Inc,20110916,Analysis: Gundlach on top even after court setbacks ,Even when the newly anointed "bond king" Jeffrey Gundlach suffers some setbacks in an ugly court spat  he manages to come out a winner.,topStory
LMHA,Legg Mason Inc,20110916,Analysis: Bond titan Gundlach on top even after court setbacks ,Even when the newly anointed "bond king" Jeffrey Gundlach suffers some setbacks in an ugly court spat  he manages to come out a winner.,normal
LMHB,Legg Mason Inc,20110916,Analysis: Gundlach on top even after court setbacks ,Even when the newly anointed "bond king" Jeffrey Gundlach suffers some setbacks in an ugly court spat  he manages to come out a winner.,topStory
LMHB,Legg Mason Inc,20110916,Analysis: Bond titan Gundlach on top even after court setbacks ,Even when the newly anointed "bond king" Jeffrey Gundlach suffers some setbacks in an ugly court spat  he manages to come out a winner.,normal
LEN,Lennar Corporation,20110916,Bernanke  Europe hold key to aiding rally ,NEW YORK Wall Street hopes for more Fed action and clear signs European leaders will follow through on their new urgency to tackle the euro zone debt crisis if U.S. stocks are to build on their best week since early July.,topStory
LEN,Lennar Corporation,20110916,Wall St Week Ahead: Bernanke  Europe hold key to aiding rally , NEW YORK  Sept 16 Wall Street hopes for more Fed action and clear signs European leaders will follow through on their new urgency to tackle the euro zone debt crisis if U.S. stocks are to build on their best week since early July.,normal
LYG,Lloyds Banking Group Plc,20110916,Deals of the day -- mergers and acquisitions , (Adds Kinetic Concepts  TransGlobe Apartment Real Estate  CSN  S1 Corp  99 Cents Only Stores),topStory
LYG,Lloyds Banking Group Plc,20110916,Blackstone buys Europe Mint hotels for $950 million ,LONDON U.S. private equity group Blackstone  has bought European hotel chain Mint for a reported 600 million pounds ($948.4 million) in one of the biggest deals for the region's hotel industry  with rivals also planning expansion.,normal
LYG,Lloyds Banking Group Plc,20110916,Blackstone buys Europe Mint hotels for $950 mln , LONDON  Sept 16 U.S. private equity group Blackstone has bought European hotel chain Mint for a reported 600 million pounds ($948.4 million) in one of the biggest deals for the region's hotel industry  with rivals also planning expansion.,normal
LYG,Lloyds Banking Group Plc,20110916,UPDATE 1-Lloyds branch buyers to cut loan book size , * Loans included in deal likely cut to near 48 bln stg - source   (Adds details),normal
LYG,Lloyds Banking Group Plc,20110916,Lloyds branch bidders to cut loan book size-sources , LONDON  Sept 16 The buyer of more than 600 UK branches from Lloyds Banking Group will massively cut the size of the loan book it takes on as part of the deal  reducing the funding gap it faces  people familiar with the matter said.,normal
LMT,Lockheed Martin Corporation,20110916,UPDATE 3-US to announce F-16 upgrade for Taiwan-lobby group , * Pro-Taiwan groups  lawmakers see capitulation to China,topStory
LMT,Lockheed Martin Corporation,20110916,US to announce F-16 upgrade for Taiwan-lobby group ,   WASHINGTON  Sept 16  The Obama administration will tell the U.S. Congress on Friday it plans to upgrade Taiwan's existing fleet of F-16 fighter jets  stopping short of selling the island more advanced versions of the warplanes  the head of the U.S.-Taiwan Business Council said.,normal
LMT,Lockheed Martin Corporation,20110916,Insight: Looming U.S. decision on Taiwan risks China rift ,BEIJING The Obama administration's impending decision on arms sales to Taiwan is likely to strain the diplomatic truce between the United States and China  which faces rising domestic demands to wield its growing power against debt-saddled Washington.,normal
LMT,Lockheed Martin Corporation,20110916,UPDATE 1-INSIGHT-Looming U.S. decision on Taiwan risks China rift , BEIJING  Sept 16 The Obama administration's impending decision on arms sales to Taiwan is likely to strain the diplomatic truce between the United States and China  which faces rising domestic demands to wield its growing power against debt-saddled Washington.,normal
LMT,Lockheed Martin Corporation,20110916,INSIGHT-Looming U.S. decision on Taiwan arms risks China rift , BEIJING  Sept 16 The Obama administration's impending decision on new arms sales to Taiwan is likely to strain the diplomatic truce between the United States and China  which faces rising domestic demands to wield its growing power against debt-saddled Washington.,normal
LMT,Lockheed Martin Corporation,20110916,U.S. will not offer new F-16s to Taiwan: report ,U.S. President Barack Obama has decided against selling new F-16 jets to Taiwan but will give the island an arms package worth $4.2 billion  the Washington Times reported.,normal
LMT,Lockheed Martin Corporation,20110916,U.S. will not offer new F-16s to Taiwan - report , Sept 16 U.S. President Barack Obama has decided against selling new F-16 jets to Taiwan but will give the island an arms package worth $4.2 billion  the Washington Times reported.,normal
LMT,Lockheed Martin Corporation,20110916,Defense cuts could worsen unemployment: Pentagon ,ABOARD A U.S. MILITARY AIRCRAFT Defense Secretary Leon Panetta is warning members of Congress that threatened defense cuts in the order of $1 trillion over the next decade would add 1 percentage point to the U.S. unemployment rate  a senior defense official said on Thursday.,normal
LMT,Lockheed Martin Corporation,20110916,Defense cuts could worsen US unemployment-Pentagon , * Congress wrestling with record deficits  9.1 pct jobless,normal
MMI,Marcus & Millichap Inc,20110916,BlackBerry maker's missteps stir talk of its sale ,Research In Motion's dismal quarterly results  the latest in a string of disappointments for shareholders  may have pleased prospective buyers coveting the BlackBerry maker's treasure trove of wireless patents.,topStory
MRK,Merck & Company Inc,20110916,Analysis: Bachmann may be Romney's top asset in race ,WASHINGTON Presidential candidate Michele Bachmann's scathing attacks on Rick Perry may be hurting the front-runner for the 2012 Republican nomination  and raising questions about her own judgment  but they are also helping another of her rivals -- Mitt Romney.,topStory
MET,MetLife Inc,20110916,SEC asked MetLife for more disclosures -filings ,Accounting officials at the U.S. Securities and Exchange Commission requested more thorough disclosures from insurer MetLife in its annual report on various loan and investment programs  according to a series of letters from earlier this year disclosed on Friday.,topStory
MET,MetLife Inc,20110916,SEC asked MetLife for more disclosures -filings , Sept 16 Accounting officials at the U.S. Securities and Exchange Commission requested more thorough disclosures from insurer MetLife  in its annual report on various loan and investment programs  according to a series of letters from earlier this year disclosed on Friday.,normal
MS,Morgan Stanley,20110916,China's XCMG delays $1.5 bln HK offer roadshow-IFR , HONG KONG  Sept 16 XCMG Construction Machinery Co Ltd has delayed the roadshow for its up to $1.5 billion Hong Kong offering by one week to evaluate market conditions  IFR reported on Friday.,topStory
MS,Morgan Stanley,20110916,BRIEF-Moody's confirms ratings of Mitsubishi UFJ Securities ,  Sept 16 Mitsubishi UFJ Financial Group   Mitsubishi UFJ Morgan Stanley Securities Co.  Ltd. Mitsubishi UFJ Securities Holdings Co.  Ltd,normal
MS,Morgan Stanley,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
MS,Morgan Stanley,20110916,Manchester United Singapore listing gets SGX OK-source , SINGAPORE  Sept 16 English Premier League football champions Manchester United has received permission from the Singapore Exchange for a planned $1 billion listing  a source briefed on the deal said.,normal
MS,Morgan Stanley,20110916,PRESS DIGEST - Financial Times - Sept 16 , Five of the world's central banks took bold concerted action to pre-empt a looming dollar funding crisis in Europe  sparking a rally in eurozone bank shares and the euro. http://www.ft.com/cms/s/0/11039e2c-dfa0-11e0-845a-00144feabdc0.html#axzz1Y4qK3ktJ,normal
MUR,Murphy Oil Corporation,20110916,UPDATE 1-Hurricane Maria nears Newfoundland  oil unaffected , Sept 16 Operations at oil rigs off Canada's Atlantic Coast are unlikely to be hurt by Hurricane Maria  which may tear down trees and cut power in the southeastern tip of Newfoundland later on Friday  officials said.,topStory
MUR,Murphy Oil Corporation,20110916,Canada's Hibernia oil field in path of Hurricane Maria , Sept 16 The Hibernia oil field off Canada's Atlantic Coast is in the path of Hurricane Maria  officials said on Friday  but said the six-meter waves were not likely to have a major impact on Hibernia's operations.,normal
SID,National Steel Company,20110916,Deals of the day -- mergers and acquisitions , (Adds Kinetic Concepts  TransGlobe Apartment Real Estate  CSN  S1 Corp  99 Cents Only Stores),topStory
SID,National Steel Company,20110916,WRAPUP 3-CSN exits Spain deal  Brazil takeover plan dubious , * Usiminas shareholders deny plans to sell stake to CSN,normal
SID,National Steel Company,20110916,Spain's Gallardo files arbitration suit against CSN , SAO PAULO  Sept 16 Grupo Alfonso Gallardo  the Spanish cement and steel producer that was selling assets to Brazilian rival CSN  denied on Friday breaching terms of that contract.,normal
SID,National Steel Company,20110916,Usiminas major shareholders deny stake sale to CSN , Sept 16 The group of companies that control Brazilian steelmaker Usiminas   denied there was a a proposal to sell some or all of their stakes in the company  according to a regulatory filing published on Friday.,normal
SID,National Steel Company,20110916,Brazil's CSN cancels deal with Spain's Gallardo , Sept 16 Brazilian steelmaker CSN  rescinded a contract to purchase the cement and steel assets of Spain's Grupo Alfonso Gallardo  citing an alleged breach of contract.,normal
NEM,Newmont Mining Corporation,20110916,UPDATE 1-Peru miners wait for royalty reform small print , * Industry leaders say law should respect negotiations   (Adds fresh quotes from mining minister  industry group),topStory
NEM,Newmont Mining Corporation,20110916,Peru miners wait for royalty reform small print , AREQUIPA  Peru  Sept 16 A drive by Peru's leftist president to raise mining royalties should not derail multibillion-dollar investments  industry executives said  but they added that the final law must reflect the spirit of negotiations with companies.,normal
NKE,Nike Inc,20110916,Bernanke  Europe hold key to aiding rally ,NEW YORK Wall Street hopes for more Fed action and clear signs European leaders will follow through on their new urgency to tackle the euro zone debt crisis if U.S. stocks are to build on their best week since early July.,topStory
NKE,Nike Inc,20110916,Wall St Week Ahead: Bernanke  Europe hold key to aiding rally , NEW YORK  Sept 16 Wall Street hopes for more Fed action and clear signs European leaders will follow through on their new urgency to tackle the euro zone debt crisis if U.S. stocks are to build on their best week since early July.,normal
NBL,Noble Energy Inc,20110916,UPDATE 2-UN urges resolution of gas dispute over Cyprus , (Adds Turkey-north Cyprus deal in principle on exploration),topStory
NBL,Noble Energy Inc,20110916,UPDATE 1-UN urges resolution of gas dispute over Cyprus , NICOSIA  Sept 16 The U.N. on Friday called for a peaceful resolution to a growing dispute between Turkey and Cyprus over gas exploration off the ethnically-split island  saying any finds should benefit both communities if they ended their long-running conflict.,normal
NMR,Nomura Holdings Inc ADR,20110916,Carlyle to buy Japan medical services firm for $149 mln , TOKYO  Sept 16 Global private equity firm Carlyle said it would buy Japan's N.I.C. Corp   which provides medical administrative and staffing services  for 11.5 billion yen ($149 million) as it targets mid-sized Japanese firms.,topStory
OAS,Oasis Petroleum Inc,20110916,Analysis: For oil explorers  it pays to buy  not rent ,U.S. oil and natural gas producers are buying onshore drilling rigs and related equipment to keep their costs in check  rather than rent from oilfield services providers who have bumped up prices amid strong demand for work in shale fields.,topStory
OZM,Och-Ziff Capital Management Group LLC,20110916,UPDATE 3-Citic Securities to sell up to $1.94 bln of shares in HK offer , * Citic to offer 995.3 million shares at HK$12.84 to HK$15.2 each,topStory
PTR,PetroChina Company Limited,20110916,Encana chief seeks patience after prices sag ,CALGARY  Alberta Investors in Encana Corp should be patient while Canada's biggest natural gas producer unlocks richer reserves in its long-held producing lands and in newly acquired ones  its chief executive said on Thursday.,topStory
PTR,PetroChina Company Limited,20110916,Analysis: Clock ticking for Canada's natural gas champion ,CALGARY  Alberta Encana Corp Chief Executive Randy Eresman did exactly what investors wanted when he created the quintessential pure play in North American natural gas. That's now his biggest problem.,normal
PTR,PetroChina Company Limited,20110916,Asia Distillates-Gas oil up as Hin Leong buys more , SINGAPORE  Sept 16 Asian gas oil strengthened on Friday  as the front-month crack spread rose to a 1-1/2 week high above $17  lifted by the prospect of Indonesia buying more cargoes for October delivery.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20110916,Japan refiner Nansei halts marine ops due to storm , TOKYO  Sept 16 Japanese refiner Nansei Sekiyu KK  wholly owned by Brazil's Petrobras   said it has suspended this week's marine operations at its 100 000 barrels per day Nishihara refinery in Okinawa  southwestern Japan  as tropical storm Roke approaches.,topStory
PFE,Pfizer Inc,20110916,Pfizer ups stake in Icagen to 69.8 percent ,Pfizer Inc reported an increased stake in Icagen Inc  four days after announcing that it had extended its tender offer to buy the biotech firm for a final time.,topStory
PFE,Pfizer Inc,20110916,Bayer to reshuffle diagnostics business , FRANKFURT  Sept 16 German drugmaker Bayer  is to overhaul its contrast agents business  seeking marketing synergies with its U.S. medical devices unit Medrad  as it cuts costs to counter generic competition.,normal
