ARAY,Accuray Incorporated,20111116,UPDATE 1-Accuray to cut 5 pct jobs to reduce cost ,Nov 16 Medical device maker Accuray Inc  said it would cut about 5 percent of its workforce  or 51 jobs  to reduce cost following its acquisition of smaller rival TomoTherapy earlier this year.,topStory
TRP,TransCanada Corporation,20111116,Canada pipeline firms sprint to end U.S. oil glut ,HOUSTON/CALGARY Enbridge Inc and TransCanada Corp have raced forward with new pipeline plans in the fierce battle to unclog a year-long U.S. oil bottleneck  which could quickly end an unprecedented distortion in crude markets.,topStory
TRP,TransCanada Corporation,20111116,TransCanada may go ahead with Cushing to Gulf link ,CALGARY  Alberta TransCanada Corp said on Wednesday it could start building the portion of the Keystone XL pipeline plan that runs from Cushing  Oklahoma  to the Gulf of Mexico  even as it awaits U.S. approval for the project as a whole.,normal
TRP,TransCanada Corporation,20111116,Nebraska lawmakers vote to reroute oil pipeline ,LINCOLN  Neb The Nebraska legislature on Wednesday voted unanimously to advance a proposed law that would reroute the controversial TransCanada Keystone XL pipeline to avoid the sensitive Sandhills and Ogallala aquifer.,normal
TRP,TransCanada Corporation,20111116,UPDATE 2-TransCanada may go ahead with Cushing-Gulf line ,CALGARY  Alberta  Nov 16 TransCanada Corp said on Wednesday it could start building the portion of its planned Keystone XL pipeline that runs from Cushing  Oklahoma  to the Gulf of Mexico  even as it awaits U.S. approval for the project as a whole.,normal
TRP,TransCanada Corporation,20111116,TransCanada may go ahead with Cushing-Gulf link ,CALGARY  Alberta  Nov 16 TransCanada Corp could begin construction of the Cushing  Oklahoma  to the Gulf Coast portion of the Keystone XL pipeline early next year but will consult with the U.S. State Department before proceeding  a company executive said on Wednesday.,normal
UL,Unilever PLC,20111116,Chatter in China: Multinationals turn to Weibo ,SHANGHAI What do the International Monetary Fund  Louis Vuitton and Unilever have in common?,topStory
UL,Unilever PLC,20111116,UPDATE 2-Chatter in China: Multinationals turn to Weibo ,* Weibo is now dominant platform for directly reaching Chinese public,normal
UL,Unilever PLC,20111116,Foreign institutions flock to China's social network ,* Weibo is now dominant platform for directly reaching Chinese public,normal
VNO,Vornado Realty Trust,20111116,Equity Residential emerges as lead bidder for Archstone - WSJ ,Nov 16 Apartment landlord Equity Residential has emerged as the lead bidder to buy a 53 percent stake in rival Archstone and has offered more than $2.5 billion in cash and stock for the deal  the Wall Street Journal said  citing people familiar with the situation.,topStory
WMT,Wal-Mart Stores Inc,20111116,UPDATE 5-Target blames Walmart layaway for toy sales slump ,Nov 16 Target Corp's toy business took a big hit from Wal-Mart Stores Inc early in the U.S. holiday shopping season  as Walmart's return to offering layaway seems to be gaining momentum even before Thanksgiving.,topStory
DIS,Walt Disney Company (The),20111116,Apple  with eye on media  names Disney's Iger to board ,Apple Inc moved to shore up its board after the death of Silicon Valley legend Steve Jobs  appointing Walt Disney Co chief executive Bob Iger to its board to propel its media ambitions.,topStory
DIS,Walt Disney Company (The),20111116,UPDATE 3-Disney CEO Iger on Apple board  Levinson chairman ,* Post-Jobs appointments come amid rising media ambitions,normal
WFC,Wells Fargo & Company,20111116,New Issue-Atlas Pipeline Partners LP adds $150 mln notes ,Nov 16 Atlas Pipeline Partners LP/Finance Corp on Wednesday added $150 million of senior unsecured notes in the 144a private placement market  said IFR  a Thomson Reuters service.      Wells Fargo and Bank of America Merrill Lynch were the joint bookrunning managers for the sale. BORROWER: ATLAS PIPELINE PARTNERS LP/FINANCE CORP TRANCHE 1 AMT $150 MLN      COUPON 8.75 PCT      MATURITY   6/15/2018 TYPE SR NTS       ISS PRICE 103.5      FIRST PAY 12/15/2011 MOODY'S B3        YIELD 7.8,topStory
WFC,Wells Fargo & Company,20111116,ON THE MOVE: Robert Baird hires advisers in western U.S. ,Nov 16 Robert W. Baird & Co said on Wednesday it hired seven new advisers to help expand its presence in states including Colorado and California.,normal
WIA,Western Asset/Claymore US Treasury Inflation Prot Secs Fd,20111116,RPT-US breakeven rates hold at lower levels after CPI ,NEW YORK  Nov 16 U.S. TIPS breakeven rates  which gauge investors' inflation expectations  held steady at lower levels on Wednesday after data on consumer prices showed inflationary pressure remains tame.,topStory
WIA,Western Asset/Claymore US Treasury Inflation Prot Secs Fd,20111116,US breakeven rates hold at lower levels after CPI ,NEW YORK  Nov 16 U.S. TIPS breakeven rates  which gauge investors' inflation expectations  held steady at lower levels on Wednesday after data on consumer prices showed inflationary pressure remains tame.,normal
NG,Novagold Resources Inc,20111116,UPDATE 1-Novagold shares jump on possible Galore Creek sale ,TORONTO  Nov 16 Shares of Novagold rose 13.4 percent on Wednesday morning after the mining exploration company said it is exploring a possible sale of its 50 percent stake in the big Galore Creek copper/gold project in northwestern British Columbia.,topStory
