ATVI,Activision Blizzard Inc,20111115,Vivendi sells 35 mln shares of game unit Activision ,PARIS  Nov 15 Vivendi said it had sold 35 million shares of video game maker Activision Blizzard   reducing its stake by roughly 3 percent to 60 percent.,topStory
NAV,Navistar International Corporation,20111115,UPDATE 3-Navistar reaches deal with Icahn on board ,Nov 15 Navistar International Corp  reached a deal with activist investor Carl Icahn that could put its directors up for election each year.,topStory
NBL,Noble Energy Inc,20111115,Transocean floating rig downtime more than doubles ,Nov 15 Transocean Ltd    the world's largest offshore drilling contractor  released figures on Tuesday that showed estimated out-of-service time for its floating rigs this quarter had more than doubled.,topStory
NBL,Noble Energy Inc,20111115,CORRECTED - UPDATE 2-Noble Energy raises spending  output ,Nov 15 Noble Energy Inc raised its five-year production outlook and capital expenditures  citing recent oil and gas discoveries.,normal
NBL,Noble Energy Inc,20111115,Noble estimates Cyprus prospect has 3-9 tcf of gas ,NICOSIA  Nov 15 U.S. based Noble Energy  said on Tuesday its Cyprus A gas prospect  where exploratory drilling is now underway  had estimated gross resources of 3 to 9 trillion cubic feet (tcf) of gas.,normal
OSK,Oshkosh Corporation,20111115,UPDATE 3-Navistar reaches deal with Icahn on board ,Nov 15 Navistar International Corp  reached a deal with activist investor Carl Icahn that could put its directors up for election each year.,topStory
PFE,Pfizer Inc,20111115,TAKE-A-LOOK-Medical pros eye data at American Heart Assn meeting ,The American Heart Association annual scientific meeting is under way in Orlando  Florida  where thousands of doctors and researchers have gathered to see the latest data in the field. Highlights of the meeting include studies on blood clot preventers  one from Johnson & Johnson and Bayer AG   and another from Bristol-Myers Squibb and Pfizer . Other featured studies include those for medicines designed to raise "good" cholesterol. The meeting runs until Wednesday.--------------------------------,topStory
PFE,Pfizer Inc,20111115,UPDATE 2-Lilly drug boosts good cholesterol  appears safe ,ORLANDO  Fla.  Nov 15 An experimental heart drug from Eli Lilly and Co dramatically boosted levels of "good" cholesterol and appeared to be safe  according to data from a clinical trial  providing new hope for a class of medicines with a troubled past.,normal
PFE,Pfizer Inc,20111115,Lilly drug boosts good cholesterol  appears to be safe ,ORLANDO  Fla.  Nov 15 An experimental heart drug from Eli Lilly and Co dramatically boosted levels of "good" cholesterol and appeared to be safe  according to data from a clinical trial  providing the latest hope for a class of medicines with a troubled past.,normal
PFE,Pfizer Inc,20111115,UPDATE 3-HIGHLIGHTS-US hedge funds remain divided on banks ,* Viking Global dumps JPMorgan  Morgan Stanley  BlackRock,normal
PPG,PPG Industries Inc,20111115,UPDATE 1-PPG's optical products unit hit by Thai flooding ,Nov 15 PPG Industries Inc said flooding in Thailand has hit manufacturing and distribution operations at its optical products unit  which makes the popular Transitions eyeglass lenses.,topStory
PG,Procter & Gamble Company (The),20111115,Michael Phelps ahead of opposition with London Olympic deal ,NEW YORK The 2012 London Olympics are still more than seven months away but Michael Phelps is already one of the biggest winners.,topStory
PG,Procter & Gamble Company (The),20111115,Olympics-Phelps ahead of opposition with London Olympic deal ,NEW YORK  Nov 15 The 2012 London Olympics are still more than seven months away but Michael Phelps is already one of the biggest winners.,normal
RF,Regions Financial Corporation,20111115,UPDATE 1-Regions has no formal cost-cutting program-CFO ,Nov 15 Regions Financial Corp has no plans to introduce a formal cost-cutting initiative and is instead always trying to keep a lid on expenses  the bank's chief financial officer said on Monday.,topStory
RIO,Rio Tinto Plc,20111115,Rio Tinto seen stoking bid war for Hathor ,MELBOURNE  Nov 15 Rio Tinto is unlikely to walk away from a bidding war for uranium developer Hathor Exploration  investors said on Tuesday  after rival bidder Cameco Corp trumped the global miner with a C$625 million ($615 million) offer.,topStory
ROK,Rockwell Automation Inc,20111115,UPDATE 1-Rockwell Automation to boost operations in Brazil ,Nov 15 Rockwell Automation Inc said it plans to double its manufacturing capacity in Brazil  boosting its output of medium-voltage and low-voltage drives used in Latin American oil and gas production.,topStory
R,Ryder System Inc,20111115,Johnson steering clear of Mickelson at Presidents Cup ,MELBOURNE Dustin Johnson had news to cheer American golf fans on Tuesday -- he and Phil Mickelson will be kept well away from each other when team captain Fred Couples works out the pairings for this week's Presidents Cup.,topStory
SAP,SAP SE,20111115,SAP to invest more than $2 billion in China by 2015 ,FRANKFURT  Nov 15 German business software maker SAP plans to invest more than $2 billion up to 2015 to expand its business in China.,topStory
SKM,SK Telecom Co Ltd,20111115,Seoul shares slip as financials fall; LG Display gains ,* Selling by foreign investors  investment managers weighs,topStory
SKM,SK Telecom Co Ltd,20111115,SK Tel expects to beat 2011 LTE subscriber target ,SEOUL  Nov 15 SK Telecom  South Korea's top mobile carrier  expects to attract more than 700 000 subscribers to its faster Long-Term Evolution (LTE) services this year  higher than its previous plan of 500 000  a marketing executive said on Tuesday.,normal
SKM,SK Telecom Co Ltd,20111115,SK Tel says to deploy LTE networks nationwide by April 2012 ,SEOUL  Nov 15 SK Telecom  South Korea's top mobile carrier  said on Tuesday that it planned to deploy Long-Term Evolution (LTE) networks nationwide by April next year  eight months ahead of schedule  hoping that adoption of the faster service will boost sales.,normal
SNE,Sony Corp Ord,20111115,WSJ: Google to unveil online music download store ,Nov 15 Google Inc is expected to unveil on Wednesday an online music download store featuring songs from three major music companies  the Wall Street Journal reported  citing people familiar with the matter.,topStory
SNE,Sony Corp Ord,20111115,UPDATE 1-Panasonic to sell LCD panel plant to Japan Display ,TOKYO  Nov 15 Panasonic Corp said on Tuesday it had agreed to sell its Mobara liquid-crystal display panel plant to state-backed Japan Display  as the electronics giant cuts back its lossmaking television unit.,normal
SNE,Sony Corp Ord,20111115,BRIEF-Moody's comments on Sony's acquisition of EMI Music Publishing ,* Moody's comments on Sony's acquisition of EMI Music Publishing,normal
STT,State Street Corporation,20111115,UPDATE 1-State Street ready for M&A in Europe ,Nov 15 State Street Corp said pressure on European banks may accelerate takeover activity  with the Boston-based custody bank prepared to make an "opportunistic" acquisition.,topStory
STT,State Street Corporation,20111115,State Street ready for M&A in Europe ,Nov 15 State Street Corp said pressure on European banks may accelerate takeover activity  with the Boston-based custody bank prepared to make an "opportunistic" acquisition .,normal
SMFG,Sumitomo Mitsui Financial Group Inc,20111115,Nikkei dips; expected to tread water on Europe woes ,TOKYO The Nikkei stock average fell in thin trade on Tuesday to hover just above 8 500  and market participants said it was unlikely to push higher as rising bond yields in euro zone nations fuel concerns about Europe's ability to contain its debt crisis. | Video ,topStory
SMFG,Sumitomo Mitsui Financial Group Inc,20111115,Nikkei dips; expected to tread water on Europe woes ,* Sumitomo Mitsui Financial up on share buyback     * Olympus shares untraded with glut of buy orders     * Elpida shares continue skid on DRAM price worries      By Lisa Twaronite	     TOKYO  Nov 15 The Nikkei stock average fell in thin trade on Tuesday to hover just above 8 500  and market participants said it was unlikely to push higher as rising bond yields in euro zone nations fuel concerns about Europe's ability to contain its debt crisis.	     Some shares bucked the trend  wit,normal
SMFG,Sumitomo Mitsui Financial Group Inc,20111115,Nikkei dips; expected to tread water on Europe woes ,* Sumitomo Mitsui Financial up on share buyback     * Olympus shares untraded with glut of buy orders     * Elpida shares continue skid on DRAM price worries      By Lisa Twaronite	     TOKYO  Nov 15 The Nikkei stock average fell in thin trade on Tuesday to hover just above 8 500  and market participants said it was unlikely to push higher as rising bond yields in euro zone nations fuel concerns about Europe's ability to contain its debt crisis.	     Some shares bucked the trend  wit,normal
SMFG,Sumitomo Mitsui Financial Group Inc,20111115,REFILE-Nikkei dips; expected to tread water on Europe woes ,* Sumitomo Mitsui Financial up on share buyback     * Olympus shares untraded with glut of buy orders     * Elpida shares continue skid on DRAM price worries      By Lisa Twaronite	     TOKYO  Nov 15 The Nikkei average fell on Tuesday to hover just above 8 500 on  rising bond yields in Italy and other euro zone nations  with market players saying the index was unlikely to push higher amid concerns about Europe ability to contain its debt crisis.	     But Sumitomo Mitsui Financial Gro,normal
SMFG,Sumitomo Mitsui Financial Group Inc,20111115,Nikkei dips; expected to tread water on Europe woes ,* Nikkei falls  trading volume to remain thin     * Sumitomo Mitsui Financial up on share buyback     * Olympus shares untraded with glut of buy orders      By Mari Saito	     TOKYO  Nov 15 The Nikkei average edged lower on Tuesday on concerns about rising bond yields in Italy and other euro zone nations  with market participants saying the index was likely to tread water amid plenty of negative news to digest.	     But Sumitomo Mitsui Financial Group climbed on plans for a share buy,normal
SMFG,Sumitomo Mitsui Financial Group Inc,20111115,Nikkei dips; expected to tread water on Europe woes ,* Nikkei falls  trading to remain flat     * Sumitomo Mitsui Financial up on share buyback     * Olympus shares untraded due to glut of buy orders      By Mari Saito	     TOKYO  Nov 15 The Nikkei average dipped on Tuesday on concerns about rising bond yields in Italy and other euro zone nations  with market participants saying the index was likely to tread water amid  plenty of negative news to digest.	     But Sumitomo Mitsui Financial Group climbed on news of a share buyback while ,normal
STI,SunTrust Banks Inc,20111115,UPDATE 1-SunTrust CEO to become chairman in 2012 ,* Rogers becomes chairman under previously announced plan,topStory
TEO,Telecom Argentina Stet - France Telecom SA,20111115,STXNEWS LATAM-Argentina Telecom to propose $500 mln debt plan ,Telecom Argentina   one of the country's biggest telephone operators  will propose a five-year plan to issue up to $500 million in debt at a shareholder meeting on Dec. 15  the company said in a statement to Buenos Aires stock exchange.,topStory
TU,TELUS Corporation,20111115,Hackers eye Canada business: study ,Hackers attacking Canadian organizations are determined to make money in targeted campaigns while government insiders stole more data than ever before  a security study released on Tuesday showed.,topStory
BX,The Blackstone Group LP,20111115,UPDATE 2-Australia's Spotless shares jump on $715 mln buyout report ,* Pacific Equity Partners said to be eyeing bid-newspaper,topStory
TJX,TJX Companies Inc (The),20111115,UPDATE 1-TJX ups holiday sales forecast  keeps profit outlook ,Nov 15  TJX Cos Inc raised its same-store sales forecast for the holiday quarter but the off-price retailer maintained its profit outlook  saying higher taxes and unfavorable currency fluctuations would offset those sales gains.    TJX  whose chains include the Marshalls and T.J. Maxx chains in the United States and T.K. Maxx in Europe  said November sales were "off to a strong start."     KEY POINTS                       Q3 2011    Estimate    Q3 2010     Net sales        $5.79 bln ,topStory
TD,Toronto Dominion Bank (The),20111115,Toronto Hydro sells C$300 mln debt - term sheet ,Nov 15 Toronto Hydro Corp on Tuesday sold C$300 million ($294 million) of 10-year senior unsecured debentures  according to a term sheet seen by Reuters.     The 3.54 percent debt  due Nov. 18  2021  was priced at 99.95 to yield 3.546 percent  or 142.8 basis points over the Canadian government benchmark  according to the term sheet.     The lead manager on the sale was the investment dealer arm of Toronto-Dominion Bank.,topStory
TRP,TransCanada Corporation,20111115,TransCanada  Nebraska to work on new Keystone route ,LINCOLN  Neb Nebraska and TransCanada Corp agreed on Monday to find a new route for the stalled Keystone XL pipeline that would steer clear of environmentally sensitive lands in the state.,topStory
TRP,TransCanada Corporation,20111115,RPT-UPDATE 5-TransCanada  Nebraska to work on new Keystone route ,LINCOLN  Neb  Nov 14 Nebraska and TransCanada Corp agreed on Monday to find a new route for the stalled Keystone XL pipeline that would steer clear of environmentally sensitive lands in the state.,normal
TRP,TransCanada Corporation,20111115,UPDATE 5-TransCanada  Nebraska to work on new Keystone route ,LINCOLN  Neb  Nov 14 Nebraska and TransCanada Corp agreed on Monday to find a new route for the stalled Keystone XL pipeline that would steer clear of environmentally sensitive lands in the state.,normal
RIG,Transocean Ltd,20111115,Transocean floating rig downtime more than doubles ,Nov 15 Transocean Ltd    the world's largest offshore drilling contractor  released figures on Tuesday that showed estimated out-of-service time for its floating rigs this quarter had more than doubled.,topStory
RIG,Transocean Ltd,20111115,UPDATE 2-BP can't use Transocean insurance for Gulf spill ,* Judge says Alabama  Louisiana may seek punitive damages,normal
RIG,Transocean Ltd,20111115,UPDATE 1-BP indemnity core to any Macondo deal - Transocean ,Nov 15 Transocean Ltd  sees maintaining its contractual indemnity as the base for any potential settlement with BP Plc over liability for last year's Macondo well blow-out in the Gulf of Mexico.,normal
RIG,Transocean Ltd,20111115,Buccaneer plans to drill first Cook Inlet well in spring ,NEW YORK  Nov 15 Buccaneer Energy said on Tuesday it is moving forward with its plans to revive exploration drilling in Alaska.     The company completed the purchase of a jack-up rig from a subsidiary of Transocean Limited .     Buccaneer will use the rig to drill on its properties in Cook Inlet  which are estimated to hold 73.3 million barrels of oil equivalent.     The company plans to begin drilling in April or May 2012.,normal
VLO,Valero Energy Corporation,20111115,RPT-COLUMN-The diesel problem and the other GTL play-Campbell ,-- Robert Campbell is a Reuters market analyst. The views expressed are his own. --,topStory
VZ,Verizon Communications Inc,20111115,US union accuses Verizon of corporate tax dodging ,* Rockefeller to revive "Reverse Morris Trust" legislation,topStory
VZA,Verizon Communications Inc,20111115,US union accuses Verizon of corporate tax dodging ,* Rockefeller to revive "Reverse Morris Trust" legislation,topStory
VNO,Vornado Realty Trust,20111115,Tower plan for N.Y. bus terminal snags again-NYT ,NEW YORK  Nov 15 Plans to build a soaring office tower atop a midtown Manhattan's bus terminal snagged again after a Chinese investor in the Vornado Realty Trust project dropped out  Tuesday's New York Times said.,topStory
WMT,Wal-Mart Stores Inc,20111115,US STOCKS-Wall St rises on U.S. economy  progress in Italy ,* Retail  factory data add to optimism about U.S. economy,topStory
WMT,Wal-Mart Stores Inc,20111115,Wal-Mart profit below forecasts despite better sales ,Wal-Mart Stores Inc's decision to absorb most of the rising food costs for its stressed U.S. shoppers and spend on its e-commerce business weighed on profitability  even as key U.S. sales rose for the first time in more than two years.,normal
WMT,Wal-Mart Stores Inc,20111115,UPDATE 4-Wal-Mart profit below Wall St despite better sales ,Nov 15 Wal-Mart Stores Inc's decision to absorb most of the rising food costs for its stressed U.S. shoppers and spend on its e-commerce business weighed on profitability  even as key U.S. sales rose for the first time in more than two years.,normal
WMT,Wal-Mart Stores Inc,20111115,US STOCKS-Wall St edges higher  euro zone concerns weigh ,NEW YORK  Nov 15 Wall Street stocks rose slightly on Tuesday but lingering risk aversion tied to Europe's debt crisis sent Italy's bond yields back into a perceived danger zone  capping gains.,normal
WMT,Wal-Mart Stores Inc,20111115,UPDATE 1-GM elects former Wal-Mart CFO to board ,Nov 15 General Motors Co said it appointed former Wal-Mart Stores Inc finance chief Thomas Schoewe to its board of directors.,normal
WMT,Wal-Mart Stores Inc,20111115,Wal-Mart U.S. same-store sales rose strong 1.3 pct ,Nov 15 Wal-Mart Stores Inc said on Tuesday that sales at its U.S. discount stores open at least a year rose a better-than-expected 1.3 percent during the third quarter  ending a string of nine consecutive quarterly declines.,normal
WMT,Wal-Mart Stores Inc,20111115,U.S. stock futures signal weaker Wall St. open ,* U.S. stock index futures pointed to a weaker open for equities on Wall Street on Tuesday  with futures for the S&P 500   the Dow Jones and the Nasdaq 100 down 0.3 to 0.7 percent.,normal
WMT,Wal-Mart Stores Inc,20111115,Wal-Mart's U.S. rebound is in the spotlight ,Nov 15 Wal-Mart Stores Inc needs to show investors how it will sustain its renewed momentum without sacrificing profitability as sales at its U.S. stores have finally started to perk up.,normal
DIS,Walt Disney Company (The),20111115,UPDATE 2-Disney CEO Iger on Apple board  Levinson chairman ,* Post-Jobs appointments come amid rising media ambitions,topStory
WFC,Wells Fargo & Company,20111115,UPDATE 2-Clipper Fund gets gold in new Morningstar rating ,Nov 15 Morningstar Inc assigned the Davis Selected Advisers' Clipper Fund a gold rating on Tuesday  making it the only one-star fund to receive the top accolade under its new system.,topStory
WFC,Wells Fargo & Company,20111115,New Issue-Pioneer Drilling Co adds $175 mln in notes ,Nov 15 Pioneer Drilling Company on Tuesday added $175 million of senior notes in the 144a private placement market  said IFR  a Thomson Reuters service.      Bank of America Merrill Lynch  Goldman Sachs  and Wells Fargo were the joint bookrunning managers for the sale. BORROWER: PIONEER DRILLING COMPANY TRANCHE 1 AMT $175 MLN      COUPON 9.875 PCT     MATURITY   3/15/2018 TYPE SR NTS       ISS PRICE 101.00     FIRST PAY  3/15/2012 MOODY'S B3        YIELD 9.579 PCT      SETTLEMENT 11/,normal
WFC,Wells Fargo & Company,20111115,Clipper Fund gets gold in new Morningstar rating ,Nov 15 Morningstar Inc assigned the Davis Selected Advisers' Clipper Fund a gold rating on Tuesday  making it the only one-star fund to receive the top accolade under its new system.,normal
