AXAS,Abraxas Petroleum Corporation,20110926,Lack of sand helps explain well costs gap -Kodiak , * Flooding delayed shipment of sand for fracking -Abraxas,topStory
XOM,Exxon Mobil Corporation,20110926,UPDATE 1-Helmerich sues Venezuela for nationalizing rigs , * Also sues Petróleos de Venezuela and PDVSA Petróleo,topStory
FDX,FedEx Corporation,20110926,U.S. to print stamps with images of living people , * Postal Service asking for names of people to be honored,topStory
F,Ford Motor Company,20110926,UPDATE 1-UAW  Ford begin high-level talks on labor deal , * Workers at Ford expect more generous terms than GM deal,topStory
F,Ford Motor Company,20110926,FASB Chair: Slow switch would smooth rule change , BOSTON  Sept 26 A gradual switch to international accounting standards would mitigate some concerns over the new rules  the chair of the U.S. Financial Accounting Standards Board said on Monday.,normal
F,Ford Motor Company,20110926,Ex-GM vice chair joins electric powertrain company , Sept 26 Bob Lutz  the former vice chairman of General Motors Co  and one of the executives responsible for pushing development of the Chevrolet Volt plug-in hybrid car  has joined the board of electric powertrain maker Via Motors.,normal
F,Ford Motor Company,20110926,UPDATE 1-Ford sees Chinese market up 5-6 pct in 2011 , BEIJING  Sept 26 A Ford Motor executive said China's car market would likely grow 5-6 percent this year  at the low end of previous guidance from the U.S. carmaker  after the government removed most of its policy incentives.,normal
F,Ford Motor Company,20110926,UAW  Ford to begin high-level talks on labor deal ,DETROIT The United Auto Workers union and Ford Motor Co  will begin "high-level financial discussions" on Monday in an effort to reach a new labor deal that workers expect to be richer than one with General Motors Co .,normal
F,Ford Motor Company,20110926,UAW  Ford to begin high-level talks on labor deal , * Workers at Ford expect more generous terms than GM deal,normal
F,Ford Motor Company,20110926,Ford downgrades outlook for China car market growth -exec , BEIJING  Sept 26 Ford Motor has downgraded its growth projection for China's car market this year  to about five percent  after Beijing stripped away most of its policy incentives  a senior executive said on Monday.,normal
FCX,Freeport-McMoran Inc,20110926,UPDATE 1-Some Indonesia Freeport workers return  union seeks MPs' help , JAKARTA  Sept 26 About 4 200 workers at Freeport McMoran Copper & Gold Inc's Indonesian mine  mainly contractors and non-union staff    have returned to work  allowing some mining to resume  while  parliament will help facilitate talks to resolve the strike.,topStory
FCX,Freeport-McMoran Inc,20110926,Some Indonesia Freeport workers return  but strike continues , JAKARTA  Sept 26 About 4 200 workers at Freeport McMoran Copper & Gold Inc's Indonesian mine  mainly contractors and nonunion staff    have returned to work  allowing some mining to resume  but around 8 000 remain on strike  the firm's spokesman said on Monday.,normal
GPS,Gap Inc (The),20110926,Canada a magnetic north for U.S. retailers , * Cross-border shopping builds familiarity with U.S. names,topStory
GIS,General Mills Inc,20110926,HOW TO PLAY IT: Don't be a volatility ostrich , THE ISSUE: Since the beginning of August  the Dow industrial average has had nine days with 300-point-plus losses. In the entire year before it  there were only two. How can investors manage in such a period of high volatility?,topStory
GM,General Motors Company,20110926,Japan's yen policy puts output at risk: Ghosn ,NEW YORK Nissan Motor Co  Chief Executive Carlos Ghosn said the Japanese government's efforts to rein in the rise of the yen had failed  forcing manufacturers to reduce investment in Japan and shift output elsewhere. | Video ,topStory
GM,General Motors Company,20110926,UPDATE 1-UAW  Ford begin high-level talks on labor deal , * Workers at Ford expect more generous terms than GM deal,normal
GM,General Motors Company,20110926,Ex-GM vice chair joins electric powertrain company , Sept 26 Bob Lutz  the former vice chairman of General Motors Co  and one of the executives responsible for pushing development of the Chevrolet Volt plug-in hybrid car  has joined the board of electric powertrain maker Via Motors.,normal
GM,General Motors Company,20110926,UPDATE 1-Ford sees Chinese market up 5-6 pct in 2011 , BEIJING  Sept 26 A Ford Motor executive said China's car market would likely grow 5-6 percent this year  at the low end of previous guidance from the U.S. carmaker  after the government removed most of its policy incentives.,normal
GM,General Motors Company,20110926,UAW  Ford to begin high-level talks on labor deal ,DETROIT The United Auto Workers union and Ford Motor Co  will begin "high-level financial discussions" on Monday in an effort to reach a new labor deal that workers expect to be richer than one with General Motors Co .,normal
GM,General Motors Company,20110926,UAW  Ford to begin high-level talks on labor deal , * Workers at Ford expect more generous terms than GM deal,normal
GM,General Motors Company,20110926,Ford downgrades outlook for China car market growth -exec , BEIJING  Sept 26 Ford Motor has downgraded its growth projection for China's car market this year  to about five percent  after Beijing stripped away most of its policy incentives  a senior executive said on Monday.,normal
GNW,Genworth Financial Inc,20110926,UPDATE 4-Radian looking to form mutual bond insurance co , *    (Adds quotes  clarifies cause of insurance meltdown),topStory
GSK,GlaxoSmithKline PLC,20110926,Gene could explain why treatments fail some with asthma ,CHICAGO Genetic differences could explain why some 40 percent of people with asthma do not respond to inhaled steroids used to achieve long-term asthma control.,topStory
GSK,GlaxoSmithKline PLC,20110926,Gene explains why treatments fail some with asthma , * Understanding could lead to personalized asthma drugs,normal
GG,Goldcorp Inc,20110926,CANADA STOCKS-TSX jumps 2 pct as euro zone optimism takes hold , * Rebounds from 14-month low reached earlier in session,topStory
GG,Goldcorp Inc,20110926,CANADA STOCKS-TSX jumps 2 pct as euro zone hopes trump fear , * Rebounds from 14-month low reached earlier in session,normal
GG,Goldcorp Inc,20110926,CANADA STOCKS-TSX touches 14-month low on euro zone fears , TORONTO  Sept 26 Toronto's main stock index fell in volatile trade on Monday  touching a 14-month low  as investors worried that European governments and banks would be unable to solve the region's debt crisis and avert the threat of a global recession.,normal
GS,Goldman Sachs Group Inc (The),20110926,SEC conflict of interest ABS rule confuses market players ,NEW YORK  Sept 26 (IFR) - A rule proposed by the SEC last week to prohibit the conflict of interest between deal arrangers and investors such as the one in Goldman Sachs' infamous Abacus CDO raises more questions than answers about what securitization arrangements will ultimately be permissible under the law  market participants say.,topStory
GS,Goldman Sachs Group Inc (The),20110926,Goldman wins dismissal of NY lawsuit over bonuses ,Goldman Sachs Group Inc's  board of directors has won the dismissal of a lawsuit seeking to recover billions of dollars of bonus payouts and other compensation awarded for 2009.,normal
GS,Goldman Sachs Group Inc (The),20110926,UPDATE 1-Goldman wins dismissal of NY lawsuit over bonuses , Sept 26 Goldman Sachs Group Inc's  board of directors has won the dismissal of a lawsuit seeking to recover billions of dollars of bonus payouts and other compensation awarded for 2009.,normal
GS,Goldman Sachs Group Inc (The),20110926,Transatlantic in talks with new bidder ,Transatlantic Holdings Inc  said on Monday it entered into deal talks with an undisclosed bidder  adding a fresh twist in a months-long takeover saga and sending the reinsurer's shares up sharply.,normal
GS,Goldman Sachs Group Inc (The),20110926,UPDATE 3-Transatlantic in talks with new bidder , * Transatlantic shares rise 4.2 pct  (Adds analyst; updates shares),normal
GS,Goldman Sachs Group Inc (The),20110926,LSE faces crunch decision on LCH.Clearnet ,LONDON London Stock Exchange  chief executive Xavier Rolet faced a crucial test on Monday as the board of LCH.Clearnet meets to decide whether to sell itself to the British exchange  or back a rival bid from data firm Markit.,normal
GS,Goldman Sachs Group Inc (The),20110926,LSE faces crunch decision on LCH.Clearnet , LONDON  Sept 26 London Stock Exchange  chief executive Xavier Rolet faced a crucial test on Monday as the board of LCH.Clearnet meets to decide whether to sell itself to the British exchange  or back a rival bid from data firm Markit.,normal
GS,Goldman Sachs Group Inc (The),20110926,UPDATE 1-Bernstein cuts Goldman  Morgan Stanley estimates , * M Stanley EPS estimate lowered to 12 cents from 37 cents,normal
GS,Goldman Sachs Group Inc (The),20110926,LME opens door to potential $1.5 billion ,LONDON The world's biggest metal market has thrown open its doors to a potential 1 billion pound ($1.5 billion) takeover and is considering a sale that might end the independence its chief executive previously said was not negotiable.,normal
GS,Goldman Sachs Group Inc (The),20110926,Goldman at top of Japan M&A table with steel deal , TOKYO  Sept 26 Goldman Sachs has risen to the top spot of Japan's M&A league table so far in 2011 after securing an advisory role in a $22.5 billion steel industry merger  relegating perennial leader Nomura to second place for now.,normal
TV,Grupo Televisa SA,20110926,DIARY - Mexico and Central America - to Oct 14 , This diary is updated daily. All dates and times are provisional. The inclusion of diary items does not necessarily   mean that Reuters will file a story based on the event. __________________________________________________________________ DATE  LOCAL/GMT  MEXICO INDICATOR         PERIOD  F/CAST      PREV ------------------------------------------------------------------ SEP26 0800/1300  trade balance             Aug             -1.179b SEP26 0800/1300  trade balance s/a         Aug           ,topStory
HAL,Halliburton Company,20110926,Lack of sand helps explain well costs gap -Kodiak , * Flooding delayed shipment of sand for fracking -Abraxas,topStory
HP,Helmerich & Payne Inc,20110926,UPDATE 1-Helmerich sues Venezuela for nationalizing rigs , * Also sues Petróleos de Venezuela and PDVSA Petróleo,topStory
HP,Helmerich & Payne Inc,20110926,Helmerich & Payne sues Venezuela for nationalizing rigs , * Says impact of this matter on results cannot be reasonably estimated,normal
HTZ,Hertz Global Holdings Inc,20110926,UPDATE 1-Dollar Thrifty sees Q3 adj EBITDA up 17-28 pct , * Sees Q3 rental revenue up about 2 percent   (Follows alerts),topStory
HMC,Honda Motor Company Ltd,20110926,Toyota enters Japan minicar market with Pixis Space , TOKYO  Sept 26 Toyota Motor Corp on Monday launched its first car in Japan's growing 660cc minivehicle segment in a move that is set to intensify competition in the shrinking domestic market.,topStory
HPQ,HP Inc,20110926,Kodak shares hit 38-year low on borrowing concerns ,Eastman Kodak Co  shares fell to a 38-year low after the photography pioneer drew down a credit line by $160 million  raising concerns about cash flow generation and its ability to compete against digital rivals under the strategy set forth by CEO Antonio Perez.,topStory
HPQ,HP Inc,20110926,UPDATE 3-Kodak shares hit 38-year low on borrowing concerns , * Shares close down 27 percent  (Rewrites story throughout; adds comments about credit withdrawal  CEO tenure),normal
HPQ,HP Inc,20110926,Acer sees HP changes chance to grab customers  report ,FRANKFURT World No. 2 computer vendor Acer believes the recent top management change at rival Hewlett-Packard is a huge opportunity for the former to win over some customers  Acer Europe head Walter Deppeler told a German daily.,normal
HPQ,HP Inc,20110926,Acer sees HP changes chance to grab customers  report , FRANKFURT  Sept 26 World No. 2 computer vendor Acer believes the recent top management change at rival Hewlett-Packard is a huge opportunity for the former to win over some customers  Acer Europe head Walter Deppeler told a German daily.,normal
HPQ,HP Inc,20110926,Amazon's tablet serious challenge to Apple's iPad: analysts ,Amazon.com Inc  which revolutionized reading with its Kindle e-reader  is expected to unveil a tablet computer this week that analysts say will seriously challenge Apple's market dominating iPad.,normal
HSBC,HSBC Holdings plc,20110926,UBS's new CEO commits to keeping U.S. brokerage ,NEW YORK UBS AG's top two executives reassured the company's U.S. brokers and advisers on Monday that the embattled Swiss banking giant has no plans to sell UBS Wealth Management Americas.,topStory
HSBC,HSBC Holdings plc,20110926,UPDATE 1-UBS's new CEO commits to keeping US brokerage , * Brokers on defensive with clients over latest scandal,normal
HSBC,HSBC Holdings plc,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
HSBC,HSBC Holdings plc,20110926,HSBC transaction banking boss leaves under revamp , HONG KONG  Sept 26 HSBC  said the head of its transaction banking is leaving following a reorganisation of the business which is part of a wider revamp under HSBC's new chief executive.,normal
HSBC,HSBC Holdings plc,20110926,Ue avvia indagine antitrust su mercato pagamenti online , BRUXELLES  26 settembre L'antitrust Ue ha avviato oggi un'indagine finalizzata a verificare se un gruppo di banche - tra cui Deutsche Bank   Hsbc   Intesa Sanpaolo   e Bbva - stia bloccando a nuovi soggetti l'accesso al mercato europeo dei pagamenti online.,normal
HSBC,HSBC Holdings plc,20110926,EU opens antitrust probe into e-payment market ,BRUSSELS EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank  HSBC and Spain's BBVA  is blocking new players from entering the European online payments market.,normal
HSBC,HSBC Holdings plc,20110926,EU opens antitrust probe into e-payment market , BRUSSELS  Sept 26 EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank   HSBC  and BBVA   is blocking new players from entering the European online payments market.,normal
HSBC,HSBC Holdings plc,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
HSBC,HSBC Holdings plc,20110926,ASIA PRIVATE EQUITY WEEKLY NEWS  SEPTEMBER 26  2011 , HONG KONG  Sept 26 News and developments in Asia private equity from Reuters News for the week ending September 23.,normal
HSBC,HSBC Holdings plc,20110926,LCH poised to choose between rival bids - FT , Sept 26 The board of LCH.Clearnet  London's biggest clearing house  is expected to meet on Monday to decide between rival bids from the London Stock Exchange (LSE)  and Markit  the Financial Times reported on Monday.,normal
HSEA,HSBC Holdings plc,20110926,UBS's new CEO commits to keeping U.S. brokerage ,NEW YORK UBS AG's top two executives reassured the company's U.S. brokers and advisers on Monday that the embattled Swiss banking giant has no plans to sell UBS Wealth Management Americas.,topStory
HSEA,HSBC Holdings plc,20110926,UPDATE 1-UBS's new CEO commits to keeping US brokerage , * Brokers on defensive with clients over latest scandal,normal
HSEA,HSBC Holdings plc,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
HSEA,HSBC Holdings plc,20110926,HSBC transaction banking boss leaves under revamp , HONG KONG  Sept 26 HSBC  said the head of its transaction banking is leaving following a reorganisation of the business which is part of a wider revamp under HSBC's new chief executive.,normal
HSEA,HSBC Holdings plc,20110926,Ue avvia indagine antitrust su mercato pagamenti online , BRUXELLES  26 settembre L'antitrust Ue ha avviato oggi un'indagine finalizzata a verificare se un gruppo di banche - tra cui Deutsche Bank   Hsbc   Intesa Sanpaolo   e Bbva - stia bloccando a nuovi soggetti l'accesso al mercato europeo dei pagamenti online.,normal
HSEA,HSBC Holdings plc,20110926,EU opens antitrust probe into e-payment market ,BRUSSELS EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank  HSBC and Spain's BBVA  is blocking new players from entering the European online payments market.,normal
HSEA,HSBC Holdings plc,20110926,EU opens antitrust probe into e-payment market , BRUSSELS  Sept 26 EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank   HSBC  and BBVA   is blocking new players from entering the European online payments market.,normal
HSEA,HSBC Holdings plc,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
HSEA,HSBC Holdings plc,20110926,ASIA PRIVATE EQUITY WEEKLY NEWS  SEPTEMBER 26  2011 , HONG KONG  Sept 26 News and developments in Asia private equity from Reuters News for the week ending September 23.,normal
HSEA,HSBC Holdings plc,20110926,LCH poised to choose between rival bids - FT , Sept 26 The board of LCH.Clearnet  London's biggest clearing house  is expected to meet on Monday to decide between rival bids from the London Stock Exchange (LSE)  and Markit  the Financial Times reported on Monday.,normal
HSEB,HSBC Holdings plc,20110926,UBS's new CEO commits to keeping U.S. brokerage ,NEW YORK UBS AG's top two executives reassured the company's U.S. brokers and advisers on Monday that the embattled Swiss banking giant has no plans to sell UBS Wealth Management Americas.,topStory
HSEB,HSBC Holdings plc,20110926,UPDATE 1-UBS's new CEO commits to keeping US brokerage , * Brokers on defensive with clients over latest scandal,normal
HSEB,HSBC Holdings plc,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
HSEB,HSBC Holdings plc,20110926,HSBC transaction banking boss leaves under revamp , HONG KONG  Sept 26 HSBC  said the head of its transaction banking is leaving following a reorganisation of the business which is part of a wider revamp under HSBC's new chief executive.,normal
HSEB,HSBC Holdings plc,20110926,Ue avvia indagine antitrust su mercato pagamenti online , BRUXELLES  26 settembre L'antitrust Ue ha avviato oggi un'indagine finalizzata a verificare se un gruppo di banche - tra cui Deutsche Bank   Hsbc   Intesa Sanpaolo   e Bbva - stia bloccando a nuovi soggetti l'accesso al mercato europeo dei pagamenti online.,normal
HSEB,HSBC Holdings plc,20110926,EU opens antitrust probe into e-payment market ,BRUSSELS EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank  HSBC and Spain's BBVA  is blocking new players from entering the European online payments market.,normal
HSEB,HSBC Holdings plc,20110926,EU opens antitrust probe into e-payment market , BRUSSELS  Sept 26 EU antitrust regulators are investigating whether a group of banks  including Deutsche Bank   HSBC  and BBVA   is blocking new players from entering the European online payments market.,normal
HSEB,HSBC Holdings plc,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
HSEB,HSBC Holdings plc,20110926,ASIA PRIVATE EQUITY WEEKLY NEWS  SEPTEMBER 26  2011 , HONG KONG  Sept 26 News and developments in Asia private equity from Reuters News for the week ending September 23.,normal
HSEB,HSBC Holdings plc,20110926,LCH poised to choose between rival bids - FT , Sept 26 The board of LCH.Clearnet  London's biggest clearing house  is expected to meet on Monday to decide between rival bids from the London Stock Exchange (LSE)  and Markit  the Financial Times reported on Monday.,normal
IAG,Iamgold Corporation,20110926,High gold price extends life of top Mali mine-govt , BAMAKO  Sept 26 Record high gold prices will allow Mali and its partners to continue producing from the country's top gold mine until 2020  seven years past the initial closure date  the government said on Monday.,topStory
ICE,Intercontinental Exchange Inc,20110926,LME opens door to potential $1.5 billion ,LONDON The world's biggest metal market has thrown open its doors to a potential 1 billion pound ($1.5 billion) takeover and is considering a sale that might end the independence its chief executive previously said was not negotiable.,topStory
IBM,International Business Machines Corporation,20110926,FASB Chair: Slow switch would smooth rule change , BOSTON  Sept 26 A gradual switch to international accounting standards would mitigate some concerns over the new rules  the chair of the U.S. Financial Accounting Standards Board said on Monday.,topStory
IVZ,Invesco Plc,20110926,UPDATE 1-Japan public fund shortlists firms to manage emerging mkt equities -sources , * Six firms on shortlist are Japanese  5 are foreign -sources,topStory
IVZ,Invesco Plc,20110926,Japan public fund shortlists firms to manage emerging mkt equities -sources , * Six firms on shortlist are Japanese  5 are foreign -sources,normal
JPM,J P Morgan Chase & Co,20110926,Euro zone hope revives optimism on Wall Street ,NEW YORK Stocks rose on Monday as sentiment swung toward hope that European officials would find a way to cut Greece's debt and shore up European banks. | Video ,topStory
JPM,J P Morgan Chase & Co,20110926,US STOCKS-Euro-zone hope revives optimism on Wall Street , * Dow up 2.5 pct  S&P 500 up 2.3 pct  Nasdaq up 1.4 pct,normal
JPM,J P Morgan Chase & Co,20110926,CORRECTED - US STOCKS-Dow  S&P gain on euro zone hopes  Apple falls , (Corrects 15th paragraph to clarify that DJ Indexes didn't say that technical issues inaccurately reflected stock prices. This error also appeared in previous versions of this story.),normal
JPM,J P Morgan Chase & Co,20110926,US STOCKS-Euro zone hope revives Wall Street optimism , * Indexes up: Dow 2.5 pct  S&P 2.3 pct  Nasdaq 1.4 pct,normal
JPM,J P Morgan Chase & Co,20110926,US STOCKS-Wall St climbs on euro zone hopes , * Various Dow Jones avgs delayed at open  problem fixed,normal
JPM,J P Morgan Chase & Co,20110926,LSE faces crunch decision on LCH.Clearnet ,LONDON London Stock Exchange  chief executive Xavier Rolet faced a crucial test on Monday as the board of LCH.Clearnet meets to decide whether to sell itself to the British exchange  or back a rival bid from data firm Markit.,normal
JPM,J P Morgan Chase & Co,20110926,LSE faces crunch decision on LCH.Clearnet , LONDON  Sept 26 London Stock Exchange  chief executive Xavier Rolet faced a crucial test on Monday as the board of LCH.Clearnet meets to decide whether to sell itself to the British exchange  or back a rival bid from data firm Markit.,normal
JPM,J P Morgan Chase & Co,20110926,LME opens door to potential $1.5 billion ,LONDON The world's biggest metal market has thrown open its doors to a potential 1 billion pound ($1.5 billion) takeover and is considering a sale that might end the independence its chief executive previously said was not negotiable.,normal
JPM,J P Morgan Chase & Co,20110926,Goldman at top of Japan M&A table with steel deal ,TOKYO Goldman Sachs  has risen to the top spot of Japan's M&A league table so far in 2011 after securing an advisory role in a $22.5 billion steel industry merger  relegating perennial leader Nomura  to second place for now.,normal
JPM,J P Morgan Chase & Co,20110926,REFILE-Bahrain plans $1bn sovereign Islamic bond - sources , DUBAI  Sept 26 Gulf Arab state Bahrain is planning to issue a $1 billion sovereign Islamic bond and has mandated three banks for the proposed sale  banking sources said.,normal
JCP,JC Penney Company Inc Holding Company,20110926,Macy's to hire more workers for 2011 holidays ,Macy's Inc  will hire about 4 percent more seasonal workers this holiday season as it anticipates higher sales.,topStory
JCP,JC Penney Company Inc Holding Company,20110926,UPDATE 1-Macy's to hire more workers for 2011 holidays , Sept 26 Macy's Inc  will hire about 4 percent more seasonal workers this holiday season as it anticipates higher sales.,normal
JLL,Jones Lang LaSalle Incorporated,20110926,Dubai property sector boosted by Arab Spring -report , DUBAI  Sept 26 Dubai's hotel  retail and residential real estate sectors are enjoying a boost from the emirate's "safe haven" status amid unrest elsewhere in the Arab world  a report said on Monday.,topStory
KBH,KB Home,20110926,US SMALL/MIDCAPS-Stocks slip; weakness in home builders , NEW YORK  Sept 26 Small- and mid-capitalization stocks declined on Monday  with home builder stocks hurt by a a brokerage's lowered price target and data showing a drop in new U.S. home sales last month.,topStory
KSS,Kohl&#39;s Corporation,20110926,Canada a magnetic north for U.S. retailers , * Cross-border shopping builds familiarity with U.S. names,topStory
KSS,Kohl&#39;s Corporation,20110926,Macy's to hire more workers for 2011 holidays ,Macy's Inc  will hire about 4 percent more seasonal workers this holiday season as it anticipates higher sales.,normal
KSS,Kohl&#39;s Corporation,20110926,UPDATE 1-Macy's to hire more workers for 2011 holidays , Sept 26 Macy's Inc  will hire about 4 percent more seasonal workers this holiday season as it anticipates higher sales.,normal
LAZ,Lazard Ltd,20110926,Kodak shares hit 38-year low on borrowing concerns ,Eastman Kodak Co  shares fell to a 38-year low after the photography pioneer drew down a credit line by $160 million  raising concerns about cash flow generation and its ability to compete against digital rivals under the strategy set forth by CEO Antonio Perez.,topStory
LAZ,Lazard Ltd,20110926,UPDATE 3-Kodak shares hit 38-year low on borrowing concerns , * Shares close down 27 percent  (Rewrites story throughout; adds comments about credit withdrawal  CEO tenure),normal
LAZ,Lazard Ltd,20110926,CORRECTED - UPDATE 1-Kodak plunges after it draws on credit line , (Corrects interest rate from 1.5 pct to 4.75 pct in third paragraph  rewrites paragraph 11 to adjust for second reference to analyst),normal
LEN,Lennar Corporation,20110926,US SMALL/MIDCAPS-Stocks slip; weakness in home builders , NEW YORK  Sept 26 Small- and mid-capitalization stocks declined on Monday  with home builder stocks hurt by a a brokerage's lowered price target and data showing a drop in new U.S. home sales last month.,topStory
LYG,Lloyds Banking Group Plc,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,topStory
LMT,Lockheed Martin Corporation,20110926,Iraq signs deal to buy 18 F-16 warplanes ,BAGHDAD Iraq has signed a contract to buy 18 Lockheed Martin F-16 warplanes to bolster its air force  an adviser to Prime Minister Nuri al-Maliki said on Monday.,topStory
LMT,Lockheed Martin Corporation,20110926,UPDATE 2-Iraq signs deal to buy 18 F-16 warplanes , * Fighter jet considered key to building Air Force   (Adds background),normal
LMT,Lockheed Martin Corporation,20110926,China foreign minister warns Clinton on F-16 deal ,NEW YORK China's foreign minister urged the United States on Monday to reconsider its decision to upgrade Taiwan's F-16 jet fighter fleet  saying it could harm ties between Washington and Beijing  a U.S. official said.,normal
LMT,Lockheed Martin Corporation,20110926,UPDATE 3-China foreign minister warns Clinton on F-16 deal , * China indicates some joint military activities affected,normal
LMT,Lockheed Martin Corporation,20110926,L'Irak commande 18 F-16 américains , BAGDAD   26 septembre Le gouvernement irakien a signé un contrat pour l'achat aux Etats-Unis de 18 chasseurs F-16 fabriqués par Lockeed Martin   a annoncé lundi le porte-parole du Prmier ministre  Nouri al Maliki.,normal
LMT,Lockheed Martin Corporation,20110926,Iraq signs deal to buy 18 F-16 warplanes , BAGHDAD  Sept 26 Iraq has signed a contract to buy 18 Lockheed Martin F-16 warplanes to bolster its air force  an adviser to Prime Minister Nuri al-Maliki said on Monday.,normal
LMT,Lockheed Martin Corporation,20110926,China foreign minister warns Clinton on F-16 deal , NEW YORK  Sept 26 China's foreign minister urged U.S. Secretary of State Hillary Clinton on Monday to reconsider a U.S. decision to upgrade Taiwan's F-16 fighter jet fleet  saying it could harm "trust and confidence" between Washington and Beijing  a senior State Department official said.,normal
LMT,Lockheed Martin Corporation,20110926,UPDATE 1-Lockheed's aeronautics unit to cut 540 jobs , Sept 26 The aeronautics unit of Lockheed Martin Corp   the Pentagon's No. 1 supplier by sales  said on Monday that it would cut 540 jobs to reduce costs as defense spending comes under pressure.,normal
LYB,LyondellBasell Industries NV,20110926,Lyondell Houston refinery performs SRU work - sources , Sept 26 Lyondell Basell's  280 390-barrels-per-day Houston refinery was running at reduced rates while performing work on sulfur recovery units on Monday  trade and industry sources said.,topStory
M,Macy&#39;s Inc,20110926,Macy's to hire more workers for 2011 holidays ,Macy's Inc  will hire about 4 percent more seasonal workers this holiday season as it anticipates higher sales.,topStory
M,Macy&#39;s Inc,20110926,UPDATE 1-Macy's to hire more workers for 2011 holidays , Sept 26 Macy's Inc  will hire about 4 percent more seasonal workers this holiday season as it anticipates higher sales.,normal
MMI,Marcus & Millichap Inc,20110926,Motorola Solutions probed for bribery: report ,Motorola Solutions Inc  is being investigated by U.S. regulatory authorities on whether the company paid bribes to win business in Europe  the Wall Street Journal reported  citing people familiar with the matter.,topStory
MMI,Marcus & Millichap Inc,20110926,Motorola Solutions probed for bribery - WSJ , Sept 26 Motorola Solutions Inc  is being investigated by U.S. regulatory authorities on whether the company paid bribes to win business in Europe  the Wall Street Journal reported  citing people familiar with the matter.,normal
MBI,MBIA Inc,20110926,UPDATE 4-Radian looking to form mutual bond insurance co , *    (Adds quotes  clarifies cause of insurance meltdown),topStory
MTG,MGIC Investment Corporation,20110926,UPDATE 4-Radian looking to form mutual bond insurance co , *    (Adds quotes  clarifies cause of insurance meltdown),topStory
MFG,Mizuho Financial Group Inc,20110926,Goldman at top of Japan M&A table with steel deal , TOKYO  Sept 26 Goldman Sachs has risen to the top spot of Japan's M&A league table so far in 2011 after securing an advisory role in a $22.5 billion steel industry merger  relegating perennial leader Nomura to second place for now.,topStory
MBT,Mobile TeleSystems OJSC,20110926,Russia'S MTS and Vimpelcom start network sharing , MOSCOW  Sept 26 Russia's No.1 mobile phone operator MTS and its rival  the country's third-biggest operator Vimpelcom   agreed to jointly build and use networks  as they develop the new generation of mobile phone technologies.,topStory
TAP,Molson Coors Brewing  Company,20110926,Dealtalk: AB Inbev seen brewing up final mega deal ,LONDON In a global brewing industry marked by huge consolidation over the last decade  bankers are hopeful of an $80 billion plus deal to end all deals between the industry's two giants  Anheuser-Busch InBev  and SABMiller .,topStory
MCO,Moody&#39;s Corporation,20110926,SEC mulls charges against S&P in CDO case ,Regulators disclosed they may take action against Standard & Poor's for securities law violations after the ratings agency gave top grades to a package of securitized mortgages in 2007 that quickly soured.,topStory
MCO,Moody&#39;s Corporation,20110926,UPDATE 6-SEC mulls charges against S&P in CDO case , * Ratings on structured finance security at issue  (Adds background on security  closing stock price),normal
MCO,Moody&#39;s Corporation,20110926,UPDATE 3-SEC mulls charges against S&P in CDO case , * Shares of S&P parent McGraw Hill down 2.2 percent  (Adds background  other government probes  S&P ratings on government debt  consultant quote  share decline  byline),normal
MS,Morgan Stanley,20110926,On the Move-Morgan Stanley Smith Barney hires Wells Fargo team , NEW YORK  Sept 26 Morgan Stanley Smith Barney  the largest U.S. brokerage  said on Monday the firm has hired two former Wells Fargo advisers in New Jersey who together produced a revenue of more than $2 million over the past year.,topStory
MS,Morgan Stanley,20110926,UPDATE 1-Bernstein cuts Goldman  Morgan Stanley estimates , * M Stanley EPS estimate lowered to 12 cents from 37 cents,normal
MS,Morgan Stanley,20110926,LCH poised to choose between rival bids - FT , Sept 26 The board of LCH.Clearnet  London's biggest clearing house  is expected to meet on Monday to decide between rival bids from the London Stock Exchange (LSE)  and Markit  the Financial Times reported on Monday.,normal
