ACOR,Acorda Therapeutics Inc,20110725,UPDATE 1-Biogen wins conditional approval for MS drug in EU , * Study to evaluate safety  efficacy over the long term,topStory
CEO,CNOOC Limited,20110725,CNOOC says Bohai oilfields resume output after April halt , HONG KONG  July 25 China's top offshore oil producer  CNOOC Ltd has restarted production of its southern Bohai Bay oilfields after a malfunction in April halted operations  the accident tainted firm said on Monday.,topStory
KOF,Coca Cola Femsa SAB de CV,20110725,DIARY - Mexico and Central America - to July 30 , This diary is updated daily. All dates and times are provisional. The inclusion of diary items does not necessarily   mean that Reuters will file a story based on the event. _______________________________________________________________ DATE  LOCAL/GMT  MEXICO INDICATOR         PERIOD  F/CAST   PREV --------------------------------------------------------------- JUL26 0800/1300  trade balance (s/adj)      Jun          -$264 mln JUL27 0800/1300  economic actvty (m/m)      May +0.58 pct +0.4 pct,topStory
KO,Coca-Cola Company (The),20110725,Coke bottler CCH gets nod to buy out Nigerian arm , LAGOS  July 25 Greek Coke bottler Coca-Cola Hellenic (CCH)  has won shareholder approval to buy out the Nigerian Bottling Company and turn it into a wholly-owned subsidiary in a deal worth $136 million  its local unit said on Monday.,topStory
KO,Coca-Cola Company (The),20110725,U.S. says China not abusing anti-monopoly law ,BEIJING China has not misused its anti-monopoly law as a trade barrier  a senior U.S. official said on Monday  brushing aside some of the criticism that Beijing has used it to unfairly block the expansion of global firms in the country.,normal
KO,Coca-Cola Company (The),20110725,U.S. says China not abusing anti-monopoly law , BEIJING  July 25 China has not misused its anti-monopoly law as a trade barrier  a senior U.S. official said on Monday  brushing aside some of the criticism that Beijing has used it to unfairly block the expansion of global firms in the country.,normal
CYH,Community Health Systems Inc,20110725,HCA results miss expectations ,CHICAGO Hospital operator HCA Holdings Inc  said quarterly profit and revenue fell short of expectations because of a decline in complex surgical cases performed at its facilities  sending shares down 15 percent.,topStory
CYH,Community Health Systems Inc,20110725,UPDATE 4-HCA results miss expectations  shares plunge , * Hospital operator says performed fewer complex surgeries,normal
CBD,Companhia Brasileira de Distribuicao,20110725,PREVIEW-Late Easter boosted Q2 profit for Brazil retailers , SAO PAULO  July 25 Rising household income and late Easter holidays likely boosted second-quarter earnings for Brazilian retailers and consumer goods companies  offsetting the impact of rising inflation and interest rates in a sector driven by booming domestic demand.,topStory
COP,ConocoPhillips,20110725,UPDATE 2-Murphy Oil announces sale of smallest refinery , HOUSTON  July 25 Murphy Oil Corp  announced on Monday it sold the smallest of its three refineries for $214 million plus inventory  bringing the company a step closer to shedding refining to focus solely on exploration and production.,topStory
COP,ConocoPhillips,20110725,RPT-US W. Coast Products-L.A. gasoline down on weak demand ,(Repeats to widen distribution  no change to headline or text),normal
COP,ConocoPhillips,20110725,CNOOC says Bohai oilfields resume output after April halt , HONG KONG  July 25 China's top offshore oil producer  CNOOC Ltd has restarted production of its southern Bohai Bay oilfields after a malfunction in April halted operations  the accident tainted firm said on Monday.,normal
CR,Crane Company,20110725,UPDATE 1-Crane Q2 results beat; ups dividend , * Ups quarterly dividend by 13 pct to $0.26   (Follows alerts),topStory
DE,Deere & Company,20110725,CNH Global Q2 blows past Wall Street ,Farm equipment maker CNH Global N.V.  posted market-topping results for the ninth straight quarter and raised revenue growth outlook for the year  helped by higher crop prices  sending its shares up 10 percent.,topStory
DAL,Delta Air Lines Inc,20110725,Airlines raise fares as taxes lapse ,ATLANTA Many U.S. airlines have raised fares in recent days to take advantage of a lapse in U.S. ticket tax collection after Congress failed last week to fully fund the Federal Aviation Administration budget  but passengers are not likely to notice any price difference.,topStory
DAL,Delta Air Lines Inc,20110725,UPDATE 2-U.S. airlines raise fares as taxes lapse , * For most travelers  ticket prices not likely to change,normal
DAL,Delta Air Lines Inc,20110725,U.S. airlines raise fares to scoop up tax lapse , * For most travelers  ticket prices likely won't change,normal
DB,Deutsche Bank AG,20110725,NEWSMAKER-Deutsche Bank's Jain sees execution as his forte , FRANKFURT  July 25 Deutsche Bank  crowned India-born investment banking chief Anshu Jain and German banker Juergen Fitschen co-chief executives on Monday  ending a drawn-out succession process.,topStory
DB,Deutsche Bank AG,20110725,UPDATE 1-Deutsche Bank's Jain  a co-CEO on a short leash ,   * Deutsche's board members Fitschen  Jain to share power,normal
DB,Deutsche Bank AG,20110725,Deutsche Bank says Jain  Fitschen to become co-CEOs , FRANKFURT  July 25 Deutsche Bank  named Anshu Jain and Juergen Fitschen as future co-chiefs as it seeks to bridge a divide of deep mistrust between Germany and international investment bankers.,normal
DB,Deutsche Bank AG,20110725,Confusion follows relief as Greek bond swap looms , LONDON  July 25 Just days after European policymakers toasted a 109 billion euro  ($156 billion) bailout aimed at hauling Greece back from the brink of insolvency  speculation some of its hapless bondholders might opt out of a crucial distressed debt exchange is gathering pace.,normal
DB,Deutsche Bank AG,20110725,UPDATE 1-Deutsche Bank succession decision on horizon , FRANKFURT  July 25 Deutsche Bank's  new leadership model  expected to be announced on Tuesday  will steal the show from the German flagship lender's quarterly earnings.,normal
DB,Deutsche Bank AG,20110725,Analysis: UniCredit to lead cash queue if EU crisis worsens ,LONDON/PARIS UniCredit   Societe Generale  and Deutsche Bank  may have passed the recent health check of Europe's banks  but they are likely to be among the first big lenders in need of cash if the euro zone crisis worsens.,normal
DB,Deutsche Bank AG,20110725,UPDATE 2-Aberdeen Q3 inflows rally despite turbulent market , * Sees turbulent investment environment ahead   (Adds share price  analyst comment),normal
DB,Deutsche Bank AG,20110725,Deutsche Bank succession decision expected this week , * Directors seek candidates with ties to bank  Germany,normal
DB,Deutsche Bank AG,20110725,UPDATE 1-Aberdeen Q3 inflows rally despite turbulent market , LONDON  July 25 British fund firm Aberdeen Asset Management booked 700 million pounds of net inflows in the three months to end-June  as investors defied recession fears to pump more cash into its higher-risk equity range products.,normal
ETN,Eaton Corporation PLC,20110725,Analysis: CEOs count on cash to cushion default risk ,BOSTON Memo to Washington from corporate America: unemployment is high  confidence is low and your bickering over the country's debt is the last thing we need.,topStory
ETN,Eaton Corporation PLC,20110725,Eaton profit higher on truck  industrial sectors ,NEW YORK Diversified manufacturer Eaton Corp  posted a higher-than-expected quarterly profit on Monday amid strong industrial demand for electrical systems and a rebounding U.S. truck market  and it raised its full-year forecast.,normal
ETN,Eaton Corporation PLC,20110725,UPDATE 2-Eaton profit higher on truck  industrial sectors , * Sees 2011 operating EPS $3.90 to $4.10  (Adds detail on outlook),normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20110725,UPDATE 1-Embraer picks IAE as engine supplier for cargo plane , * Announcement comes amid worries over commercial aircraft,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20110725,Brazil's Embraer taps engine supplier for KC-390 , SAO PAULO  July 25 Brazil's Embraer  said on Monday it chose International Aero Engines as engine supplier for its military transport plane KC-390.,normal
ETR,Entergy Corporation,20110725,UPDATE 4-Entergy to fight for Vermont Yankee reactor survival , * Vermont wants reactor to shut in 2012   (Adds background),topStory
EOG,EOG Resources Inc,20110725,Shale oil boom sends waste gas burn-off soaring ,HOUSTON Flaring of natural gas from wells is on the upswing in Texas and North Dakota as oil and gas producers rush to develop new shale plays  and critics are not happy about it.,topStory
EOG,EOG Resources Inc,20110725,Shale oil boom sends waste gas burn-off soaring , * Vastly more permits in new Eagle Ford than older Barnett,normal
XOM,Exxon Mobil Corporation,20110725,BP investors press CEO Dudley for strategy clues ,LONDON  July 26 BP boss Bob Dudley is under pressure to outline his post-oil spill strategy and revive the  share price when he unveils second-quarter earnings on Tuesday.,topStory
XOM,Exxon Mobil Corporation,20110725,US Cash Products-Midwest refinery problem boosts Aug gasoline , NEW YORK  July 25 Chicago gasoline differentials rose 3.50 cents a gallon on Monday as increased buying inflated values following reports of regional refinery problems.,normal
XOM,Exxon Mobil Corporation,20110725,U.S. cash crudes-Mars higher as roll nears end , * Markets worldwide await the outcome of U.S. debt dispute,normal
FNF,Fidelity National Financial Inc,20110725,UPDATE 2-Fidelity National Q2 profit beat estimates on cost cuts , * Expenses drop 5 percent   (Adds industry  company background  details on revenue  commissions in paragraphs 2-4 6 8),topStory
F,Ford Motor Company,20110725,Chrysler and union aim for deal without arbitration ,AUBURN HILLS  Michigan Chrysler Group LLC and the United Auto Workers union expect to reach a deal on a new labor contract without resorting to arbitration  officials for the company and union said on Monday.,topStory
F,Ford Motor Company,20110725,UPDATE 3-Chrysler  union aim for deal without arbitration , * Much has changed since last labor contract was reached  (Adds comments from UAW president  source close to talks  details  background),normal
F,Ford Motor Company,20110725,Analysis: Doubts emerge over U.S. move to global accounting ,NEW YORK Once thought inevitable  a decisive move by the United States to one-world accounting is now in serious doubt.,normal
F,Ford Motor Company,20110725,PREVIEW-Automakers gun for healthcare savings in UAW talks , * US automakers spent $1.5 bln on UAW healthcare last year,normal
GEK,General Electric Capital Corporation,20110725,Analysis: CEOs count on cash to cushion default risk ,BOSTON Memo to Washington from corporate America: unemployment is high  confidence is low and your bickering over the country's debt is the last thing we need.,topStory
GEK,General Electric Capital Corporation,20110725,Daimler  Rolls-Royce win EU okay for Tognum buy ,BRUSSELS Car makers Daimler  and Rolls-Royce  secured unconditional European Union approval on Monday to purchase Tognum  in a bid valuing the German engine maker at 3.4 billion euros.,normal
GEK,General Electric Capital Corporation,20110725,GE moving top X-ray executives to China ,BEIJING General Electric Co  is moving its global X-ray headquarters to China from the United States as part of the largest U.S. conglomerate's overall drive to boost its presence in big emerging markets.,normal
GEK,General Electric Capital Corporation,20110725,UPDATE 2-GE moving top X-ray executives to China , * Continues focus on emerging-market growth  (Recasts first sentence  adds details on GE jobs),normal
GEK,General Electric Capital Corporation,20110725,GE wins EU approval for Converteam acquisition ,BRUSSELS General Electric  gained EU approval on Monday for its $3.2 billion acquisition of French motor maker Converteam to expand its range of products in the energy industry.,normal
GEK,General Electric Capital Corporation,20110725,GE wins EU approval for Converteam acquisition ,BRUSSELS General Electric  gained EU approval on Monday for its $3.2 billion acquisition of French motor maker Converteam to expand its range of products in the energy industry.,normal
GEK,General Electric Capital Corporation,20110725,Daimler  Rolls-Royce win EU okay for Tognum buy , BRUSSELS  July 25 Car makers Daimler  and Rolls-Royce  secured unconditional European Union approval on Monday to purchase Tognum  in a bid valuing the German engine maker at 3.4 billion euros.,normal
GEK,General Electric Capital Corporation,20110725,GE wins EU approval for Converteam acquisition , BRUSSELS  July 25 U.S. conglomerate General Electric  gained EU approval on Monday for its $3.2 billion acquisition of French motor maker Converteam to expand its range of products in the energy industry.,normal
GEK,General Electric Capital Corporation,20110725,Tax crusader sees slim chance of reform for now ,WASHINGTON When the last top-to-bottom overhaul of the U.S. tax code happened  almost miraculously  in 1986  Bob McIntyre helped usher it in.,normal
GEK,General Electric Capital Corporation,20110725,GE Healthcare says to move global x-ray headquarters to Beijing , BEIJING  July 25 GE Healthcare  a division of General Electric Co   will move it's global X-ray headquarters to Beijing  executives said on Monday.,normal
GE,General Electric Company,20110725,Analysis: CEOs count on cash to cushion default risk ,BOSTON Memo to Washington from corporate America: unemployment is high  confidence is low and your bickering over the country's debt is the last thing we need.,topStory
GE,General Electric Company,20110725,Daimler  Rolls-Royce win EU okay for Tognum buy ,BRUSSELS Car makers Daimler  and Rolls-Royce  secured unconditional European Union approval on Monday to purchase Tognum  in a bid valuing the German engine maker at 3.4 billion euros.,normal
GE,General Electric Company,20110725,GE moving top X-ray executives to China ,BEIJING General Electric Co  is moving its global X-ray headquarters to China from the United States as part of the largest U.S. conglomerate's overall drive to boost its presence in big emerging markets.,normal
GE,General Electric Company,20110725,UPDATE 2-GE moving top X-ray executives to China , * Continues focus on emerging-market growth  (Recasts first sentence  adds details on GE jobs),normal
GE,General Electric Company,20110725,GE wins EU approval for Converteam acquisition ,BRUSSELS General Electric  gained EU approval on Monday for its $3.2 billion acquisition of French motor maker Converteam to expand its range of products in the energy industry.,normal
GE,General Electric Company,20110725,GE wins EU approval for Converteam acquisition ,BRUSSELS General Electric  gained EU approval on Monday for its $3.2 billion acquisition of French motor maker Converteam to expand its range of products in the energy industry.,normal
GE,General Electric Company,20110725,Daimler  Rolls-Royce win EU okay for Tognum buy , BRUSSELS  July 25 Car makers Daimler  and Rolls-Royce  secured unconditional European Union approval on Monday to purchase Tognum  in a bid valuing the German engine maker at 3.4 billion euros.,normal
GE,General Electric Company,20110725,GE wins EU approval for Converteam acquisition , BRUSSELS  July 25 U.S. conglomerate General Electric  gained EU approval on Monday for its $3.2 billion acquisition of French motor maker Converteam to expand its range of products in the energy industry.,normal
GE,General Electric Company,20110725,Tax crusader sees slim chance of reform for now ,WASHINGTON When the last top-to-bottom overhaul of the U.S. tax code happened  almost miraculously  in 1986  Bob McIntyre helped usher it in.,normal
GE,General Electric Company,20110725,GE Healthcare says to move global x-ray headquarters to Beijing , BEIJING  July 25 GE Healthcare  a division of General Electric Co   will move it's global X-ray headquarters to Beijing  executives said on Monday.,normal
GM,General Motors Company,20110725,DEALTALK-UPDATE 1-GM earnings  UAW talks loom as US reviews exit , (For more Reuters DEALTALK stories  click on [DEALTALK/] ),topStory
GM,General Motors Company,20110725,Chrysler and union aim for deal without arbitration ,AUBURN HILLS  Michigan Chrysler Group LLC and the United Auto Workers union expect to reach a deal on a new labor contract without resorting to arbitration  officials for the company and union said on Monday.,normal
GM,General Motors Company,20110725,UPDATE 3-Chrysler  union aim for deal without arbitration , * Much has changed since last labor contract was reached  (Adds comments from UAW president  source close to talks  details  background),normal
GM,General Motors Company,20110725,Dealtalk: GM earnings  UAW talks loom as U.S. reviews exit ,NEW YORK/DETROIT General Motors Co  is set to cruise through a series of headwinds over the next few months that may determine whether the U.S. Treasury begins cutting its stake in the top U.S. automaker in September or even later.,normal
GM,General Motors Company,20110725,DEALTALK-GM earnings  UAW talks loom as U.S. reviews exit , (For more Reuters DEALTALK stories  click on [DEALTALK/]),normal
GM,General Motors Company,20110725,CORRECTED-UPDATE 1-GM clashed with Russia over Opel unit-paper , (Corrects in third paragraph to 2009 from 2005)	  (Adds detail on speculation of new Opel sale),normal
GM,General Motors Company,20110725,REFILE-GM clashed with Kremlin over Opel unit-paper , LONDON  July 25 U.S. automaker General Motors  cancelled the sale of its Opel and Vauxhall brands two years ago because the proposed buyers were demanding the right to sell its factories to a Russian state-owned car maker  the Times said on Monday.,normal
GM,General Motors Company,20110725,PRESS DIGEST - British business - July 25 , Banks are being flooded with thousands of customer complaints about payment protection insurance and are managing to settle only very few cases  according to industry sources.,normal
GM,General Motors Company,20110725,GM clashed with Kremlin over Opel unit: report ,LONDON General Motors  canceled the sale of its Opel and Vauxhall brands two years ago because the proposed buyers were demanding the right to sell its factories to a Russian state-owned car maker  the Times said on Monday.,normal
GM,General Motors Company,20110725,Companies churn out profits but not jobs ,NEW YORK The sluggish pace of hiring may be hobbling the U.S. economy  but it's not been holding back big U.S. companies' profits thanks to growth overseas and cost controls at home. And that's bad news for the more than 14 million Americans without jobs.,normal
G,Genpact Limited,20110725,Confusion follows relief as Greek bond swap looms , LONDON  July 25 Just days after European policymakers toasted a 109 billion euro  ($156 billion) bailout aimed at hauling Greece back from the brink of insolvency  speculation some of its hapless bondholders might opt out of a crucial distressed debt exchange is gathering pace.,topStory
GSK,GlaxoSmithKline PLC,20110725,GlaxoSmithKline on slow path back to health , LONDON  July 26 GlaxoSmithKline is on a slow path back to health  with second-quarter sales set to decline by less than in the previous two quarters and profit markedly better after a huge legal charge a year ago.,topStory
GFI,Gold Fields Limited,20110725,UPDATE 4-S.Africa gold miners set to strike  following coal workers , * Above inflation wage deals hurting economy  analysts   (Recasts with gold miners joining strike),topStory
GFI,Gold Fields Limited,20110725,S.Africa gold mine workers set to strike , JOHANNESBURG  July 25 South Africa's National Union of Mineworkers (NUM) said on Monday that wage talks with the country's big gold miners had broken down and it would give them a 48-hour strike notice on Tuesday.,normal
GFI,Gold Fields Limited,20110725,S.Africa coal miners start massive strike , JOHANNESBURG  July 25 About 150 000 South African coal workers seeking 14 percent wage increases walked off the job on Monday in a strike that could dent exports and hurt power supplies in Africa's largest economy.,normal
GG,Goldcorp Inc,20110725,CANADA STOCKS-U.S. debt woes  RIM  Bombardier drag TSX lower , * RIM drops 4.84 percent after job cuts announced  (Updates to close. Adds analyst comment),topStory
GG,Goldcorp Inc,20110725,Gold mining shares are better bets than gold - Franklin Templeton , SINGAPORE  July 25 Investors who are bullish on gold should consider buying shares of gold miners to gain the additional returns from greater efficiency in extracting the metal as well as the discovery of new mines  a Franklin Templeton fund manager said on Monday.,normal
GS,Goldman Sachs Group Inc (The),20110725,MOVES-RBS  RBC Capital Markets  Nomura  UBS , July 25 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
GS,Goldman Sachs Group Inc (The),20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
GS,Goldman Sachs Group Inc (The),20110725,UPDATE 1-Deutsche Bank succession decision on horizon , FRANKFURT  July 25 Deutsche Bank's  new leadership model  expected to be announced on Tuesday  will steal the show from the German flagship lender's quarterly earnings.,normal
GS,Goldman Sachs Group Inc (The),20110725,New Issue-Goldman Sachs sells $2.75 bln 10-yr notes ,  July 25 The Goldman Sachs Group Inc  on Friday sold $2.75 billion of senior unsecured notes  said IFR  a Thomson Reuters service.,normal
ASR,Grupo Aeroportuario del Sureste SA de CV,20110725,Mexico's Asur reports 12 pct jump in 2nd qtr profit , * Q2 profit 386.183 mln pesos  vs 344.685 mln pesos yr ago,topStory
TV,Grupo Televisa SA,20110725,DIARY - Mexico and Central America - to July 30 , This diary is updated daily. All dates and times are provisional. The inclusion of diary items does not necessarily   mean that Reuters will file a story based on the event. _______________________________________________________________ DATE  LOCAL/GMT  MEXICO INDICATOR         PERIOD  F/CAST   PREV --------------------------------------------------------------- JUL26 0800/1300  trade balance (s/adj)      Jun          -$264 mln JUL27 0800/1300  economic actvty (m/m)      May +0.58 pct +0.4 pct,topStory
HAL,Halliburton Company,20110725,Baker Hughes profit surges  but outshone by rivals ,SAN FRANCISCO Oilfield service company Baker Hughes Inc  posted slightly better-than-expected quarterly earnings  driven by rising profit margins outside North America that offset some weakness closer to home.,topStory
HAL,Halliburton Company,20110725,UPDATE 4-Baker Hughes profit surges  but outshone by rivals , * Int'l margins up again  offset weakness in North America,normal
HMY,Harmony Gold Mining Company Limited,20110725,UPDATE 4-S.Africa gold miners set to strike  following coal workers , * Above inflation wage deals hurting economy  analysts   (Recasts with gold miners joining strike),topStory
HMY,Harmony Gold Mining Company Limited,20110725,S.Africa gold mine workers set to strike , JOHANNESBURG  July 25 South Africa's National Union of Mineworkers (NUM) said on Monday that wage talks with the country's big gold miners had broken down and it would give them a 48-hour strike notice on Tuesday.,normal
HMY,Harmony Gold Mining Company Limited,20110725,S.Africa coal miners start massive strike , JOHANNESBURG  July 25 About 150 000 South African coal workers seeking 14 percent wage increases walked off the job on Monday in a strike that could dent exports and hurt power supplies in Africa's largest economy.,normal
HCA,HCA Healthcare Inc,20110725,HCA results miss expectations ,CHICAGO Hospital operator HCA Holdings Inc  said quarterly profit and revenue fell short of expectations because of a decline in complex surgical cases performed at its facilities  sending shares down 15 percent.,topStory
HCA,HCA Healthcare Inc,20110725,UPDATE 4-HCA results miss expectations  shares plunge , * Hospital operator says performed fewer complex surgeries,normal
HCA,HCA Healthcare Inc,20110725,US SMALL/MIDCAPS-Financials drop on lack of debt deal , NEW YORK  July 25 Small and mid-cap stocks were lower on Monday  led down by financials as the lack of a deal to raise the U.S. debt ceiling drove fears over the prospect of a default.,normal
HLX,Helix Energy Solutions Group Inc,20110725,UPDATE 1-Helix Energy Solutions Q2 beats Street , * Shares up 4 pct in after-market trade   (Follows Alerts),topStory
HXL,Hexcel Corporation,20110725,UPDATE 2-Hexcel Q2 beats  ups full-year forecast , * Ups 2011 rev to $1.33-$1.38 bln vs est $1.34 bln   (Adds full-year outlook in paragraphs 2 3  share movement),topStory
HMC,Honda Motor Company Ltd,20110725,UPDATE 1-Nissan to double China output by 2015-end - Nikkei , July 26 Nissan Motor Co plans to double automobile production in China  its biggest market  to more than 2 million units a year by the end of 2015 as it shifts its focus to emerging countries  Japanese business daily Nikkei reported.,topStory
HMC,Honda Motor Company Ltd,20110725,Japan automakers' Q1 hit by quake ,TOKYO/SEOUL Quarterly earnings at Asian automakers will show Japanese automakers at their worst after the March 11 earthquake disrupted parts supplies  while South Korean rivals charged ahead with sales gains in major markets.,normal
HMC,Honda Motor Company Ltd,20110725,TABLE-Asia car makers' April-June results estimates , July 25 Following are average forecasts for Asia's top automakers.  	     Figures are in the local currencies  with percentages changes where applicable from the previous year in parentheses. 	     South Korea's Hyundai Motor Co will announce its second-quarter results on July 28 and Kia Motors Corp  on July 29. India's top maker  Maruti Suzuki India    will report on July 26.  	     Japan's Nissan Motor Co will report,normal
HMC,Honda Motor Company Ltd,20110725,TABLE-Japan automakers June output  exports , TOKYO  July 25 Japan's largest automaker  Toyota Motor Corp   said on Monday its global output fell 9.2 percent in June from a year earlier to 593 839 vehicles.,normal
HMC,Honda Motor Company Ltd,20110725,Honda says to build 3rd Vietnam motorcycle factory , TOKYO  July 25 Honda Motor Co said on Monday it would build a third motorcycle factory in Vietnam for $120 million to keep pace with  rapid growth in demand in the world's fourth-largest motorcycle market.,normal
HON,Honeywell International Inc,20110725,Analysis: CEOs count on cash to cushion default risk ,BOSTON Memo to Washington from corporate America: unemployment is high  confidence is low and your bickering over the country's debt is the last thing we need.,topStory
HPQ,HP Inc,20110725,UPDATE 3-TI forecasts modest third quarter , * Says seeing lukewarm production in computing  consumer,topStory
HPQ,HP Inc,20110725,Timberlake to Gaga: Hollywood courts social media ,LOS ANGELES When you think of Bono or Lady Gaga  the term "Silicon Valley entrepreneur" hardly springs to mind.,normal
HPQ,HP Inc,20110725,Timberlake to Gaga: Hollywood courts social media , LOS ANGELES  July 25 When you think of Bono or Lady Gaga  the term "Silicon Valley entrepreneur" hardly springs to mind.,normal
HPQ,HP Inc,20110725,UPDATE 1-Volterra Q2 tops market expectations , July 25 Volterra Semiconductor Corp  posted better-than-expected quarterly results helped by strong growth in its notebook market.,normal
HPQ,HP Inc,20110725,REFILE-FUNDVIEW-Silvant Capital bets on Baidu  midcap network gear makers , * Bearish on optical gear makers Finisar  JDS Uniphase,normal
HPQ,HP Inc,20110725,Canon lifts forecast after rapid quake recovery ,TOKYO Canon Inc posted better-than-expected quarterly profits and raised its annual forecast after it staged a rapid recovery from supply chain woes sparked by the March 11 earthquake.,normal
HPQ,HP Inc,20110725,UPDATE 2-Canon lifts forecast after rapid quake recovery , * Quarterly profit down 30 pct  but higher than expected,normal
HSBC,HSBC Holdings plc,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
HSBC,HSBC Holdings plc,20110725,Confusion follows relief as Greek bond swap looms ,LONDON Just days after European policymakers toasted a 109 billion euro ($156 billion) bailout aimed at hauling Greece back from the brink of insolvency  speculation some of its hapless bondholders might opt out of a crucial distressed debt exchange is gathering pace.,normal
HSBC,HSBC Holdings plc,20110725,Confusion follows relief as Greek bond swap looms , LONDON  July 25 Just days after European policymakers toasted a 109 billion euro  ($156 billion) bailout aimed at hauling Greece back from the brink of insolvency  speculation some of its hapless bondholders might opt out of a crucial distressed debt exchange is gathering pace.,normal
HSBC,HSBC Holdings plc,20110725,UAE's First Gulf Bank sets initial guidance for sukuk sale , DUBAI  July 25 Abu Dhabi's First Gulf Bank  has set initial price guidance for a five-year  dollar-denominated benchmark Islamic bond at 210 basis points above midswaps  a document from the lead banks showed on Monday.,normal
HSBC,HSBC Holdings plc,20110725,PRESS DIGEST - Hong Kong - July 25 , HONG KONG  July 25 These are some of the leading stories in Hong Kong newspapers on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
HSEA,HSBC Holdings plc,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
HSEA,HSBC Holdings plc,20110725,Confusion follows relief as Greek bond swap looms ,LONDON Just days after European policymakers toasted a 109 billion euro ($156 billion) bailout aimed at hauling Greece back from the brink of insolvency  speculation some of its hapless bondholders might opt out of a crucial distressed debt exchange is gathering pace.,normal
HSEA,HSBC Holdings plc,20110725,Confusion follows relief as Greek bond swap looms , LONDON  July 25 Just days after European policymakers toasted a 109 billion euro  ($156 billion) bailout aimed at hauling Greece back from the brink of insolvency  speculation some of its hapless bondholders might opt out of a crucial distressed debt exchange is gathering pace.,normal
HSEA,HSBC Holdings plc,20110725,UAE's First Gulf Bank sets initial guidance for sukuk sale , DUBAI  July 25 Abu Dhabi's First Gulf Bank  has set initial price guidance for a five-year  dollar-denominated benchmark Islamic bond at 210 basis points above midswaps  a document from the lead banks showed on Monday.,normal
HSEA,HSBC Holdings plc,20110725,PRESS DIGEST - Hong Kong - July 25 , HONG KONG  July 25 These are some of the leading stories in Hong Kong newspapers on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
HSEB,HSBC Holdings plc,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
HSEB,HSBC Holdings plc,20110725,Confusion follows relief as Greek bond swap looms ,LONDON Just days after European policymakers toasted a 109 billion euro ($156 billion) bailout aimed at hauling Greece back from the brink of insolvency  speculation some of its hapless bondholders might opt out of a crucial distressed debt exchange is gathering pace.,normal
HSEB,HSBC Holdings plc,20110725,Confusion follows relief as Greek bond swap looms , LONDON  July 25 Just days after European policymakers toasted a 109 billion euro  ($156 billion) bailout aimed at hauling Greece back from the brink of insolvency  speculation some of its hapless bondholders might opt out of a crucial distressed debt exchange is gathering pace.,normal
HSEB,HSBC Holdings plc,20110725,UAE's First Gulf Bank sets initial guidance for sukuk sale , DUBAI  July 25 Abu Dhabi's First Gulf Bank  has set initial price guidance for a five-year  dollar-denominated benchmark Islamic bond at 210 basis points above midswaps  a document from the lead banks showed on Monday.,normal
HSEB,HSBC Holdings plc,20110725,PRESS DIGEST - Hong Kong - July 25 , HONG KONG  July 25 These are some of the leading stories in Hong Kong newspapers on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
ITW,Illinois Tool Works Inc,20110725,Melrose says may raise offer for Charter ,LONDON Manufacturing buy-out firm Melrose  said it would consider making a higher proposed offer for Charter International  if it was given access to the British engineering company's books.,topStory
ITW,Illinois Tool Works Inc,20110725,UPDATE 2-Melrose says may raise offer for Charter , * Says willing to consider increasing proposal if has "access to due diligence",normal
IBM,International Business Machines Corporation,20110725,UPDATE 1-Volterra Q2 tops market expectations , July 25 Volterra Semiconductor Corp  posted better-than-expected quarterly results helped by strong growth in its notebook market.,topStory
IBM,International Business Machines Corporation,20110725,Analysis: Doubts emerge over U.S. move to global accounting ,NEW YORK Once thought inevitable  a decisive move by the United States to one-world accounting is now in serious doubt.,normal
IP,International Paper Company,20110725,Investor sues Temple-Inland over takeover defense ,WILMINGTON  Delaware A shareholder sued the board of corrugated packaging maker Temple-Inland Inc  to roll back the company's "poison pill" defense against a $3.3 billion hostile takeover bid by rival International Paper Co .,topStory
IP,International Paper Company,20110725,Investor sues Temple-Inland over takeover defense , WILMINGTON  Del.  July 25 A shareholder sued the board of corrugated packaging maker Temple-Inland Inc  to roll back the company's "poison pill" defense against a $3.3 billion hostile takeover bid by rival International Paper Co .,normal
ITUB,Itau Unibanco Banco Holding SA,20110725,PREVIEW-Higher rates seen lifting Brazilian banks' profits , * Investors look for clues on asset quality  margin trends,topStory
JPM,J P Morgan Chase & Co,20110725,MOVES-RBS  RBC Capital Markets  Nomura  UBS , July 25 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
