ACHN,Achillion Pharmaceuticals Inc,20120927,Achillion hepatitis C drug shows promise in early trial ,Achillion Pharmaceuticals Inc said an early-stage trial of its experimental hepatitis C treatment showed that a single dose of the drug significantly reduced the severity of the infection.,topStory
PRH,Prudential Financial Inc,20120927,Prudential to acquire Hartford's life insurance unit ,Prudential Financial Inc  will buy the individual life insurance business of Hartford Financial Services Group Inc  for $615 million in cash  the companies said on Thursday.,topStory
PRH,Prudential Financial Inc,20120927,TEXT-Fitch affirms Hartford's ratings after deal with Prudential ,Sept 27 - Fitch Ratings has affirmed all Issuer Default Ratings (IDRs)  debt and Insurer Financial Strength (IFS) ratings for the Hartford Financial Services Group  Inc.  (HFSG) and its primary life and property/casualty insurance subsidiaries. The Rating Outlook is Stable. A full list of ratings follows at the end of this release.  Fitch's rating action follows HFSG's announcement today that it has reached an agreement to sell its individual life business to Prudential Financial  Inc.  (Prudent,normal
PRH,Prudential Financial Inc,20120927,Prudential near deal to buy Hartford life insurance unit - WSJ ,Sept 27 Prudential Financial Inc is close to a deal to acquire the individual life insurance business of Hartford Financial Services Group Inc  and a deal could be struck as soon as Thursday  the Wall Street Journal reported.,normal
PRU,Prudential Financial Inc,20120927,Prudential to acquire Hartford's life insurance unit ,Prudential Financial Inc  will buy the individual life insurance business of Hartford Financial Services Group Inc  for $615 million in cash  the companies said on Thursday.,topStory
PRU,Prudential Financial Inc,20120927,TEXT-Fitch affirms Hartford's ratings after deal with Prudential ,Sept 27 - Fitch Ratings has affirmed all Issuer Default Ratings (IDRs)  debt and Insurer Financial Strength (IFS) ratings for the Hartford Financial Services Group  Inc.  (HFSG) and its primary life and property/casualty insurance subsidiaries. The Rating Outlook is Stable. A full list of ratings follows at the end of this release.  Fitch's rating action follows HFSG's announcement today that it has reached an agreement to sell its individual life business to Prudential Financial  Inc.  (Prudent,normal
PRU,Prudential Financial Inc,20120927,Prudential near deal to buy Hartford life insurance unit - WSJ ,Sept 27 Prudential Financial Inc is close to a deal to acquire the individual life insurance business of Hartford Financial Services Group Inc  and a deal could be struck as soon as Thursday  the Wall Street Journal reported.,normal
R,Ryder System Inc,20120927,Tribute to Ballesteros marks opening of Ryder Cup matches ,MEDINAH  Illinois The 39th edition of the Ryder Cup was officially launched in a formal ceremony with pledges of sportsmanship and fair play  and a moving tribute to the late Seve Ballesteros at Medinah Country Club on Thursday.,topStory
R,Ryder System Inc,20120927,Teamwork makes Ryder Cup awesome for caddie Johnson ,MEDINAH  Illinois Often overlooked while their players hog the limelight in the cacophony of sound and color that characterizes the Ryder Cup  caddies relish the unique team atmosphere of the biennial competition.,normal
R,Ryder System Inc,20120927,Rookies ready to step into Ryder Cup pressure cooker ,MEDINAH  Illinois If experience counts at the Ryder Cup  the U.S. will be at a distinct disadvantage when play begins on Friday  sending out four rookies to face a European lineup that will include just one first-timer.,normal
R,Ryder System Inc,20120927,Players enjoy calm before Ryder Cup storm ,MEDINAH  Illinois In the relative calm before the Europe and the United States resume their fierce Ryder Cup rivalry  players made the most of a chance to catch their breath at a sun-kissed Medinah Country Club on Wednesday. | Video ,normal
R,Ryder System Inc,20120927,Langer's recipe for Cup success on U.S. soil ,MEDINAH  Illinois 'Home cooking' has helped the United States win the Ryder Cup all but three times on American soil but former captain Bernhard Langer has already proved once that he has the recipe for European success.,normal
SAP,SAP SE,20120927,BRIEF-OFT not referring SAP acquisition of Ariba to Competition Commission ,LONDON  Sept 27 Office Of Fair Trading :  * Decided not to refer anticipated acquisition by SAP AG of Ariba Inc  to the,topStory
SKM,SK Telecom Co Ltd,20120927,SK Telecom says delaying sale of $390 million stake in POSCO ,SEOUL  Sept 27 SK Telecom Co Ltd  South Korea's top mobile operator  said on Thursday it will postpone a proposed sale of a 437.3 billion won ($390 million) part of its stake in steelmaker POSCO citing market conditions.,topStory
BID,Sotheby&#39;s,20120927,Bacon Pope painting unseen for decades up for U.S. auction ,NEW YORK A painting from Francis Bacon's iconic screaming Pope series  which has not been seen in public since 1975  is hitting the auction block where it is expected to sell for as much as $25 million  Sotheby's said on Thursday.,topStory
S,Sprint Corporation,20120927,TEXT-Fitch updates recovery analysis for Sprint Nextel ,Sept 27 - Link to Fitch Ratings' Report: U.S. Telecom Recovery Models - Second-Quarter 2012Sept 27 - Fitch Ratings has published an updated recovery analysis for Sprint Nextel Corp.   The interactive recovery analysis worksheet is available at 'www.fitchratings.com' under the following headers: Sectors>> Corporate Finance >> Corporates >> Research  Additional information is available at 'www.fitchratings.com'.  Applicable Criteria and Related Research --'Corporate Rating Method,topStory
TI,Telecom Italia SPA,20120927,Clessidra offer for TI Media below 450 million euros: sources ,MILAN Italian private equity fund Clessidra's non-binding offer for broadcaster Telecom Italia Media is worth less than 450 million euros ($578 million)  two sources close to the situation said on Thursday.,topStory
TI,Telecom Italia SPA,20120927,Clessidra offer for TI Media below 450 mln euros-sources ,MILAN  Sept 27 Italian private equity fund Clessidra's non-binding offer for broadcaster Telecom Italia Media is worth less than 450 million euros ($578 million)  two sources close to the situation said on Thursday.,normal
TPX,Tempur Sealy International Inc,20120927,TEXT-S&P puts Sealy rating on watch positive on Temper-Pedic deal ,Overview      -- U.S. based bedding manufacturer Sealy Corp. has agreed to be acquired by Tempur-Pedic International Inc. (not rated) in a transaction valued at about $1.3 billion.      -- We believe that Sealy's credit profile will be stronger following its  merger with the larger and financially stronger Tempur-Pedic.      -- We are placing all of our ratings on Sealy and its subsidiary   including the 'B' corporate credit rating  on CreditWatch with positive  implications.   Rating Action On ,topStory
TPX,Tempur Sealy International Inc,20120927,Tempur-Pedic looks for bounce in sales with Sealy buy ,Tempur-Pedic International Inc  will acquire rival Sealy Corp  for about $242 million and take on its debt of about $750 million  as the once-dominant specialty mattress maker seeks to fend off rivals by broadening its product range.,normal
TPX,Tempur Sealy International Inc,20120927,UPDATE 7-Tempur-Pedic looks for bounce in sales with Sealy buy ,* Offer represents 3 pct premium to Sealy's Wednesday close,normal
TPX,Tempur Sealy International Inc,20120927,BRIEF-H Partners says opposes Sealy sale to Tempur-Pedic ,Sept 27 Sealy Corp :  * Shareholder h partners says Tempur Pedic International Inc  -offer for,normal
TPX,Tempur Sealy International Inc,20120927,US STOCKS-Wall St jumps after Spain sets timetable for reforms ,* Spain's timetable beyond what European Commission sought,normal
TPX,Tempur Sealy International Inc,20120927,Tempur-Pedic to buy rival Sealy as specialty bed dominance slips ,Tempur-Pedic International Inc  will acquire rival mattress maker Sealy Corp  for about $242 million and assume about $750 million in debt  as rivals snip away at its once-dominant position in specialty beds.,normal
TPX,Tempur Sealy International Inc,20120927,Tempur-Pedic to acquire rival Sealy Corp ,Tempur-Pedic International Inc  said it will acquire rival mattress maker Sealy Corp  for about $242 million and assume about $750 million in debt.,normal
TPX,Tempur Sealy International Inc,20120927,BRIEF-Sealy up in premarket; to be acquired by Tempur Pedic ,NEW YORK  Sept 27 Sealy Corp :  * Sealy shares up 8.9 percent to $2.33 in premarket; to be acquired by Tempur Pedic for $2.20 per share.,normal
TPX,Tempur Sealy International Inc,20120927,Tempur-Pedic to acquire rival Sealy Corp ,Sept 27 Tempur-Pedic International Inc  said it will acquire rival mattress maker Sealy Corporation  for about $242 million and assume about $750 million in debt.,normal
BX,The Blackstone Group LP,20120927,Blackstone takes stake in Capital Trust ,NEW YORK Blackstone Group LP  has agreed to buy the investment unit of real estate finance company Capital Trust Inc   whose chairman is real estate magnate Sam Zell  and to take an 18.2 percent stake in the company in a deal worth about $30 million  the companies said on Thursday.,topStory
BX,The Blackstone Group LP,20120927,UPDATE 1-Blackstone takes stake in Capital Trust ,NEW YORK  Sept 27 Blackstone Group LP has agreed to buy the investment unit of real estate finance company Capital Trust Inc  whose chairman is real estate magnate Sam Zell  and to take an 18.2 percent stake in the company in a deal worth about $30 million  the companies said on Thursday.,normal
THR,Thermon Group Holdings Inc,20120927,TEXT-S&P raises Thermon Industries ratings to 'BB-' ,Sept 27 - Overview      -- U.S.-based industrial heat tracing products and services provider  Thermon Groups Holdings Inc.  parent company of Thermon Industries Inc.  completed a secondary stock offering of 10 million shares.      -- We believe the Thermon's financial policies will be less aggressive as  a result of the reduced stake of the company's private equity sponsors.      -- We are raising the ratings on Thermon  including the corporate credit  rating  one notch to 'BB-' and removing the,topStory
TRI,Thomson Reuters Corp,20120927,Nations seeking Assad's exit struggle to produce a plan ,UNITED NATIONS Western and Arab states demanding Syrian President Bashar al-Assad's exit are under pressure to produce a plan to make that happen  but their unwillingness to act outside a deadlocked U.N. Security Council leaves them looking fractured and powerless.,topStory
TRI,Thomson Reuters Corp,20120927,Nations seeking Assad's exit struggle to produce a plan ,* Anti-Assad Western  Arab  Turkish coalition meets Friday,normal
TWX,Time Warner Inc,20120927,Time Warner starts Clearwire share sale ,NEW YORK Time Warner Cable Inc  has begun a sale of its stake in Clearwire Corp   the wireless service provider said on Thursday.,topStory
TWX,Time Warner Inc,20120927,Time Warner starts Clearwire share sale ,NEW YORK  Sept 27 Time Warner Cable Inc  has begun a sale of its stake in Clearwire Corp  the wireless service provider said on Thursday.,normal
TOT,Total SA,20120927,TEXT-Fitch: Total asset sales may increase geographical concentration ,(The following statement was released by the rating agency),topStory
TM,Toyota Motor Corp Ltd Ord,20120927,Nissan sees Mexico 2012 production rising 20-25 percent ,MEXICO CITY The Mexican unit of Japanese carmaker Nissan Motor Co  expects its 2012 vehicle production to rise by 20 percent to 25 percent  director Jose Luis Valls said on Thursday.,topStory
TM,Toyota Motor Corp Ltd Ord,20120927,For Japan's carmakers  Europe market is worth the struggle ,PARIS  Sept 27 Japanese automakers  battered by a strong yen  are hunkering down in a stormy Europe  taking tentative steps to stand up to their aggressive South Korean rivals  in a market they see as challenging  but worth the effort.,normal
RIG,Transocean Ltd,20120927,UPDATE 2-Transocean served with Brazil drilling injunction ,Sept 27 Transocean Ltd said on Thursday it was served with a preliminary injunction by a federal court in Brazil that will require the company's nine rigs operating in waters off the country to cease operations in 30 days.,topStory
RIG,Transocean Ltd,20120927,Transocean served with injunction against Brazil drilling ,Sept 27 Transocean Ltd said on Thursday it was served with a preliminary injunction by a federal court in Brazil that will require the company's nine rigs currently in the country to cease operations within 30 days.,normal
UAL,United Continental Holdings Inc,20120927,United Continental sees 1-2 percent fall in third quarter traffic ,United Continental Holdings Inc   parent of United Airlines  said it expects to report a 1 percent to 2 percent fall in passenger revenue for the current quarter ending Sunday.,topStory
UAL,United Continental Holdings Inc,20120927,UPDATE 2-United Continental sees 1-2 pct fall in 3rd-qtr traffic ,Sept 27 United Continental Holdings Inc  parent of United Airlines  said it expects to report a 1 percent to 2 percent fall in passenger revenue for the current quarter ending Sunday.,normal
UAL,United Continental Holdings Inc,20120927,United Continental estimates drop in passenger revenue ,United Continental Holdings Inc  parent of United Airlines  estimated its passenger revenue for the current quarter to fall 1 percent to 2 percent.,normal
UAL,United Continental Holdings Inc,20120927,United Continental sees third quarter passenger revenue fall 1-2 percent ,United Continental Holdings Inc   parent of United Airlines  expects its third-quarter passenger revenue to fall between 1 percent and 2 percent.,normal
UAL,United Continental Holdings Inc,20120927,United Continental sees 3rd-qtr passenger revenue fall 1-2 pct ,Sept 27 United Continental Holdings Inc  parent of United Airlines  expects its third-quarter passenger revenue to fall between 1 percent and 2 percent.,normal
UTX,United Technologies Corporation,20120927,United Technologies sees profit rising in 2013 ,United Technologies Corp  expects "solid" earnings growth next year despite slower-than-expected economic growth in the conglomerate's major markets  Chief Financial Officer Greg Hayes said on Thursday.,topStory
UTX,United Technologies Corporation,20120927,UPDATE 3-United Technologies sees profit rising in 2013 ,* CFO predicts "solid" earnings growth next year     * World economic growth slower than expected     * Shares up 0.1 pct       By Nick Zieminski     Sept 27 United Technologies Corp expects "solid" earnings growth next year despite slower-than-expected economic growth in the conglomerate's major markets  Chief Financial Officer Greg Hayes said on Thursday.     United Tech's acquisition of Goodrich Corp  which closed in July  will add about 50 cents to 2013 earnings per share  Hayes ,normal
UTX,United Technologies Corporation,20120927,United Technologies affirms 2012 earnings outlook ,Sept 27 United Technologies Corp's chief financial officer said he expects "solid" earnings growth next year despite a challenging economy and reaffirmed the company's 2012 earnings and sales forecasts.,normal
UTX,United Technologies Corporation,20120927,BRIEF-United Technologies sees higher 2013 earnings ,Sept 27 United Technologies Corp :  * CFO says to pay down $7 billion in debt over the next couple of months  * Reaffirms 2012 EPS  sales outlook  * Sees world economy up 2.6 percent in 2013 versus year-ago estimate of 3.8,normal
UHS,Universal Health Services Inc,20120927,BRIEF-Moody's: Universal Health credit agreement amendment a credit positive ,Sept 27 Universal Health Services Inc :  * Moody's: universal health's credit agreement amendment a credit positive; no,topStory
VLO,Valero Energy Corporation,20120927,UPDATE 1-Valero may raise over $3.5 bln in retail sale -sources ,* Unclear if U.S.  Canada stores would be sold as a whole,topStory
VLO,Valero Energy Corporation,20120927,Valero may raise $3.5 billion through retail arm auction: sources ,NEW YORK Valero Energy Corp  is selling its retail business  which operates gas stations and convenience stores  through an auction that could fetch more than $3.5 billion and has lured the interest of private equity firms and convenience-store operators  people familiar with the matter said.,normal
VLO,Valero Energy Corporation,20120927,Valero may raise $3.5 billion through retail arm auction-sources ,NEW YORK  Sept 27 Valero Energy Corp is selling its retail business  which operates gas stations and convenience stores  through an auction that could fetch more than $3.5 billion and has lured the interest of private equity firms and convenience-store operators  people familiar with the matter said.,normal
WWW,Wolverine World Wide Inc,20120927,New Issue-Wolverine World Wide sells $375 mln in notes ,Sept 27 Wolverine World Wide Inc on Thursday sold $375 million of senior notes in the 144a private placement market  said IFR  a Thomson Reuters service.      J.P. Morgan and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: WOLVERINE WORLD WIDE  AMT $375 MLN    COUPON 6.125 PCT   MATURITY    10/15/2020    TYPE SR NTS     ISS PRICE 100      FIRST PAY   04/15/2013  MOODY'S B2      YIELD 6.125 PCT    SETTLEMENT  10/09/2012    S&P B-PLUS      SPREAD 485 BPS     PA,topStory
