ATVI,Activision Blizzard Inc,20121108,UPDATE 2-Activision raises outlook on hopes for 'Call of Duty' ,SAN FRANCISCO  Nov 7 Activision Blizzard Inc  raised its 2012 outlook on Wednesday on expectations of strong holiday sales of its latest title in the "Call of Duty" franchise  despite competition from Microsoft Corp's  blockbuster "Halo 4.",topStory
GS,Goldman Sachs Group Inc (The),20121108,Cantab closes 'black box' fund to new money ,LONDON Computer-driven hedge fund Cantab Capital Partners has closed to new investors because it is not confident it can deliver the same returns with more money.,normal
GS,Goldman Sachs Group Inc (The),20121108,Cantab closes 'black box' fund to new money ,LONDON  Nov 8 Computer-driven hedge fund Cantab Capital Partners has closed to new investors because it is not confident it can deliver the same returns with more money.,normal
HPQ,HP Inc,20121108,Intel  HP tout newest Itanium server technology ,SAN FRANCISCO Intel and Hewlett-Packard Co unveiled new server technology based on the high-end niche Itanium processors at the center of a recent dispute between Hewlett-Packard and Oracle Corp.,topStory
HPQ,HP Inc,20121108,Intel  HP tout newest Itanium server technology ,SAN FRANCISCO  Nov 8 Intel and Hewlett-Packard Co unveiled new server technology based on the high-end niche Itanium processors at the center of a recent dispute between Hewlett-Packard and Oracle Corp.,normal
IVZ,Invesco Plc,20121108,TEXT-S&P ratings - Invesco Ltd. ,===============================================================================,topStory
JPM,J P Morgan Chase & Co,20121108,JPMorgan gets nod to resume stock buys after Whale loss ,JPMorgan Chase & Co said it plans to buy back as much as $3 billion of stock early next year after U.S. regulators authorized it to buy shares again  the latest sign the largest U.S. bank is healing after big trading losses.,topStory
JPM,J P Morgan Chase & Co,20121108,UPDATE 3-JPMorgan gets nod to resume stock buys after Whale loss ,* Company reaches deal with SEC staff on two mortgage probes,normal
JPM,J P Morgan Chase & Co,20121108,JPMorgan reaches deal with SEC staff on two mortgage probes ,JPMorgan Chase & Co has reached an agreement in principle with the staff of the U.S. Securities and Exchange Commission to resolve two previously disclosed investigations related to mortgage-backed securities  the company disclosed in a quarterly filing on Thursday.,normal
JPM,J P Morgan Chase & Co,20121108,JPMorgan reaches deal with SEC staff on two mortgage probes ,Nov 8 JPMorgan Chase & Co has reached an agreement in principle with the staff of the U.S. Securities and Exchange Commission to resolve two previously disclosed investigations related to mortgage-backed securities  the company disclosed in a quarterly filing on Thursday.,normal
JPM,J P Morgan Chase & Co,20121108,BRIEF-JPMorgan reaches deal with SEC staff on mortgage probes-filing ,Nov 8 JPMorgan Chase & Co :  * Reaches agreement with SEC staff to settle mortgage probes-filing  * JPMorgan pending mortgage settlement disclosure does not include cost to bank  * JPMorgan cites "agreement in principle" with SEC staff in quarterly filing,normal
JPM,J P Morgan Chase & Co,20121108,JPMorgan wins approval to resume stock buys after Whale loss ,Nov 8 JPMorgan Chase & Co said U.S. regulators have approved a plan for the company to use its capital to buy back its stock in the first quarter of 2013.,normal
JPM,J P Morgan Chase & Co,20121108,BRIEF-JPMorgan wins right to resume stock buybacks-filing ,Nov 8 JPMorgan Chase & Co :  * Wins approval to resume stock buybacks-filing  * JPMorgan had asked for permission to buy back $3 billion in first quarter,normal
JNJ,Johnson & Johnson,20121108,BTG revenue jumps 30 percent in first half ,LONDON  Nov 8 Strong demand for snake anti-venom helped Britain's BTG lift revenue 30 percent to 143.4 million pounds ($229.3 million) in the half-year to end-September.,topStory
JCI,Johnson Controls International plc,20121108,RPT-Chinese  US auto parts makers to square off in A123 sale ,WILMINGTON  Del.  Nov 8 A U.S. and a Chinese auto parts maker will face each other on Dec. 6 in an auction to buy A123 Systems Inc   a bankrupt maker of batteries for electric cars that was partly funded by the U.S. government.,topStory
JCI,Johnson Controls International plc,20121108,Chinese  US auto parts makers to square off in A123 sale ,WILMINGTON  Del.  Nov 8 A U.S. and a Chinese auto parts maker will face each other on Dec. 6 in an auction to buy A123 Systems Inc  a bankrupt maker of batteries for electric cars that was partly funded by the U.S. government.,normal
JNPR,Juniper Networks Inc,20121108,CORRECTED-UPDATE 1-Plexus loses Juniper's business  shares tumble (Nov. 6) ,(Corrects paragraph 5 to make clear Plexus was referring to fiscal year  not calendar year. The story was earlier corrected to fix spelling of Plexus in paragraph 3.),topStory
K,Kellogg Company,20121108,Kellogg sees 2013 growth  reaffirms 2012 views ,Kellogg Co  said on Thursday it expects reported net sales growth to be about 7 percent and earnings per share growth to be between 5 and 7 percent for 2013.,topStory
K,Kellogg Company,20121108,UPDATE 1-Kellogg sees 2013 growth  reaffirms 2012 views ,Nov 8 Kellogg Co said on Thursday it expects reported net sales growth to be about 7 percent and earnings per share growth to be between 5 and 7 percent for 2013.,normal
KKR,KKR & Co LP,20121108,UPDATE 2-KKR  Allegro to buy Australian loans from Lloyds-source ,* Lloyds previously sold distressed loans to Blackstone  Morgan Stanley  Goldman,topStory
KKR,KKR & Co LP,20121108,Carlyle returns to Q3 profit as assets recover ,Carlyle Group LP  reported on Thursday a third-quarter profit  as the value of its assets increased and it cashed out on some of its private equity investments  returning money to investors.,normal
KKR,KKR & Co LP,20121108,KKR  Allegro agree to buy loan portfolio from Lloyds unit ,HONG KONG  Nov 8 KKR & Co L.P. and Australia's Allegro Funds have agreed to buy a portfolio of commercial loans from BOS International  a unit of Lloyds International Pty  KKR and Allegro said in a statement.,normal
KSS,Kohl&#39;s Corporation,20121108,Kohl's holiday profit forecast misses mark ,Kohl's Corp  said on Thursday it expects sales to rise this holiday quarter  but gave a profit forecast that missed Wall Street's expectations because of what it anticipates will be a highly competitive Christmas period.,topStory
KSS,Kohl&#39;s Corporation,20121108,UPDATE 4-Kohl's holiday profit forecast misses mark ,Nov 8 Kohl's Corp said on Thursday it expects sales to rise this holiday quarter  but gave a profit forecast that missed Wall Street's expectations because of what it anticipates will be a highly competitive Christmas period.,normal
KSS,Kohl&#39;s Corporation,20121108,UPDATE 3-Kohl's holiday profit forecast misses mark ,Nov 8 Kohl's Corp on Thursday said it expects sales to rise this holiday quarter but gave a profit forecast that missed Wall Street's expectations and raised concerns the department store chain may have to offer discounts to draw in customers.,normal
KSS,Kohl&#39;s Corporation,20121108,BRIEF-Kohl's down in premarket after Q3 results  outlook ,NEW YORK  Nov 8 Kohl's Corp :  * Down 2.3 percent to $53.05 in premarket after Q3 results  outlook,normal
LYG,Lloyds Banking Group Plc,20121108,KKR  Allegro to buy Australian loans from Lloyds: source ,HONG KONG/LONDON KKR & Co L.P.  and Australia's Allegro Funds have agreed to buy around A$350 million ($364 million) of distressed commercial loans from a unit of Lloyds Banking Group Plc   a source familiar with the matter said on Thursday.,topStory
LYG,Lloyds Banking Group Plc,20121108,UPDATE 2-KKR  Allegro to buy Australian loans from Lloyds-source ,* Lloyds previously sold distressed loans to Blackstone  Morgan Stanley  Goldman,normal
MGA,Magna International Inc,20121108,UPDATE 1-Magna profit jumps  founder Stronach quits board ,Nov 8 Magna International Inc  one of the world's biggest auto parts manufacturers  said third-quarter profit nearly quadrupled on gains related to its purchase of the minority stake in its electric car business.,topStory
MGA,Magna International Inc,20121108,Magna profit jumps on gains from acquisition ,Nov 8 Magna International Inc  one of the world's biggest auto parts manufacturers  said third-quarter profit nearly quadrupled on gains related to its purchase of the minority stake in its electric car business.,normal
MFC,Manulife Financial Corp,20121108,Manulife narrows loss but delays C$4 billion profit target ,Manulife Financial Corp  on Thursday reported a narrower loss in the third quarter due to improved financial markets-related results but said it has delayed its profit goal of C$4 billion by a year to 2016  citing macro-economic conditions.,topStory
MFC,Manulife Financial Corp,20121108,UPDATE 3-Manulife narrows loss but delays C$4 bln profit target ,Nov 8 Manulife Financial Corp on T hursday reported a narrower loss in the third quarter due to improved financial markets-related results but said it has delayed its profit goal of C$4 billion by a year to 2016  citing macro-economic conditions.,normal
MFC,Manulife Financial Corp,20121108,BRIEF-Manulife says no material impact from Hurricane Sandy ,TORONTO  Nov 8 Manulife Financial Corp :  * Says does not expect any material impact from Hurricane Sandy,normal
MFC,Manulife Financial Corp,20121108,CORRECTED-RPT-UPDATE 2-Manulife delays C$4 bln profit target ,* Company takes C$1 bln charge  pushes back profit target,normal
MFC,Manulife Financial Corp,20121108,Manulife loss narrows on strong investment portfolio ,Manulife Financial Corp's  quarterly loss narrowed as a stronger performance in its investment portfolio offset a C$1 billion charge related to a shift in actuarial assumptions.,normal
MFC,Manulife Financial Corp,20121108,Manulife loss narrows on strong investment portfolio ,Nov 8 Manulife Financial Corp's  quarterly loss narrowed as a stronger performance in its investment portfolio offset a C$1 billion charge related to a shift in actuarial assumptions.,normal
MCD,McDonald&#39;s Corporation,20121108,McDonald's posts rare sales drop  promotions questioned ,McDonald's Corp's first monthly global restaurant sales decline in nine years is likely to force the world's biggest hamburger chain to increase promotions for its value menu  but some analysts doubt whether a hyper focus on low prices is the right strategy.,topStory
MCD,McDonald&#39;s Corporation,20121108,UPDATE 4-McDonald's posts rare sales drop  promotions questioned ,* Oct sales fall in all regions  drop steeper than expected,normal
MCD,McDonald&#39;s Corporation,20121108,McDonald's posts first monthly same-store sales drop since 2003 ,Nov 8 McDonald's Corp on Thursday reported a 1.8 percent drop in October sales at established restaurants around the world  its first monthly sales fall since March 2003.,normal
MRK,Merck & Company Inc,20121108,CORRECTED-BRIEF-Merck says FDA accepts new drug application for Suvorexant ,(Corrrects headline to show that FDA has accepted  not approved  Merck's new drug application for Suvorexant),topStory
MFGP,Micro Focus Intl PLC,20121108,BRIEF-Micro Focus says H1 profit ahead of expectations ,LONDON  Nov 8 Micro Focus International PLC  :  * Revenues in the six months ended 31 October 2012 are in line with market,topStory
MCO,Moody&#39;s Corporation,20121108,BRIEF-Moody's assigns Aa2 enhanced rating with stable outlook to Delton Kellog Schools' (MI) $7.85 mln General Obligation Unlimited Tax Refunding Bonds  Series 2012 ,Nov 9 Moody's assigns Aa2 enhanced rating with stable outlook to Delton Kellog Schools' (MI) $7.85 million General Obligation Unlimited Tax Refunding Bonds  Series 2012,topStory
MCO,Moody&#39;s Corporation,20121108,BRIEF-Moody's on denial of injunction against Dish's AutoHop ,Nov 8 DISH Network Corp :  * Moody's says denial of injunction against dish's autohop signals difficulty,normal
MCO,Moody&#39;s Corporation,20121108,BRIEF-Moody's: CGCMT 2006-5 ratings unaffected by proposed transfer ,Nov 8 CGCMT 2006-5:  * Moody's: cgcmt 2006-5 ratings unaffected by the proposed transfer of special,normal
MCO,Moody&#39;s Corporation,20121108,BRIEF - Moody's raises Starwood Hotels & Resorts Worldwide ratings ,Nov 8 Moody's raises Starwood Hotels & Resorts Worldwide  ratings,normal
MCO,Moody&#39;s Corporation,20121108,BRIEF - Moody's affirms Exelon Corp and Exelon Generation ratings ,Nov 8 Moody's affirms Exelon Corp and Exelon Generation ratings,normal
MCO,Moody&#39;s Corporation,20121108,BRIEF - Moody's raises Madison Cty  Ky. Public Library District rating ,Nov 8 Moody's raises Madison Cty  Ky. Public Library District GO rating to Aa2 from A1,normal
MCO,Moody&#39;s Corporation,20121108,BRIEF - Moody's affirms Prospect Medical Holdings ,Nov 8 Moody's affirms Prospect Medical Holdings; revises outlook to negative from stable,normal
MCO,Moody&#39;s Corporation,20121108,BRIEF-Moody's:New EU rules likely to boost international rail passenger services ,Nov 08 Deutsche Bahn AG  Societe Nationale des Chemins de Fer Français  & Ferrovie dello Stato Italiane,normal
MCO,Moody&#39;s Corporation,20121108,BRIEF-Moody's: Goodman's equity raising credit positive; rating unaffected ,Nov 8 Moody's: Goodman's equity raising credit positive; rating unaffected,normal
MCO,Moody&#39;s Corporation,20121108,BRIEF-Moody's assigns A1 underlying and Aaa enhanced ratings to Somerset ISD's (TX) Unlimited Tax Refunding Bonds  Series 2012; Aaa based on Texas PSF ,Nov 8 Moody's assigns A1 underlying and Aaa enhanced ratings to Somerset ISD's (TX) Unlimited Tax Refunding Bonds  Series 2012; Aaa based on Texas PSF,normal
NM,Navios Maritime Holdings Inc,20121108,TEXT-S&P Ratings - Navios Maritime Holdings Inc. ,===============================================================================,topStory
NYT,New York Times Company (The),20121108,PRESS DIGEST-New York Times business news - Nov 8 ,Nov 8 The following are the top stories on the New York Times business pages on Thursday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
JWN,Nordstrom Inc,20121108,Nordstrom loyalty  online plans cost more than expected ,Nordstrom Inc  on Thursday said it expected an even bigger impact on this year's gross margin from its efforts to win more customers through its loyalty program and anticipates spending more on its growing e-commerce business.,topStory
JWN,Nordstrom Inc,20121108,UPDATE 2-Nordstrom loyalty  online plans cost more than expected ,* Now sees bigger FY drop in gross margin  retail SGA expenses,normal
JWN,Nordstrom Inc,20121108,UPDATE 1-Nordstrom profit up  top end of forecast range intact ,Nov 8 Nordstrom Inc on Thursday reaffirmed the top end of its full-year sales and profit forecasts despite strong sales gains in the third quarter  and the high-end retailer's shares fell 2.9 percent in after-market trading.,normal
JWN,Nordstrom Inc,20121108,BRIEF-Nordstrom shares down after results ,NEW YORK  Nov 8 Nordstrom Inc :  * Shares down 2.9 percent in extended trade after results,normal
NVO,Novo Nordisk A/S,20121108,FDA panel recommends approval of Novo degludec insulin ,An advisory panel to the U.S. Food and Drug Administration on Thursday voted to recommend approval of Danish drugmaker Novo Nordisk's new ultra-long-acting insulin degludec  despite signals of possible cardiovascular risk.,topStory
NVO,Novo Nordisk A/S,20121108,UPDATE 2-FDA panel recommends approval of Novo degludec insulin ,Nov 8 An advisory panel to the U.S. Food and Drug Administration on Thursday voted to recommend approval of Danish drugmaker Novo Nordisk's new ultra-long-acting insulin degludec  despite signals of possible cardiovascular risk.,normal
NVO,Novo Nordisk A/S,20121108,FDA panel recommends approval of Novo's degludec insulin ,Nov 8 An advisory panel to the U.S. Food and Drug Administration on Thursday voted to recommend approval of Danish drugmaker Novo Nordisk's new ultra-long-acting insulin degludec  despite signals of possible cardiovascular risk.,normal
NVO,Novo Nordisk A/S,20121108,BRIEF-FDA advisory panel recommends approval of Novo's degludec insulin ,Nov 8 Novo Nordisk A/S :   * FDA advisory panel votes that cardiovascular outcomes trial of Novo nordisk's,normal
NVO,Novo Nordisk A/S,20121108,BRIEF-Balance seen in efficacy  hypoglycemia with Novo's degludec insulin - chair FDA panel ,Nov 8 Novo Nordisk A/S :  * Hypoglycemia risk of Novo nordisk's degludec insulin in trials did,normal
NVO,Novo Nordisk A/S,20121108,BRIEF-Cardiovascular risk for Novo nordisk's degludec insulin uncertain: chair of FDA panel ,Nov 8 Novo Nordisk A/S :  * FDA advisory panel acting chairperson says panel members generally agree that signal of cardiovascular risk was seen for Novo nordisk's,normal
NVO,Novo Nordisk A/S,20121108,FDA advisory panel debates value of Novo's degludec insulin ,An advisory panel to the U.S. Food and Drug Administration on Thursday focused on heart safety and risk of hypoglycemia as it reviewed Danish drugmaker Novo Nordisk's new ultra-ong-acting insulin degludec and considered whether to recommend its approval.,normal
NVO,Novo Nordisk A/S,20121108,FDA advisory panel debates value of Novo's degludec insulin ,Nov 8 An advisory panel to the U.S. Food and Drug Administration on Thursday focused on heart safety and risk of hypoglycemia as it  reviewed Danish drugmaker Novo Nordisk's  new ultra-ong-acting insulin degludec and considered whether to recommend its approval.,normal
OCN,Ocwen Financial Corporation,20121108,TEXT-Fitch cuts Ocwen IDR to 'B'; maintains watch negative ,Nov 8 - Fitch Ratings has downgraded Ocwen Financial Corporation's  (Ocwen) long-term Issuer Default Rating (IDR) to 'B' and maintained it on Rating Watch Negative. In addition  Fitch has placed Ocwen's short-term IDR on Rating Watch Negative. The rating actions reflect Ocwen's continued aggressive mortgage servicing acquisition strategy  and the impact of this strategy on the company's financial metrics  operational/integration flexibility and potential legal liability associated with acquired ,topStory
PSO,Pearson Plc,20121108,PRESS DIGEST - Financial Times - Nov 8 ,Barack Obama returned to Washington on Wednesday after his electoral victory over Mitt Romney  braced for emergency negotiations with Congress over the budgetary impasse that threatens to send the U.S. economy back into recession.,topStory
PFE,Pfizer Inc,20121108,Canada's Supreme Court strips Viagra patent from Pfizer ,OTTAWA Canada's Supreme Court struck down the patent on global pharmaceuticals giant Pfizer Inc's Viagra erectile dysfunction drug on Thursday and opened the door to generic competition.,topStory
PFE,Pfizer Inc,20121108,UPDATE 3-Canada's Supreme Court strips Viagra patent from Pfizer ,OTTAWA  Nov 8 Canada's Supreme Court struck down the patent on global pharmaceuticals giant Pfizer Inc's  Viagra erectile dysfunction drug on Thursday and opened the door to generic competition.,normal
PFE,Pfizer Inc,20121108,Pfizer expects generic competition in Canada after Viagra ruling ,OTTAWA Drug firm Pfizer Inc said on Thursday it expects generic drug companies to start producing their own versions of the erectile dysfunction drug Viagra after Canada's Supreme Court ruled the patent was invalid.,normal
PFE,Pfizer Inc,20121108,Pfizer expects generic competition in Canada after Viagra ruling ,OTTAWA  Nov 8 Drug firm Pfizer Inc said on Thursday it expects generic drug companies to start producing their own versions of the erectile dysfunction drug Viagra after Canada's Supreme Court ruled the patent was invalid.,normal
PFE,Pfizer Inc,20121108,Canada top court rules against Pfizer in Viagra patent case ,OTTAWA  Nov 8 Canada's Supreme Court on Thursday ruled against global drug giant Pfizer Inc  ruling that a patent on its Viagra erectile dysfunction drug was no longer valid.,normal
PM,Philip Morris International Inc,20121108,Czech Philip Morris 9-month revenue up on exports ,PRAGUE  Nov 8 Czech tobacco group Philip Morris CR's revenue rose 8.9 percent in the first nine months of 2012 to 9.6 billion crowns ($481.99 million) thanks to a rise in exports.,topStory
PJH,Prudential Financial Inc,20121108,TEXT - S&P comments on Prudential Financial ,Nov 8 - Standard & Poor's Ratings Services said today that its ratings on Prudential Financial Inc. (PRU; A/Stable/A-1) and its subsidiaries are unchanged following the company's release of its third-quarter results.  The company announced a net loss in its financial services businesses  attributable to Prudential Financial Inc. of $661 million for third-quarter  2012 despite pretax adjusted operating income of $982 million--an increase of  $168 million from the second quarter. Pretax adjusted o,topStory
PRH,Prudential Financial Inc,20121108,TEXT - S&P comments on Prudential Financial ,Nov 8 - Standard & Poor's Ratings Services said today that its ratings on Prudential Financial Inc. (PRU; A/Stable/A-1) and its subsidiaries are unchanged following the company's release of its third-quarter results.  The company announced a net loss in its financial services businesses  attributable to Prudential Financial Inc. of $661 million for third-quarter  2012 despite pretax adjusted operating income of $982 million--an increase of  $168 million from the second quarter. Pretax adjusted o,topStory
PRU,Prudential Financial Inc,20121108,TEXT - S&P comments on Prudential Financial ,Nov 8 - Standard & Poor's Ratings Services said today that its ratings on Prudential Financial Inc. (PRU; A/Stable/A-1) and its subsidiaries are unchanged following the company's release of its third-quarter results.  The company announced a net loss in its financial services businesses  attributable to Prudential Financial Inc. of $661 million for third-quarter  2012 despite pretax adjusted operating income of $982 million--an increase of  $168 million from the second quarter. Pretax adjusted o,topStory
RELX,RELX PLC,20121108,Reed Elsevier 9 month underlying sales up 4 pct ,AMSTERDAM  Nov 8 Professional publishing and events group Reed Elsevier Plc/NV  said underlying revenue growth for the first nine months of the year was up 4 percent  driven by each of its five business areas.,topStory
RBS,Royal Bank Scotland plc (The),20121108,Forward Calendar - U.S. corporate bond new issues ,Nov 8 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources:   *Denotes 144a private placement debt offering.  HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/5/2012                             COMPANY           AMT       MAT/DEBT  RTGS           MGRS                 PRICED *AbbVie           $500 mln   3-yr frn Baa1/A/NA      BARC/BAML/,topStory
RBS,Royal Bank Scotland plc (The),20121108,Forward Calendar - U.S. corporate bond new issues ,Nov 8 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources:   *Denotes 144a private placement debt offering.  HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/5/2012                             COMPANY           AMT       MAT/DEBT  RTGS           MGRS                 PRICED *AbbVie           $500 mln   3-yr frn Baa1/A/NA      BARC/BAML/,normal
SD,SandRidge Energy Inc,20121108,SandRidge investor seeks possible sale  ouster of CEO ,NEW YORK/HOUSTON One of SandRidge Energy Inc's  top shareholders called for the oil and gas company to consider selling itself and for Chief Executive Tom Ward to step down  saying management's strategy has been "incoherent  unpredictable and volatile.",topStory
SD,SandRidge Energy Inc,20121108,UPDATE 5-SandRidge investor seeks possible sale  ouster of CEO ,* TPG-Axon says company could be worth $12 to $14 per share,normal
SD,SandRidge Energy Inc,20121108,SandRidge has net loss  exploring Permian sale ,SandRidge Energy Inc  reported a third-quarter loss compared with a year-ago profit and said it is evaluating the sale of some of its assets in the Permian Basin.,normal
SD,SandRidge Energy Inc,20121108,SandRidge has net loss  exploring Permian sale ,Nov 8 SandRidge Energy Inc reported a third-quarter loss compared with a year-ago profit and said it is evaluating the sale of some of its assets in the Permian Basin.,normal
SD,SandRidge Energy Inc,20121108,Large SandRidge shareholder calls for possible sale  CEO removal ,Nov 8 One of SandRidge Energy Inc's top shareholders called for the oil and gas company to considering selling itself and for Chief Executive Tom Ward to step down  saying management's strategy has been "incoherent  unpredictable  and volatile.",normal
SNY,Sanofi,20121108,Sanofi eclipses Total as France's biggest company ,PARIS  Nov 8 Drugmaker Sanofi became France's biggest listed company on Thursday  surpassing oil giant Total as the top stock by market value on the CAC 40  a position Total had been commanding for 12 years.,topStory
SNE,Sony Corp Ord,20121108,Sony says online network chief quits ,TOKYO Sony Corp's network strategy chief  Tim Schaaff  will quit next month after leading the Japanese company's efforts to build a unified online content delivery platform to compete with Apple Inc  for the past seven years.,topStory
SNE,Sony Corp Ord,20121108,Sony says online network chief quits ,TOKYO  Nov 8 Sony Corp's network strategy chief  Tim Schaaff  will quit next month after leading the Japanese company's efforts to build a unified online content delivery platform to compete with Apple Inc for the past seven years.,normal
BID,Sotheby&#39;s,20121108,Georgia O'Keeffe  Rockwell works feature in American art auction ,NEW YORK Flower paintings and rare watercolors by Georgia O'Keeffe and six works by iconic American illustrator and painter Norman Rockwell will be among the highlights of Sotheby's sale of American art this month  the auction house said on Thursday.,topStory
BID,Sotheby&#39;s,20121108,New York auctions feature trophy works by top artists ,NEW YORK More than $1 billion worth of fine art  from Picassos and Monets to Rothkos and Richters  will be auctioned at Christie's and Sotheby's in sales that officials say are shaping up to be some of the biggest in years.,normal
S,Sprint Corporation,20121108,TEXT-S&P rates Sprint Nextel proposed notes 'B+' ,Nov 8 () - Standard & Poor's Ratings Services today assigned its 'B+' issue-level rating and '3' recovery rating to Overland Park  Kan.-based wireless carrier Sprint Nextel Corp.'s proposed senior notes due 2022 (undetermined amount). We have placed the proposed notes on CreditWatch with positive implications. The '3' recovery rating indicates expectations for meaningful (50% to 70%) recovery in the event of payment default. We expect the company to use net proceeds to repay upcoming maturities ,topStory
S,Sprint Corporation,20121108,BRIEF-Moody's rates Sprint's notes  continues review ,Nov 8 Sprint Nextel Corp :  * Moody's rates sprint's new notes; continues review,normal
S,Sprint Corporation,20121108,TEXT - Fitch rates Sprint Nextel ,Nov 8 - Fitch Ratings has assigned a 'B+/RR4' rating to  Sprint Nextel Corporation's (Sprint Nextel) benchmark-sized offering of senior  unsecured notes due 2022.  The proceeds from the offering are expected to be  used for redemption of outstanding debt.  All of Sprint Nextel's ratings remain  on Rating Watch Positive.  As of Sept. 30  2012 Sprint Nextel had approximately  $21.3 billion of debt outstanding.     The issuance is in line with the company's strategy to opportunistically  refinance ,normal
STO,Statoil ASA,20121108,UPDATE 1-Brazil oil  natgas output falls to near 3-year low ,* Crude output down to 1.92 mln bpd  lowest since July 2009,topStory
STO,Statoil ASA,20121108,Statoil denies interest in Whiting Petroleum ,OSLO  Nov 8 Norwegian oil and gas firm Statoil  is not interested in buying Whiting Petroleum  and any speculation about its interest was "unfounded and plain wrong " the company said on Thursday.,normal
STO,Statoil ASA,20121108,BRIEF-Whiting Petroleum up in premarket on report Statoil to make bid ,NEW YORK  Nov 8 Whiting Petroleum Corp :  * Whiting Petroleum up 11 percent premarket on report Statoil  may make bid,normal
STO,Statoil ASA,20121108,Statoil weighing offer for Whiting Petroleum-website ,OSLO  Nov 8 Norway's Statoil ASA has approached shale oil producer Whiting Petroleum Corp  with a possible bid worth up to $7.6 billion  benzinga.com said citing unnamed sources.,normal
SF,Stifel Financial Corporation,20121108,DIARY-U.S. MEETINGS / DAY AHEAD ,THOMSON REUTERS  Corporate Meetings for US Companies for Thursday  November 8  2012.       S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        Meetings - Weekly                   S&P 500 Earnings - Monthly          Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Reser,topStory
SLF,Sun Life Financial Inc,20121108,Sun Life sticks with C$2 billion profit goal for 2015 ,TORONTO Sun Life Financial  is sticking with an admittedly "ambitious" target of C$2 billion ($2.00 billion) in operating profit by 2015  despite a difficult outlook for financial markets  the Canadian insurer's chief executive said Thursday.,topStory
TGT,Target Corporation,20121108,Target to showcase CNET reviews as it courts gadget shoppers ,Target Corp is bringing reviews from tech news website CNET into its aisles in time for the holiday season as it tries to stand out from a crowd of stores and websites selling a mix of new gadgets.,topStory
TGT,Target Corporation,20121108,Target to showcase CNET reviews as it courts gadget shoppers ,Nov 8 Target Corp is bringing reviews from tech news website CNET into its aisles in time for the holiday season as it tries to stand out from a crowd of stores and websites selling a mix of new gadgets.,normal
TTM,Tata Motors Ltd,20121108,UPDATE 1-Tata Motors shares gain as margins at Jaguar Land Rover improve ,* Tata Motors still faces challenges in domestic market   (Adds comments from analysts),topStory
TEF,Telefonica SA,20121108,Cash-strapped Spaniards ditch their mobile phones ,MADRID A quarter of a million Spaniards ditched their mobile phones in September  with Telefonica  and Vodafone  bearing the brunt of cancellations by recession-hit consumers.,topStory
TEX,Terex Corporation,20121108,New Issue- Terex Corp sells $850 mln in notes ,Nov 8 Terex Corp on Thursday sold $850 million of senior notes  said IFR  a Thomson Reuters service.      An originally planned euro tranche was dropped.     Credit Suisse  Goldman Sachs  RBS  and UBS were the joint bookrunning managers for the sale.  BORROWER: TEREX  AMT $850 MLN    COUPON 6 PCT       MATURITY    05/15/2021    TYPE SR NTS     ISS PRICE 100      FIRST PAY   05/15/2013  MOODY'S B3      YIELD 6 PCT        SETTLEMENT  11/26/2012    S&P B-PLUS      SPREAD 464 BPS     PAY,topStory
TEVA,Teva Pharmaceutical Industries Limited,20121108,Canada's Supreme Court strips Viagra patent from Pfizer ,OTTAWA Canada's Supreme Court struck down the patent on global pharmaceuticals giant Pfizer Inc's Viagra erectile dysfunction drug on Thursday and opened the door to generic competition.,topStory
TEVA,Teva Pharmaceutical Industries Limited,20121108,UPDATE 3-Canada's Supreme Court strips Viagra patent from Pfizer ,OTTAWA  Nov 8 Canada's Supreme Court struck down the patent on global pharmaceuticals giant Pfizer Inc's  Viagra erectile dysfunction drug on Thursday and opened the door to generic competition.,normal
TEVA,Teva Pharmaceutical Industries Limited,20121108,Canada top court rules against Pfizer in Viagra patent case ,OTTAWA  Nov 8 Canada's Supreme Court on Thursday ruled against global drug giant Pfizer Inc  ruling that a patent on its Viagra erectile dysfunction drug was no longer valid.,normal
BX,The Blackstone Group LP,20121108,UPDATE 3-TPC gets higher offer from First Reserve  SK Capital ,Nov 8 Chemical maker TPC Group Inc said private equity firms First Reserve Corp and SK Capital Partners raised their offer for the company by 12.5 percent  a month after Innospec Inc and Blackstone Group LP's  rival bid.,topStory
BX,The Blackstone Group LP,20121108,Carlyle returns to Q3 profit as assets recover ,Carlyle Group LP  reported on Thursday a third-quarter profit  as the value of its assets increased and it cashed out on some of its private equity investments  returning money to investors.,normal
TRI,Thomson Reuters Corp,20121108,RLPC: Knowles leaves Natixis  heads to MUFG ,NEW YORK  Nov 8 Jeffrey Knowles  global head of loan syndications at Natixis  has left the firm  sources told Thomson Reuters LPC. He is expected to join Mitsubishi UFJ Financial Group (MUFG).,topStory
