ABMD,ABIOMED Inc,20150210,Abiomed beats fraud lawsuit as court encourages regulatory dealings ,A federal appeals court has thrown out a lawsuit accusing Abiomed Inc of deceiving shareholders about how it marketed its flagship heart pump  and said companies should be encouraged to deal with regulators without having to fear that such dealings could lead to securities fraud claims.,topStory
TWTR,Twitter Inc,20150210,Russian watchdog says Twitter ignoring its requests: TASS ,MOSCOW A Russian agency that regulates media said on Tuesday the micro-blogging site Twitter had refused 108 requests for account information and was "consistently not satisfying the requirements of the Russian law"  the state-run news agency TASS reported.,topStory
TWTR,Twitter Inc,20150210,Russian watchdog says Twitter ignoring its requests - TASS ,MOSCOW  Feb 10 A Russian agency that regulates media said on Tuesday the micro-blogging site Twitter had refused 108 requests for account information and was "consistently not satisfying the requirements of the Russian law"  the state-run news agency TASS reported.,normal
VRX,Valeant Pharmaceuticals International Inc,20150210,UPDATE 2-Valeant to buy bankrupt vaccine maker Dendreon ,Feb 10 Valeant Pharmaceuticals International Inc  will scoop up bankrupt cancer vaccine maker Dendreon Corp  after no additional qualified bids came forward by Tuesday's deadline  Valeant said.,topStory
VRX,Valeant Pharmaceuticals International Inc,20150210,Valeant appears poised to buy bankrupt vaccine maker Dendreon -sources ,Feb 10 Valeant Pharmaceuticals International Inc  appears poised to scoop up bankrupt cancer vaccine maker Dendreon Corp after another potential buyer dropped from the bidding process  three sources close to the sale told Reuters.,normal
DIS,Walt Disney Company (The),20150210,UPDATE 1-Market Chatter-Corporate finance press digest ,Feb 10 The following corporate finance-related stories were reported by media:,topStory
WFC,Wells Fargo & Company,20150210,BRIEF-Wells Fargo unhappy with TLAC proposal ,Feb 10 Wells Fargo & Co Chief Financial Officer John Shrewsberry said at a Tuesday investor conference:  * The bank is "not fully satisfied" with justification for the proposed total loss absorbing capacity buffers  * A review of energy portfolio could result in credit downgrades given fall in oil prices  * Consumer savings on lower gasoline prices not translating into a proportional increase in spending  * Fed's rate-rising cycle could be slower and longer than previous ones,topStory
WU,Western Union Company (The),20150210,Western Union to cut prices for money transfers within U.S. ,Western Union Co  said it would cut prices for money transfers within the United States to help fend off fierce competition and would buy back up to $1.2 billion of shares.,topStory
WU,Western Union Company (The),20150210,UPDATE 2-Western Union to cut prices for money transfers within U.S. ,* Forecasts 2015 profit above analysts' estimates   (Adds details from conference call  CFO and analyst comments  background; updates shares),normal
WU,Western Union Company (The),20150210,Western Union's profit rises 28 pct ,Feb 10 Western Union Co  the world's largest money-transfer company  reported a 28 percent rise in quarterly profit  helped by cost cuts and a lower tax bill.,normal
WTM,White Mountains Insurance Group Ltd,20150210,Fitch Revises OneBeacon's Outlook to Negative; Affirms White Mountains and Sirius ,(The following statement was released by the rating agency) CHICAGO  February 10 (Fitch) Fitch Ratings has affirmed all ratings of OneBeacon  Insurance Group  Ltd.'s (NYSE: OB) (OneBeacon) holding company and operating  subsidiaries. Fitch has also revised the Rating Outlook to Negative from Stable  for the company's 'BBB+' Issuer Default Rating (IDR) and 'A' Insurer Financial  Strength (IFS) ratings.  Concurrently  Fitch has affirmed with a Stable Outlook the IDRs  debt  and IFS  ratings for Wh,topStory
YELP,Yelp Inc,20150210,Yelp expands into online food ordering with Eat24 purchase ,Yelp Inc  said it bought online food-ordering service Eat24  expanding its business beyond consumer reviews into one of the hottest sectors of the online economy.,topStory
YELP,Yelp Inc,20150210,UPDATE 2-Yelp expands into online food ordering with Eat24 purchase ,* Shares up 6.5 percent in afternoon trading   (Adds background  analysts comment  updates shares),normal
YELP,Yelp Inc,20150210,Yelp buys online food ordering firm  raises revenue forecast ,Feb 10 Yelp Inc  operator of the consumer review website Yelp.com  said it acquired an online food ordering service provider and also raised its revenue forecast for the current quarter.,normal
