AMD,Advanced Micro Devices Inc,20150729,Bounce in AMD's stock may put pressure on short sellers ,SAN FRANCISCO A two-day rally in the lowly shares of Advanced Micro Devices Inc may be squeezing short sellers  who recently increased their bets against the chipmaker.,topStory
VIV,Telefonica Brasil SA,20150729,UPDATE 1-Telefonica Brasil posts lower profit  GVT bolsters EBITDA ,SAO PAULO  July 29 Brazilian phone company Telefonica Brasil SA posted a sharper than expected drop in quarterly net income on Wednesday  but its acquisition of broadband provider GVT gave operating profit a boost.,normal
VIV,Telefonica Brasil SA,20150729,BRIEF-Vivendi exchanges Telefonica Brasil shares for Telefonica shares ,* Announces to have entered into agreement with Telefonica  to exchange 58.4 million of its Telefonica Brasil  preferred shares (representing 3.5 percent of share capital) for 46.0 million ordinary shares of Telefonica  representing 0.95 percent of the Spanish telecoms operator's share capital  Further company coverage:    (Gdynia Newsroom),normal
VIV,Telefonica Brasil SA,20150729,Telefonica Brasil posts 56 pct drop in Q2 net profit ,SAO PAULO  July 29 Brazilian phone company Telefonica Brasil SA said on Wednesday that second-quarter net profit fell 56.4 percent from a year earlier to 932.9 million reais ($259.14 million)  missing an average forecast of 1.018 billion in a Reuters poll.,normal
TOT,Total SA,20150729,Total beats profit forecast  cost cuts to exceed targets ,PARIS French oil company Total posted higher than expected second-quarter profit on Wednesday  helped by increased refining margins in Europe and accelerated cost cuts to adjust to a low oil price environment. | Video ,topStory
TM,Toyota Motor Corp Ltd Ord,20150729,Subaru’s secret: Low-paid foreign workers power an export boom ,OTA  Japan Yasuyuki Yoshinaga was in a good mood at the early May earnings briefing in Tokyo. The top executive at the maker of Subaru automobiles joked that he would have to wear a helmet on an upcoming trip to the United States. The reason: Dealers were going to hit him over the head for not supplying them with enough of his cars to sell. | Video ,normal
TM,Toyota Motor Corp Ltd Ord,20150729,PRESS DIGEST- Wall Street Journal - July 29 ,July 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
TM,Toyota Motor Corp Ltd Ord,20150729,RPT-SPECIAL REPORT-Subaru's secret: Low-paid foreign workers power an export boom ,OTA  Japan  July 28 Yasuyuki Yoshinaga was in a good mood at the early May earnings briefing in Tokyo. The top executive at the maker of Subaru automobiles joked that he would have to wear a helmet on an upcoming trip to the United States. The reason: Dealers were going to hit him over the head for not supplying them with enough of his cars to sell.,normal
TRP,TransCanada Corporation,20150729,Canada PM not hopeful that Obama will approve Keystone pipeline ,OTTAWA Canadian Prime Minister Stephen Harper said on Wednesday he was not hopeful that the United States would approve the northern leg of TransCanada Corp's  controversial Keystone XL pipeline.,topStory
TRP,TransCanada Corporation,20150729,White House declines to provide update on Keystone pipeline review ,WASHINGTON The White House on Wednesday declined to provide an update on the review of the proposed Keystone XL pipeline  saying the U.S. State Department was handling that process.,normal
TRP,TransCanada Corporation,20150729,UPDATE 1-Canada PM not hopeful that Obama will approve Keystone pipeline ,OTTAWA  July 29 Canadian Prime Minister Stephen Harper said on Wednesday he was not hopeful that the United States would approve the northern leg of TransCanada Corp's  controversial Keystone XL pipeline.,normal
TRP,TransCanada Corporation,20150729,WHITE HOUSE SAYS KEYSTONE XL ISSUE WILL BE RESOLVED BY THE END OF THE OBAMA ADMINISTRATION ,WHITE HOUSE SAYS KEYSTONE XL ISSUE WILL BE RESOLVED BY THE END OF THE OBAMA ADMINISTRATION,normal
TWTR,Twitter Inc,20150729,US STOCKS-U.S. stocks higher after Fed notes improving economy ,* Indexes up: Dow 0.71 pct  S&P 0.71 pct  Nasdaq 0.42 pct   (Updates with reaction to Fed statement),topStory
TWTR,Twitter Inc,20150729,US STOCKS-Wall St set to open little changed ahead of Fed statement ,* Futures up: Dow 36 pts  S&P 2 pts  Nasdaq 7 pts   (Adds details  comment  updates prices),normal
TWTR,Twitter Inc,20150729,Twitter shares fall as growth of monthly users slows ,Twitter Inc's  shares fell more than 11 percent in extended trade on Tuesday after the microblogging company said its number of monthly average users grew at the slowest pace since it went public in 2013.,normal
UAL,United Continental Holdings Inc,20150729,United Airlines data breached by China-backed hackers: Bloomberg ,United Continental Holdings Inc has been the target of a data breach linked to a group of China-backed hackers  Bloomberg reported.,topStory
UAL,United Continental Holdings Inc,20150729,United Airlines data breached by China-backed hackers - Bloomberg ,July 29 United Continental Holdings Inc  has been the target of a data breach linked to a group of China-backed hackers  Bloomberg reported.,normal
UMC,United Microelectronics Corporation,20150729,BRIEF-Taiwan's UMC says Q2 net profit T$4.6 billion (market consensus T$3.61 billion) ,* Says Q2 net profit T$4.6 billion (market consensus T$3.61 billion)  Source text for Eikon: [ID:http://bit.ly/1DarNV8] Further company coverage:    (Reporting by J.R. Wu),topStory
VEDL,Vedanta  Limited,20150729,UPDATE 2-India's Vedanta looks to restart Goa mines by October ,* In talks with regulators and exchanges for Cairn merger   (Adds CEO comments  details),topStory
V,Visa Inc,20150729,Merchants seek to void $6 billion Visa  MasterCard  AmEx settlements ,NEW YORK Dozens of retailers are seeking to void nearly $6 billion of U.S. antitrust settlements with Visa Inc   MasterCard Inc  and American Express Co  after learning that opposing lawyers exchanged confidential information  potentially tainting the accords.,topStory
V,Visa Inc,20150729,Merchants seek to void $6 bln Visa  MasterCard  AmEx settlements ,NEW YORK  July 29 Dozens of retailers are seeking to void nearly $6 billion of U.S. antitrust settlements with Visa Inc  MasterCard Inc and American Express Co after learning that opposing lawyers exchanged confidential information  potentially tainting the accords.,normal
WLL,Whiting Petroleum Corporation,20150729,Whiting cuts budget less than two weeks after raising it ,Whiting Petroleum Corp cut its 2015 budget on Wednesday less than two weeks after raising it  a turnaround that underscores the uncertainty engulfing the energy industry while crude prices sit roughly 50 percent below last year's levels.,topStory
WLL,Whiting Petroleum Corporation,20150729,Whiting posts quarterly loss as low oil prices offset output jump ,July 29 Whiting Petroleum Corp  North Dakota's largest oil producer  posted a quarterly net loss on Wednesday as plunging crude prices offset a production jump.,normal
XPO,XPO Logistics Inc,20150729,French court clears XPO to press ahead with Norbert merger ,PARIS A Paris commercial court gave U.S. group XPO Logistics the green light on Wednesday to proceed with its post-purchase integration of French transport firm Norbert Dentressangle   throwing out an injunction sought by a U.S. hedge fund.,topStory
XPO,XPO Logistics Inc,20150729,French court clears XPO to press ahead with Norbert merger ,PARIS  July 29 A Paris commercial court gave U.S. group XPO Logistics the green light on Wednesday to proceed with its post-purchase integration of French transport firm Norbert Dentressangle  throwing out an injunction sought by a U.S. hedge fund.,normal
YELP,Yelp Inc,20150729,Yelp needs help  and buyout may be the answer ,Selling itself could be one of the few options left for Yelp Inc   which is struggling to win advertising dollars in an increasingly crowded market that already includes Google Inc   TripAdvisor Inc  and GrubHub Inc .,topStory
YELP,Yelp Inc,20150729,Yelp needs help  and buyout may be the answer ,July 29 Selling itself could be one of the few options left for Yelp Inc  which is struggling to win advertising dollars in an increasingly crowded market that already includes Google Inc  TripAdvisor Inc  and GrubHub Inc.,normal
YELP,Yelp Inc,20150729,US STOCKS-Wall St set to open little changed ahead of Fed statement ,* Futures up: Dow 36 pts  S&P 2 pts  Nasdaq 7 pts   (Adds details  comment  updates prices),normal
