AMZN,Amazoncom Inc,20150204,Deals of the day- Mergers and acquisitions ,Feb 4 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Wednesday:,topStory
TM,Toyota Motor Corp Ltd Ord,20150204,Carmakers eye engineering firm  ex-regulator for Takata airbag probe ,DETROIT  Feb 4 A consortium of 10 automakers led by Toyota Motor Corp plans to hire an independent engineering firm and a former top U.S. auto safety regulator to investigate a rash of problems with air bags supplied by Japan's Takata Corp   the group said on  Wednesday.,normal
TM,Toyota Motor Corp Ltd Ord,20150204,Toyota lifts profit outlook as weak yen offsets Japan slump ,TOKYO Toyota Motor Corp lifted its operating profit guidance on Wednesday in a widely expected move  as a weaker yen increases the value of sales overseas and makes up for slumping demand at home.,normal
TM,Toyota Motor Corp Ltd Ord,20150204,UPDATE 2-Toyota lifts profit outlook as weak yen offsets Japan slump ,* Sees FY op profit at 2.7 trln yen vs 2.5 trln yen previously,normal
TM,Toyota Motor Corp Ltd Ord,20150204,Toyota raises profit outlook as weak yen offsets Japan slump ,TOKYO  Feb 4 Toyota Motor Corp lifted its operating profit guidance by 8 percent on Wednesday as a weaker yen increases the value of sales overseas and makes up for slumping demand at home.,normal
TM,Toyota Motor Corp Ltd Ord,20150204,TABLE-Toyota Motor -9-MTH group results (SEC) ,Feb 4 (Reuters)-            Toyota Motor Corp            CONSOLIDATED FINANCIAL HIGHLIGHTS       (in billions of yen unless specified)                     9 months ended      9 months ended       Year to                    Dec 31  2014        Dec 31  2013     Mar 31  2015                       LATEST             YEAR-AGO          COMPANY                         RESULTS             RESULT          FORECAST      Sales            20.12 trln          19.12 trln       27.00 trln                      ,normal
TM,Toyota Motor Corp Ltd Ord,20150204,Australia new vehicle sales steady in Jan-VFACTS ,SYDNEY  Feb 4 Sales of new vehicles in Australia started 2015 on a steady note as strong demand for sports utilities helped offset persistent weakness in the passenger car sector  industry data showed on Wednesday.,normal
TROX,Tronox Limited,20150204,Tronox to buy FMC's soda ash unit for $1.64 billion ,Diversified chemicals maker Tronox Ltd  said it would acquire FMC Corp's  Alkali Chemicals division for $1.64 billion to expand in faster-growing developing economies.,topStory
TROX,Tronox Limited,20150204,UPDATE 1-Tronox to buy FMC's soda ash unit for $1.64 bln ,Feb 3 Diversified chemicals maker Tronox Ltd  said it would acquire FMC Corp's Alkali Chemicals division for $1.64 billion to expand in faster-growing developing economies.,normal
TROX,Tronox Limited,20150204,Tronox to buy FMC's Alkali Chemicals unit for $1.64 bln ,Feb 3 Diversified chemical maker Tronox Ltd  said it would acquire FMC Corp's Alkali Chemicals business for $1.64 billion.,normal
USB,US Bancorp,20150204,U.S. Bancorp to pay $18 mln to customers of failed Peregrine ,U.S. Bancorp agreed to pay $18 million to former customers of Peregrine Financial Group Inc to resolve claims that the large U.S. bank aided a massive fraud by the failed futures brokerage's now-imprisoned founder  Russell Wasendorf Sr.,topStory
USB,US Bancorp,20150204,UPDATE 1-U.S. Bancorp to pay $18 mln to customers of failed Peregrine ,NEW YORK/WASHINGTON  Feb 4 U.S. Bancorp agreed to pay $18 million to former customers of Peregrine Financial Group Inc to resolve claims that the large U.S. bank aided a massive fraud by the failed futures brokerage's now-imprisoned founder  Russell Wasendorf Sr.,normal
UMC,United Microelectronics Corporation,20150204,BRIEF-Taiwan's UMC orders equipment worth T$530.6 million ,* Says orders equipment worth T$530.6 million ($16.90 million) from Lam Research International SARL,topStory
UMC,United Microelectronics Corporation,20150204,BRIEF-Taiwan's UMC orders equipment worth T$502 million ,* Says orders equipment worth T$502 million ($15.98 million) from Applied Materials South East Asia Pte. Ltd.,normal
UTX,United Technologies Corporation,20150204,United Tech may see $75 million cost benefit from lower commod prices - CFO ,United Technologies Corp could see savings of as much as $75 million this year from lower prices for oil and other commodities  although it may have to cede some of those benefits  to customers  its finance chief said on Wednesday.,topStory
UTX,United Technologies Corporation,20150204,UPDATE 2-United Tech may see $75 mln cost benefit from lower commod prices-CFO ,Feb 4 United Technologies Corp could see savings of as much as $75 million this year from lower prices for oil and other commodities  although it may have to cede some of those benefits  to customers  its finance chief said on Wednesday.,normal
UTX,United Technologies Corporation,20150204,United Tech sees possible cost benefit from low commodity prices ,Feb 4 United Technologies Corp could see savings of as much as $75 million this year from lower prices for oil and other commodities  although it may have to cede some of those benefits  to customers  its finance chief said on Wednesday.,normal
UTX,United Technologies Corporation,20150204,BRIEF-United FY 2014 revenue up 70 pct yoy ,* Said on Tuesday that its estimated FY 2014 revenue is over 19 million zlotys ($5.2 million)  up 70 pct year on year,normal
WMT,Wal-Mart Stores Inc,20150204,Deals of the day- Mergers and acquisitions ,Feb 4 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Wednesday:,topStory
DIS,Walt Disney Company (The),20150204,US STOCKS-Wall St ends lower with oil prices  renewed Greece worries ,* Indexes: Dow up 0.04 pct  S&P down 0.4 pct  Nasdaq down 0.2 pct   (Updates to close),topStory
DIS,Walt Disney Company (The),20150204,US STOCKS-S&P  Nasdaq slip after 2-day run up; energy drops with oil ,* Indexes: Dow up 0.1 pct  S&P off 0.3 pct  Nasdaq down 0.1 pct   (Updates to afternoon),normal
DIS,Walt Disney Company (The),20150204,US STOCKS-S&P  Nasdaq down after 2-day run up; biotechs  energy fall ,* Indexes: Dow up 0.1 pct  S&P off 0.4 pct  Nasdaq down 0.2 pct   (Updates to midday  changes byline),normal
DIS,Walt Disney Company (The),20150204,US STOCKS-Wall St down after 2-day run after ADP as energy drags ,* Indexes off: Dow 0.2 pct  S&P 0.47 pct  Nasdaq 0.59 pct   (Updates to market open),normal
DIS,Walt Disney Company (The),20150204,US STOCKS-Wall St to open lower after 2-day run  ADP data ,* Futures off: Dow 18 pts  S&P 6.25 pts  Nasdaq 14.5 pts   (Adds ADP data  quote),normal
DIS,Walt Disney Company (The),20150204,'Frozen' still hot as Disney profit beats forecasts ,Walt Disney Co's  quarterly profit topped Wall Street's  estimates as its blockbuster animated film "Frozen" heated up home entertainment and toy sales  and visitors flocked to the company's U.S. theme parks. | Video ,normal
WBK,Westpac Banking Corporation,20150204,UPDATE 1-Westpac joins Commonwealth Bank in cutting home loan rates ,SYDNEY  Feb 4 Two of Australia's big four banks lowered their floating mortgage rates on Wednesday  a day after the Reserve Bank of Australia cut its cash rate by a quarter point.,topStory
WHR,Whirlpool Corporation,20150204,Whirlpool could take $1 billion revenue hit from strong dollar: CEO ,CHICAGO If the U.S. dollar stays at current levels  Whirlpool Corp's  revenue could take a hit of up $1 billion in 2015  but the world's largest appliance maker expects to protect its profits  Chief Executive Officer Jeff Fettig told Reuters on Wednesday.,topStory
WHR,Whirlpool Corporation,20150204,Whirlpool expects robust U.S. growth  but dollar to drag ,CHICAGO Whirlpool Corp  on Wednesday said 2015 would be another solid year for U.S. sales of its washers  stoves and refrigerators because of the housing market's recovery and low oil prices  and its shares rose 6 percent.,normal
WHR,Whirlpool Corporation,20150204,UPDATE 2-Whirlpool expects robust U.S. growth  but dollar to drag ,CHICAGO  Feb 4 Whirlpool Corp on Wednesday said 2015 would be another solid year for U.S. sales of its washers  stoves and refrigerators because of the housing market's recovery and low oil prices  and its shares rose 6 percent.,normal
WHR,Whirlpool Corporation,20150204,Whirlpool profit drops due to acquisition costs ,CHICAGO  Feb 4 Whirlpool Corp on Wednesday posted a lower quarterly profit  hurt by costs from two recent acquisitions.,normal
YUM,Yum! Brands Inc,20150204,UPDATE 2-Yum's China sales fall less than expected  shares rise ,Feb 4 Yum Brands Inc  owner of KFC and Pizza Hut   said on Wednesday that sales at established restaurants in its biggest market China fell less than feared in the fourth quarter as it fights to recover from a food scandal involving a minor supplier  and its shares jumped 2.1 percent.,topStory
ZTS,Zoetis Inc,20150204,Hedge fund Pershing Square wins board seat at Zoetis ,BOSTON Hedge fund Pershing Square Capital Management won one seat on the board of directors of animal health company Zoetis Inc and agreed with management to select a second "mutually agreeable" director  Zoetis said on Wednesday.,topStory
ZTS,Zoetis Inc,20150204,Exclusive: Ackman poised to win Zoetis board seats - sources ,Hedge fund Pershing Square Capital Management is pressing for seats on animal health company Zoetis Inc's board of directors  with an eye to pushing through cost cuts and a possible merger  according to sources familiar with the negotiations.,normal
ZTS,Zoetis Inc,20150204,Hedge fund Pershing Square wins board seat at Zoetis ,BOSTON  Feb 4 Hedge fund Pershing Square Capital Management won one seat on the board of directors of animal health company Zoetis Inc and agreed with management to select a second "mutually agreeable" director  Zoetis said on Wednesday.,normal
