AMZN,Amazoncom Inc,20150211,Exclusive-Survey: Trouble for Amazon Prime's two-day deliveries? ,SAN FRANCISCO/CHICAGO Amazon.com Inc packages ordered by its Prime members regularly arrived late over the holidays  a Reuters/Ipsos survey shows  reflecting the strain on the logistics network that transformed the company into an e-commerce powerhouse.,topStory
RAD,Rite Aid Corporation,20150211,US STOCKS-Wall St flat before Greek deal talks; Apple lifts Nasdaq ,* Indexes: Dow off 0.23 pct  S&P off 0.01 pct  Nasdaq up 0.39 pct   (Updates to late morning  updates earnings data),normal
RAD,Rite Aid Corporation,20150211,US STOCKS-Wall St little changed ahead of Greek deal talks ,* Indexes off: Dow off 0.28 pct  S&P 0.07 pct  Nasdaq up 0.21 pct   (Updates to market open),normal
RAD,Rite Aid Corporation,20150211,US STOCKS-Wall St set for flat open; Greek deal talks on tap ,* Futures: Dow down 30 pts  S&P off 1.5 pts  Nasdaq up 2 pts   (Adds quote  updates prices),normal
RAD,Rite Aid Corporation,20150211,US STOCKS-Futures little changed ahead of Greek debt talks ,NEW YORK  Feb 11 U.S. stock index futures were little changed on Wednesday  after the S&P 500 climbed to its highest level of the year and ahead of a meeting of euro zone finance ministers to discuss plans for Greece's debt.,normal
RAD,Rite Aid Corporation,20150211,Rite Aid to buy pharmacy benefit manager EnvisionRx for $2 bln ,Feb 11 Drugstore operator Rite Aid Corp  said it would buy privately held pharmacy benefit manager EnvisionRx for about $2 billion.,normal
SJR,Shaw Communications Inc,20150211,Canada's Shaw Comms reorganizes service unit; to pay workers to move ,TORONTO  Feb 11 Canadian cable company Shaw Communications Inc said on Wednesday it will shut customer care facilities in its Alberta stronghold while beefing up facilities elsewhere  and offered 1 600 workers C$7 500 ($5 936) each to follow their jobs.,topStory
S,Sprint Corporation,20150211,Sprint says U.S. telecoms will invest despite stronger net neutrality ,SAN FRANCISCO With its surprise endorsement of a stricter U.S. regulatory regime for Internet service providers  Sprint Corp  wanted to show that tougher rules would not stop rival telecom players from investing  Chief Technology Officer Stephen Bye said in an interview.,topStory
SLF,Sun Life Financial Inc,20150211,Sun Life posts lower profit  says 2015 on track ,TORONTO Sun Life Financial  reported a lower fourth-quarter profit on Wednesday  but the Canadian insurer said it was on track to exceed its 2015 earnings target.,topStory
SLF,Sun Life Financial Inc,20150211,UPDATE 1-Sun Life posts lower profit  says 2015 on track ,TORONTO  Feb 11 Sun Life Financial  reported a lower fourth-quarter profit on Wednesday  but the Canadian insurer said it was on track to exceed its 2015 earnings target.,normal
SU,Suncor Energy  Inc,20150211,CANADA STOCKS-TSX steady as market awaits word on Greek talks ,TORONTO  Feb 11 Canada's main stock index was little changed on Wednesday as the market braced for the outcome of a euro zone finance ministers meeting where a debt deal for Greece will be discussed  while oil company shares dropped as crude prices were again pressured.,topStory
TEF,Telefonica SA,20150211,France's Sigfox raises $115 million for 'Internet of Things' network ,LONDON French startup Sigfox has raised $115 million from seven heavyweight investors to help it build new networks globally to connect everything from washing machines to smart meters to the Internet.,topStory
TEVA,Teva Pharmaceutical Industries Limited,20150211,Teva's internal investigation finds possible corruption ,Israeli drugmaker Teva Pharmaceutical Industries Inc said it found some business practices and transactions could violate the U.S. Foreign Corrupt Practices Act.,topStory
TEVA,Teva Pharmaceutical Industries Limited,20150211,Teva's internal investigation finds possible corruption ,Feb 11 Israeli drugmaker Teva Pharmaceutical Industries Inc  said it found some business practices and transactions could violate the U.S. Foreign Corrupt Practices Act.,normal
TMO,Thermo Fisher Scientific Inc,20150211,Strong dollar  low oil remain net positives: Fed's Fisher ,NEW YORK Short-term currency moves should not drive the Federal Reserve's policy decisions and  for now  the strong dollar and low global oil prices are a net positive for the U.S. economy  Dallas Fed President Richard Fisher said on Wednesday.,topStory
TMO,Thermo Fisher Scientific Inc,20150211,Strong dollar  low oil remain net positives -Fed's Fisher ,NEW YORK  Feb 11 Short-term currency moves should not drive the Federal Reserve's policy decisions and  for now  the strong dollar and low global oil prices are a net positive for the U.S. economy  Dallas Fed President Richard Fisher said on Wednesday.,normal
TWX,Time Warner Inc,20150211,Time Warner profit beats as revenue rises in Turner  HBO units ,Time Warner Inc reported a better-than-expected quarterly profit  helped by higher subscription fees for channels under its Turner Broadcasting and HBO units. | Video ,topStory
TWX,Time Warner Inc,20150211,UPDATE 2-Time Warner profit beats as revenue rises in Turner  HBO units ,Feb 11 Time Warner Inc reported a better-than-expected quarterly profit  helped by higher subscription fees for channels under its Turner Broadcasting and HBO units.,normal
TWX,Time Warner Inc,20150211,Time Warner profit falls 27 pct on weak studio revenue ,Feb 11 Time Warner Inc reported a 27 percent fall in quarterly profit  hurt by a decline in revenue in its Warner Bros movie studio business.,normal
TRP,TransCanada Corporation,20150211,TransCanada says to decide on Quebec oil terminal by March 31 ,CALGARY  Alberta  Feb 11 Pipeline company TransCanada Corp said on Wednesday it will decide by March 31 whether to proceed with an oil export terminal in Quebec that has come under fire from environmentalists who say it poses a threat to beluga whales.,topStory
TRP,TransCanada Corporation,20150211,UPDATE 1-TransCanada opposes U.S. EPA on Keystone carbon footprint ,Feb 11 TransCanada Corp rejected the U.S. Environmental Protection Agency's inference that its Keystone XL pipeline would help increase the rate of oil sands production even at lower oil prices  and raise greenhouse gas emissions.,normal
TRP,TransCanada Corporation,20150211,TransCanada disagrees with U.S. EPA on Keystone carbon footprint ,TransCanada Corp said it rejected the U.S. Environmental Protection Agency's inference that its Keystone XL pipeline would increase the rate of oil sands production at lower oil prices  and raise greenhouse gas emissions.,normal
TRP,TransCanada Corporation,20150211,TransCanada disagrees with U.S. EPA on Keystone carbon footprint ,Feb 11 TransCanada Corp said it rejected the U.S. Environmental Protection Agency's inference that its Keystone XL pipeline would increase the rate of oil sands production at lower oil prices  and raise greenhouse gas emissions.,normal
VRX,Valeant Pharmaceuticals International Inc,20150211,Valeant to buy bankrupt vaccine maker Dendreon ,Valeant Pharmaceuticals International Inc  will scoop up bankrupt cancer vaccine maker Dendreon Corp  after no additional qualified bids came forward by Tuesday's deadline  Valeant said.,topStory
VRX,Valeant Pharmaceuticals International Inc,20150211,Valeant to buy bankrupt vaccine maker Dendreon ,Valeant Pharmaceuticals International Inc  will scoop up bankrupt cancer vaccine maker Dendreon Corp   after no additional qualified bids came forward by Tuesday's deadline  Valeant said.,normal
VRX,Valeant Pharmaceuticals International Inc,20150211,REFILE-UPDATE 2-Valeant to buy bankrupt vaccine maker Dendreon ,Feb 10 Valeant Pharmaceuticals International Inc  will scoop up bankrupt cancer vaccine maker Dendreon Corp  after no additional qualified bids came forward by Tuesday's deadline  Valeant said.,normal
WMT,Wal-Mart Stores Inc,20150211,US STOCKS-Wall St ends flat while investors await Greece  Ukraine news ,* Indexes: Dow off 0.04 pct  S&P flat  Nasdaq up 0.28 pct   (Updates to late afternoon  adds commentary),topStory
WMT,Wal-Mart Stores Inc,20150211,Wal-Mart says to invest $269 million in Canada ,Wal-Mart Stores Inc  said it would invest about C$340 million ($269 million) this fiscal year to expand in Canada  lower than what it had budgeted for last year.,normal
WMT,Wal-Mart Stores Inc,20150211,UPDATE 1-Wal-Mart says to invest C$340 mln in Canada ,Feb 11 Wal-Mart Stores Inc said it would invest about C$340 million ($269.16 million) this fiscal year to expand in Canada  lower than what it had budgeted for last year.,normal
WMT,Wal-Mart Stores Inc,20150211,Wal-Mart says to invest C$340 mln in Canada ,Feb 11 Wal-Mart Stores Inc said it would invest about C$340 million ($269.16 million) to boost its presence in Canada this fiscal year.,normal
WCG,WellCare Health Plans Inc,20150211,Insurer WellCare's profit beats estimates on strong enrollments ,U.S. health insurer WellCare Health Plans Inc's  fourth-quarter adjusted profit marginally beat average analysts' estimate  as the company maintained its strong enrollment rate.,topStory
WCG,WellCare Health Plans Inc,20150211,UPDATE 2-Insurer WellCare's profit beats estimates on strong enrollments ,Feb 11 U.S. health insurer WellCare Health Plans Inc's fourth-quarter adjusted profit marginally beat average analysts' estimate  as the company maintained its strong enrollment rate.,normal
WCG,WellCare Health Plans Inc,20150211,Severe flu season sends WellCare Health profit down 82 pct ,Feb 11 Health insurer WellCare Health Plans Inc  reported a 82 percent fall in quarterly profit  due to expenses related to severe flu season in the United States.,normal
XIN,Xinyuan Real Estate Co Ltd,20150211,Fitch: Xinyuan's Ratings Not Impacted By Consent Solicitation ,(The following statement was released by the rating agency) HONG KONG  February 11 (Fitch) Fitch Ratings says today that ratings on Xinyuan  Real Estate Co.  Ltd. (Xinyuan; B+/Negative) and its bonds due in 2018 and 2019  will not be impacted even if the proposed amendments in the consent solicitation  announced on 3 February 2014 are adopted. The principal purpose of the consent solicitation is to amend the indentures of  the company's 2018 and 2019 notes to give the company more flexibility in,topStory
AUY,Yamana Gold Inc,20150211,Yamana Gold reports fourth-quarter loss on impairment charges ,Feb 11 Yamana Gold Inc reported a fourth-quarter loss on Wednesday after writing down the value of mines in Brazil and Chile.,topStory
AUY,Yamana Gold Inc,20150211,UPDATE 1-Yamana Gold to build gold-silver mine in Argentina ,Feb 11 Yamana Gold Inc will go ahead with the construction of a mine at its Cerro Moro gold and silver project in Argentina  the Toronto-based gold miner said on Wednesday.,normal
AUY,Yamana Gold Inc,20150211,Yamana Gold to build gold-silver mine in Argentina ,Feb 11 Yamana Gold Inc will go ahead with building a mine at its Cerro Morro gold and silver project in Argentina  the Toronto-based gold miner said on Wednesday.,normal
BTG,B2Gold Corp,20150211,Two security guards shot dead at B2Gold Philippines mine ,VANCOUVER Two security guards at B2Gold Corp's Masbate gold mine in the Philippines have been shot dead  the small Canadian gold mining company said on Wednesday  eight months after a security guard was shot dead at the same mine.,topStory
BTG,B2Gold Corp,20150211,Two security guards shot dead at B2Gold Philippines mine ,VANCOUVER  Feb 11 Two security guards at B2Gold Corp's Masbate gold mine in the Philippines have been shot dead  the small Canadian gold mining company said on Wednesday  eight months after a security guard was shot dead at the same mine.,normal
PLG,Platinum Group Metals Ltd,20150211,Canada's PGM expects new mine to produce 275 000 oz by 2017 ,CAPE TOWN  Feb 11 Canadian miner Platinum Group Metals (PGM) plans to begin production at its new $500 million South African mine by next year before ramping up to full production of 275 000 ounces a year in 2017  its CEO said.,topStory
