ALRM,Alarmcom Holdings Inc,20151105,BRIEF-Securitas and Alarm.com in strategic partnership ,* Securitas and Alarm.com have entered into a strategic partnership to launch Alarm.com's cloud-based security and automation services in Europe,topStory
TU,TELUS Corporation,20151105,UPDATE 2-Telus eyes job cuts as wireless growth slows; shares fall ,TORONTO  Nov 5 Shares in Telus Corp  one of Canada's three big telecoms providers  fell on Thursday after the company reported slowing wireless growth and forecast higher restructuring costs as it announced job cuts.,normal
TU,TELUS Corporation,20151105,Telus wireless  Internet growth boost revenue  profit ,TORONTO  Nov 5 Telus Corp  one of Canada's three big telecoms providers  reported a 4.2 percent rise in quarterly revenue on Thursday  helped by continued strength in its wireless business as well as Internet service growth.,normal
TIME,Time Inc,20151105,Time Inc cuts forecast  says print trends worse than feared ,Time Inc   the publisher of Sports Illustrated  People and Time magazine  lowered its full-year revenue and profit forecast  saying trends in print advertising and circulation were worse than it had expected.,topStory
TIME,Time Inc,20151105,UPDATE 3-Time Inc cuts forecast  says print trends worse than feared ,* Shares fall as much as 8.6 pct   (Adds executive comment  updates shares),normal
TIME,Time Inc,20151105,Time Inc's 3rd-qtr revenue falls 5.8 pct ,Nov 5 Time Inc reported a 5.8 percent fall in quarterly revenue as print advertisement sales continued to fall and a strong dollar hurt income from outside the United States.,normal
TM,Toyota Motor Corp Ltd Ord,20151105,Toyota cuts full-year sales forecast on sluggish Asian recovery ,TOKYO Toyota Motor Corp  cut its full-year revenue forecast on Thursday as the Japanese company expects weaker vehicle sales in emerging Asian countries  where demand for cars has been hit by slowing growth.,topStory
TM,Toyota Motor Corp Ltd Ord,20151105,UPDATE 2-Toyota cuts full-year sales forecast on sluggish Asian recovery ,* Q2 profit supported by weak yen  lower costs   (Recasts  adds comment  details),normal
TM,Toyota Motor Corp Ltd Ord,20151105,BRIEF-Toyota exec says probe of Takata air bag issues ongoing ,- continuing to investigate Takata air bag issues  will continue to use "higher quality" air bag inflators,normal
TM,Toyota Motor Corp Ltd Ord,20151105,BRIEF-Toyota says to buy back up to $1.24 bln own shares ,* to buy back up to 150 billion yen ($1.24 billion) own shares or 0.72 percent worth,normal
TM,Toyota Motor Corp Ltd Ord,20151105,Australia new vehicle sales up 3.4 pct y/y in Oct ,SYDNEY  Nov 5 Sales of new vehicles in Australia rose 3.4 percent in October compared with the same period a year ago  a second month of strong gains led by demand for sports utilities.     The Australian Federal Chamber of Automotive Industries' VFACTS report on Thursday showed total sales were 94 321 in October  compared with 91 235 for the same month last year. Both months had the same number of selling days.     Sales were down 7.0 percent from September.     Sports utility vehic,normal
TRP,TransCanada Corporation,20151105,TransCanada to build only one Energy East oil export terminal ,CALGARY  Alberta TransCanada Corp said on Thursday it has scrapped plans to build a port in Quebec and will have only one crude oil export terminal for its proposed Energy East pipeline  a possible setback for the controversial project.,topStory
TRP,TransCanada Corporation,20151105,New Canada government backs Keystone pipeline: foreign minister ,OTTAWA Canada's new Liberal government backs TransCanada Corp's Keystone XL pipeline  but does not want the project opposed by environmentalists to spoil relations with the United States  Foreign Minister Stephane Dion said on Thursday.,normal
TRP,TransCanada Corporation,20151105,UPDATE 3-TransCanada to build only one Energy East oil export terminal ,CALGARY  Alberta  Nov 5 TransCanada Corp  said on Thursday it has scrapped plans to build a port in Quebec and will have only one crude oil export terminal for its proposed Energy East pipeline  a possible setback for the controversial project.,normal
TRP,TransCanada Corporation,20151105,New Canada government backs Keystone pipeline: foreign minister ,OTTAWA  Nov 5 Canada's new Liberal government backs TransCanada Corp's proposed Keystone XL pipeline  but does not want it to become an irritant in its relationship with the United States  Foreign Minister Stephane Dion said on Thursday.,normal
TRP,TransCanada Corporation,20151105,TransCanada says to build only one Energy East export terminal ,CALGARY  Alberta  Nov 5 TransCanada Corp's  1.1-million-barrel-per-day Energy East pipeline will have only one export terminal  a company spokesman said on Thursday.,normal
UAL,United Continental Holdings Inc,20151105,United Airlines CEO to return in early 2016 after heart attack ,United Continental Holdings Inc  Chief Executive Oscar Munoz will return to work in the first quarter of 2016  he said Thursday  three weeks after suffering a heart attack.,topStory
UAL,United Continental Holdings Inc,20151105,UPDATE 2-United Airlines CEO to return in early 2016 after heart attack ,Nov 5 United Continental Holdings Inc  Chief Executive Oscar Munoz will return to work in the first quarter of 2016  he said Thursday  three weeks after suffering a heart attack.,normal
UAL,United Continental Holdings Inc,20151105,United Airlines CEO to return in early 2016 after medical recovery ,Nov 5 United Continental Holdings Inc  Chief Executive Oscar Munoz will return to the job in the first quarter of 2016  he said Thursday in a statement three weeks after suffering a heart attack.,normal
VRX,Valeant Pharmaceuticals International Inc,20151105,Ackman backs Valeant CEO as shares tumble to 2-1/2 year lows ,BOSTON/NEW YORK Billionaire investor Bill Ackman expressed confidence in Valeant Pharmaceuticals International Inc's chief executive on Thursday as shares in the drugmaker fell as much as 20 percent to their lowest level since 2013 on concerns over its business practices.,topStory
VRX,Valeant Pharmaceuticals International Inc,20151105,UPDATE 4-Ackman backs Valeant CEO as shares tumble to 2-1/2 year lows ,BOSTON/NEW YORK  Nov 5 Billionaire investor Bill Ackman expressed confidence in Valeant Pharmaceuticals International Inc's chief executive on Thursday as shares in the drugmaker fell as much as 20 percent to their lowest level since 2013 on concerns over its business practices.,normal
VRX,Valeant Pharmaceuticals International Inc,20151105,CANADA STOCKS-TSX weighed down by earnings disappointments; Valeant plunge ,TORONTO  Nov 5 A plunge in shares of drugmaker Valeant and sharp retreats in several other companies on the back of disappointing earnings reports pushed Canada's main stock index lower on Thursday.,normal
VRX,Valeant Pharmaceuticals International Inc,20151105,CANADA STOCKS-TSX falls on string of disappointing earnings  Valeant slumps ,TORONTO  Nov 5 Canada's main stock index ended lower on Thursday  weighed down by a plunge in shares of drug maker Valeant Pharmaceuticals and disappointing reports from auto parts maker Magna International  pipeline operator Enbridge Inc and telecom company Telus Corp.,normal
VRX,Valeant Pharmaceuticals International Inc,20151105,PDL BioPharma says Valeant delayed royalties on diabetes pill ,Shares of PDL BioPharma Inc fell to their record low  a day after the company said Valeant Pharmaceuticals International Inc delayed royalty payments for diabetes pill  Glumetza  hurting its quarterly results.,normal
VRX,Valeant Pharmaceuticals International Inc,20151105,Valeant shares tumble 20 percent  retrace ground to 2013 levels ,NEW YORK  Nov 5 Valeant Pharmaceuticals International Inc  shares fell as much as 20 percent on Thursday  building on weeks of steep losses over concerns about its ties to specialty pharmacy Philidor Rx Services  which is accused of improperly boosting sales of Valeant drugs.,normal
VRX,Valeant Pharmaceuticals International Inc,20151105,CANADA STOCKS-TSX falls as Valeant  Magna plunge ,TORONTO  Nov 5 Canada's main stock index fell on Thursday as a string of disappointing earnings reports and a fresh slump in drug maker Valeant offset gains among energy stocks as oil prices edged higher.,normal
VRX,Valeant Pharmaceuticals International Inc,20151105,Senate panel probing Valeant  Turing over drug costs ,A U.S. Senate panel on Wednesday launched a bipartisan probe into pharmaceutical pricing  seeking documents from four drugmakers including Valeant Pharmaceuticals and Turing Pharmaceuticals  companies embroiled in controversy over price hikes on lifesaving drugs.,normal
DIS,Walt Disney Company (The),20151105,Disney profit rises with gains at cable networks ,Walt Disney Co reported a rise in quarterly profit that beat Wall Street forecasts as cable networks including ESPN brought in higher advertising revenue and collected more fees from pay TV distributors.,topStory
DIS,Walt Disney Company (The),20151105,UPDATE 2-Disney profit rises with gains at cable networks ,Nov 5 Walt Disney Co reported a rise in quarterly profit that beat Wall Street forecasts as cable networks including ESPN brought in higher advertising revenue and collected more fees from pay TV distributors.,normal
DIS,Walt Disney Company (The),20151105,Disney revenue rises 9 pct as ad sales rise ,Nov 5 Media company Walt Disney Co  reported a 9 percent rise in quarterly revenue as it earned more from ads on its cable TV networks including ESPN and as more people visited its U.S. theme parks.,normal
DIS,Walt Disney Company (The),20151105,Disney-owned channels coming to PlayStation Vue ,Users of PlayStation Vue  Sony Corp's  cloud-based TV service in the United States  will soon be able to stream content from channels owned by Walt Disney Co   including ESPN  ABC Family and the Disney Channel.,normal
DIS,Walt Disney Company (The),20151105,Disney-owned channels coming to PlayStation Vue ,Nov 5 Users of PlayStation Vue  Sony Corp's  cloud-based TV service in the United States  will soon be able to stream content from channels owned by Walt Disney Co   including ESPN  ABC Family and the Disney Channel.,normal
DIS,Walt Disney Company (The),20151105,China says Disney to get special trademark protection ,SHANGHAI China will give special trademark protection to Walt Disney Co as the iconic U.S. firm prepares to open its first theme park in mainland China next year  a regulator said on Thursday.,normal
DIS,Walt Disney Company (The),20151105,China says Disney to get special trademark protection ,SHANGHAI  Nov 5 China will give special trademark protection to Walt Disney Co as the iconic U.S. firm prepares to open its first theme park in mainland China next year  a regulator said on Thursday.,normal
WFC,Wells Fargo & Company,20151105,Wells Fargo to pay $81.6 million to bankrupt U.S. homeowners: DOJ ,Wells Fargo & Co  will pay $81.6 million to homeowners for denying them a chance to challenge mortgage payment increases imposed during their bankruptcy proceedings  the U.S. Justice Department said on Thursday.,topStory
WFC,Wells Fargo & Company,20151105,UPDATE 2-Wells Fargo to pay $81.6 mln to bankrupt U.S. homeowners -DOJ ,Nov 5 Wells Fargo & Co will pay $81.6 million to homeowners for denying them a chance to challenge mortgage payment increases imposed during their bankruptcy proceedings  the U.S. Justice Department said on Thursday.,normal
WFC,Wells Fargo & Company,20151105,Wells Fargo to pay $81.6 mln to bankrupt U.S. homeowners -DOJ ,Wells Fargo & Co will pay $81.6 million to homeowners for denying them a chance to challenge mortgage payment increases imposed during bankruptcy proceedings  the U.S. Justice Department said on Thursday.,normal
WFC,Wells Fargo & Company,20151105,Wells Fargo to pay $81.6m to bankrupt homeowners-DOJ ,Nov 5 Wells Fargo & Co will pay a total of $81.6 million to homeowners for failing to provide legal notices that would allow them to challenge the accuracy of mortgage payment increases while in bankruptcy  the U.S. Justice Department said on Thursday.,normal
