ACTA,Actua Corporation,20150721,Capital Group opens up equity strategy to European  Asian investors ,LONDON U.S. fund manager Capital Group plans to launch a fund later this year to give European and Asian investors access to one of its equity strategies  which has $60 billion under management  it said on Tuesday.,topStory
UTX,United Technologies Corporation,20150721,United Tech CEO says ready to 'turn up the heat' on acquisitions ,United Technologies Corp  is ready to "turn up the heat on M&A" now that the U.S. conglomerate has agreed to sell its Sikorsky helicopter business  Chief Executive Greg Hayes said in an interview on Tuesday.,normal
UTX,United Technologies Corporation,20150721,US STOCKS-Wall St lower as IBM  United Tech results weigh ,* Indexes down: Dow 1.13 pct  S&P 0.45 pct  Nasdaq 0.18 pct   (Updates to late afternoon  changes byline),normal
VEDL,Vedanta  Limited,20150721,Cairn India says tie-up with parent Vedanta is on track ,MUMBAI Cairn India  Chief Executive Mayank Ashar said on Tuesday the firm's proposed buyout by parent Vedanta Ltd  was "on track"  brushing off demands from some minority shareholders for a higher price tag.,topStory
VEDL,Vedanta  Limited,20150721,Cairn India says tie-up with parent Vedanta is on track ,MUMBAI Cairn India  Chief Executive Mayank Ashar said on Tuesday the firm's proposed buyout by parent Vedanta Ltd  was "on track"  brushing off demands from some minority shareholders for a higher price tag.,normal
VEDL,Vedanta  Limited,20150721,UPDATE 1-Cairn India says tie-up with parent Vedanta is on track ,MUMBAI  July 21 Cairn India Chief Executive Mayank Ashar said on Tuesday the firm's proposed buyout by parent Vedanta Ltd was "on track"  brushing off demands from some minority shareholders for a higher price tag.,normal
VZ,Verizon Communications Inc,20150721,Targeted ads to drive mobile video business  Verizon CFO says ,NEW YORK Verizon Communications Inc 's upcoming mobile video service will drive revenue with a combination of highly targeted ads  exclusive content and pay-per-view live concerts and sporting events  Chief Financial Officer Fran Shammo said in an interview on Tuesday.,topStory
VZ,Verizon Communications Inc,20150721,Targeted ads to drive mobile video business  Verizon CFO says ,NEW YORK  July 21 Verizon Communications Inc 's  upcoming mobile video service will drive revenue with a combination of highly targeted ads  exclusive content and pay-per-view live concerts and sporting events  Chief Financial Officer Fran Shammo said in an interview on Tuesday.,normal
VZ,Verizon Communications Inc,20150721,RPT-UPDATE 3-Verizon cuts revenue outlook as price war continues ,July 21 Verizon Communications Inc on Tuesday lowered its full-year revenue target as it fends promotions from its competitors.,normal
VZ,Verizon Communications Inc,20150721,RPT-UPDATE 2-Verizon profit beats on customer additions; revenue outlook lowered ,July 21 Verizon Communications Inc on Tuesday lowered its full-year revenue target after users on average paid less for its services during the second quarter amid continuing industry competition and promotional activity.,normal
VZ,Verizon Communications Inc,20150721,UPDATE 2-Verizon profit beats on customer additions; revenue outlook lowered ,July 21 Verizon Communications Inc on Tuesday lowered its full-year revenue target after users on average paid less for its services during the second quarter amid continuing industry competition and promotional activity.,normal
VZ,Verizon Communications Inc,20150721,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters July 21  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                **,normal
VZ,Verizon Communications Inc,20150721,REFILE-Verizon revenue rises as more subscribers sign up ,July 21 Verizon Communications Inc  the biggest U.S. wireless service provider  reported a 2.4 percent rise in quarterly revenue as it added 1.1 million postpaid wireless subscribers ahead of the launch its online video service.,normal
VZA,Verizon Communications Inc,20150721,Targeted ads to drive mobile video business  Verizon CFO says ,NEW YORK Verizon Communications Inc 's upcoming mobile video service will drive revenue with a combination of highly targeted ads  exclusive content and pay-per-view live concerts and sporting events  Chief Financial Officer Fran Shammo said in an interview on Tuesday.,topStory
VZA,Verizon Communications Inc,20150721,Targeted ads to drive mobile video business  Verizon CFO says ,NEW YORK  July 21 Verizon Communications Inc 's  upcoming mobile video service will drive revenue with a combination of highly targeted ads  exclusive content and pay-per-view live concerts and sporting events  Chief Financial Officer Fran Shammo said in an interview on Tuesday.,normal
VZA,Verizon Communications Inc,20150721,RPT-UPDATE 3-Verizon cuts revenue outlook as price war continues ,July 21 Verizon Communications Inc on Tuesday lowered its full-year revenue target as it fends promotions from its competitors.,normal
VZA,Verizon Communications Inc,20150721,RPT-UPDATE 2-Verizon profit beats on customer additions; revenue outlook lowered ,July 21 Verizon Communications Inc on Tuesday lowered its full-year revenue target after users on average paid less for its services during the second quarter amid continuing industry competition and promotional activity.,normal
VZA,Verizon Communications Inc,20150721,UPDATE 2-Verizon profit beats on customer additions; revenue outlook lowered ,July 21 Verizon Communications Inc on Tuesday lowered its full-year revenue target after users on average paid less for its services during the second quarter amid continuing industry competition and promotional activity.,normal
VZA,Verizon Communications Inc,20150721,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters July 21  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                **,normal
VZA,Verizon Communications Inc,20150721,REFILE-Verizon revenue rises as more subscribers sign up ,July 21 Verizon Communications Inc  the biggest U.S. wireless service provider  reported a 2.4 percent rise in quarterly revenue as it added 1.1 million postpaid wireless subscribers ahead of the launch its online video service.,normal
WFC,Wells Fargo & Company,20150721,MOVES-Daniel Wani leaves Wells Fargo to join U.S. Bank Wealth Management ,July 21 U.S. Bank Wealth Management said it appointed Daniel Wani managing director of trust and wealth planning for the Private Client Reserve of U.S. Bank.,topStory
WF,Woori Bank,20150721,S.Korea aims to sell 30-40 pct of Woori Bank in several blocks ,SEOUL  July 21 South Korea  which has failed in four attempts to sell its controlling stake in Woori Bank   the country's second-largest lender  said on Tuesday it plans to sell around 30-40 percent in several blocks ranging from 4 percent to 10 percent each.,topStory
MOC,Command Security Corporation,20150721,UPDATE 2-Some LaGuardia  JFK airport workers to strike starting Wednesday ,July 21 Some security workers and baggage handlers at New York's John F. Kennedy International and LaGuardia airports plan to strike starting on Wednesday night  their union said on Tuesday  potentially affecting travelers and airline operations.,topStory
