AMCN,AirMedia Group Inc,20131119,BRIEF-AirMedia sees Q4 2013 revenue $76 million to $79 million ,Nov 19 Airmedia Group Inc :  * Announces unaudited third quarter 2013 financial results  * Q3 revenue fell 5.6 percent to $69 million  * Sees Q4 2013 revenue $76 million to $79 million  * Sees Q4 2013 revenue down 4.4 to 8 percent  * Q3 net loss per ads $0.06  * Source text for Eikon   * Further company coverage,topStory
GM,General Motors Company,20131119,Venezuela fines General Motors over spare parts' prices ,CARACAS Venezuela's socialist government said on Tuesday it was fining the local subsidiary of General Motors  nearly $85 000 for allegedly selling spare parts at exorbitant prices.,topStory
GM,General Motors Company,20131119,Venezuela fines General Motors over spare parts' prices ,CARACAS  Nov 19 Venezuela's socialist government said on Tuesday it was fining the local subsidiary of General Motors nearly $85 000 for allegedly selling spare parts at exorbitant prices.,normal
G,Genpact Limited,20131119,BRIEF-Genpact enters into agreement with Credit Agricole corporate and investment bank to run their U.S. IT ops ,Nov 19 Genpact Ltd :  * Enters into five-year agreement with credit agricole corporate and investment,topStory
GSK,GlaxoSmithKline PLC,20131119,GlaxoSmithKline to divest $740 million stake in South Africa's Aspen ,LONDON GlaxoSmithKline said on Tuesday it planned to reduce its investment in South African drugmaker Aspen Pharmacare by one third  although it would retain a board seat and a significant shareholding.,topStory
GSK,GlaxoSmithKline PLC,20131119,UPDATE 1-GlaxoSmithKline to divest $740 mln stake in S.Africa's Aspen ,LONDON  Nov 19 GlaxoSmithKline said on Tuesday it planned to reduce its investment in South African drugmaker Aspen Pharmacare by one third  although it would retain a board seat and a significant shareholding.,normal
GSK,GlaxoSmithKline PLC,20131119,BRIEF-GSK to divest one-third of 19 pct stake in Aspen ,Nov 19 GlaxoSmithKline Plc :  * GSK intends to divest part holding in Aspen  * GSK to retain board seat and significant shareholding  * Disposal will be through a placing of ordinary shares in Aspen to institutional investors  * Offering is expected to comprise up to 28.2 million Aspen ordinary shares  * Offer price will be determined by an accelerated bookbuild process which is to start immediately  * Further announcement will be made following completion of the bookbuild and pricin,normal
GOL,Gol Linhas Aereas Inteligentes SA,20131119,STXNEWS LATAM-Gol swaps Oracle for SAP in cost-cutting push ,Brazilian airline Gol Linhas Aereas has begun changing over its business software to provider SAP  this week  as its intense cost-cutting campaign reaches an information technology budget consuming 1.3 percent of revenue.,topStory
GFI,Gold Fields Limited,20131119,BRIEF-Atacama Pacific enters into agreement to sell AMX water option to Gold Fields ,Nov 19 Atacama Pacific Gold Corp :  * Enters into agreement to sell AMX Water Option to Gold Fields  * Received initial payment of $200 000 and may receive total payments of up to,topStory
GS,Goldman Sachs Group Inc (The),20131119,Goldman nears deal for events company PSAV: sources ,NEW YORK Goldman Sachs Group Inc's  private equity arm is nearing a deal to acquire events services company PSAV Presentation Services for close to $900 million  according to people familiar with the matter.,topStory
GS,Goldman Sachs Group Inc (The),20131119,REFILE-Goldman nears deal for events company PSAV -sources ,NEW YORK  Nov 19 Goldman Sachs Group Inc's  private equity arm is nearing a deal to acquire events services company PSAV Presentation Services for close to $900 million  according to people familiar with the matter.,normal
GS,Goldman Sachs Group Inc (The),20131119,UPDATE 1-Abu Dhabi's Aldar Properties picks banks for sukuk sale ,* Goldman  StanChart  NBAD  FGB  DIB to arrange sale-sources,normal
GS,Goldman Sachs Group Inc (The),20131119,RESEARCH ALERT-Endurance International: Goldman Sachs starts with buy - Theflyonthewall.com ,Nov 19 Endurance International Group Holdings Inc  :  * Goldman Sachs starts with buy rating - Theflyonthewall.com For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,normal
GS,Goldman Sachs Group Inc (The),20131119,CORRECTED-REUTERS SUMMIT-Goldman Sachs funds head sees Treasury yields 100 bps higher in 2014 ,(Corrects story that ran on Monday to change title of Andrew Wilson to EMEA Chief Executive  not Chief Executive),normal
GS,Goldman Sachs Group Inc (The),20131119,Small Zambia cash grants pay big dividends for rural poor ,LUSAKA In rural Africa  where money is scarce and subsistence farming the norm  even small injections of cash can go far and help grow a local economy in surprising ways.,normal
GS,Goldman Sachs Group Inc (The),20131119,AFRICA INVESTMENT-Small Zambia cash grants pay big dividends for rural poor ,LUSAKA  Nov 19 In rural Africa  where money is scarce and subsistence farming the norm  even small injections of cash can go far and help grow a local economy in surprising ways.,normal
GS,Goldman Sachs Group Inc (The),20131119,Highlights Day 1: Europe's appeal  stock 'drop' coming ,NEW YORK Marc Lasry  chief executive of hedge fund Avenue Capital Group  said that European securities offer the best opportunity  while activist investor Carl Icahn said that the U.S. stock market could see a "big drop.",normal
HD,Home Depot Inc (The),20131119,US STOCKS SNAPSHOT-Wall St ends lower  but Home Depot helps Dow ,NEW YORK  Nov 19 U.S. stocks fell on Tuesday  with the Dow and the S&P 500 retreating from milestone levels  led by a slide in Best Buy after a disappointing outlook.,topStory
HD,Home Depot Inc (The),20131119,US STOCKS-Wall St inches lower; Dow slips after hitting 16 000 ,* Home Depot shares rise as housing recovery boosts results,normal
HD,Home Depot Inc (The),20131119,US STOCKS-Dow pops back up above 16 000; Home Depot up on results ,* Home Depot shares rise as housing recovery boosts results,normal
HD,Home Depot Inc (The),20131119,Home Depot raises forecast as Americans spruce up homes ,Home Depot Inc  raised its 2013 forecast for the third time this year as rising home prices encourage more Americans to invest in their properties and complete delayed projects.,normal
HD,Home Depot Inc (The),20131119,UPDATE 3-Home Depot raises forecast as Americans spruce up homes ,* Shares rise as much as 3 pct   (Adds executives' quotes  analyst comment; updates shares),normal
HD,Home Depot Inc (The),20131119,US STOCKS-Wall Street drifts amid few market catalysts ,* Home Depot shares rise as housing recovery boosts results,normal
HD,Home Depot Inc (The),20131119,US STOCKS-Wall St to open flat amid few market catalysts ,* Home Depot shares rise as housing recovery boosts results,normal
HD,Home Depot Inc (The),20131119,US STOCKS-Futures little changed amid few market catalysts ,* Home Depot shares rise as housing recovery boosts results,normal
HD,Home Depot Inc (The),20131119,US STOCKS-Futures tick lower as traders scramble for catalysts ,* Home Depot shares rise as housing recovery boosts results,normal
HSBC,HSBC Holdings plc,20131119,RESEARCH ALERT-Vipshop: HSBC starts with overweight - Theflyonthewall.com ,Nov 19 Vipshop :  * HSBC starts with overweight - Theflyonthewall.com For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
HSBC,HSBC Holdings plc,20131119,RESEARCH ALERT-TPSA: HSBC raises target price ,Nov 19 :  * TPSA : HSBC raises target price to Pln 10.3 from Pln 8; rating,normal
HSEA,HSBC Holdings plc,20131119,RESEARCH ALERT-Vipshop: HSBC starts with overweight - Theflyonthewall.com ,Nov 19 Vipshop :  * HSBC starts with overweight - Theflyonthewall.com For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
HSEA,HSBC Holdings plc,20131119,RESEARCH ALERT-TPSA: HSBC raises target price ,Nov 19 :  * TPSA : HSBC raises target price to Pln 10.3 from Pln 8; rating,normal
HSEB,HSBC Holdings plc,20131119,RESEARCH ALERT-Vipshop: HSBC starts with overweight - Theflyonthewall.com ,Nov 19 Vipshop :  * HSBC starts with overweight - Theflyonthewall.com For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
HSEB,HSBC Holdings plc,20131119,RESEARCH ALERT-TPSA: HSBC raises target price ,Nov 19 :  * TPSA : HSBC raises target price to Pln 10.3 from Pln 8; rating,normal
HUM,Humana Inc,20131119,BRIEF-Humana expects to reaffirm guidance of $7.25 to $7.75 diluted EPS for the year ,Nov 19 Humana Inc :  * Expects to reaffirm guidance of $7.25 to $7.75 in diluted EPS for the year,topStory
IBM,International Business Machines Corporation,20131119,CenturyLink boosts cloud offerings with Tier 3 buy ,Telecommunications company CenturyLink Inc said on Tuesday it has bought cloud computing startup Tier 3 Inc as part of its acquisition strategy that allows it to compete with the likes of Amazon Inc  IBM Corp and Verizon Communications Inc's Terremark.,topStory
IBM,International Business Machines Corporation,20131119,CenturyLink boosts cloud offerings with Tier 3 buy ,Nov 19 Telecommunications company CenturyLink Inc said on Tuesday it has bought cloud computing startup Tier 3 Inc as part of its acquisition strategy that allows it to compete with the likes of Amazon Inc  IBM Corp and Verizon Communications Inc's Terremark.,normal
JEC,Jacobs Engineering Group Inc,20131119,BRIEF-Jacobs reports Q4 earnings per share $0.84 ,Nov 18 Jacobs Engineering Group Inc :  * Reports record net earnings for fiscal 2013  * Q4 earnings per share $0.84  * Q4 earnings per share view $0.88 -- Thomson Reuters I/B/E/S  * Q4 revenue $3.14 billion versus I/B/E/S view $3.14 billion  * Sees FY 2014 earnings per share $3.35 to $3.90  * FY 2014 earnings per share view $3.78 -- Thomson Reuters I/B/E/S  * Source text for Eikon   * Further company coverage,topStory
JNJ,Johnson & Johnson,20131119,J&J unit to pay $2.5 billion in U.S. hip implant settlement ,NEW YORK A unit of Johnson & Johnson has agreed to pay an estimated $2.5 billion to settle thousands of lawsuits from individuals allegedly injured by the company's artificial hip implants  the company announced Tuesday.,topStory
JNJ,Johnson & Johnson,20131119,UPDATE 1-J&J unit to pay $2.5 billion in U.S. hip implant settlement ,NEW YORK  Nov 19 A unit of Johnson & Johnson  has agreed to pay an estimated $2.5 billion to settle thousands of lawsuits from individuals allegedly injured by the company's artificial hip implants  the company announced Tuesday.,normal
JNJ,Johnson & Johnson,20131119,J&J unit to pay $2.5 billion in U.S. hip implant settlement ,NEW YORK  Nov 19 A unit of Johnson & Johnson  has agreed to pay an estimated $2.5 billion to settle thousands of lawsuits from individuals allegedly injured by the company's artificial hip implants  the company announced Tuesday.,normal
K,Kellogg Company,20131119,BRIEF-John Zabriskie announces retirement from Kellogg's board  effective Nov 19 ,Nov 19 Kellogg Co :  * On November 17  John Zabriskie notified co that he was retiring from board ,topStory
KEP,Korea Electric Power Corporation,20131119,UPDATE 2-S.Korea hikes power prices to avoid blackouts  cut KEPCO losses ,* Cuts on consumption tax on LNG  propane  kerosene from 2014,topStory
KEP,Korea Electric Power Corporation,20131119,S.Korea's KDIC to sell KEPCO stake for up to $260 mln-terms ,HONG KONG  Nov 19 State-run Korea Deposit Insurance Corp (KDIC) will sell its remaining stake in Korea Electric Power Corp (KEPCO) for up to $260 million  according to a term sheet of the deal seen by Reuters.,normal
LZB,La-Z-Boy Incorporated,20131119,BRIEF-La Z-Boy Q2 earnings per share $0.31 ,Nov 19 La-Z-Boy In :  * Boy reports fiscal 2014 second-quarter results  * Q2 sales $366.4 million versus I/B/E/S view $349.4 million  * Says increases dividend by 50%  * Q2 earnings per share $0.31  * Increased its quarterly dividend by 50% to $0.06 per share  * Says same-store written sales for the La Z-boy furniture galleries store,topStory
LZB,La-Z-Boy Incorporated,20131119,BRIEF-La Z Boy shares up 7.3 pct after the bell following results ,NEW YORK  Nov 19 La-Z-Boy :  * Shares were up 7.3 percent after the bell following results,normal
LITB,LightInTheBox Holding Co Ltd,20131119,LightInTheBox posts loss as costs jump  wedding dress sales fall ,Chinese online retailer LightInTheBox Holding Co Ltd  reported a bigger quarterly loss after its operating costs rose 50 percent and sales of its wedding and prom dresses declined  sending its shares down as much as 23 percent.,topStory
LITB,LightInTheBox Holding Co Ltd,20131119,LightInTheBox posts loss as costs jump  wedding dress sales fall ,* Third-qtr adjusted loss $0.04/share vs est. $0.05/share profit,normal
LITB,LightInTheBox Holding Co Ltd,20131119,BRIEF-LightInTheBox Q3 non-GAAP loss per share $0.04 ,Nov 19 LightInTheBox Holding Co Ltd :  * Lightinthebox holding co.  ltd. reports third quarter 2013 financial results  * Sees Q4 2013 revenue $75 million to $77 million  * Q3 revenue $68.1 million versus I/B/E/S view $70 million  * Q3 adjusted non-GAAP loss per share $0.04 excluding items  * Q3 earnings per share view $0.05 -- Thomson Reuters I/B/E/S  * Q4 revenue view $83.1 million -- Thomson Reuters I/B/E/S  * Total number of orders increased by 80.0% to 1.6 million in the third qu,normal
LMT,Lockheed Martin Corporation,20131119,U.S. Navy committed to F-35 despite talks about more F/A-18 buys ,DUBAI The U.S. Navy remains committed to the Lockheed Martin Corp  F-35 Joint Strike Fighter (JSF) program  but is also looking at options to buy additional Boeing Co  F/A-18 fighter jets  a senior U.S. Navy official said on Tuesday.,topStory
LMT,Lockheed Martin Corporation,20131119,UPDATE 2-AIRSHOW-US Navy committed to F-35 despite talks about more F/A-18 buys ,DUBAI  Nov 19 The U.S. Navy remains committed to the Lockheed Martin Corp F-35 Joint Strike Fighter (JSF) program  but is also looking at options to buy additional Boeing Co F/A-18 fighter jets  a senior U.S. Navy official said on Tuesday.,normal
LMT,Lockheed Martin Corporation,20131119,U.S. Navy committed to F-35 despite talks about more F/A-18 buys ,DUBAI The U.S. Navy remains committed to the Lockheed Martin Corp  F-35 Joint Strike Fighter (JSF) program  but is also looking at options to buy additional Boeing Co  F/A-18 fighter jets  a senior U.S. Navy official said on Tuesday.,normal
LMT,Lockheed Martin Corporation,20131119,AIRSHOW-US Navy committed to F-35 despite talks about more F/A-18 buys ,DUBAI  Nov 19 The U.S. Navy remains committed to the Lockheed Martin Corp F-35 Joint Strike Fighter (JSF) program  but is also looking at options to buy additional Boeing Co F/A-18 fighter jets  a senior U.S. Navy official said on Tuesday.,normal
MTL,Mechel PAO,20131119,UPDATE 1-Mechel leads Russian shares lower again  rouble weakens to 1-wk lows ,MOSCOW  Nov 19 Moscow stock indexes fell on Tuesday  led lower by Russian steel producer and coal miner Mechel  which is in debt- restructuring negotiations.,topStory
MDT,Medtronic plc,20131119,Medtronic profit up as heart device sales revive ,Medtronic Inc  reported higher quarterly earnings on Tuesday as stronger sales of its implantable devices to treat abnormal heart rhythms offset weakness in its spinal products business.,topStory
MDT,Medtronic plc,20131119,UPDATE 2-Medtronic profit up as heart device sales revive ,Nov 19 Medtronic Inc reported higher quarterly earnings on Tuesday as stronger sales of its implantable devices to treat abnormal heart rhythms offset weakness in its spinal products business.,normal
MDT,Medtronic plc,20131119,Medtronic second-quarter earnings rise; top estimates ,Nov 19 Medtronic Inc on Tuesday reported higher quarterly earnings that were slightly above analysts' expectations as sales rose across its medical device lines.,normal
MRK,Merck & Company Inc,20131119,Merck brings maternity program from poor nations to U.S. as deaths rise ,NEW YORK Merck & Co on Tuesday said it is expanding its "Merck for Mothers" program  which aims to reduce pregnancy-related deaths from impoverished countries such as Senegal and Zambia  to the United States - a stark reminder of how far the country lags other wealthy nations on key measures of health.,topStory
MRK,Merck & Company Inc,20131119,Merck brings maternity program from poor nations to U.S. as deaths rise ,NEW YORK  Nov 19 Merck & Co on Tuesday said it is expanding its "Merck for Mothers" program  which aims to reduce pregnancy-related deaths from impoverished countries such as Senegal and Zambia  to the United States - a stark reminder of how far the country lags other wealthy nations on key measures of health.,normal
MBT,Mobile TeleSystems OJSC,20131119,Fitch Affirms OJSC MTS Bank at 'B+'; Outlook Stable ,(The following statement was released by the rating agency) MOSCOW/LONDON  November 19 (Fitch) Fitch Ratings has affirmed OJSC MTS Bank's  (MTSB) Long-term Issuer Default Rating (IDR) at 'B+' with a Stable Outlook. A  full list of rating actions is at the end of this comment. KEY RATING DRIVERS - IDRS  NATIONAL LONG-TERM RATING  SUPPORT RATING MTSB's IDRs  and National Long-term and Support Ratings reflect Fitch's view of  the limited probability of support that the bank may receive  if needed  ,topStory
MODN,Model N Inc,20131119,BRIEF-Model N shares up 7.8 pct after the bell following results ,NEW YORK  Nov 19 Model N Inc :  * Shares were up 7.8 percent after the bell following results,topStory
MOH,Molina Healthcare Inc,20131119,RESEARCH ALERT-Health Net  Molina Healthcare: Leerink starts with market perform ,Nov 19 :  * Health Net  Molina Healthcare  Wellcare Health,topStory
MOH,Molina Healthcare Inc,20131119,RESEARCH ALERT-Health Net  Molina Healthcare  WellCare Health: Leerink starts with outperform ,Nov 19 :  * Health net  Molina Healthcare WellCare Health :,normal
MNR,Monmouth Real Estate Investment Corporation,20131119,BRIEF-Monmouth Real Estate Investment acquires 114 923 square foot industrial building in Texas for $15.3 mln ,Nov 19 Monmouth Real Estate Investment Corp :  * Announces new acquisition  * Acquired 114 923 square foot industrial building in Texas at a purchase price,topStory
MS,Morgan Stanley,20131119,Rosneft studying Morgan Stanley oil trading unit ,Russian state-run oil company Rosneft  is in talks with Morgan Stanley  on buying into the Wall Street bank's oil trading business  an industry publication and two industry sources said on Tuesday.,topStory
MS,Morgan Stanley,20131119,UPDATE 1-Rosneft studying Morgan Stanley oil trading unit ,Nov 19 Russian state-run oil company Rosneft  is in talks with Morgan Stanley on buying into the Wall Street bank's oil trading business  an industry publication and two industry sources said on Tuesday.,normal
MS,Morgan Stanley,20131119,Rosneft eyes stake in Morgan Stanley oil trading unit -report ,Nov 19 Russian state-controlled energy major Rosneft is in talks with Morgan Stanley on buying a stake in the Wall Street bank's oil trading business  industry publication SparkSpread reported on Tuesday.,normal
MS,Morgan Stanley,20131119,BRIEF-Endurance International: Morgan Stanley starts with overweight ,Nov 19 Endurance International Group Holdings Inc  :  * Morgan Stanley starts with overweight; price target $16  For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US      For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,normal
MS,Morgan Stanley,20131119,RESEARCH ALERT-Uniqa: Morgan Stanley resumes with equal weight rating ,Nov 18 UNIQA Insurance Group AG :  * Morgan Stanley resumes with equal weight rating; target price 9.90 euros For a summary of rating actions and price target changes on European companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/EUROPE,normal
MRC,MRC Global Inc,20131119,BRIEF-MRC Global reduces debt interest costs and increases facility amount ,Nov 19 MRC Global Inc :  * Reduces debt interest costs and increases facility amount  * Completed a repricing of its senior secured term loan b while increasing the,topStory
MSCI,MSCI Inc,20131119,Exclusive: Barclays weighs index unit sale after MSCI approach - sources ,NEW YORK Barclays Plc  is exploring options for its index business after equity index provider MSCI Inc  approached the British bank recently about buying the unit  according to several people familiar with the situation.,topStory
NHI,National Health Investors Inc,20131119,BRIEF-NHI announces offering of 4.5 mln shares of common stock ,Nov 19 National Health Investors Inc :  * NHI announces offering of 4.5 million shares of common stock  * Plans to use proceeds from offering to partly fund purchase price of pending,topStory
NHI,National Health Investors Inc,20131119,BRIEF-National Health Investors to acquire 25 independent living facilities for $491 mln ,Nov 19 National Health Investors Inc :  * Nhi to acquire 25 independent living facilities from affiliate of holiday,normal
NP,Neenah Paper Inc,20131119,BRIEF-Neenah announces 20 percent dividend increase ,Nov 19 Neenah Paper Inc :  * Neenah Paper Inc increases annual dividend to $0.96/shr from $0.80/shr  * Neenah announces 20 percent dividend increase  * Source text for Eikon   * Further company coverage,topStory
NYT,New York Times Company (The),20131119,UPDATE 2-JPMorgan withdraws from $2 bln China Everbright Bank HK listing-source ,* JPMorgan exits bank syndicate for China Everbright Bank IPO,topStory
NQ,NQ Mobile Inc,20131119,BRIEF-NQ Mobile partners with Telkomsel to provide flagship products to customers in Indonesia ,Nov 19 NQ Mobile Inc :  * Partners with telkomsel to provide flagship products to customers in,topStory
ORCL,Oracle Corporation,20131119,STXNEWS LATAM-Gol swaps Oracle for SAP in cost-cutting push ,Brazilian airline Gol Linhas Aereas has begun changing over its business software to provider SAP  this week  as its intense cost-cutting campaign reaches an information technology budget consuming 1.3 percent of revenue.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20131119,UPDATE 1-Vale  Petrobras mull bond sales within weeks -source ,NEW YORK  Nov 19 Vale SA and Petróleo Brasileiro SA  two of Brazil's three largest companies  are considering selling bonds in international debt markets before the end of this year or in early 2014  a source with direct knowledge of the companies' plans said on Tuesday.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20131119,Vale  Petrobras may sell debt by year-end  early 2014 -source ,NEW YORK  Nov 19 Vale SA and Petróleo Brasileiro SA  two of Brazil's three largest companies  are considering selling bonds in international debt markets before the end of this year or in early 2014  a source with direct knowledge of the companies' plans  said on Tuesday.,normal
PJC,Piper Jaffray Companies,20131119,RESEARCH ALERT-ABM Industries  Cintas: Piper Jaffray starts with neutral ,Nov 19   * ABM Industries  Cintas Corp : Piper Jaffray starts with neutral For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
PG,Procter & Gamble Company (The),20131119,Teva-P&G joint venture teams up with Australia's Swisse Wellness ,TEL AVIV  Nov 19 Israel's Teva Pharmaceutical Industries will join forces with Australian vitamins  minerals  and supplements (VMS) company Swisse Wellness through Teva's joint venture with Procter & Gamble Co  PGT Healthcare.,topStory
RTN,Raytheon Company,20131119,Raytheon says in final talks on Qatar Patriot deal ,DUBAI U.S. arms maker Raytheon Co  said on Tuesday it hoped to finalize the sale of its Patriot air and missile defense system to Qatar "fairly quickly " and wrap up the sale of additional Patriot fire units to Kuwait before the end of the year.,topStory
RTN,Raytheon Company,20131119,AIRSHOW-Raytheon says in final talks on Qatar Patriot deal ,DUBAI  Nov 19 U.S. arms maker Raytheon Co  said on Tuesday it hoped to finalise the sale of its Patriot air and missile defence system to Qatar "fairly quickly " and wrap up the sale of additional Patriot fire units to Kuwait before the end of the year.,normal
CRM,Salesforcecom Inc,20131119,RESEARCH ALERT-Salesforce.com: Barclays raises price target ,Nov 19 Salesforce.com Inc :  * Barclays raises price target to $68 from $56; rating overweight For a summary of rating and price target changes on U.S. companies:    Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Reuters Station users  click .1568    For a summary of rating and price target changes on Canadian companies:    Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Reuters Station users  click .4899  For a summary of rating act,topStory
CRM,Salesforcecom Inc,20131119,Salesforce.com fourth-quarter sales forecast bolstered by ExactTarget ,SAN FRANCISCO Salesforce.com Inc  forecast fourth-quarter revenue to come in slightly better than analysts' projections  helped by a strong performance by newly acquired email marketing firm ExactTarget.,normal
CRM,Salesforcecom Inc,20131119,UPDATE 3-Salesforce.com Q4 sales forecast bolstered by ExactTarget ,* ExactTarget acquisition going smoothly  sales goal lifted,normal
SN,Sanchez Energy Corporation,20131119,BRIEF-Sanchez Energy to raise borrowing base under $500 mln first lien  revolving credit facility ,Nov 19 Sanchez Energy Corp :  * Announces significantly expanded availability under its revolving credit,topStory
SAP,SAP SE,20131119,STXNEWS LATAM-Gol swaps Oracle for SAP in cost-cutting push ,Brazilian airline Gol Linhas Aereas has begun changing over its business software to provider SAP  this week  as its intense cost-cutting campaign reaches an information technology budget consuming 1.3 percent of revenue.,topStory
SLB,Schlumberger NV,20131119,UPDATE 1-Gazprom Neft delays Iraq oilfield launch  cites safety concerns ,* Safety one of main concerns for foreign companies in Iraq,topStory
SNE,Sony Corp Ord,20131119,UPDATE 1-Market Chatter-Corporate finance press digest ,Nov 19 The following corporate finance-related stories were reported by media:,topStory
SNE,Sony Corp Ord,20131119,REFILE-Market Chatter- Corporate finance press digest ,Nov 19 The following corporate finance-related stories were reported by media:,normal
BID,Sotheby&#39;s,20131119,REUTERS SUMMIT-Short-seller Chanos says oil majors increasingly look like 'value traps' ,(For other news from Reuters Global Investment Outlook Summit  click on http://www.reuters.com/summit/Investment13)  (Adds bellwether Sotheby's  Exxon Mobil background),topStory
STI,SunTrust Banks Inc,20131119,RESEARCH ALERT-Employers Holdings: SunTrust Robinson raises target price ,Nov 19 Employers Holdings Inc :  * SunTrust Robinson raises target price to $38 from $36; rating buy For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
SYY,Sysco Corporation,20131119,Sysco unit settles charges it overbilled U.S. military for produce ,WASHINGTON A subsidiary of Sysco Corp  will pay $4.2 million to settle allegations brought by a whistleblower that it overcharged the U.S. military for fresh fruit and vegetables over a two-year period  the Justice Department said on Tuesday.,topStory
SYY,Sysco Corporation,20131119,Sysco unit settles charges it overbilled U.S. military for produce ,WASHINGTON  Nov 19 A subsidiary of Sysco Corp  will pay $4.2 million to settle allegations brought by a whistleblower that it overcharged the U.S. military for fresh fruit and vegetables over a two-year period  the Justice Department said on Tuesday.,normal
SKT,Tanger Factory Outlet Centers Inc,20131119,BRIEF-Tanger prices $250 million 3.875% senior notes due 2023 ,Nov 18 Tanger Factory Outlet Centers Inc :  * Prices $250 million 3.875% senior notes due 2023  * Says the notes were priced at 98.360% of the principal amount  * Source text for Eikon   * Further company coverage,topStory
TEL,TE Connectivity Ltd,20131119,BRIEF-TE Connectivity reaffirms outlook for fiscal year 2014 ,Nov 19 TE Connectivity Ltd :  * Says reaffirms its outlook for 2014 fiscal year  * FY 2014 earnings per share view $3.63  revenue view $13.93 billion -- Thomson,topStory
TI,Telecom Italia SPA,20131119,Analysis: European telcos' merger hopes help close Atlantic gap ,PARIS/FRANKFURT A rally in European telecom stocks has closed the big valuation gap with U.S. peers seen nine months ago  boosted by hopes that regulators will allow more mergers in the industry as it starts to recover from the bruising recession.,topStory
TEF,Telefonica SA,20131119,New Issue-Telefonica prices 600 mln stg 2020 bond ,Lead Manager(s)         Bank of America  Barclays  Credit Suisse  Lloyds Bank ,topStory
TEF,Telefonica SA,20131119,RPT-Fitch Assigns Telefonica's Hybrid Securities Expected 'BBB-(EXP)' Rating ,Nov 19 (The following statement was released by the rating agency),normal
TEF,Telefonica SA,20131119,UPDATE 1-Investors pile in new Telefonica hybrid ,LONDON  Nov 19 (IFR) - Telefonica is set to return to the hybrid market a mere two months after it priced a dual-tranche deal in euros with an inaugural sterling trade.,normal
TEF,Telefonica SA,20131119,REFILE-Investors pile in new Telefonica hybrid ,LONDON  Nov 19 (IFR) - Order books on Telefonica's first sterling hybrid issue are now in excess of GBP3.5bn  according to a lead manager on the trade.,normal
TEVA,Teva Pharmaceutical Industries Limited,20131119,Deals of the day- Mergers and acquisitions ,(Adds Adcock Ingram  Blackstone Group  Rolls-Royce  Pemex  Loewe  JSW  Teva Pharmaceutical; updates Deutsche Boerse),topStory
TEVA,Teva Pharmaceutical Industries Limited,20131119,Teva-P&G joint venture teams up with Australia's Swisse Wellness ,TEL AVIV  Nov 19 Israel's Teva Pharmaceutical Industries will join forces with Australian vitamins  minerals  and supplements (VMS) company Swisse Wellness through Teva's joint venture with Procter & Gamble Co  PGT Healthcare.,normal
BX,The Blackstone Group LP,20131119,MOVES- Aviva  Blackstone  Barclays  Hiscox  Hartford Funds ,Nov 19 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
